Orthogroup	MHP_MHP709_genes	MHP_131B_genes
OG0000000	DR088_RS03530	NB627_RS02355
OG0000000	DR088_RS03470	NB627_RS02285
OG0000000	DR088_RS03495	NB627_RS01855, NB627_RS02260
OG0000000	DR088_RS04100	NB627_RS01860
OG0000001	DR088_RS00985	NB627_RS02985
OG0000001	DR088_RS03730	NB627_RS02935
OG0000002	DR088_RS04280	NB627_RS02365
OG0000002	DR088_RS03525	NB627_RS02360
OG0000002	DR088_RS03455	NB627_RS02290
OG0000002	DR088_RS04510	NB627_RS01865
OG0000003	DR088_RS03645	NB627_RS01980
OG0000004	DR088_RS01540	NB627_RS03390
OG0000004	DR088_RS03400	NB627_RS03405
OG0000004	DR088_RS00350	NB627_RS03205
OG0000005	DR088_RS01950	NB627_RS00100
OG0000005	DR088_RS04585	NB627_RS00120
OG0000005	DR088_RS03545	NB627_RS00110
OG0000005	DR088_RS04590	NB627_RS00125
OG0000006	DR088_RS03035	NB627_RS02685, NB627_RS02690
OG0000006	DR088_RS02425	NB627_RS02525
OG0000006	DR088_RS04190	NB627_RS02520
OG0000007	DR088_RS03260	NB627_RS02345
OG0000007	DR088_RS03265	NB627_RS02325
OG0000008	DR088_RS03690	NB627_RS01765
OG0000008	DR088_RS04285	NB627_RS02695
OG0000009	DR088_RS01935	NB627_RS00085
OG0000009	DR088_RS02850	NB627_RS00790
OG0000010	DR088_RS00450	NB627_RS01985
OG0000011	DR088_RS00555	NB627_RS02090
OG0000012	DR088_RS03650	NB627_RS01310, NB627_RS02000
OG0000013	DR088_RS02380	NB627_RS02570
OG0000013	DR088_RS03910	NB627_RS00185
OG0000014	DR088_RS00785	NB627_RS01205
OG0000014	DR088_RS04355	NB627_RS00715
OG0000016	DR088_RS00255	NB627_RS03030
OG0000016	DR088_RS01355	NB627_RS00170
OG0000017	DR088_RS01370	NB627_RS00155
OG0000017	DR088_RS00265	NB627_RS03040
OG0000018	DR088_RS04550	NB627_RS01445, NB627_RS00490
OG0000019	DR088_RS04255	NB627_RS03210, NB627_RS03220, NB627_RS03230
OG0000020	DR088_RS04465	NB627_RS03755
OG0000020	DR088_RS04470	NB627_RS03760
OG0000021	DR088_RS00360	NB627_RS01905, NB627_RS00620, NB627_RS00615
OG0000022	DR088_RS02355	NB627_RS01790
OG0000022	DR088_RS04515	NB627_RS01845
OG0000023	DR088_RS02595	NB627_RS01440, NB627_RS00500
OG0000024	DR088_RS00160	NB627_RS02930
OG0000024	DR088_RS00975	NB627_RS01395
OG0000025	DR088_RS04520	NB627_RS01795
OG0000025	DR088_RS02305	NB627_RS01840
OG0000026	DR088_RS02640	NB627_RS01490
OG0000026	DR088_RS02325	NB627_RS01820
OG0000027	DR088_RS04450	NB627_RS03540
OG0000027	DR088_RS04500	NB627_RS03555
OG0000028	DR088_RS04565	NB627_RS02600, NB627_RS02595
OG0000029	DR088_RS01545	NB627_RS01200
OG0000029	DR088_RS00770	NB627_RS00720
OG0000030	DR088_RS04445	NB627_RS03530
OG0000030	DR088_RS04505	NB627_RS03550
OG0000031	DR088_RS03335	NB627_RS00445, NB627_RS01730
OG0000032	DR088_RS03370	NB627_RS01700
OG0000032	DR088_RS02280	NB627_RS03545
OG0000033	DR088_RS02375	NB627_RS02575, NB627_RS02590, NB627_RS02580
OG0000035	DR088_RS03395	NB627_RS03400
OG0000035	DR088_RS01530	NB627_RS03385
OG0000036	DR088_RS03305	NB627_RS00115
OG0000036	DR088_RS03325, DR088_RS04245	NB627_RS00130
OG0000037	DR088_RS03350	NB627_RS01720
OG0000037	DR088_RS03355	NB627_RS01705
OG0000038	DR088_RS01015	NB627_RS00605, NB627_RS01895
OG0000039	DR088_RS03410	NB627_RS01740
OG0000040	DR088_RS02000	NB627_RS03475
OG0000041	DR088_RS03850	NB627_RS00780, NB627_RS01300
OG0000042	DR088_RS03180	NB627_RS03125
OG0000043	DR088_RS00525	NB627_RS02055
OG0000044	DR088_RS04645	NB627_RS01805
OG0000044	DR088_RS00390	NB627_RS01925
OG0000045	DR088_RS03415	NB627_RS01745
OG0000046	DR088_RS03995	NB627_RS03480
OG0000048	DR088_RS00705	NB627_RS02245
OG0000049	DR088_RS01390	NB627_RS03240
OG0000050	DR088_RS02980	NB627_RS02630
OG0000051	DR088_RS00080	NB627_RS02845
OG0000052	DR088_RS01925	NB627_RS00075
OG0000053	DR088_RS04530	NB627_RS01580
OG0000054	DR088_RS03005	NB627_RS02655
OG0000055	DR088_RS03550	NB627_RS00135
OG0000056	DR088_RS02115	NB627_RS03735
OG0000057	DR088_RS00335	NB627_RS03110
OG0000060	DR088_RS03970	NB627_RS00080
OG0000061	DR088_RS00460	NB627_RS01995
OG0000062	DR088_RS01815	NB627_RS03790
OG0000063	DR088_RS01810	NB627_RS03785
OG0000064	DR088_RS01800	NB627_RS03775
OG0000065	DR088_RS02890	NB627_RS02410
OG0000066	DR088_RS02630	NB627_RS01480, NB627_RS01475
OG0000067	DR088_RS03390	NB627_RS00635
OG0000068	DR088_RS00735	NB627_RS00755
OG0000069	DR088_RS00230	NB627_RS03005
OG0000070	DR088_RS03010	NB627_RS02660
OG0000071	DR088_RS01990	NB627_RS03465
OG0000072	DR088_RS04430	NB627_RS03470
OG0000073	DR088_RS02825	NB627_RS00820
OG0000074	DR088_RS04395	NB627_RS01020
OG0000075	DR088_RS01175	NB627_RS00350
OG0000076	DR088_RS01160	NB627_RS00365, NB627_RS00370
OG0000077	DR088_RS01070	NB627_RS00550
OG0000078	DR088_RS02335	NB627_RS01810
OG0000079	DR088_RS03130	NB627_RS02745
OG0000080	DR088_RS03700	NB627_RS02795
OG0000081	DR088_RS01180	NB627_RS00340
OG0000083	DR088_RS00630	NB627_RS02160
OG0000084	DR088_RS00655	NB627_RS02190
OG0000085	DR088_RS00660	NB627_RS02195
OG0000086	DR088_RS00670	NB627_RS02210
OG0000087	DR088_RS00685	NB627_RS02225
OG0000088	DR088_RS00690	NB627_RS02230
OG0000089	DR088_RS00700	NB627_RS02240
OG0000090	DR088_RS01920	NB627_RS00070
OG0000091	DR088_RS01905	NB627_RS00055
OG0000092	DR088_RS01890	NB627_RS00050
OG0000093	DR088_RS01885	NB627_RS00035
OG0000094	DR088_RS01880	NB627_RS00030
OG0000095	DR088_RS01855	NB627_RS00005
OG0000096	DR088_RS01850	NB627_RS03825
OG0000097	DR088_RS01830	NB627_RS03805
OG0000098	DR088_RS01820	NB627_RS03795
OG0000099	DR088_RS04460	NB627_RS03745
OG0000100	DR088_RS02105	NB627_RS03725
OG0000101	DR088_RS02100	NB627_RS03720
OG0000102	DR088_RS02310	NB627_RS01835
