Orthogroup	MHP_F72C_protein	MHP_MHP709_protein
OG0000000	WP_146379632.1	WP_146379632.1
OG0000000	WP_146379608.1	WP_160587900.1
OG0000002	WP_225973006.1	WP_308507056.1
OG0000002	WP_225972984.1	WP_258555342.1
OG0000004	WP_225972989.1	WP_308507071.1
OG0000006	WP_146379526.1	WP_160587971.1
OG0000007	WP_146379517.1	WP_308507069.1
OG0000008	WP_020835887.1	WP_020835887.1
OG0000008	WP_020835883.1	WP_160588068.1
OG0000009	WP_146379651.1	WP_160588329.1
OG0000010	WP_225972991.1	WP_258555237.1
OG0000011	WP_146379709.1, WP_146379712.1	WP_160588348.1
OG0000013	WP_225972988.1	WP_225972988.1
OG0000014	WP_225972992.1	WP_228366104.1
OG0000014	WP_225973029.1	WP_225973029.1
OG0000015	WP_020835661.1	WP_020835661.1
OG0000015	WP_240536496.1	WP_308507101.1
OG0000016	WP_225972985.1	WP_160588215.1
OG0000017	WP_146379730.1	WP_160588344.1
OG0000017	WP_146379728.1	WP_160588066.1
OG0000018	WP_146379699.1	WP_160588323.1
OG0000019	WP_146379451.1	WP_160588334.1
OG0000019	WP_146379453.1	WP_160588338.1
OG0000020	WP_146379586.1, WP_146379713.1, WP_146379527.1	WP_160587805.1
OG0000022	WP_225972983.1	WP_258555343.1
OG0000023	WP_146379737.1	WP_160588136.1
OG0000024	WP_146379497.1	WP_011290021.1
OG0000025	WP_225973032.1	WP_225973032.1
OG0000026	WP_146379653.1	WP_160588301.1
OG0000027	WP_225972998.1	WP_220191127.1
OG0000029	WP_146379572.1	WP_160588346.1
OG0000030	WP_146379673.1	WP_160587825.1
OG0000031	WP_146379455.1	WP_146379455.1
OG0000032	WP_146379481.1	WP_160588009.1
OG0000033	WP_225973034.1	WP_225973034.1, WP_011206179.1
OG0000034	WP_146379656.1	WP_160588303.1
OG0000035	WP_146379578.1	WP_160588203.1
OG0000036	WP_041361671.1	WP_041361671.1
OG0000039	WP_146379601.1	WP_160587914.1
OG0000040	WP_146379595.1	WP_011206223.1
OG0000041	WP_192894283.1	WP_220191087.1
OG0000042	WP_146379765.1	WP_160588163.1
OG0000043	WP_146379762.1	WP_160585575.1
OG0000044	WP_146379583.1	WP_160588193.1
OG0000045	WP_011290219.1	WP_011290219.1
OG0000046	WP_011206103.1	WP_160587949.1
OG0000047	WP_225972996.1	WP_225972996.1
OG0000048	WP_146379688.1	WP_160587850.1
OG0000049	WP_011206373.1	WP_011284269.1
OG0000050	WP_146379657.1	WP_146379657.1
OG0000051	WP_044272532.1	WP_135619210.1
OG0000052	WP_044272529.1	WP_160588299.1
OG0000053	WP_094521497.1	WP_002557698.1
OG0000054	WP_146379716.1	WP_160588047.1
OG0000055	WP_146379721.1	WP_160588054.1
OG0000056	WP_146379735.1	WP_160585219.1
OG0000057	WP_011290028.1	WP_011290028.1
OG0000058	WP_146379512.1	WP_135618593.1
OG0000059	WP_044284596.1	WP_044284596.1
OG0000060	WP_011290055.1	WP_011290055.1
OG0000061	WP_011206035.1	WP_011206035.1
OG0000062	WP_146379532.1	WP_146379532.1
OG0000063	WP_146379774.1	WP_052259122.1
OG0000064	WP_146379458.1	WP_160588044.1
OG0000065	WP_146379474.1	WP_014579568.1
OG0000066	WP_146379479.1	WP_160588013.1
OG0000067	WP_146379752.1	WP_258555327.1
OG0000068	WP_146379748.1	WP_020835906.1
OG0000069	WP_146379658.1	WP_160588321.1
OG0000070	WP_146379663.1	WP_011206305.1
OG0000071	WP_146379686.1	WP_044272563.1
OG0000072	WP_146379745.1	WP_160588144.1
OG0000073	WP_192894279.1	WP_179695988.1
OG0000074	WP_146379697.1	WP_160587863.1
OG0000075	WP_146379547.1	WP_160588003.1
OG0000076	WP_192894285.1	WP_308507100.1
OG0000077	WP_225973010.1	WP_160588023.1
OG0000079	WP_225973041.1	WP_220191052.1
OG0000080	WP_146379600.1	WP_160587916.1
OG0000081	WP_146379599.1	WP_160587917.1
OG0000082	WP_146379598.1	WP_160587919.1
OG0000083	WP_146379596.1	WP_160587923.1
OG0000084	WP_011284142.1	WP_011284142.1
OG0000085	WP_146379594.1	WP_011206224.1
OG0000086	WP_146379593.1	WP_160587925.1
OG0000087	WP_225973040.1	WP_220190703.1
OG0000088	WP_020835732.1	WP_160587927.1
OG0000089	WP_146379590.1	WP_044272480.1
OG0000090	WP_011290212.1	WP_011206231.1
OG0000091	WP_146379447.1	WP_146379447.1
OG0000092	WP_094521535.1	WP_160588122.1
OG0000093	WP_011289935.1	WP_160588120.1
OG0000094	WP_020835487.1	WP_160588118.1
OG0000095	WP_011205849.1	WP_011205849.1
OG0000096	WP_146379445.1	WP_160588116.1
OG0000097	WP_011205847.1	WP_011205847.1
OG0000098	WP_020835484.1	WP_160588114.1
OG0000099	WP_014579519.1	WP_014579519.1
OG0000100	WP_146379443.1	WP_160588108.1
OG0000101	WP_146379442.1	WP_160588106.1
OG0000102	WP_044272251.1	WP_044272251.1
OG0000103	WP_011206529.1	WP_011206529.1
OG0000104	WP_146379772.1	WP_160588104.1
OG0000105	WP_146379771.1	WP_258555298.1
OG0000106	WP_146379770.1	WP_160588102.1
OG0000107	WP_146379769.1	WP_160588100.1
OG0000108	WP_011290443.1	WP_160588098.1
OG0000109	WP_146379768.1	WP_146379768.1
OG0000110	WP_011290440.1	WP_160588095.1
OG0000111	WP_011206510.1	WP_011206510.1
OG0000112	WP_225973035.1	WP_160588213.1
OG0000113	WP_146379580.1	WP_160588199.1
OG0000114	WP_146379581.1	WP_160588197.1
OG0000115	WP_146379627.1	WP_160588278.1
OG0000116	WP_011206239.1	WP_011206239.1
OG0000117	WP_146379628.1	WP_146379628.1
OG0000118	WP_146379630.1	WP_160588282.1
OG0000119	WP_014579831.1	WP_014579831.1
OG0000120	WP_146379631.1	WP_135618884.1
OG0000121	WP_011284169.1	WP_011284169.1
OG0000122	WP_192894278.1	WP_308507065.1
OG0000123	WP_146379648.1	WP_160585726.1
OG0000124	WP_225972982.1	WP_258555345.1
