Assembly	GCF_000008405.1_ASM840v1_genomic
# contigs (>= 0 bp)	1
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	1
Total length (>= 0 bp)	892758
Total length (>= 1000 bp)	892758
Total length (>= 5000 bp)	892758
Total length (>= 10000 bp)	892758
Total length (>= 25000 bp)	892758
Total length (>= 50000 bp)	892758
# contigs	1
Largest contig	892758
Total length	892758
GC (%)	28.56
N50	892758
N90	892758
auN	892758.0
L50	1
L90	1
# N's per 100 kbp	0.00
