#                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_QQRL01000001.1:58988-60784|+ -            599 501at2085            -            526  5.2e-249  822.7   9.2   1   1  7.1e-251  1.1e-248  821.7   9.2     1   526     1   594     1   594 0.93 NZ_QQRL01000001.1_50 # 58988 # 60784 # 1 # ID=15_50;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.342
NZ_QQRL01000001.1:62119-64203|- -            695 501at2085            -            526   7.2e-47  155.7   0.9   1   3   1.8e-36   2.6e-34  114.2   0.1     4   153     8   162     5   186 0.86 NZ_QQRL01000001.1_52 # 62119 # 64203 # -1 # ID=15_52;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.375
NZ_QQRL01000001.1:62119-64203|- -            695 501at2085            -            526   7.2e-47  155.7   0.9   2   3   8.3e-12   1.2e-09   32.8   0.0   171   339   302   485   291   498 0.68 NZ_QQRL01000001.1_52 # 62119 # 64203 # -1 # ID=15_52;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.375
NZ_QQRL01000001.1:62119-64203|- -            695 501at2085            -            526   7.2e-47  155.7   0.9   3   3    0.0026       0.4    4.7   0.0   350   411   607   675   595   691 0.78 NZ_QQRL01000001.1_52 # 62119 # 64203 # -1 # ID=15_52;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.375
NZ_QQRL01000007.1:16128-17927|+ -            600 501at2085            -            526   2.6e-19   64.7   2.9   1   3   1.7e-21   2.6e-19   64.7   2.9    10   196   117   308   115   321 0.77 NZ_QQRL01000007.1_15 # 16128 # 17927 # 1 # ID=80_15;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.353
NZ_QQRL01000007.1:16128-17927|+ -            600 501at2085            -            526   2.6e-19   64.7   2.9   2   3      0.56        85   -3.0   0.6   135   181   388   434   377   452 0.72 NZ_QQRL01000007.1_15 # 16128 # 17927 # 1 # ID=80_15;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.353
NZ_QQRL01000007.1:16128-17927|+ -            600 501at2085            -            526   2.6e-19   64.7   2.9   3   3      0.34        51   -2.2   0.0   382   408   480   506   460   516 0.80 NZ_QQRL01000007.1_15 # 16128 # 17927 # 1 # ID=80_15;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.353
NZ_QQRL01000005.1:11051-12259|- -            403 501at2085            -            526     2e-18   61.8   3.1   1   2   3.1e-20   4.6e-18   60.6   0.3     8   140    20   155    14   168 0.88 NZ_QQRL01000005.1_8 # 11051 # 12259 # -1 # ID=58_8;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.404
NZ_QQRL01000005.1:11051-12259|- -            403 501at2085            -            526     2e-18   61.8   3.1   2   2     0.023       3.5    1.6   0.2   161   256   205   309   194   325 0.67 NZ_QQRL01000005.1_8 # 11051 # 12259 # -1 # ID=58_8;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.404
NZ_QQRL01000001.1:57129-58430|+ -            434 501at2085            -            526   1.2e-12   42.7   0.5   1   2   3.1e-05    0.0046   11.1   0.1    62   180    45   170    35   173 0.76 NZ_QQRL01000001.1_47 # 57129 # 58430 # 1 # ID=15_47;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.293
NZ_QQRL01000001.1:57129-58430|+ -            434 501at2085            -            526   1.2e-12   42.7   0.5   2   2   6.5e-11   9.8e-09   29.8   0.1    78   168   238   340   214   363 0.81 NZ_QQRL01000001.1_47 # 57129 # 58430 # 1 # ID=15_47;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.293
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/MHP679/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/501at2085.hmm
# Target file:     /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/MHP679/Use/busco_draft/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/MHP679/Use/busco_draft/run_mycoplasmatales_odb10/hmmer_output/501at2085.out --cpu 1 /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/MHP679/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/501at2085.hmm /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/MHP679/Use/busco_draft/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/MHP679/Use
# Date:            Sun Dec  1 19:26:07 2024
# [ok]
