Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Mesomycoplasma hyopneumoniae J		strain: J	262719	ASM820v1	GCA_000008205.1	GenBank	Annotation submitted by LNCC - Laboratorio Nacional de Computacao Cientifica	Complete Genome	897405	897405	2005-08-05	720	PRJNA10675	SAMN02603526
Mesomycoplasma hyopneumoniae 7448		strain: 7448	262722	ASM822v1	GCA_000008225.1	GenBank	Annotation submitted by LNCC - Laboratorio Nacional de Computacao Cientifica	Complete Genome	920079	920079	2005-08-08	746	PRJNA10639	SAMN02603525
Mesomycoplasma hyopneumoniae 232		strain: 232	295358	ASM840v1	GCA_000008405.1	GenBank	Annotation submitted by Iowa State University	Complete Genome	892758	892758	2004-10-08	727	PRJNA13120	SAMN02603423
Mesomycoplasma hyopneumoniae 168		strain: 168	907287	ASM18318v1	GCA_000183185.1	GenBank	Annotation submitted by Huazhong Agricultural University	Complete Genome	925576	925576	2010-11-24	741	PRJNA53881	SAMN02603316
Mesomycoplasma hyopneumoniae 168-L		strain: 168-L	1116211	ASM40085v1	GCA_000400855.1	GenBank	Annotation submitted by Huazhong Agricultural University	Complete Genome	921093	921093	2013-05-22	726	PRJNA76853	SAMN02603324
Mesomycoplasma hyopneumoniae 7422		strain: 7422	754503	ASM42721v1	GCA_000427215.1	GenBank	Annotation submitted by Genesul	Complete Genome	898495	898495	2013-07-15	711	PRJNA47327	SAMN02603242
Mesomycoplasma hyopneumoniae		strain: 11	2099	ASM219301v1	GCA_002193015.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	131513	898117	2017-06-14	724	PRJNA378403	SAMN06545933
Mesomycoplasma hyopneumoniae		strain: TB1	2099	ASM221348v1	GCA_002213485.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	7512	909064	2017-06-30	821	PRJNA378902	SAMN06347105
Mesomycoplasma hyopneumoniae		strain: KM014	2099	ASM225750v1	GCA_002257505.1	GenBank	Annotation submitted by KBNP,INC.	Complete Genome	964503	964503	2017-08-16	935	PRJNA396462	SAMN07426830
Mesomycoplasma hyopneumoniae		strain: ES-2	2099	ASM476872v1	GCA_004768725.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	956514	956514	2019-04-10	768	PRJNA530402	SAMN11316568
Mesomycoplasma hyopneumoniae		strain: F7.2C	2099	ASM792398v1	GCA_007923985.1	GenBank	Annotation submitted by University of Bern	Complete Genome	894983	894983	2019-08-09	713	PRJNA506155	SAMN10449344
Mesomycoplasma hyopneumoniae		strain: MHP699	2099	ASM983185v1	GCA_009831855.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	37364	918878	2020-01-06	775	PRJNA478906	SAMN09533022
Mesomycoplasma hyopneumoniae		strain: MHP682	2099	ASM983189v1	GCA_009831895.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	29160	905968	2020-01-06	768	PRJNA478906	SAMN09533018
Mesomycoplasma hyopneumoniae		strain: MHP694	2099	ASM983190v1	GCA_009831905.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	37339	867508	2020-01-06	741	PRJNA478906	SAMN09533020
Mesomycoplasma hyopneumoniae		strain: MHP653	2099	ASM983194v1	GCA_009831945.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	29250	892502	2020-01-06	770	PRJNA478906	SAMN09533016
Mesomycoplasma hyopneumoniae		strain: MHP696	2099	ASM983203v1	GCA_009832035.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	37450	874552	2020-01-06	747	PRJNA478906	SAMN09533021
Mesomycoplasma hyopneumoniae		strain: MHP709	2099	ASM983207v1	GCA_009832075.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	36836	875793	2020-01-06	742	PRJNA478906	SAMN09533024
