Orthogroup	MHP_F72C_genes	MHP_1257_genes
OG0000000	EHI52_RS01825	ABKJ22_RS02210
OG0000000	EHI52_RS00960	ABKJ22_RS02265, ABKJ22_RS02260, ABKJ22_RS02255
OG0000000	EHI52_RS03755, EHI52_RS03780, EHI52_RS02325, EHI52_RS03815	ABKJ22_RS02090
OG0000000	EHI52_RS01775	ABKJ22_RS01715
OG0000001	EHI52_RS01345	ABKJ22_RS01300
OG0000001	EHI52_RS02740	ABKJ22_RS02685
OG0000002	EHI52_RS02215	ABKJ22_RS02205
OG0000002	EHI52_RS03740	ABKJ22_RS02250
OG0000002	EHI52_RS01780	ABKJ22_RS01720
OG0000003	EHI52_RS02140, EHI52_RS00520	ABKJ22_RS01780
OG0000003	EHI52_RS03720	ABKJ22_RS00770
OG0000003	EHI52_RS03760	ABKJ22_RS02215
OG0000003	EHI52_RS03670	ABKJ22_RS01825
OG0000004	EHI52_RS03210, EHI52_RS03215, EHI52_RS03225, EHI52_RS03010, EHI52_RS03045, EHI52_RS03025	ABKJ22_RS02940
OG0000005	EHI52_RS00100	ABKJ22_RS00095
OG0000005	EHI52_RS00120	ABKJ22_RS00115
OG0000005	EHI52_RS00105	ABKJ22_RS00100
OG0000005	EHI52_RS00110	ABKJ22_RS00105
OG0000005	EHI52_RS00125	ABKJ22_RS00120
OG0000006	EHI52_RS02330	ABKJ22_RS02280
OG0000007	EHI52_RS00935	ABKJ22_RS00765
OG0000007	EHI52_RS00980	ABKJ22_RS02220
OG0000007	EHI52_RS00985	ABKJ22_RS02225
OG0000007	EHI52_RS00995	ABKJ22_RS02230
OG0000008	EHI52_RS02320	ABKJ22_RS02100
OG0000008	EHI52_RS03775	ABKJ22_RS01635
OG0000008	EHI52_RS03830	ABKJ22_RS02455
OG0000009	EHI52_RS00085	ABKJ22_RS00085
OG0000009	EHI52_RS00680	ABKJ22_RS01020
OG0000010	EHI52_RS02085	ABKJ22_RS01835
OG0000011	EHI52_RS01985	ABKJ22_RS01925
OG0000011	EHI52_RS01990	ABKJ22_RS01920
OG0000012	EHI52_RS02210, EHI52_RS01810, EHI52_RS03060, EHI52_RS03535	ABKJ22_RS00425
OG0000012	EHI52_RS03635	ABKJ22_RS01200
OG0000013	EHI52_RS02410	ABKJ22_RS02355
OG0000013	EHI52_RS03710	ABKJ22_RS00180
OG0000014	EHI52_RS00615	ABKJ22_RS00595
OG0000014	EHI52_RS01155	ABKJ22_RS01105
OG0000016	EHI52_RS02830	ABKJ22_RS02785
OG0000016	EHI52_RS00170	ABKJ22_RS00165
OG0000017	EHI52_RS00155	ABKJ22_RS00150
OG0000017	EHI52_RS02840	ABKJ22_RS02795
OG0000019	EHI52_RS03855, EHI52_RS03865	ABKJ22_RS02945
OG0000020	EHI52_RS03550	ABKJ22_RS03435
OG0000020	EHI52_RS03555	ABKJ22_RS03440
OG0000021	EHI52_RS02195	ABKJ22_RS01740
OG0000021	EHI52_RS03715	ABKJ22_RS00510
OG0000022	EHI52_RS01715	ABKJ22_RS01655
OG0000022	EHI52_RS01770	ABKJ22_RS01710
OG0000023	EHI52_RS01380	ABKJ22_RS01335
OG0000024	EHI52_RS02735	ABKJ22_RS02680
OG0000024	EHI52_RS01335	ABKJ22_RS01290
OG0000025	EHI52_RS01720	ABKJ22_RS01660
OG0000025	EHI52_RS01765	ABKJ22_RS01705
OG0000026	EHI52_RS01425	ABKJ22_RS01380
OG0000026	EHI52_RS01745	ABKJ22_RS01685
OG0000027	EHI52_RS03355	ABKJ22_RS03225
OG0000028	EHI52_RS02420	ABKJ22_RS02365
OG0000029	EHI52_RS01150	ABKJ22_RS00600
OG0000029	EHI52_RS00620	ABKJ22_RS01090
OG0000030	EHI52_RS03350	ABKJ22_RS03215
OG0000031	EHI52_RS01660	ABKJ22_RS01605
OG0000032	EHI52_RS01630	ABKJ22_RS01585
OG0000033	EHI52_RS03820	ABKJ22_RS02360
OG0000035	EHI52_RS03205	ABKJ22_RS03095
OG0000036	EHI52_RS00115, EHI52_RS03705	ABKJ22_RS00110
OG0000036	EHI52_RS00130	ABKJ22_RS00125
OG0000037	EHI52_RS01640, EHI52_RS01645, EHI52_RS01635	ABKJ22_RS01590
OG0000038	EHI52_RS02145	ABKJ22_RS01775
OG0000039	EHI52_RS01675	ABKJ22_RS01615
OG0000040	EHI52_RS03295	ABKJ22_RS03165
OG0000041	EHI52_RS03655	ABKJ22_RS01030
OG0000042	EHI52_RS02930	ABKJ22_RS02880
OG0000043	EHI52_RS02020	ABKJ22_RS01890
OG0000044	EHI52_RS03910	ABKJ22_RS01670
OG0000045	EHI52_RS01680	ABKJ22_RS01620
OG0000048	EHI52_RS01840	ABKJ22_RS02075
OG0000049	EHI52_RS03065	ABKJ22_RS02955
