Orthogroup	MHP_F72C_genes	MHP_ES2L_genes
OG0000000	EHI52_RS00965	HZK19_RS03960, HZK19_RS02100
OG0000000	EHI52_RS00960	HZK19_RS02105
OG0000000	EHI52_RS03750	HZK19_RS03685
OG0000000	EHI52_RS03780	HZK19_RS03675
OG0000000	EHI52_RS02325	HZK19_RS02290
OG0000000	EHI52_RS03815	HZK19_RS03795
OG0000000	EHI52_RS01775	HZK19_RS01695
OG0000001	EHI52_RS02790	HZK19_RS02765
OG0000001	EHI52_RS02740	HZK19_RS03840
OG0000002	EHI52_RS03740	HZK19_RS02110
OG0000002	EHI52_RS01780	HZK19_RS01705
OG0000003	EHI52_RS02140, EHI52_RS00520	HZK19_RS01715
OG0000003	EHI52_RS03760	HZK19_RS02160
OG0000003	EHI52_RS03670	HZK19_RS01800
OG0000004	EHI52_RS03210	HZK19_RS03240
OG0000004	EHI52_RS03225	HZK19_RS03255
OG0000004	EHI52_RS03010	HZK19_RS02970
OG0000004	EHI52_RS03025	HZK19_RS02980
OG0000005	EHI52_RS00100	HZK19_RS00085
OG0000005	EHI52_RS00120	HZK19_RS00105
OG0000005	EHI52_RS00105	HZK19_RS00090
OG0000005	EHI52_RS00110	HZK19_RS00095
OG0000005	EHI52_RS00125	HZK19_RS00110
OG0000006	EHI52_RS02500	HZK19_RS02470
OG0000006	EHI52_RS03880	HZK19_RS03805
OG0000007	EHI52_RS00980	HZK19_RS02155
OG0000007	EHI52_RS00985	HZK19_RS02150
OG0000007	EHI52_RS00995	HZK19_RS02145
OG0000008	EHI52_RS02320	HZK19_RS03790
OG0000008	EHI52_RS03775	HZK19_RS03745
OG0000008	EHI52_RS03830	HZK19_RS03825
OG0000009	EHI52_RS00680	HZK19_RS00655
OG0000010	EHI52_RS02085	HZK19_RS01810
OG0000011	EHI52_RS01985	HZK19_RS03920
OG0000012	EHI52_RS02210, EHI52_RS01810, EHI52_RS03060, EHI52_RS03535	HZK19_RS03250
OG0000012	EHI52_RS03635	HZK19_RS01825
OG0000013	EHI52_RS02410	HZK19_RS02370
OG0000013	EHI52_RS03710	HZK19_RS03715
OG0000014	EHI52_RS00615	HZK19_RS00585
OG0000016	EHI52_RS02830	HZK19_RS02805
OG0000016	EHI52_RS00170	HZK19_RS00155
OG0000017	EHI52_RS00155	HZK19_RS00140
OG0000017	EHI52_RS02840	HZK19_RS02815
OG0000019	EHI52_RS03865	HZK19_RS03845
OG0000019	EHI52_RS03860	HZK19_RS03850
OG0000020	EHI52_RS03550	HZK19_RS03860
OG0000020	EHI52_RS03555	HZK19_RS03600
OG0000021	EHI52_RS02195	HZK19_RS01725
OG0000022	EHI52_RS01715	HZK19_RS01625
OG0000022	EHI52_RS01770	HZK19_RS01685
OG0000023	EHI52_RS01380	HZK19_RS01285
OG0000024	EHI52_RS02735	HZK19_RS02710
OG0000024	EHI52_RS01335	HZK19_RS01240
OG0000025	EHI52_RS01720	HZK19_RS01630
OG0000025	EHI52_RS01765	HZK19_RS01680
OG0000026	EHI52_RS01425	HZK19_RS01330
OG0000026	EHI52_RS01745	HZK19_RS01660
OG0000027	EHI52_RS03355	HZK19_RS03390
OG0000028	EHI52_RS02420	HZK19_RS02380
OG0000029	EHI52_RS01150	HZK19_RS01065
OG0000029	EHI52_RS00620	HZK19_RS00600
OG0000030	EHI52_RS03350	HZK19_RS03380
OG0000031	EHI52_RS01660	HZK19_RS01570
OG0000031	EHI52_RS01660	HZK19_RS03025
OG0000032	EHI52_RS01630	HZK19_RS01545
OG0000035	EHI52_RS03220	HZK19_RS03235
OG0000035	EHI52_RS03205	HZK19_RS03225
OG0000036	EHI52_RS00115, EHI52_RS03705	HZK19_RS00100
OG0000036	EHI52_RS00130	HZK19_RS03705, HZK19_RS03710
OG0000037	EHI52_RS01640	HZK19_RS01555
OG0000037	EHI52_RS01635	HZK19_RS01550
OG0000038	EHI52_RS02145, EHI52_RS03810	HZK19_RS01710
OG0000038	EHI52_RS00515	HZK19_RS03945
OG0000039	EHI52_RS01675	HZK19_RS01580
OG0000040	EHI52_RS03295	HZK19_RS03325
OG0000041	EHI52_RS03655	HZK19_RS01160
OG0000042	EHI52_RS02930	HZK19_RS02900
OG0000043	EHI52_RS02020	HZK19_RS01875
OG0000044	EHI52_RS03910	HZK19_RS03955
OG0000045	EHI52_RS01680	HZK19_RS01585
OG0000046	EHI52_RS03305	HZK19_RS03335
OG0000048	EHI52_RS01840	HZK19_RS02065
OG0000049	EHI52_RS03065	HZK19_RS02995
OG0000050	EHI52_RS02450	HZK19_RS02415
OG0000051	EHI52_RS02650	HZK19_RS02620
OG0000052	EHI52_RS00075	HZK19_RS00075
OG0000053	EHI52_RS01510	HZK19_RS01415
OG0000054	EHI52_RS02475	HZK19_RS02440
OG0000055	EHI52_RS00135	HZK19_RS00120
OG0000056	EHI52_RS03530	HZK19_RS03580
OG0000057	EHI52_RS02915	HZK19_RS02885
OG0000060	EHI52_RS00080	HZK19_RS00080
OG0000061	EHI52_RS02075	HZK19_RS01820
OG0000062	EHI52_RS03585	HZK19_RS03630
OG0000063	EHI52_RS03580	HZK19_RS03625
OG0000064	EHI52_RS03570	HZK19_RS03615
OG0000065	EHI52_RS02260	HZK19_RS02220
OG0000066	EHI52_RS01415	HZK19_RS01320
OG0000067	EHI52_RS00540	HZK19_RS00515
OG0000068	EHI52_RS00660	HZK19_RS00635
OG0000069	EHI52_RS02805	HZK19_RS02780
OG0000070	EHI52_RS02480	HZK19_RS02445
OG0000071	EHI52_RS03285	HZK19_RS03315
OG0000072	EHI52_RS03290	HZK19_RS03320
OG0000073	EHI52_RS00705	HZK19_RS00680
OG0000074	EHI52_RS00900	HZK19_RS00875
OG0000076	EHI52_RS00370	HZK19_RS00340
OG0000077	EHI52_RS00460	HZK19_RS00425
OG0000078	EHI52_RS01735	HZK19_RS01645
OG0000079	EHI52_RS02555	HZK19_RS02525
OG0000080	EHI52_RS03675	HZK19_RS02570
OG0000081	EHI52_RS00350	HZK19_RS00320
OG0000082	EHI52_RS02405	HZK19_RS02365
OG0000083	EHI52_RS01915	HZK19_RS01985
OG0000084	EHI52_RS01890	HZK19_RS02015
OG0000085	EHI52_RS01885	HZK19_RS02020
OG0000086	EHI52_RS01875	HZK19_RS02030
OG0000087	EHI52_RS01860	HZK19_RS02045
OG0000088	EHI52_RS01855	HZK19_RS02050
OG0000089	EHI52_RS01845	HZK19_RS02060
OG0000090	EHI52_RS00070	HZK19_RS00070
OG0000091	EHI52_RS00055	HZK19_RS00055
