Orthogroup	MHP_F72C_genes	MHP_Ue273_genes
OG0000000	EHI52_RS01825	VQY17_RS02200
OG0000000	EHI52_RS03780	VQY17_RS02325
OG0000000	EHI52_RS01775	VQY17_RS01775
OG0000001	EHI52_RS02790	VQY17_RS02775
OG0000001	EHI52_RS02745, EHI52_RS02740	VQY17_RS02730
OG0000002	EHI52_RS02215	VQY17_RS02210
OG0000002	EHI52_RS01780	VQY17_RS01780
OG0000003	EHI52_RS02140, EHI52_RS00520	VQY17_RS01865
OG0000003	EHI52_RS03720	VQY17_RS00940
OG0000003	EHI52_RS03670	VQY17_RS01910
OG0000004	EHI52_RS03210	VQY17_RS03185
OG0000004	EHI52_RS03215	VQY17_RS03190
OG0000004	EHI52_RS03010	VQY17_RS03025, VQY17_RS03005
OG0000005	EHI52_RS00100	VQY17_RS00100
OG0000005	EHI52_RS00120	VQY17_RS00120
OG0000005	EHI52_RS00105	VQY17_RS00105
OG0000005	EHI52_RS00110	VQY17_RS00110
OG0000005	EHI52_RS00125	VQY17_RS00125
OG0000006	EHI52_RS02500	VQY17_RS02495
OG0000006	EHI52_RS02365	VQY17_RS02360
OG0000007	EHI52_RS00935	VQY17_RS00945
OG0000007	EHI52_RS00945	VQY17_RS00960
OG0000008	EHI52_RS02320	VQY17_RS02320
OG0000008	EHI52_RS03830	VQY17_RS02500
OG0000009	EHI52_RS00085	VQY17_RS00085
OG0000009	EHI52_RS00680	VQY17_RS00680
OG0000010	EHI52_RS02085	VQY17_RS01920
OG0000011	EHI52_RS01985	VQY17_RS02025
OG0000011	EHI52_RS01990	VQY17_RS02020
OG0000012	EHI52_RS01160	VQY17_RS02130, VQY17_RS02980, VQY17_RS01725
OG0000012	EHI52_RS03635	VQY17_RS01935
OG0000013	EHI52_RS02410	VQY17_RS02405
OG0000013	EHI52_RS03710	VQY17_RS00185
OG0000014	EHI52_RS01155	VQY17_RS01120
OG0000016	EHI52_RS02830	VQY17_RS02820
OG0000016	EHI52_RS00170	VQY17_RS00170
OG0000017	EHI52_RS00155	VQY17_RS00155
OG0000017	EHI52_RS02840	VQY17_RS02830
OG0000018	EHI52_RS01385	VQY17_RS01340
OG0000019	EHI52_RS03855	VQY17_RS03000, VQY17_RS03010
OG0000019	EHI52_RS03865	VQY17_RS03030
OG0000019	EHI52_RS03860	VQY17_RS02990
OG0000020	EHI52_RS03550	VQY17_RS03550
OG0000020	EHI52_RS03555	VQY17_RS03555
OG0000021	EHI52_RS03715	VQY17_RS00510
OG0000022	EHI52_RS01715	VQY17_RS01695
OG0000022	EHI52_RS01770	VQY17_RS01765
OG0000023	EHI52_RS01380	VQY17_RS01335
OG0000024	EHI52_RS02735	VQY17_RS02725
OG0000024	EHI52_RS01335	VQY17_RS01295
OG0000025	EHI52_RS01720	VQY17_RS01700
OG0000025	EHI52_RS01765	VQY17_RS01755
OG0000026	EHI52_RS01425	VQY17_RS01380
OG0000026	EHI52_RS01745	VQY17_RS01735
