Orthogroup	MHP_F72C_genes	MHP_MHP653_genes
OG0000000	EHI52_RS01825	DR096_RS03590
OG0000000	EHI52_RS00965	DR096_RS03425
OG0000000	EHI52_RS00960	DR096_RS04410
OG0000000	EHI52_RS03750	DR096_RS04405
OG0000000	EHI52_RS02325	DR096_RS03550
OG0000000	EHI52_RS03815	DR096_RS04445
OG0000000	EHI52_RS01775	DR096_RS03340
OG0000001	EHI52_RS02790	DR096_RS01190
OG0000002	EHI52_RS02215	DR096_RS04275
OG0000002	EHI52_RS01820	DR096_RS02905
OG0000002	EHI52_RS03740	DR096_RS04810
OG0000002	EHI52_RS01780	DR096_RS04795
OG0000003	EHI52_RS02140, EHI52_RS00520	DR096_RS03690, DR096_RS03695
OG0000003	EHI52_RS03720	DR096_RS04710
OG0000003	EHI52_RS00975, EHI52_RS03760	DR096_RS04820
OG0000003	EHI52_RS03670	DR096_RS04825
OG0000004	EHI52_RS03045, EHI52_RS03025	DR096_RS00785
OG0000005	EHI52_RS00100	DR096_RS02575
OG0000005	EHI52_RS00120	DR096_RS04720
OG0000005	EHI52_RS00105	DR096_RS02565
OG0000005	EHI52_RS00110	DR096_RS02560
OG0000005	EHI52_RS00125	DR096_RS04715
OG0000007	EHI52_RS00935	DR096_RS02415
OG0000007	EHI52_RS00980	DR096_RS03505
OG0000007	EHI52_RS00945	DR096_RS04240
OG0000007	EHI52_RS00985	DR096_RS03510
OG0000007	EHI52_RS00995	DR096_RS00630
OG0000008	EHI52_RS03830	DR096_RS04360
OG0000009	EHI52_RS00085	DR096_RS02590
OG0000010	EHI52_RS02085	DR096_RS00395
OG0000011	EHI52_RS01985	DR096_RS00490
OG0000011	EHI52_RS01990	DR096_RS00485
OG0000012	EHI52_RS01810, EHI52_RS03060	DR096_RS03685
OG0000012	EHI52_RS03635	DR096_RS03785
OG0000013	EHI52_RS02410	DR096_RS04100
OG0000013	EHI52_RS03710	DR096_RS03875
OG0000014	EHI52_RS00615	DR096_RS03315
