Orthogroup	MHP_F72C_genes	MHP_116_genes
OG0000000	EHI52_RS01825	ABJ972_RS02145
OG0000000	EHI52_RS00965	ABJ972_RS02085
OG0000000	EHI52_RS00960	ABJ972_RS02100
OG0000000	EHI52_RS00970	ABJ972_RS02095
OG0000000	EHI52_RS03780	ABJ972_RS02080
OG0000000	EHI52_RS02325	ABJ972_RS02265
OG0000000	EHI52_RS03815	ABJ972_RS02270
OG0000000	EHI52_RS01775	ABJ972_RS01695
OG0000001	EHI52_RS01345	ABJ972_RS02720
OG0000001	EHI52_RS02745, EHI52_RS02740	ABJ972_RS02675
OG0000002	EHI52_RS02215	ABJ972_RS02150
OG0000002	EHI52_RS03740	ABJ972_RS02105
OG0000002	EHI52_RS01780	ABJ972_RS01715
OG0000003	EHI52_RS03670	ABJ972_RS01815
OG0000004	EHI52_RS03210	ABJ972_RS03105
OG0000004	EHI52_RS03215	ABJ972_RS03110
OG0000004	EHI52_RS03225	ABJ972_RS03120
OG0000005	EHI52_RS00100	ABJ972_RS00100
OG0000005	EHI52_RS00105	ABJ972_RS00105
OG0000005	EHI52_RS00110, EHI52_RS00125	ABJ972_RS00110
OG0000006	EHI52_RS02500	ABJ972_RS02440
OG0000006	EHI52_RS02330	ABJ972_RS02275
OG0000007	EHI52_RS00980	ABJ972_RS02135
OG0000007	EHI52_RS00985	ABJ972_RS02130
OG0000007	EHI52_RS00995	ABJ972_RS02125
OG0000008	EHI52_RS02320	ABJ972_RS02260
OG0000008	EHI52_RS03775	ABJ972_RS01615
OG0000008	EHI52_RS03830	ABJ972_RS02445
OG0000009	EHI52_RS00085	ABJ972_RS00085
OG0000009	EHI52_RS00680	ABJ972_RS00990, ABJ972_RS00995
OG0000010	EHI52_RS02085	ABJ972_RS01825
OG0000011	EHI52_RS01985	ABJ972_RS01915
OG0000011	EHI52_RS01990	ABJ972_RS01910
OG0000012	EHI52_RS01160	ABJ972_RS02160
OG0000012	EHI52_RS03635	ABJ972_RS01840
OG0000013	EHI52_RS02410	ABJ972_RS02350
OG0000013	EHI52_RS03710	ABJ972_RS00170
OG0000014	EHI52_RS00615	ABJ972_RS00580
OG0000014	EHI52_RS01155	ABJ972_RS01075
OG0000015	EHI52_RS01690	ABJ972_RS01610
OG0000016	EHI52_RS02830	ABJ972_RS02765
OG0000016	EHI52_RS00170	ABJ972_RS00155
OG0000017	EHI52_RS00155	ABJ972_RS00140
OG0000017	EHI52_RS02840	ABJ972_RS02775
OG0000018	EHI52_RS01385	ABJ972_RS01310
OG0000019	EHI52_RS03865	ABJ972_RS02935
OG0000019	EHI52_RS03860	ABJ972_RS02950
OG0000020	EHI52_RS03550	ABJ972_RS03450
OG0000020	EHI52_RS03555	ABJ972_RS03455
OG0000021	EHI52_RS02195	ABJ972_RS00490
OG0000021	EHI52_RS03715	ABJ972_RS00495
OG0000022	EHI52_RS01715	ABJ972_RS01635
OG0000022	EHI52_RS01770	ABJ972_RS01690
OG0000023	EHI52_RS01380	ABJ972_RS01305
OG0000024	EHI52_RS02735	ABJ972_RS02670
OG0000024	EHI52_RS01335	ABJ972_RS01260
OG0000025	EHI52_RS01720	ABJ972_RS01640
OG0000025	EHI52_RS01765	ABJ972_RS01685
OG0000026	EHI52_RS01425	ABJ972_RS01350
OG0000026	EHI52_RS01745	ABJ972_RS01665
OG0000027	EHI52_RS03355	ABJ972_RS03260
OG0000028	EHI52_RS02420	ABJ972_RS02360
OG0000029	EHI52_RS01150	ABJ972_RS00585
OG0000029	EHI52_RS00620	ABJ972_RS01060
OG0000030	EHI52_RS03350	ABJ972_RS03245
OG0000031	EHI52_RS01660	ABJ972_RS01580
OG0000032	EHI52_RS01630	ABJ972_RS01555
OG0000033	EHI52_RS03820	ABJ972_RS02355
OG0000035	EHI52_RS03220	ABJ972_RS03115
