Orthogroup	MHP_F72C_genes	MHP_7448_genes
OG0000000	EHI52_RS01825	MHP7448_RS02135
OG0000000	EHI52_RS03755	MHP7448_RS03990
OG0000000	EHI52_RS02325	MHP7448_RS02245
OG0000000	EHI52_RS03815	MHP7448_RS03825
OG0000000	EHI52_RS01775	MHP7448_RS01740
OG0000001	EHI52_RS02790	MHP7448_RS02820
OG0000001	EHI52_RS02740	MHP7448_RS04045
OG0000002	EHI52_RS02215	MHP7448_RS03995
OG0000002	EHI52_RS01780	MHP7448_RS01745
OG0000003	EHI52_RS02140	MHP7448_RS01830
OG0000003	EHI52_RS00520	MHP7448_RS01785, MHP7448_RS00505
OG0000003	EHI52_RS03720, EHI52_RS03725, EHI52_RS00975, EHI52_RS03760, EHI52_RS03670	MHP7448_RS03870
OG0000004	EHI52_RS03210	MHP7448_RS03230
OG0000004	EHI52_RS03215	MHP7448_RS03235
OG0000004	EHI52_RS03225	MHP7448_RS03245
OG0000004	EHI52_RS03045, EHI52_RS03025	MHP7448_RS03035
OG0000005	EHI52_RS00100	MHP7448_RS00100
OG0000005	EHI52_RS00120	MHP7448_RS00120
OG0000005	EHI52_RS00105	MHP7448_RS00105
OG0000005	EHI52_RS00110	MHP7448_RS00110
OG0000005	EHI52_RS00125	MHP7448_RS00125
OG0000006	EHI52_RS03880	MHP7448_RS02380
OG0000006	EHI52_RS02330	MHP7448_RS02255
OG0000008	EHI52_RS02320	MHP7448_RS02240
OG0000008	EHI52_RS03775	MHP7448_RS01665
OG0000008	EHI52_RS03830	MHP7448_RS04030
OG0000009	EHI52_RS00085	MHP7448_RS00085
OG0000009	EHI52_RS00680	MHP7448_RS00690
OG0000010	EHI52_RS02085	MHP7448_RS01885
OG0000011	EHI52_RS01985	MHP7448_RS01970
OG0000011	EHI52_RS01990	MHP7448_RS01965
OG0000012	EHI52_RS01160	MHP7448_RS01780, MHP7448_RS03630
OG0000012	EHI52_RS02210	MHP7448_RS03435
OG0000012	EHI52_RS01810, EHI52_RS03060	MHP7448_RS02690
OG0000012	EHI52_RS03635	MHP7448_RS03880
OG0000013	EHI52_RS02410	MHP7448_RS02430
OG0000013	EHI52_RS03710	MHP7448_RS03945
OG0000014	EHI52_RS01155	MHP7448_RS01090
OG0000016	EHI52_RS02830	MHP7448_RS02865
OG0000016	EHI52_RS00170	MHP7448_RS00170
OG0000017	EHI52_RS00155	MHP7448_RS00155
OG0000017	EHI52_RS02840	MHP7448_RS02875
OG0000019	EHI52_RS03855, EHI52_RS03865	MHP7448_RS03045
OG0000019	EHI52_RS03860	MHP7448_RS03040
OG0000020	EHI52_RS03550	MHP7448_RS03580
OG0000020	EHI52_RS03555	MHP7448_RS03585
OG0000021	EHI52_RS03715	MHP7448_RS03950
OG0000022	EHI52_RS01715	MHP7448_RS01680
OG0000022	EHI52_RS01770	MHP7448_RS01730
OG0000024	EHI52_RS02735	MHP7448_RS02765
OG0000024	EHI52_RS01335	MHP7448_RS01290
OG0000025	EHI52_RS01720	MHP7448_RS01685
OG0000025	EHI52_RS01765	MHP7448_RS01725
OG0000026	EHI52_RS01425	MHP7448_RS01380
OG0000026	EHI52_RS01745	MHP7448_RS01705
OG0000027	EHI52_RS03355	MHP7448_RS03845
OG0000028	EHI52_RS02420	MHP7448_RS02440
OG0000029	EHI52_RS01150	MHP7448_RS01085
OG0000029	EHI52_RS00620	MHP7448_RS00610
OG0000030	EHI52_RS03350	MHP7448_RS03370
OG0000031	EHI52_RS01660	MHP7448_RS01620
OG0000031	EHI52_RS01660	MHP7448_RS02310
OG0000032	EHI52_RS01630	MHP7448_RS01595
OG0000033	EHI52_RS03820	MHP7448_RS02435
OG0000035	EHI52_RS03220	MHP7448_RS03240
OG0000035	EHI52_RS03205	MHP7448_RS03225
OG0000036	EHI52_RS00115, EHI52_RS03705	MHP7448_RS00115
OG0000036	EHI52_RS00130	MHP7448_RS00130
OG0000037	EHI52_RS01640	MHP7448_RS03725
OG0000037	EHI52_RS01635	MHP7448_RS03970
OG0000038	EHI52_RS02145	MHP7448_RS01825
OG0000038	EHI52_RS00515	MHP7448_RS00500
OG0000039	EHI52_RS01675	MHP7448_RS01635
OG0000040	EHI52_RS03295	MHP7448_RS03315
OG0000041	EHI52_RS03655	MHP7448_RS00680, MHP7448_RS01195
OG0000043	EHI52_RS02020	MHP7448_RS01935
OG0000043	EHI52_RS02020	MHP7448_RS02315
OG0000044	EHI52_RS03910	MHP7448_RS04120
OG0000045	EHI52_RS01680	MHP7448_RS01640
OG0000046	EHI52_RS03305	MHP7448_RS03325
OG0000048	EHI52_RS01840	MHP7448_RS02115
OG0000049	EHI52_RS03065	MHP7448_RS03085
OG0000050	EHI52_RS02450	MHP7448_RS02470
OG0000051	EHI52_RS02650	MHP7448_RS02675
OG0000052	EHI52_RS00075	MHP7448_RS00075
OG0000053	EHI52_RS01510	MHP7448_RS01465
OG0000054	EHI52_RS02475	MHP7448_RS02495
OG0000055	EHI52_RS00135	MHP7448_RS00135
OG0000056	EHI52_RS03530	MHP7448_RS03565
OG0000057	EHI52_RS02915	MHP7448_RS02950
OG0000060	EHI52_RS00080	MHP7448_RS00080
OG0000062	EHI52_RS03585	MHP7448_RS03615
OG0000063	EHI52_RS03580	MHP7448_RS03610
OG0000064	EHI52_RS03570	MHP7448_RS03600
OG0000065	EHI52_RS02260	MHP7448_RS02180
OG0000066	EHI52_RS01415	MHP7448_RS01370
OG0000067	EHI52_RS00540	MHP7448_RS00525
OG0000068	EHI52_RS00660	MHP7448_RS00655
OG0000069	EHI52_RS02805	MHP7448_RS02835
OG0000070	EHI52_RS02480	MHP7448_RS02500
OG0000071	EHI52_RS03285	MHP7448_RS03305
OG0000072	EHI52_RS03290	MHP7448_RS03310
OG0000073	EHI52_RS00705	MHP7448_RS00715
OG0000074	EHI52_RS00900	MHP7448_RS03660
OG0000075	EHI52_RS00355	MHP7448_RS00340
OG0000076	EHI52_RS00370	MHP7448_RS00355
OG0000077	EHI52_RS00460	MHP7448_RS00445
OG0000078	EHI52_RS01735	MHP7448_RS01695
OG0000079	EHI52_RS02555	MHP7448_RS02580
OG0000080	EHI52_RS03675	MHP7448_RS03915
OG0000081	EHI52_RS00350	MHP7448_RS00335
OG0000082	EHI52_RS02405	MHP7448_RS02425
OG0000083	EHI52_RS01915	MHP7448_RS02040
OG0000084	EHI52_RS01890	MHP7448_RS02065
OG0000085	EHI52_RS01885	MHP7448_RS02070
OG0000086	EHI52_RS01875	MHP7448_RS02080
OG0000087	EHI52_RS01860	MHP7448_RS02095
OG0000088	EHI52_RS01855	MHP7448_RS02100
OG0000089	EHI52_RS01845	MHP7448_RS02110
OG0000090	EHI52_RS00070	MHP7448_RS00070
OG0000091	EHI52_RS00055	MHP7448_RS00055
OG0000092	EHI52_RS00040	MHP7448_RS00040
OG0000093	EHI52_RS00035	MHP7448_RS00035
OG0000094	EHI52_RS00030	MHP7448_RS00030
OG0000095	EHI52_RS00005	MHP7448_RS00005
OG0000096	EHI52_RS03620	MHP7448_RS03655
OG0000097	EHI52_RS03600	MHP7448_RS03635
OG0000098	EHI52_RS03590	MHP7448_RS03620
OG0000099	EHI52_RS03540	MHP7448_RS03570
OG0000100	EHI52_RS03520	MHP7448_RS03555
OG0000101	EHI52_RS03515	MHP7448_RS03550
OG0000102	EHI52_RS01760	MHP7448_RS01720
OG0000103	EHI52_RS02225	MHP7448_RS02145
OG0000104	EHI52_RS02230	MHP7448_RS02150
OG0000105	EHI52_RS02245	MHP7448_RS02165
OG0000106	EHI52_RS02255	MHP7448_RS02175
OG0000107	EHI52_RS02265	MHP7448_RS02185
OG0000108	EHI52_RS02270	MHP7448_RS02190
OG0000109	EHI52_RS02275	MHP7448_RS02195
OG0000110	EHI52_RS02395	MHP7448_RS02410
OG0000111	EHI52_RS02390	MHP7448_RS02405
OG0000112	EHI52_RS02380	MHP7448_RS02395
OG0000113	EHI52_RS02360	MHP7448_RS02375
OG0000114	EHI52_RS02350	MHP7448_RS02365
OG0000115	EHI52_RS02335	MHP7448_RS02355
OG0000116	EHI52_RS01360	MHP7448_RS01315
OG0000117	EHI52_RS01365	MHP7448_RS01320
OG0000118	EHI52_RS01400	MHP7448_RS01355
OG0000119	EHI52_RS01405	MHP7448_RS01360
OG0000120	EHI52_RS01420	MHP7448_RS01375
OG0000121	EHI52_RS01445	MHP7448_RS01400
OG0000122	EHI52_RS01450	MHP7448_RS01405
OG0000123	EHI52_RS01470	MHP7448_RS01425
OG0000124	EHI52_RS01475	MHP7448_RS01430
OG0000125	EHI52_RS01480	MHP7448_RS01435
OG0000126	EHI52_RS01490	MHP7448_RS01445
OG0000127	EHI52_RS01500	MHP7448_RS01455
OG0000128	EHI52_RS01515	MHP7448_RS01470
OG0000129	EHI52_RS01520	MHP7448_RS01475
OG0000130	EHI52_RS01530	MHP7448_RS01485
OG0000131	EHI52_RS01560	MHP7448_RS01515
OG0000132	EHI52_RS01575	MHP7448_RS01530
OG0000133	EHI52_RS00545	MHP7448_RS00530
OG0000134	EHI52_RS00550	MHP7448_RS00535
OG0000135	EHI52_RS00565	MHP7448_RS00550
OG0000136	EHI52_RS00570	MHP7448_RS00555
OG0000137	EHI52_RS00600	MHP7448_RS00590
OG0000138	EHI52_RS00635	MHP7448_RS00630
OG0000139	EHI52_RS00665	MHP7448_RS00660
OG0000140	EHI52_RS00670	MHP7448_RS00665
OG0000141	EHI52_RS02925	MHP7448_RS02960
OG0000142	EHI52_RS02920	MHP7448_RS02955
OG0000143	EHI52_RS02895	MHP7448_RS02930
OG0000144	EHI52_RS02885	MHP7448_RS02920
OG0000145	EHI52_RS02875	MHP7448_RS02910
OG0000146	EHI52_RS02865	MHP7448_RS02900
OG0000147	EHI52_RS02860	MHP7448_RS02895
OG0000148	EHI52_RS02845	MHP7448_RS02880
OG0000149	EHI52_RS02835	MHP7448_RS02870
OG0000150	EHI52_RS02820	MHP7448_RS02850
OG0000151	EHI52_RS02775	MHP7448_RS02805
OG0000152	EHI52_RS02770	MHP7448_RS02800
OG0000153	EHI52_RS02765	MHP7448_RS02795
OG0000154	EHI52_RS02755	MHP7448_RS02785
OG0000155	EHI52_RS02715	MHP7448_RS02745
OG0000156	EHI52_RS02705	MHP7448_RS02735
OG0000157	EHI52_RS02700	MHP7448_RS02730
OG0000158	EHI52_RS03885	MHP7448_RS04110
