Orthogroup	MHP_F72C_genes	MHP_NCTC10127_genes
OG0000000	EHI52_RS01825	EXC50_RS01055
OG0000000	EHI52_RS02325	EXC50_RS01165
OG0000000	EHI52_RS03815	EXC50_RS01170
OG0000000	EHI52_RS01775	EXC50_RS00675
OG0000001	EHI52_RS02790	EXC50_RS01640
OG0000001	EHI52_RS02740	EXC50_RS01590
OG0000002	EHI52_RS02215	EXC50_RS04010
OG0000002	EHI52_RS01780	EXC50_RS00680
OG0000004	EHI52_RS03210	EXC50_RS02030
OG0000004	EHI52_RS03225	EXC50_RS02050
OG0000004	EHI52_RS03045, EHI52_RS03025	EXC50_RS01865
OG0000005	EHI52_RS00100	EXC50_RS00100
OG0000005	EHI52_RS00120	EXC50_RS00120
OG0000005	EHI52_RS00105	EXC50_RS00105
OG0000005	EHI52_RS00110	EXC50_RS00110
OG0000005	EHI52_RS00125	EXC50_RS00125
OG0000006	EHI52_RS03880	EXC50_RS01210
OG0000008	EHI52_RS02320	EXC50_RS01160, EXC50_RS04015
OG0000008	EHI52_RS03775	EXC50_RS00595
OG0000008	EHI52_RS03830	EXC50_RS04030
OG0000009	EHI52_RS00085	EXC50_RS00085
OG0000009	EHI52_RS00680	EXC50_RS03405
OG0000010	EHI52_RS02085	EXC50_RS00795
OG0000011	EHI52_RS01985	EXC50_RS00895
OG0000011	EHI52_RS01990	EXC50_RS00890
OG0000012	EHI52_RS01160, EHI52_RS02210, EHI52_RS01810, EHI52_RS03060, EHI52_RS03535, EHI52_RS03635	EXC50_RS01855
OG0000013	EHI52_RS02410	EXC50_RS01255
OG0000013	EHI52_RS03710	EXC50_RS03965
OG0000014	EHI52_RS00615	EXC50_RS04120
OG0000014	EHI52_RS01155	EXC50_RS03000
OG0000016	EHI52_RS02830	EXC50_RS01680
OG0000016	EHI52_RS00170	EXC50_RS00170
OG0000017	EHI52_RS00155	EXC50_RS00155
OG0000017	EHI52_RS02840	EXC50_RS01690
OG0000019	EHI52_RS03855	EXC50_RS04060
OG0000020	EHI52_RS03550	EXC50_RS02390
