Orthogroup	MHP_F72C_genes	MHP_131B_genes
OG0000000	EHI52_RS01825	NB627_RS02355
OG0000000	EHI52_RS00960	NB627_RS02285, NB627_RS02265
OG0000000	EHI52_RS03755	NB627_RS02350
OG0000000	EHI52_RS03780	NB627_RS02260
OG0000000	EHI52_RS02325	NB627_RS02480
OG0000000	EHI52_RS03815	NB627_RS02485
OG0000000	EHI52_RS01775	NB627_RS01860
OG0000001	EHI52_RS01345	NB627_RS02985
OG0000001	EHI52_RS02745, EHI52_RS02740	NB627_RS02935
OG0000002	EHI52_RS02215	NB627_RS02365
OG0000002	EHI52_RS01820	NB627_RS02360
OG0000002	EHI52_RS03740	NB627_RS02290
OG0000002	EHI52_RS01780	NB627_RS01865
OG0000003	EHI52_RS03720	NB627_RS02330
OG0000003	EHI52_RS03670	NB627_RS01980
OG0000004	EHI52_RS03210	NB627_RS03390
OG0000004	EHI52_RS03215	NB627_RS03395
OG0000004	EHI52_RS03225	NB627_RS03405
OG0000004	EHI52_RS03010	NB627_RS03205
OG0000005	EHI52_RS00100	NB627_RS00100
OG0000005	EHI52_RS00120	NB627_RS00120
OG0000005	EHI52_RS00105	NB627_RS00110
OG0000005	EHI52_RS00125	NB627_RS00125
OG0000006	EHI52_RS02500	NB627_RS02685, NB627_RS02690
OG0000006	EHI52_RS02365	NB627_RS02525
OG0000006	EHI52_RS03880	NB627_RS02520
OG0000007	EHI52_RS00935	NB627_RS02335
OG0000007	EHI52_RS00980	NB627_RS02345
OG0000007	EHI52_RS00985	NB627_RS02325
OG0000008	EHI52_RS02320	NB627_RS02475
OG0000008	EHI52_RS03775	NB627_RS01765
OG0000008	EHI52_RS03830	NB627_RS02695
OG0000009	EHI52_RS00085	NB627_RS00085
OG0000009	EHI52_RS00680	NB627_RS00790
OG0000010	EHI52_RS02085	NB627_RS01985
OG0000011	EHI52_RS01990	NB627_RS02090
OG0000012	EHI52_RS03635	NB627_RS02000
OG0000013	EHI52_RS02410	NB627_RS02570
OG0000013	EHI52_RS03710	NB627_RS00185
OG0000014	EHI52_RS00615	NB627_RS00705
OG0000014	EHI52_RS01155	NB627_RS01205
OG0000015	EHI52_RS01625	NB627_RS01695
OG0000016	EHI52_RS02830	NB627_RS03030
OG0000016	EHI52_RS00170	NB627_RS00170
OG0000017	EHI52_RS00155	NB627_RS00155
OG0000017	EHI52_RS02840	NB627_RS03040
OG0000018	EHI52_RS01385	NB627_RS01445
OG0000019	EHI52_RS03855	NB627_RS03210, NB627_RS03220
OG0000019	EHI52_RS03860	NB627_RS03230
OG0000020	EHI52_RS03550	NB627_RS03755
OG0000020	EHI52_RS03555	NB627_RS03760
OG0000021	EHI52_RS02195	NB627_RS00615
OG0000022	EHI52_RS01715	NB627_RS01790
OG0000022	EHI52_RS01770	NB627_RS01845
OG0000023	EHI52_RS01380	NB627_RS01440
OG0000024	EHI52_RS02735	NB627_RS02930
OG0000024	EHI52_RS01335	NB627_RS01395
OG0000025	EHI52_RS01720	NB627_RS01795
OG0000025	EHI52_RS01765	NB627_RS01840
OG0000026	EHI52_RS01425	NB627_RS01490
OG0000026	EHI52_RS01745	NB627_RS01820
OG0000027	EHI52_RS03355	NB627_RS03540
OG0000028	EHI52_RS02420	NB627_RS02600, NB627_RS02595
OG0000029	EHI52_RS01150	NB627_RS01200
OG0000029	EHI52_RS00620	NB627_RS00720
