Orthogroup	MHP_F72C_genes	MFC_MF22_genes
OG0000000	EHI52_RS01825	DR094_RS03000
OG0000000	EHI52_RS00960	DR094_RS02820
OG0000000	EHI52_RS00970	DR094_RS02970
OG0000001	EHI52_RS01345, EHI52_RS02790, EHI52_RS02745, EHI52_RS02740	DR094_RS00325, DR094_RS00330
OG0000002	EHI52_RS01820	DR094_RS02550
OG0000002	EHI52_RS03740	DR094_RS03815
OG0000002	EHI52_RS01780	DR094_RS03610
OG0000003	EHI52_RS03760	DR094_RS03820
OG0000004	EHI52_RS03045, EHI52_RS03025	DR094_RS01820
OG0000007	EHI52_RS00980	DR094_RS02850
OG0000007	EHI52_RS00985	DR094_RS02845
OG0000007	EHI52_RS00995	DR094_RS02840
OG0000011	EHI52_RS01985	DR094_RS03520
OG0000011	EHI52_RS01990	DR094_RS02895
OG0000013	EHI52_RS02410	DR094_RS00075, DR094_RS00080
OG0000013	EHI52_RS03710	DR094_RS03050
OG0000014	EHI52_RS00615, EHI52_RS01155	DR094_RS03555
OG0000016	EHI52_RS02830	DR094_RS00380
OG0000017	EHI52_RS00155	DR094_RS00975
OG0000017	EHI52_RS02840	DR094_RS00390
OG0000020	EHI52_RS03550	DR094_RS03600
OG0000020	EHI52_RS03555	DR094_RS03595
OG0000022	EHI52_RS01770	DR094_RS03605
OG0000023	EHI52_RS01380	DR094_RS02170
OG0000024	EHI52_RS02735, EHI52_RS01335	DR094_RS00320
OG0000025	EHI52_RS01765	DR094_RS01205
OG0000026	EHI52_RS01425, EHI52_RS01745	DR094_RS02215
OG0000027	EHI52_RS03355	DR094_RS01395
OG0000029	EHI52_RS01150, EHI52_RS00620	DR094_RS00545
OG0000030	EHI52_RS03350	DR094_RS03655
OG0000031	EHI52_RS01660	DR094_RS02590
OG0000032	EHI52_RS01630	DR094_RS01390
OG0000033	EHI52_RS03825	DR094_RS00055
OG0000039	EHI52_RS01675	DR094_RS00485
OG0000040	EHI52_RS03295	DR094_RS02025, DR094_RS00270
OG0000042	EHI52_RS02930	DR094_RS00490, DR094_RS00345
OG0000043	EHI52_RS02020	DR094_RS02615
OG0000045	EHI52_RS01680	DR094_RS03140, DR094_RS03135
OG0000048	EHI52_RS01840	DR094_RS02695, DR094_RS02985
OG0000049	EHI52_RS03065	DR094_RS03355
OG0000050	EHI52_RS02450	DR094_RS03765
OG0000051	EHI52_RS02650	DR094_RS01715
OG0000052	EHI52_RS00075	DR094_RS01015
OG0000053	EHI52_RS01510	DR094_RS03805
OG0000054	EHI52_RS02475	DR094_RS00030
OG0000055	EHI52_RS00135	DR094_RS03580, DR094_RS03850
OG0000056	EHI52_RS03530	DR094_RS01180
OG0000057	EHI52_RS02915	DR094_RS00465
OG0000062	EHI52_RS03585	DR094_RS01125
OG0000063	EHI52_RS03580	DR094_RS03590
OG0000064	EHI52_RS03570	DR094_RS01140
OG0000065	EHI52_RS02260	DR094_RS02075
OG0000066	EHI52_RS01415	DR094_RS02205
OG0000068	EHI52_RS00660	DR094_RS00510
OG0000069	EHI52_RS02805	DR094_RS00355
OG0000070	EHI52_RS02480	DR094_RS00050
OG0000071	EHI52_RS03285	DR094_RS02015
OG0000072	EHI52_RS03290	DR094_RS03725
OG0000073	EHI52_RS00705	DR094_RS02425
OG0000074	EHI52_RS00900	DR094_RS03685
OG0000076	EHI52_RS00370	DR094_RS00775
OG0000077	EHI52_RS00460	DR094_RS00690
OG0000078	EHI52_RS01735	DR094_RS00235
OG0000079	EHI52_RS02555	DR094_RS00130
OG0000080	EHI52_RS03675	DR094_RS03080
OG0000081	EHI52_RS00350	DR094_RS00795
OG0000082	EHI52_RS02405	DR094_RS00070
OG0000083	EHI52_RS01915	DR094_RS02715
OG0000084	EHI52_RS01890	DR094_RS02645
OG0000085	EHI52_RS01885	DR094_RS02650
OG0000086	EHI52_RS01875	DR094_RS03780
OG0000087	EHI52_RS01860	DR094_RS02675
OG0000088	EHI52_RS01855	DR094_RS02680
OG0000089	EHI52_RS01845	DR094_RS02690
OG0000090	EHI52_RS00070	DR094_RS01020
OG0000091	EHI52_RS00055	DR094_RS01035
OG0000092	EHI52_RS00040	DR094_RS01050
OG0000093	EHI52_RS00035	DR094_RS01055
OG0000094	EHI52_RS00030	DR094_RS01060
OG0000095	EHI52_RS00005	DR094_RS01085
OG0000096	EHI52_RS03620	DR094_RS01090
OG0000097	EHI52_RS03600	DR094_RS01110
OG0000098	EHI52_RS03590	DR094_RS01120
OG0000099	EHI52_RS03540	DR094_RS01175
OG0000100	EHI52_RS03520	DR094_RS01185
OG0000101	EHI52_RS03515	DR094_RS01190
OG0000102	EHI52_RS01760	DR094_RS01200
OG0000103	EHI52_RS02225	DR094_RS02040
OG0000104	EHI52_RS02230	DR094_RS02045
OG0000105	EHI52_RS02245	DR094_RS02060
OG0000106	EHI52_RS02255	DR094_RS02070
OG0000107	EHI52_RS02265	DR094_RS02080
OG0000108	EHI52_RS02270	DR094_RS02085
OG0000109	EHI52_RS02275	DR094_RS02090
OG0000110	EHI52_RS02395	DR094_RS02095
OG0000111	EHI52_RS02390	DR094_RS02100
OG0000112	EHI52_RS02380	DR094_RS02110
OG0000113	EHI52_RS02360	DR094_RS03730
OG0000114	EHI52_RS02350	DR094_RS02135
OG0000115	EHI52_RS02335	DR094_RS02145
OG0000116	EHI52_RS01360	DR094_RS02155
OG0000117	EHI52_RS01365	DR094_RS02160
OG0000118	EHI52_RS01400	DR094_RS02190
OG0000119	EHI52_RS01405	DR094_RS02195
OG0000120	EHI52_RS01420	DR094_RS02210
OG0000121	EHI52_RS01445	DR094_RS02235
OG0000122	EHI52_RS01450	DR094_RS02240
OG0000123	EHI52_RS01470	DR094_RS02260
OG0000124	EHI52_RS01475	DR094_RS02265
OG0000125	EHI52_RS01480	DR094_RS02270
