Orthogroup	MHP_F72C_genes	MFC_MF33_genes
OG0000000	EHI52_RS01825	DR085_RS03035
OG0000000	EHI52_RS00960	DR085_RS02920
OG0000000	EHI52_RS00970	DR085_RS03040
OG0000001	EHI52_RS01345, EHI52_RS02790, EHI52_RS02745, EHI52_RS02740	DR085_RS03235
OG0000002	EHI52_RS03740	DR085_RS03895
OG0000002	EHI52_RS01780	DR085_RS03805
OG0000003	EHI52_RS03760	DR085_RS03550
OG0000004	EHI52_RS03210, EHI52_RS03215, EHI52_RS03225, EHI52_RS03010, EHI52_RS03045, EHI52_RS03025	DR085_RS01395
OG0000007	EHI52_RS00980	DR085_RS02890
OG0000007	EHI52_RS00985	DR085_RS02895
OG0000007	EHI52_RS00995	DR085_RS03890
OG0000008	EHI52_RS03775	DR085_RS03145
OG0000011	EHI52_RS01985	DR085_RS03875, DR085_RS02795
OG0000011	EHI52_RS01990	DR085_RS02805
OG0000013	EHI52_RS02410	DR085_RS00915, DR085_RS00910
OG0000013	EHI52_RS03710	DR085_RS03115
OG0000014	EHI52_RS00615, EHI52_RS01155	DR085_RS03650
OG0000016	EHI52_RS02830	DR085_RS00605
OG0000017	EHI52_RS00155	DR085_RS02380
OG0000017	EHI52_RS02840	DR085_RS00595
OG0000019	EHI52_RS03855	DR085_RS03320
OG0000020	EHI52_RS03550	DR085_RS03795
OG0000020	EHI52_RS03555	DR085_RS03790
OG0000022	EHI52_RS01770	DR085_RS03800
OG0000024	EHI52_RS02735, EHI52_RS01335	DR085_RS00665
OG0000025	EHI52_RS01765	DR085_RS02460
OG0000026	EHI52_RS01425, EHI52_RS01745	DR085_RS01755
OG0000029	EHI52_RS01150, EHI52_RS00620	DR085_RS00425
OG0000030	EHI52_RS03350	DR085_RS03850
OG0000031	EHI52_RS01660	DR085_RS02695
OG0000033	EHI52_RS03825	DR085_RS00935
OG0000039	EHI52_RS01675	DR085_RS00495, DR085_RS00485
OG0000040	EHI52_RS03295	DR085_RS03110, DR085_RS00715, DR085_RS00720
OG0000042	EHI52_RS02930	DR085_RS00480, DR085_RS00645
OG0000043	EHI52_RS02020	DR085_RS02670
OG0000045	EHI52_RS01680	DR085_RS00505
OG0000048	EHI52_RS01840	DR085_RS02880, DR085_RS03055
OG0000049	EHI52_RS03065	DR085_RS01410
OG0000050	EHI52_RS02450	DR085_RS02735
OG0000051	EHI52_RS02650	DR085_RS01290
OG0000052	EHI52_RS00075	DR085_RS03420
OG0000053	EHI52_RS01510	DR085_RS03740
OG0000054	EHI52_RS02475	DR085_RS00960
OG0000056	EHI52_RS03530	DR085_RS02435
OG0000057	EHI52_RS02915	DR085_RS00520
OG0000062	EHI52_RS03585	DR085_RS02230
OG0000063	EHI52_RS03580	DR085_RS02225
OG0000064	EHI52_RS03570	DR085_RS02215
OG0000065	EHI52_RS02260	DR085_RS01895
OG0000066	EHI52_RS01415	DR085_RS01765
OG0000068	EHI52_RS00660	DR085_RS00460
OG0000069	EHI52_RS02805	DR085_RS00630
OG0000070	EHI52_RS02480	DR085_RS00940
OG0000071	EHI52_RS03285	DR085_RS01590
OG0000072	EHI52_RS03290	DR085_RS03730
OG0000073	EHI52_RS00705	DR085_RS02070
OG0000074	EHI52_RS00900	DR085_RS03690
OG0000076	EHI52_RS00370	DR085_RS00190
OG0000077	EHI52_RS00460	DR085_RS00275
OG0000078	EHI52_RS01735	DR085_RS00755
OG0000079	EHI52_RS02555	DR085_RS00860
OG0000080	EHI52_RS03675	DR085_RS03275
OG0000081	EHI52_RS00350	DR085_RS00170
OG0000082	EHI52_RS02405	DR085_RS00920
OG0000083	EHI52_RS01915	DR085_RS03000
OG0000084	EHI52_RS01890	DR085_RS02830
OG0000085	EHI52_RS01885	DR085_RS02835
OG0000086	EHI52_RS01875	DR085_RS03880
OG0000087	EHI52_RS01860	DR085_RS02860
OG0000088	EHI52_RS01855	DR085_RS02865
OG0000089	EHI52_RS01845	DR085_RS02875
OG0000090	EHI52_RS00070	DR085_RS02335
OG0000091	EHI52_RS00055	DR085_RS02320
OG0000092	EHI52_RS00040	DR085_RS02305
OG0000093	EHI52_RS00035	DR085_RS02300
OG0000094	EHI52_RS00030	DR085_RS02295
OG0000095	EHI52_RS00005	DR085_RS02270
OG0000096	EHI52_RS03620	DR085_RS02265
OG0000097	EHI52_RS03600	DR085_RS02245
OG0000098	EHI52_RS03590	DR085_RS02235
OG0000099	EHI52_RS03540	DR085_RS02430
OG0000100	EHI52_RS03520	DR085_RS02440
OG0000101	EHI52_RS03515	DR085_RS02445
OG0000102	EHI52_RS01760	DR085_RS02455
OG0000103	EHI52_RS02225	DR085_RS01930
OG0000104	EHI52_RS02230	DR085_RS01925
OG0000105	EHI52_RS02245	DR085_RS01910
OG0000106	EHI52_RS02255	DR085_RS01900
OG0000107	EHI52_RS02265	DR085_RS01890
OG0000108	EHI52_RS02270	DR085_RS01885
OG0000109	EHI52_RS02275	DR085_RS01880
OG0000110	EHI52_RS02395	DR085_RS01875
OG0000111	EHI52_RS02390	DR085_RS01870
OG0000112	EHI52_RS02380	DR085_RS01860
OG0000113	EHI52_RS02360	DR085_RS03750
OG0000114	EHI52_RS02350	DR085_RS01835
OG0000115	EHI52_RS02335	DR085_RS01825
OG0000116	EHI52_RS01360	DR085_RS01815
OG0000117	EHI52_RS01365	DR085_RS01810
OG0000118	EHI52_RS01400	DR085_RS01780
OG0000119	EHI52_RS01405	DR085_RS01775
OG0000120	EHI52_RS01420	DR085_RS01760
OG0000121	EHI52_RS01445	DR085_RS01735
OG0000122	EHI52_RS01450	DR085_RS01730
OG0000123	EHI52_RS01470	DR085_RS01710
OG0000124	EHI52_RS01475	DR085_RS01705
OG0000125	EHI52_RS01480	DR085_RS01700
OG0000126	EHI52_RS01490	DR085_RS01690
OG0000127	EHI52_RS01500	DR085_RS01680
OG0000128	EHI52_RS01515	DR085_RS01665
OG0000129	EHI52_RS01520	DR085_RS01660
OG0000130	EHI52_RS01530	DR085_RS01650
OG0000131	EHI52_RS01560	DR085_RS01620
OG0000132	EHI52_RS01575	DR085_RS03735
OG0000133	EHI52_RS00545	DR085_RS00350
OG0000134	EHI52_RS00550	DR085_RS03640
OG0000135	EHI52_RS00565	DR085_RS00370
OG0000136	EHI52_RS00570	DR085_RS00375
OG0000137	EHI52_RS00600	DR085_RS00405
OG0000138	EHI52_RS00635	DR085_RS00435
OG0000139	EHI52_RS00665	DR085_RS00465
OG0000140	EHI52_RS00670	DR085_RS00470
OG0000141	EHI52_RS02925	DR085_RS00510
OG0000142	EHI52_RS02920	DR085_RS03655
OG0000143	EHI52_RS02895	DR085_RS00540
OG0000144	EHI52_RS02885	DR085_RS00550
OG0000145	EHI52_RS02875	DR085_RS00560
OG0000146	EHI52_RS02865	DR085_RS00570
OG0000147	EHI52_RS02860	DR085_RS00575
OG0000148	EHI52_RS02845	DR085_RS00590
OG0000149	EHI52_RS02835	DR085_RS00600
OG0000150	EHI52_RS02820	DR085_RS00615
OG0000151	EHI52_RS02775	DR085_RS00670
OG0000152	EHI52_RS02770	DR085_RS00675
OG0000153	EHI52_RS02765	DR085_RS00680
OG0000154	EHI52_RS02755	DR085_RS00690
OG0000155	EHI52_RS02715	DR085_RS00710
OG0000156	EHI52_RS02705	DR085_RS00730
OG0000157	EHI52_RS02700	DR085_RS03660
OG0000158	EHI52_RS03885	DR085_RS03665
OG0000159	EHI52_RS03925	DR085_RS00970
OG0000160	EHI52_RS02460	DR085_RS00975
OG0000161	EHI52_RS02455	DR085_RS00985
OG0000162	EHI52_RS02445	DR085_RS02725
OG0000163	EHI52_RS02440	DR085_RS02720
OG0000164	EHI52_RS01665	DR085_RS03860
OG0000165	EHI52_RS01995	DR085_RS02810
OG0000166	EHI52_RS01975	DR085_RS02780
