Orthogroup	MHP_11_genes	MHP_NCTC10127_genes
OG0000000	B5C39_RS02485	EXC50_RS01055
OG0000000	B5C39_RS02595	EXC50_RS01165
OG0000000	B5C39_RS03835	EXC50_RS01170
OG0000000	B5C39_RS03750	EXC50_RS03990
OG0000000	B5C39_RS03235	EXC50_RS00675
OG0000001	B5C39_RS01615	EXC50_RS02805
OG0000001	B5C39_RS01620	EXC50_RS02810
OG0000001	B5C39_RS03070	EXC50_RS01640
OG0000001	B5C39_RS03865	EXC50_RS04045
OG0000001	B5C39_RS03020	EXC50_RS01590
OG0000002	B5C39_RS03825	EXC50_RS04010
OG0000002	B5C39_RS03240	EXC50_RS00680
OG0000003	B5C39_RS03270	EXC50_RS00710
OG0000003	B5C39_RS02395	EXC50_RS03580
OG0000004	B5C39_RS00380	EXC50_RS02030
OG0000004	B5C39_RS00390	EXC50_RS02040
OG0000004	B5C39_RS00400	EXC50_RS02050
OG0000004	B5C39_RS03760	EXC50_RS01845
OG0000005	B5C39_RS00915	EXC50_RS00100
OG0000005	B5C39_RS00935	EXC50_RS00120
OG0000005	B5C39_RS00920	EXC50_RS00105
OG0000005	B5C39_RS00925	EXC50_RS00110
OG0000005	B5C39_RS00940	EXC50_RS00125
OG0000006	B5C39_RS03845	EXC50_RS04025
OG0000006	B5C39_RS03840	EXC50_RS04020
OG0000006	B5C39_RS02605	EXC50_RS01175
OG0000006	B5C39_RS02640	EXC50_RS01210
OG0000008	B5C39_RS03740	EXC50_RS01160
OG0000008	B5C39_RS03830	EXC50_RS04015
OG0000008	B5C39_RS03850	EXC50_RS04030
OG0000009	B5C39_RS00900	EXC50_RS00085
OG0000009	B5C39_RS03820	EXC50_RS04115
OG0000009	B5C39_RS02225	EXC50_RS03405
OG0000010	B5C39_RS03350	EXC50_RS00795
OG0000010	B5C39_RS03795	EXC50_RS04090
OG0000010	B5C39_RS01340	EXC50_RS02530
OG0000010	B5C39_RS00910	EXC50_RS00095
OG0000011	B5C39_RS03455	EXC50_RS00895
OG0000011	B5C39_RS03450	EXC50_RS00890
OG0000012	B5C39_RS01220	EXC50_RS01855
OG0000013	B5C39_RS02685	EXC50_RS01255
OG0000013	B5C39_RS03780	EXC50_RS03965
OG0000014	B5C39_RS02300	EXC50_RS04120
OG0000014	B5C39_RS01820	EXC50_RS03000
OG0000014	B5C39_RS02290	EXC50_RS03480
OG0000015	B5C39_RS03085	EXC50_RS03670
OG0000016	B5C39_RS00060	EXC50_RS01680
OG0000016	B5C39_RS00985	EXC50_RS00170
OG0000017	B5C39_RS00970	EXC50_RS00155
OG0000017	B5C39_RS00070	EXC50_RS01690
OG0000018	B5C39_RS01575	EXC50_RS02765
OG0000018	B5C39_RS03785	EXC50_RS04150, EXC50_RS04145, EXC50_RS04085
OG0000019	B5C39_RS03765	EXC50_RS04060
OG0000020	B5C39_RS00735	EXC50_RS02390
OG0000020	B5C39_RS00740	EXC50_RS02395
OG0000021	B5C39_RS03275	EXC50_RS00715
OG0000021	B5C39_RS02385	EXC50_RS03575
OG0000022	B5C39_RS03170	EXC50_RS00615
OG0000022	B5C39_RS03225	EXC50_RS00670
OG0000023	B5C39_RS01580	EXC50_RS02770
OG0000023	B5C39_RS01320	EXC50_RS00495, EXC50_RS03740
OG0000024	B5C39_RS03015	EXC50_RS01585
OG0000024	B5C39_RS01625	EXC50_RS02815
OG0000025	B5C39_RS03175	EXC50_RS00620
OG0000025	B5C39_RS03220	EXC50_RS00665
OG0000026	B5C39_RS01535	EXC50_RS02725
OG0000026	B5C39_RS03200	EXC50_RS00645
OG0000027	B5C39_RS00530	EXC50_RS02185
OG0000027	B5C39_RS00545	EXC50_RS02200
OG0000028	B5C39_RS02695	EXC50_RS01265
OG0000029	B5C39_RS01825	EXC50_RS03005
OG0000029	B5C39_RS02285	EXC50_RS03475
OG0000030	B5C39_RS00520	EXC50_RS02175
OG0000030	B5C39_RS00540	EXC50_RS02195
OG0000031	B5C39_RS01325	EXC50_RS02515, EXC50_RS03805
OG0000031	B5C39_RS03115	EXC50_RS00545
OG0000032	B5C39_RS03770	EXC50_RS04070
OG0000032	B5C39_RS00535	EXC50_RS02190
OG0000033	B5C39_RS02690	EXC50_RS01260
OG0000035	B5C39_RS00395	EXC50_RS02045
OG0000035	B5C39_RS00375	EXC50_RS02025
OG0000036	B5C39_RS00930	EXC50_RS00115
OG0000036	B5C39_RS00945	EXC50_RS00130
OG0000037	B5C39_RS03745	EXC50_RS03970
OG0000038	B5C39_RS02400	EXC50_RS03585
OG0000038	B5C39_RS03265	EXC50_RS00705
OG0000039	B5C39_RS03875	EXC50_RS03975
OG0000039	B5C39_RS03130	EXC50_RS00560
OG0000040	B5C39_RS00465	EXC50_RS02120
OG0000042	B5C39_RS00160	EXC50_RS01780
OG0000043	B5C39_RS03420	EXC50_RS00860
OG0000044	B5C39_RS03955	EXC50_RS04255
OG0000044	B5C39_RS03305	EXC50_RS00745
OG0000045	B5C39_RS03140	EXC50_RS00570
OG0000046	B5C39_RS00475	EXC50_RS02130
OG0000047	B5C39_RS03620	EXC50_RS00500
OG0000047	B5C39_RS00010	EXC50_RS03955, EXC50_RS03735
OG0000048	B5C39_RS03615	EXC50_RS01040
OG0000049	B5C39_RS00240	EXC50_RS01890
