Orthogroup	Species	MHP_1257_genes	Orthologs
OG0000000	MHP_MHP650_genes	ABKJ22_RS02270	DR083_RS03810
OG0000000	MHP_153B_genes	ABKJ22_RS02210	NB625_RS02335
OG0000000	MHP_154B_genes	ABKJ22_RS02210	NB624_RS02330
OG0000000	MHP_131B_genes	ABKJ22_RS02210	NB627_RS02355
OG0000000	MHP_133A_genes	ABKJ22_RS02210	NB626_RS02350
OG0000000	MHP_7448_genes	ABKJ22_RS02210	MHP7448_RS02135
OG0000000	MHP_MHP696_genes	ABKJ22_RS02210	DR090_RS03565
OG0000000	MHP_MHP709_genes	ABKJ22_RS02210	DR088_RS03530
OG0000000	MFC_MF11_genes	ABKJ22_RS02210	DR093_RS02920
OG0000000	MFC_MF29_genes	ABKJ22_RS02210	DR095_RS03080
OG0000000	MFC_MF33_genes	ABKJ22_RS02210	DR085_RS03035
OG0000000	MFC_ATCC27716_genes	ABKJ22_RS02210	MFC_RS01410
OG0000000	MFC_Ms42_genes	ABKJ22_RS02210	MYF_RS01330
OG0000000	MFC_MF30_genes	ABKJ22_RS02210	DR084_RS02900
OG0000000	MFC_MF22_genes	ABKJ22_RS02210	DR094_RS03000
OG0000000	MFC_MF18_genes	ABKJ22_RS02210	DR082_RS03155
OG0000000	MHP_LH_genes	ABKJ22_RS02210	KUD10_RS02260
OG0000000	MHP_NCTC10127_genes	ABKJ22_RS02210	EXC50_RS01055
OG0000000	MHP_11_genes	ABKJ22_RS02210	B5C39_RS02485
OG0000000	MHP_232_genes	ABKJ22_RS02210	MHP_RS02080
OG0000000	MHP_TB1_genes	ABKJ22_RS02210	B5M19_RS04470
OG0000000	MHP_168L_genes	ABKJ22_RS02210	MHP168L_RS02190
OG0000000	MHP_168_genes	ABKJ22_RS02210	MHP168_RS02175
OG0000000	MHP_J_genes	ABKJ22_RS02210	MHJ_RS02155
OG0000000	MHP_UFV01_genes	ABKJ22_RS02210	FEF30_RS02570
OG0000000	MHP_UFV02_genes	ABKJ22_RS02210	FEF31_RS01935
OG0000000	MHP_116_genes	ABKJ22_RS02210	ABJ972_RS02145
OG0000000	MHP_ES2_genes	ABKJ22_RS02210	E5E95_RS02310
OG0000000	MHP_MHP653_genes	ABKJ22_RS02210	DR096_RS03590
OG0000000	MHP_MHP694_genes	ABKJ22_RS02210	DR099_RS03480
OG0000000	MHP_4284_genes	ABKJ22_RS02210	ABLE99_RS02150
OG0000000	MHP_MHP682_genes	ABKJ22_RS02210	DR097_RS02690
OG0000000	MHP_MHP650_genes	ABKJ22_RS02210	DR083_RS02765
OG0000000	MHP_Ue273_genes	ABKJ22_RS02210	VQY17_RS02200
OG0000000	MHP_98_genes	ABKJ22_RS02210	GOM18_RS02340
OG0000000	MHP_112B_genes	ABKJ22_RS02210	NBX26_RS01900
OG0000000	MHP_F72C_genes	ABKJ22_RS02210	EHI52_RS01825
OG0000000	MFC_MF30_genes	ABKJ22_RS02265, ABKJ22_RS02260, ABKJ22_RS02255	DR084_RS02935
OG0000000	MHP_116_genes	ABKJ22_RS02265, ABKJ22_RS02260, ABKJ22_RS02255	ABJ972_RS02100
