Orthogroup	MFC_MF11_genes	MHP_MHP696_genes
OG0000000	DR093_RS02920	DR090_RS03565
OG0000000	DR093_RS03435, DR093_RS03440	DR090_RS04125
OG0000001	DR093_RS00830, DR093_RS00825	DR090_RS00420, DR090_RS01575, DR090_RS03950, DR090_RS03945
OG0000002	DR093_RS04025	DR090_RS03470
OG0000002	DR093_RS03845	DR090_RS03425
OG0000003	DR093_RS04030	DR090_RS04620
OG0000004	DR093_RS01845	DR090_RS03440
OG0000007	DR093_RS02845	DR090_RS03340
OG0000007	DR093_RS02840	DR090_RS03345
OG0000007	DR093_RS02835	DR090_RS03360
OG0000008	DR093_RS03250	DR090_RS03700
OG0000011	DR093_RS03025	DR090_RS01025
OG0000011	DR093_RS03260	DR090_RS01020
OG0000013	DR093_RS01095, DR093_RS01090	DR090_RS02640
OG0000013	DR093_RS03220	DR090_RS03805
OG0000014	DR093_RS03805	DR090_RS00220, DR090_RS04325
OG0000016	DR093_RS00770	DR090_RS01615
OG0000016	DR093_RS00190	DR090_RS00790
OG0000017	DR093_RS00175	DR090_RS00805
OG0000017	DR093_RS00760	DR090_RS01625
OG0000018	DR093_RS03935	DR090_RS04560
OG0000020	DR093_RS03835	DR090_RS04405
OG0000020	DR093_RS03830	DR090_RS04410
OG0000022	DR093_RS03840	DR090_RS04550
OG0000023	DR093_RS01985	DR090_RS02440
OG0000024	DR093_RS00835	DR090_RS01515, DR090_RS00410
OG0000025	DR093_RS01230	DR090_RS02365
OG0000026	DR093_RS02030	DR090_RS02485, DR090_RS02385
OG0000027	DR093_RS01425	DR090_RS04475
OG0000027	DR093_RS03885	DR090_RS04520
OG0000029	DR093_RS00605	DR090_RS01710, DR090_RS00205
OG0000030	DR093_RS03890	DR090_RS04480, DR090_RS04515
OG0000031	DR093_RS02685	DR090_RS03235
OG0000032	DR093_RS01420	DR090_RS03265, DR090_RS02225
OG0000033	DR093_RS01115	DR090_RS02635
OG0000039	DR093_RS00665	DR090_RS03220
OG0000040	DR093_RS02380, DR093_RS03230	DR090_RS02020
OG0000042	DR093_RS00660, DR093_RS03365, DR093_RS00810	DR090_RS04585
OG0000043	DR093_RS02660	DR090_RS00990
OG0000045	DR093_RS00670	DR090_RS03215
OG0000048	DR093_RS03685, DR093_RS03690	DR090_RS02935
OG0000049	DR093_RS03590	DR090_RS02075
OG0000050	DR093_RS04015	DR090_RS02580
OG0000051	DR093_RS01745	DR090_RS01435
OG0000052	DR093_RS00140	DR090_RS01330
OG0000053	DR093_RS03940	DR090_RS04575
OG0000054	DR093_RS01140	DR090_RS02605
OG0000056	DR093_RS01205	DR090_RS01170
OG0000057	DR093_RS00685	DR090_RS01695
OG0000062	DR093_RS00025	DR090_RS01220
OG0000063	DR093_RS03775	DR090_RS01215
OG0000064	DR093_RS00010	DR090_RS01205
OG0000065	DR093_RS01890	DR090_RS03030
OG0000066	DR093_RS02020	DR090_RS02475
OG0000067	DR093_RS00530	DR090_RS02685
OG0000068	DR093_RS00640	DR090_RS00170
OG0000069	DR093_RS00795	DR090_RS01590
OG0000070	DR093_RS01120	DR090_RS02610
OG0000071	DR093_RS02370	DR090_RS02030
OG0000072	DR093_RS03980	DR090_RS04500
OG0000073	DR093_RS02505	DR090_RS00125
OG0000074	DR093_RS03915	DR090_RS04455
OG0000075	DR093_RS00360	DR090_RS00610
OG0000076	DR093_RS00375	DR090_RS00595
OG0000077	DR093_RS00460	DR090_RS00505
OG0000078	DR093_RS00930	DR090_RS02395
OG0000079	DR093_RS01040	DR090_RS02780
OG0000080	DR093_RS03415	DR090_RS03915
OG0000081	DR093_RS00355	DR090_RS00615
OG0000082	DR093_RS01100	DR090_RS04170, DR090_RS04165
OG0000083	DR093_RS02955	DR090_RS01095
OG0000084	DR093_RS02790	DR090_RS02885
OG0000085	DR093_RS02785	DR090_RS02890
OG0000086	DR093_RS04020	DR090_RS02900
OG0000087	DR093_RS02760	DR090_RS02915
OG0000088	DR093_RS02755	DR090_RS02920
OG0000089	DR093_RS02745	DR090_RS02930
OG0000090	DR093_RS00130	DR090_RS01325
OG0000091	DR093_RS00115	DR090_RS01310
OG0000092	DR093_RS00100	DR090_RS01295
OG0000093	DR093_RS00095	DR090_RS01290
OG0000094	DR093_RS04155	DR090_RS01285
OG0000095	DR093_RS00065	DR090_RS01260
OG0000096	DR093_RS00060	DR090_RS01255
OG0000097	DR093_RS00040	DR090_RS01235
OG0000098	DR093_RS00030	DR090_RS01225
OG0000099	DR093_RS01200	DR090_RS04400
OG0000100	DR093_RS01210	DR090_RS01160
OG0000101	DR093_RS01215	DR090_RS01155
OG0000102	DR093_RS01225	DR090_RS02370
OG0000103	DR093_RS01855	DR090_RS03065
OG0000104	DR093_RS01860	DR090_RS03060
OG0000105	DR093_RS01875	DR090_RS03045
OG0000106	DR093_RS01885	DR090_RS03035
OG0000107	DR093_RS01895	DR090_RS03025
OG0000108	DR093_RS01900	DR090_RS03020
OG0000109	DR093_RS01905	DR090_RS03015
OG0000110	DR093_RS01910	DR090_RS02655
OG0000111	DR093_RS01915	DR090_RS02660
OG0000112	DR093_RS01925	DR090_RS02670
OG0000113	DR093_RS03930	DR090_RS04615
OG0000114	DR093_RS01950	DR090_RS03300
OG0000115	DR093_RS01960	DR090_RS03285
OG0000116	DR093_RS01970	DR090_RS00435
OG0000117	DR093_RS01975	DR090_RS00440
OG0000118	DR093_RS02005	DR090_RS02460
OG0000119	DR093_RS02010	DR090_RS02465
OG0000120	DR093_RS02025	DR090_RS02480
OG0000121	DR093_RS02050	DR090_RS02505
OG0000122	DR093_RS02055	DR090_RS02510
OG0000123	DR093_RS02075	DR090_RS02530
OG0000124	DR093_RS02080	DR090_RS02535
OG0000125	DR093_RS02085	DR090_RS02540
OG0000126	DR093_RS02095	DR090_RS02835
OG0000127	DR093_RS02105	DR090_RS02845
OG0000128	DR093_RS02120	DR090_RS02860
OG0000129	DR093_RS02125	DR090_RS02865
OG0000130	DR093_RS02135	DR090_RS02875
OG0000131	DR093_RS02165	DR090_RS03150
OG0000132	DR093_RS03945	DR090_RS04600
OG0000133	DR093_RS00535	DR090_RS02690
OG0000134	DR093_RS03795	DR090_RS02695
OG0000135	DR093_RS00555	DR090_RS02710
