Orthogroup	MFC_MF11_genes	MHP_ES2L_genes
OG0000000	DR093_RS03030, DR093_RS03040	HZK19_RS02105
OG0000000	DR093_RS03700	HZK19_RS03685
OG0000000	DR093_RS03435	HZK19_RS01690
OG0000001	DR093_RS00830, DR093_RS00825	HZK19_RS03720, HZK19_RS02765, HZK19_RS03840
OG0000002	DR093_RS04025	HZK19_RS02110
OG0000002	DR093_RS03845	HZK19_RS01705
OG0000003	DR093_RS04030	HZK19_RS02160
OG0000004	DR093_RS01845	HZK19_RS02980
OG0000007	DR093_RS02845	HZK19_RS02155
OG0000007	DR093_RS02840	HZK19_RS02150
OG0000007	DR093_RS02835	HZK19_RS02145
OG0000008	DR093_RS03250	HZK19_RS03745
OG0000011	DR093_RS03025	HZK19_RS01910, HZK19_RS03920
OG0000013	DR093_RS01095, DR093_RS01090	HZK19_RS02370
OG0000013	DR093_RS03220	HZK19_RS03715
OG0000014	DR093_RS03805	HZK19_RS00585, HZK19_RS00595
OG0000016	DR093_RS00770	HZK19_RS02805
OG0000016	DR093_RS00190	HZK19_RS00155
OG0000017	DR093_RS00175	HZK19_RS00140
OG0000017	DR093_RS00760	HZK19_RS02815
OG0000018	DR093_RS03935	HZK19_RS03075
OG0000019	DR093_RS03265	HZK19_RS03850
OG0000020	DR093_RS03835	HZK19_RS03865, HZK19_RS03860
OG0000020	DR093_RS03830	HZK19_RS03600
OG0000022	DR093_RS03840	HZK19_RS01685
OG0000023	DR093_RS01985	HZK19_RS01285, HZK19_RS03085
OG0000024	DR093_RS00835	HZK19_RS02710, HZK19_RS01240
OG0000025	DR093_RS01230	HZK19_RS01680
OG0000026	DR093_RS02030	HZK19_RS01330, HZK19_RS01660
OG0000027	DR093_RS01425	HZK19_RS03390
OG0000027	DR093_RS03885	HZK19_RS03405
OG0000028	DR093_RS01110	HZK19_RS02385
OG0000029	DR093_RS00605	HZK19_RS01065, HZK19_RS00600
OG0000030	DR093_RS03890	HZK19_RS03380, HZK19_RS03400
OG0000031	DR093_RS02685	HZK19_RS03025
OG0000032	DR093_RS01420	HZK19_RS01545, HZK19_RS03395
OG0000039	DR093_RS00665	HZK19_RS01580
OG0000040	DR093_RS02380, DR093_RS03230	HZK19_RS03325
OG0000042	DR093_RS00660, DR093_RS03365, DR093_RS00810	HZK19_RS02900
OG0000043	DR093_RS02660	HZK19_RS01875
OG0000045	DR093_RS00670	HZK19_RS01585
OG0000047	DR093_RS00840	HZK19_RS03090
OG0000048	DR093_RS03685, DR093_RS03690	HZK19_RS02065
OG0000049	DR093_RS03590	HZK19_RS02995
OG0000050	DR093_RS04015	HZK19_RS02415
OG0000051	DR093_RS01745	HZK19_RS02620
OG0000052	DR093_RS00140	HZK19_RS00075
OG0000053	DR093_RS03940	HZK19_RS01415
OG0000054	DR093_RS01140	HZK19_RS02440
OG0000056	DR093_RS01205	HZK19_RS03580
OG0000057	DR093_RS00685	HZK19_RS02885
OG0000062	DR093_RS00025	HZK19_RS03630
OG0000063	DR093_RS03775	HZK19_RS03625
OG0000064	DR093_RS00010	HZK19_RS03615
OG0000065	DR093_RS01890	HZK19_RS02220
OG0000066	DR093_RS02020	HZK19_RS01320
OG0000068	DR093_RS00640	HZK19_RS00635
OG0000069	DR093_RS00795	HZK19_RS02780
OG0000070	DR093_RS01120	HZK19_RS02445
OG0000071	DR093_RS02370	HZK19_RS03315
OG0000072	DR093_RS03980	HZK19_RS03320
OG0000073	DR093_RS02505	HZK19_RS00680
OG0000074	DR093_RS03915	HZK19_RS00875
OG0000075	DR093_RS00360	HZK19_RS00325
OG0000076	DR093_RS00375	HZK19_RS00340
OG0000077	DR093_RS00460	HZK19_RS00425
OG0000078	DR093_RS00930	HZK19_RS01645
OG0000079	DR093_RS01040	HZK19_RS02525
OG0000080	DR093_RS03415	HZK19_RS02570
OG0000081	DR093_RS00355	HZK19_RS00320
OG0000082	DR093_RS01100	HZK19_RS02365
OG0000083	DR093_RS02955	HZK19_RS01985
OG0000084	DR093_RS02790	HZK19_RS02015
OG0000085	DR093_RS02785	HZK19_RS02020
OG0000086	DR093_RS04020	HZK19_RS02030
OG0000087	DR093_RS02760	HZK19_RS02045
OG0000088	DR093_RS02755	HZK19_RS02050
OG0000089	DR093_RS02745	HZK19_RS02060
OG0000090	DR093_RS00130	HZK19_RS00070
OG0000091	DR093_RS00115	HZK19_RS00055
OG0000092	DR093_RS00100	HZK19_RS00040
OG0000093	DR093_RS00095	HZK19_RS00035
OG0000094	DR093_RS04155	HZK19_RS00030
OG0000095	DR093_RS00065	HZK19_RS00005
OG0000096	DR093_RS00060	HZK19_RS03665
OG0000097	DR093_RS00040	HZK19_RS03645
OG0000098	DR093_RS00030	HZK19_RS03635
OG0000099	DR093_RS01200	HZK19_RS03585
OG0000100	DR093_RS01210	HZK19_RS03570
OG0000101	DR093_RS01215	HZK19_RS03565
OG0000102	DR093_RS01225	HZK19_RS01675
OG0000103	DR093_RS01855	HZK19_RS02185
OG0000104	DR093_RS01860	HZK19_RS02190
OG0000105	DR093_RS01875	HZK19_RS02205
OG0000106	DR093_RS01885	HZK19_RS02215
OG0000107	DR093_RS01895	HZK19_RS02225
OG0000108	DR093_RS01900	HZK19_RS02230
OG0000109	DR093_RS01905	HZK19_RS02235
OG0000110	DR093_RS01910	HZK19_RS02355
OG0000111	DR093_RS01915	HZK19_RS02350
OG0000112	DR093_RS01925	HZK19_RS02340
OG0000113	DR093_RS03930	HZK19_RS02320
OG0000114	DR093_RS01950	HZK19_RS02310
OG0000115	DR093_RS01960	HZK19_RS02300
OG0000116	DR093_RS01970	HZK19_RS01265
OG0000117	DR093_RS01975	HZK19_RS01270
OG0000118	DR093_RS02005	HZK19_RS01305
OG0000119	DR093_RS02010	HZK19_RS01310
OG0000120	DR093_RS02025	HZK19_RS01325
OG0000121	DR093_RS02050	HZK19_RS01350
OG0000122	DR093_RS02055	HZK19_RS01355
OG0000123	DR093_RS02075	HZK19_RS01375
OG0000124	DR093_RS02080	HZK19_RS01380
OG0000125	DR093_RS02085	HZK19_RS01385
OG0000126	DR093_RS02095	HZK19_RS01395
OG0000127	DR093_RS02105	HZK19_RS01405
OG0000128	DR093_RS02120	HZK19_RS01420
OG0000129	DR093_RS02125	HZK19_RS01425
OG0000130	DR093_RS02135	HZK19_RS01435
OG0000131	DR093_RS02165	HZK19_RS01465
OG0000132	DR093_RS03945	HZK19_RS01480
OG0000133	DR093_RS00535	HZK19_RS00520
OG0000134	DR093_RS03795	HZK19_RS00525
OG0000135	DR093_RS00555	HZK19_RS00540
OG0000136	DR093_RS00560	HZK19_RS00545
OG0000137	DR093_RS00590	HZK19_RS00575
OG0000138	DR093_RS00615	HZK19_RS00610
OG0000139	DR093_RS00645	HZK19_RS00640
OG0000140	DR093_RS00650	HZK19_RS00645
OG0000141	DR093_RS00675	HZK19_RS02895
OG0000142	DR093_RS03810	HZK19_RS02890
OG0000143	DR093_RS00705	HZK19_RS02870
OG0000144	DR093_RS00715	HZK19_RS02860
OG0000145	DR093_RS00725	HZK19_RS02850
OG0000146	DR093_RS00735	HZK19_RS02840
OG0000147	DR093_RS00740	HZK19_RS02835
OG0000148	DR093_RS00755	HZK19_RS02820
OG0000149	DR093_RS00765	HZK19_RS02810
OG0000150	DR093_RS00780	HZK19_RS02795
OG0000151	DR093_RS00845	HZK19_RS02750
OG0000152	DR093_RS00850	HZK19_RS02745
OG0000153	DR093_RS00855	HZK19_RS02740
OG0000154	DR093_RS00865	HZK19_RS02730
OG0000155	DR093_RS00885	HZK19_RS02690
OG0000156	DR093_RS00905	HZK19_RS02680
OG0000157	DR093_RS03815	HZK19_RS02675
OG0000158	DR093_RS03820	HZK19_RS03895
OG0000159	DR093_RS01150	HZK19_RS03970
OG0000160	DR093_RS01155	HZK19_RS02425
OG0000161	DR093_RS01165	HZK19_RS02420
OG0000162	DR093_RS02715	HZK19_RS02410
OG0000163	DR093_RS02710	HZK19_RS02405
OG0000164	DR093_RS04010	HZK19_RS01575
OG0000165	DR093_RS02995	HZK19_RS01905
OG0000166	DR093_RS02980	HZK19_RS01925
OG0000167	DR093_RS02890	HZK19_RS01940
OG0000168	DR093_RS02895	HZK19_RS01945
OG0000169	DR093_RS02185	HZK19_RS02990
OG0000170	DR093_RS02200	HZK19_RS03005
OG0000171	DR093_RS02210	HZK19_RS03110
OG0000172	DR093_RS02215	HZK19_RS03115
OG0000173	DR093_RS02220	HZK19_RS03120
OG0000174	DR093_RS02225	HZK19_RS03125
OG0000175	DR093_RS02240	HZK19_RS03140
OG0000176	DR093_RS02280	HZK19_RS03190
OG0000177	DR093_RS02285	HZK19_RS03195
OG0000178	DR093_RS02290	HZK19_RS03200
OG0000179	DR093_RS02300	HZK19_RS03210
OG0000180	DR093_RS02305	HZK19_RS03215
OG0000181	DR093_RS03965	HZK19_RS03265
OG0000182	DR093_RS02330	HZK19_RS03275
OG0000183	DR093_RS02365	HZK19_RS03310
OG0000184	DR093_RS02865	HZK19_RS03355
OG0000185	DR093_RS02880	HZK19_RS03340
OG0000186	DR093_RS02615	HZK19_RS01490
OG0000187	DR093_RS02600	HZK19_RS01505
OG0000188	DR093_RS02590	HZK19_RS01515
OG0000189	DR093_RS04000	HZK19_RS02270
OG0000190	DR093_RS02575	HZK19_RS02265
OG0000191	DR093_RS02555	HZK19_RS02245
OG0000192	DR093_RS02545	HZK19_RS01180
OG0000193	DR093_RS02530	HZK19_RS01175
OG0000194	DR093_RS02520	HZK19_RS00665
OG0000195	DR093_RS02515	HZK19_RS00670
OG0000196	DR093_RS03995	HZK19_RS00690
OG0000197	DR093_RS02490	HZK19_RS00695
OG0000198	DR093_RS02475	HZK19_RS00710
OG0000199	DR093_RS02470	HZK19_RS00715
OG0000200	DR093_RS02455	HZK19_RS00730
OG0000201	DR093_RS02445	HZK19_RS00740
OG0000202	DR093_RS02390	HZK19_RS00795
OG0000203	DR093_RS02385	HZK19_RS00800
OG0000204	DR093_RS03900	HZK19_RS00805
OG0000205	DR093_RS01450	HZK19_RS00810
OG0000206	DR093_RS01470	HZK19_RS00830
OG0000207	DR093_RS01485	HZK19_RS00845
OG0000208	DR093_RS01490	HZK19_RS00850
OG0000209	DR093_RS01495	HZK19_RS00855
OG0000210	DR093_RS01540	HZK19_RS00900
OG0000211	DR093_RS01550	HZK19_RS00910
OG0000212	DR093_RS01560	HZK19_RS00920
OG0000213	DR093_RS01565	HZK19_RS00925
OG0000214	DR093_RS01570	HZK19_RS00930
OG0000215	DR093_RS01575	HZK19_RS00935
OG0000216	DR093_RS01580	HZK19_RS00940
OG0000217	DR093_RS01585	HZK19_RS00945
OG0000218	DR093_RS03920	HZK19_RS00955
OG0000219	DR093_RS01600	HZK19_RS00960
OG0000220	DR093_RS01605	HZK19_RS00965
OG0000221	DR093_RS01610	HZK19_RS00970
OG0000222	DR093_RS01615	HZK19_RS00975
OG0000223	DR093_RS01620	HZK19_RS00980
OG0000224	DR093_RS01630	HZK19_RS00990
OG0000225	DR093_RS01640	HZK19_RS01000
OG0000226	DR093_RS01645	HZK19_RS01005
OG0000227	DR093_RS01650	HZK19_RS01010
OG0000228	DR093_RS04160	HZK19_RS03950
OG0000229	DR093_RS01660	HZK19_RS01020
OG0000230	DR093_RS01665	HZK19_RS01025
OG0000231	DR093_RS01675	HZK19_RS01035
OG0000232	DR093_RS01685	HZK19_RS01045
OG0000233	DR093_RS01695	HZK19_RS01070
OG0000234	DR093_RS01725	HZK19_RS01105
OG0000235	DR093_RS01735	HZK19_RS01115
OG0000236	DR093_RS01740	HZK19_RS01120
OG0000237	DR093_RS01755	HZK19_RS01125
OG0000238	DR093_RS01760	HZK19_RS01130
OG0000239	DR093_RS01790	HZK19_RS02905
OG0000240	DR093_RS01795	HZK19_RS02910
OG0000241	DR093_RS01805	HZK19_RS02920
OG0000242	DR093_RS01810	HZK19_RS02925
OG0000243	DR093_RS01815	HZK19_RS02930
OG0000244	DR093_RS01825	HZK19_RS02940
OG0000245	DR093_RS01835	HZK19_RS02950
OG0000246	DR093_RS00145	HZK19_RS00125
OG0000247	DR093_RS00155	HZK19_RS00135
OG0000248	DR093_RS00180	HZK19_RS00145
OG0000249	DR093_RS00185	HZK19_RS00150
OG0000250	DR093_RS00200	HZK19_RS00165
OG0000251	DR093_RS00230	HZK19_RS00195
OG0000252	DR093_RS00240	HZK19_RS00205
