Orthogroup	MHP_MHP709_proteins	MHP_133A_proteins
OG0000000	WP_258555378.1	WP_404924494.1
OG0000000	WP_308507069.1	WP_404924493.1
OG0000000	WP_160588362.1	WP_404924466.1, WP_404924212.1
OG0000000	WP_160588195.1	WP_404924465.1
OG0000000	WP_334199370.1	WP_404924489.1
OG0000001	WP_225973029.1	WP_404924278.1
OG0000001	WP_258555237.1	WP_404924272.1
OG0000002	WP_258555377.1	WP_225972974.1
OG0000002	WP_160588366.1	WP_404924222.1
OG0000002	WP_160588356.1	WP_404924213.1
OG0000002	WP_160588193.1	WP_404924467.1
OG0000003	WP_052293597.1	WP_052259119.1
OG0000004	WP_160588068.1	WP_160588068.1
OG0000004	WP_020835887.1	WP_404924307.1
OG0000004	WP_220191127.1	WP_404924497.1
OG0000005	WP_160588124.1	WP_011289941.1
OG0000005	WP_160588336.1	WP_146379452.1
OG0000005	WP_160588374.1	WP_404924354.1
OG0000005	WP_160588338.1	WP_347952346.1
OG0000006	WP_225972988.1	WP_404924250.1, WP_280996645.1
OG0000006	WP_258555346.1	WP_404924233.1
OG0000006	WP_258555362.1	WP_404924232.1
OG0000007	WP_011284157.1	WP_404923946.1
OG0000007	WP_002557993.1	WP_404924219.1
OG0000008	WP_258555379.1	WP_404924456.1
OG0000008	WP_308507071.1	WP_404924495.1
OG0000009	WP_146379448.1	WP_041361519.1
OG0000009	WP_011290021.1	WP_011290021.1
OG0000010	WP_160587884.1	WP_404924479.1
OG0000011	WP_160587900.1	WP_404924482.1
OG0000012	WP_179221115.1	WP_404924429.1, WP_404924504.1
OG0000013	WP_258555342.1	WP_225972984.1
OG0000013	WP_308507056.1	WP_404924502.1
OG0000014	WP_160587971.1	WP_404924423.1
OG0000014	WP_160587966.1	WP_404924399.1
OG0000016	WP_160588042.1	WP_404924358.1
OG0000017	WP_020835500.1	WP_020835500.1
OG0000017	WP_020835837.1	WP_020835837.1
OG0000018	WP_160588235.1	WP_160585680.1, WP_404924379.1
OG0000019	WP_160588348.1	WP_404924294.1, WP_404924295.1, WP_404924296.1
OG0000020	WP_220191087.1	WP_404924344.1
OG0000021	WP_044284635.1	WP_404924471.1, WP_404924390.1, WP_404924389.1
OG0000022	WP_160588207.1	WP_404924458.1
OG0000022	WP_160588197.1	WP_146379581.1
OG0000023	WP_160588233.1	WP_404924437.1, WP_404924382.1
OG0000024	WP_160585259.1	WP_179696078.1
OG0000024	WP_160588003.1	WP_404924435.1
OG0000025	WP_160588205.1	WP_404924459.1
OG0000025	WP_160588199.1	WP_404924464.1
OG0000026	WP_192894288.1	WP_020835640.1
OG0000026	WP_160588201.1	WP_160606777.1
OG0000027	WP_020835902.1	WP_020835902.1
OG0000027	WP_160588189.1	WP_404924323.1
OG0000028	WP_160588297.1	WP_404924245.1
OG0000029	WP_160588071.1	WP_404924422.1
OG0000029	WP_160587963.1	WP_404924400.1
OG0000030	WP_160588148.1	WP_308704613.1
OG0000030	WP_020835904.1	WP_020835904.1
OG0000031	WP_011290137.1	WP_088172525.1, WP_404924450.1
OG0000032	WP_160588340.1	WP_135618726.1
OG0000032	WP_308507099.1	WP_404924322.1
OG0000033	WP_160588215.1	WP_404924244.1, WP_404924241.1, WP_404924242.1
OG0000035	WP_160588344.1	WP_404924306.1
OG0000035	WP_160588066.1	WP_160588066.1
OG0000036	WP_020835495.1	WP_347952344.1
OG0000036	WP_258555369.1, WP_258555370.1	WP_146379454.1
OG0000038	WP_160588009.1	WP_404924387.1, WP_404924469.1
OG0000039	WP_160588346.1	WP_404924451.1
OG0000040	WP_160588136.1	WP_404924313.1
OG0000041	WP_258555272.1	WP_011290019.1, WP_228366127.1
OG0000042	WP_160588323.1	WP_404924286.1
OG0000043	WP_014579804.1	WP_014579804.1
OG0000044	WP_225973034.1	WP_225973034.1
OG0000044	WP_011206179.1	WP_404911819.1
OG0000045	WP_225973032.1	WP_404924452.1
OG0000046	WP_308507097.1	WP_404924314.1
OG0000048	WP_011284150.1	WP_011284150.1
OG0000049	WP_020835860.1	WP_020835860.1
OG0000050	WP_160588301.1	WP_404924247.1
OG0000051	WP_160587825.1	WP_404924263.1
OG0000052	WP_146379447.1	WP_404924352.1
OG0000053	WP_160588221.1	WP_404924445.1
OG0000054	WP_160588303.1	WP_404924248.1
OG0000055	WP_146379455.1	WP_146379455.1
OG0000056	WP_160588161.1	WP_404924340.1
OG0000057	WP_160587863.1	WP_404924285.1
OG0000060	WP_225973002.1	WP_020835489.1
OG0000061	WP_160587888.1	WP_135618818.1
OG0000062	WP_160588098.1	WP_011206522.1
OG0000063	WP_146379768.1	WP_041361715.1
OG0000064	WP_160588095.1	WP_348571896.1
OG0000065	WP_011290219.1	WP_225972975.1
OG0000066	WP_160588243.1	WP_011205965.1
OG0000068	WP_160587949.1	WP_011206103.1
OG0000069	WP_011284269.1	WP_011206373.1
OG0000070	WP_146379657.1	WP_011206292.1
OG0000071	WP_160585219.1	WP_404924311.1
OG0000072	WP_160588134.1	WP_404924312.1
OG0000073	WP_011206093.1	WP_404912207.1
OG0000074	WP_044284596.1	WP_404924416.1, WP_404924417.1
OG0000075	WP_014579568.1	WP_404924368.1
OG0000076	WP_160584756.1	WP_404924369.1, WP_404924503.1
OG0000077	WP_160588013.1	WP_135618533.1
OG0000078	WP_160588203.1	WP_404924461.1
OG0000079	WP_011206305.1	WP_020835797.1
OG0000080	WP_179695988.1	WP_192894279.1
OG0000081	WP_160588023.1	WP_404924367.1
OG0000083	WP_160587917.1	WP_014579823.1
OG0000084	WP_011284142.1	WP_011284142.1
OG0000085	WP_011206223.1	WP_404924208.1
OG0000086	WP_160587925.1	WP_404924209.1
OG0000087	WP_160587927.1	WP_020835732.1
OG0000088	WP_044272480.1	WP_020835733.1
OG0000089	WP_011206231.1	WP_011206231.1
OG0000090	WP_160588122.1	WP_404924351.1
OG0000091	WP_160588118.1	WP_020835487.1
OG0000092	WP_011205847.1	WP_011205847.1
OG0000093	WP_160588114.1	WP_160584856.1
OG0000094	WP_014579519.1	WP_160606485.1
OG0000095	WP_044272251.1	WP_044272251.1
OG0000096	WP_011206529.1	WP_011206529.1
OG0000097	WP_258555298.1	WP_404924347.1
OG0000098	WP_160588100.1	WP_404924345.1
OG0000099	WP_160588163.1	WP_404924341.1
OG0000100	WP_160585575.1	WP_404924338.1
OG0000101	WP_011206510.1	WP_011206510.1
OG0000102	WP_160588213.1	WP_404924487.1
OG0000103	WP_160588278.1	WP_404924223.1
OG0000104	WP_011206239.1	WP_011206239.1
OG0000105	WP_160588282.1	WP_146379630.1
OG0000106	WP_135618884.1	WP_146379631.1
OG0000107	WP_011284169.1	WP_011284169.1
OG0000108	WP_308507065.1	WP_011206247.1
OG0000109	WP_146379632.1	WP_404924224.1
OG0000110	WP_160585726.1	WP_404924239.1
OG0000111	WP_258555345.1	WP_404924238.1
OG0000112	WP_237697204.1	WP_404924236.1
OG0000113	WP_160585296.1	WP_404924231.1
OG0000114	WP_258555347.1	WP_404923958.1
OG0000115	WP_160585718.1	WP_011290245.1
OG0000116	WP_146379549.1	WP_404924436.1
OG0000117	WP_160588005.1	WP_160590503.1
OG0000118	WP_179221071.1	WP_011290108.1
OG0000119	WP_135618686.1	WP_135618686.1
OG0000120	WP_011284027.1	WP_011284027.1
OG0000121	WP_011284032.1	WP_011284032.1
OG0000122	WP_020835643.1	WP_020835643.1
OG0000123	WP_011205954.1	WP_011205954.1
OG0000124	WP_011290118.1	WP_011290118.1
OG0000125	WP_160588259.1	WP_011205952.1
OG0000126	WP_146379560.1	WP_160585089.1
OG0000127	WP_011290122.1	WP_404924444.1
OG0000128	WP_160585095.1	WP_404924446.1
OG0000129	WP_020835651.1	WP_014579732.1
OG0000130	WP_011284046.1	WP_011284046.1
OG0000131	WP_160588225.1	WP_160588225.1
OG0000132	WP_160588229.1	WP_011205939.1
OG0000133	WP_094521764.1	WP_094521764.1
OG0000134	WP_228365407.1	WP_308507044.1
OG0000135	WP_011206120.1	WP_160585148.1
OG0000136	WP_011206119.1	WP_011206119.1
OG0000137	WP_160588305.1	WP_404924396.1
OG0000138	WP_160587956.1	WP_404924401.1
OG0000139	WP_011206102.1	WP_011290017.1
OG0000140	WP_160584795.1	WP_011206101.1
OG0000141	WP_146379698.1	WP_146379698.1
OG0000142	WP_160587865.1	WP_011284289.1
OG0000143	WP_011206391.1	WP_011206391.1
OG0000144	WP_160587861.1	WP_404924284.1
OG0000145	WP_225972996.1	WP_225972996.1
OG0000146	WP_011206385.1	WP_011206385.1
OG0000147	WP_011206384.1	WP_011206384.1
OG0000148	WP_160587854.1	WP_041361684.1
OG0000149	WP_011290331.1	WP_011290331.1
OG0000150	WP_135619006.1	WP_135619006.1
OG0000151	WP_020835828.1	WP_404924277.1
OG0000152	WP_020835827.1	WP_404924276.1
OG0000153	WP_011206347.1	WP_233688497.1
OG0000154	WP_160587842.1	WP_160587842.1
OG0000155	WP_020835820.1	WP_020835820.1
OG0000156	WP_160587838.1	WP_011206335.1
OG0000157	WP_160587836.1	WP_011206334.1
OG0000158	WP_160587834.1	WP_404924268.1
OG0000159	WP_011206289.1	WP_011206289.1
OG0000160	WP_179221158.1	WP_179221158.1
OG0000161	WP_146379654.1	WP_011206287.1
OG0000162	WP_135619210.1	WP_135619210.1
OG0000163	WP_160588299.1	WP_404924246.1
OG0000164	WP_146379571.1	WP_348572081.1
OG0000165	WP_011206200.1	WP_011206200.1
OG0000166	WP_011206204.1	WP_160590029.1
OG0000167	WP_011206207.1	WP_011206207.1
OG0000168	WP_160587908.1	WP_404924203.1
OG0000169	WP_002557698.1	WP_002557698.1
OG0000170	WP_160588047.1	WP_020835862.1
OG0000171	WP_146379717.1	WP_404924298.1
OG0000172	WP_011206424.1	WP_011206424.1
OG0000173	WP_160588049.1	WP_011206425.1
OG0000174	WP_160588051.1	WP_160600929.1
OG0000175	WP_160588054.1	WP_404924300.1
OG0000176	WP_160588062.1	WP_160585271.1
OG0000177	WP_160585273.1	WP_160585273.1
OG0000178	WP_160585275.1	WP_160585275.1
OG0000179	WP_020835880.1	WP_020835880.1
OG0000180	WP_081642895.1	WP_081642895.1
OG0000181	WP_020835888.1	WP_020835888.1
OG0000182	WP_011284337.1	WP_011206453.1
OG0000183	WP_011206459.1	WP_011206459.1
OG0000184	WP_160588140.1	WP_160585238.1
OG0000185	WP_160588138.1	WP_146379740.1
OG0000186	WP_020835656.1	WP_020835656.1
OG0000187	WP_011284055.1	WP_011284055.1
OG0000188	WP_011205932.1	WP_011205932.1
OG0000189	WP_160588291.1	WP_160607686.1
OG0000190	WP_146379637.1	WP_011206256.1
OG0000191	WP_020835755.1	WP_020835755.1
OG0000192	WP_160587990.1	WP_160587990.1
OG0000193	WP_094521610.1	WP_094521610.1
OG0000194	WP_011290023.1	WP_011290023.1
OG0000195	WP_094521583.1	WP_094521583.1
OG0000196	WP_179695841.1	WP_020835573.1
OG0000197	WP_041361572.1	WP_404924405.1
OG0000198	WP_011283930.1	WP_011283930.1
OG0000199	WP_011206086.1	WP_011206086.1
OG0000200	WP_160588272.1	WP_160588272.1
OG0000201	WP_011283934.1	WP_404924407.1
OG0000202	WP_160588267.1	WP_011290039.1
OG0000203	WP_160588265.1	WP_011206072.1
OG0000204	WP_160588089.1	WP_011206071.1
OG0000205	WP_160588086.1	WP_404924414.1
OG0000206	WP_011290044.1	WP_011290044.1
OG0000207	WP_094521594.1	WP_011206063.1
OG0000208	WP_011290046.1	WP_011290046.1
OG0000209	WP_011206061.1	WP_011206061.1
OG0000210	WP_011206052.1	WP_404924418.1
OG0000211	WP_011290054.1	WP_011290054.1
OG0000212	WP_011206048.1	WP_011206048.1
OG0000213	WP_011283963.1	WP_011283963.1
OG0000214	WP_160588083.1	WP_011206047.1
OG0000215	WP_011290055.1	WP_011290055.1
OG0000216	WP_014579616.1	WP_014579616.1
OG0000217	WP_160588081.1	WP_404924419.1
OG0000218	WP_011290058.1	WP_011290058.1
OG0000219	WP_020835591.1	WP_011206041.1
OG0000220	WP_020835592.1	WP_020835592.1
OG0000221	WP_011206039.1	WP_011206039.1
OG0000222	WP_011206038.1	WP_011206038.1
OG0000223	WP_160588076.1	WP_404924420.1
OG0000224	WP_011206035.1	WP_011206035.1
OG0000225	WP_160588073.1	WP_020835596.1
OG0000226	WP_011206032.1	WP_011206032.1
OG0000227	WP_011206031.1	WP_011290064.1
OG0000228	WP_041361593.1	WP_404924421.1
OG0000229	WP_011206028.1	WP_011206028.1
OG0000230	WP_014579605.1	WP_011206027.1
OG0000231	WP_011206025.1	WP_011206025.1
OG0000232	WP_014579601.1	WP_014579601.1
OG0000233	WP_011290071.1	WP_233688672.1
OG0000234	WP_160587977.1	WP_404924425.1
OG0000235	WP_160587980.1	WP_011290078.1
OG0000236	WP_011283989.1	WP_011283989.1
OG0000237	WP_160587982.1	WP_404924426.1
OG0000238	WP_011283991.1	WP_011206006.1
OG0000239	WP_011290347.1	WP_011290347.1
OG0000240	WP_020835851.1	WP_020835851.1
OG0000241	WP_044272588.1	WP_135619036.1
OG0000242	WP_160588327.1	WP_020835854.1
OG0000243	WP_146379703.1	WP_011290352.1
OG0000244	WP_041361690.1	WP_041361690.1
OG0000245	WP_146379707.1	WP_404924288.1
OG0000246	WP_050195463.1	WP_050195463.1
OG0000247	WP_308507094.1	WP_404924356.1
OG0000248	WP_052259122.1	WP_146379774.1
OG0000249	WP_160588044.1	WP_404924357.1
OG0000250	WP_160588038.1	WP_011289957.1
OG0000251	WP_020835507.1	WP_347952354.1
OG0000252	WP_011205883.1	WP_011205883.1
OG0000253	WP_160588034.1	WP_160606527.1
OG0000254	WP_160588032.1	WP_160584767.1
OG0000255	WP_014579550.1	WP_014579550.1
OG0000256	WP_011205889.1	WP_011205889.1
OG0000257	WP_160588029.1	WP_011289973.1
OG0000258	WP_011289974.1	WP_011283871.1
OG0000259	WP_041361723.1	WP_404924364.1
OG0000260	WP_011289982.1	WP_404924365.1
OG0000261	WP_160588025.1	WP_404924366.1
OG0000262	WP_041361531.1	WP_135618519.1
OG0000263	WP_160585532.1	WP_011283885.1
OG0000264	WP_011283887.1	WP_404924371.1
OG0000265	WP_146379476.1	WP_404924372.1
OG0000266	WP_011205923.1	WP_011205923.1
OG0000267	WP_014579577.1	WP_146379477.1
OG0000268	WP_160588019.1	WP_404924385.1
OG0000269	WP_160584741.1	WP_011206134.1
OG0000270	WP_160588154.1	WP_404924335.1
OG0000271	WP_160588152.1	WP_404924334.1
OG0000272	WP_160588150.1	WP_011284373.1
OG0000273	WP_011206502.1	WP_404924333.1
OG0000274	WP_160588177.1	WP_011290423.1
OG0000275	WP_160588179.1	WP_228366117.1
OG0000276	WP_011290421.1	WP_011290421.1
OG0000277	WP_011206494.1	WP_011206494.1
OG0000278	WP_258555327.1	WP_160588182.1
OG0000279	WP_160588183.1	WP_404924330.1
OG0000280	WP_094521520.1	WP_011206490.1
OG0000281	WP_014580012.1	WP_014580012.1
OG0000282	WP_160588184.1	WP_404924327.1
OG0000283	WP_011206485.1	WP_160584907.1
OG0000284	WP_011206484.1	WP_404924501.1
OG0000285	WP_160584909.1	WP_404924325.1
OG0000286	WP_146379652.1	WP_146379652.1
OG0000287	WP_011284216.1	WP_011206297.1
OG0000288	WP_011206299.1	WP_011206299.1
OG0000289	WP_020835793.1	WP_404924251.1
OG0000290	WP_011284237.1	WP_011290297.1
OG0000291	WP_011206320.1	WP_011206320.1
OG0000292	WP_160587820.1	WP_404924261.1
OG0000293	WP_160587817.1	WP_404924260.1
OG0000294	WP_160587813.1	WP_404924259.1
OG0000295	WP_011206315.1	WP_404924258.1
OG0000296	WP_044272552.1	WP_404924255.1
OG0000297	WP_160588315.1	WP_146379664.1
OG0000298	WP_160588040.1	WP_160606533.1
OG0000299	WP_094521545.1	WP_094521545.1
OG0000300	WP_041361533.1	WP_041361533.1
OG0000301	WP_011283891.1	WP_135618529.1
OG0000302	WP_014579576.1	WP_011205925.1
OG0000303	WP_146379484.1	WP_146379484.1
OG0000304	WP_011283978.1	WP_220190741.1
OG0000305	WP_160587859.1	WP_404924282.1
OG0000306	WP_044272563.1	WP_146379686.1
OG0000307	WP_160587844.1	WP_404924275.1
OG0000308	WP_044284683.1	WP_404911934.1
OG0000309	WP_011206313.1	WP_011206313.1
OG0000310	WP_160588319.1	WP_011206298.1
OG0000311	WP_011206293.1	WP_011206293.1
OG0000312	WP_041361671.1	WP_041361671.1
OG0000313	WP_011206141.1	WP_011206141.1
OG0000314	WP_160587902.1	WP_404924483.1
OG0000315	WP_011290197.1	WP_011290197.1
OG0000316	WP_160587912.1	WP_404924204.1
OG0000317	WP_160585126.1	WP_135618864.1
OG0000318	WP_220191051.1	WP_404924205.1
