Orthogroup	MHP_MHP709_proteins	MHP_111A_proteins
OG0000000	WP_308507069.1	WP_404912243.1
OG0000000	WP_160588362.1	WP_404912390.1
OG0000000	WP_160588195.1	WP_404912388.1
OG0000000	WP_334199370.1	WP_404912449.1
OG0000001	WP_258555241.1	WP_404911958.1
OG0000001	WP_258555237.1	WP_011206342.1
OG0000002	WP_258555377.1	WP_225972974.1
OG0000002	WP_160588366.1	WP_146379587.1
OG0000002	WP_160588356.1	WP_404912241.1
OG0000003	WP_308507067.1	WP_225973025.1
OG0000004	WP_160588068.1	WP_160585636.1
OG0000004	WP_020835887.1	WP_404912021.1
OG0000004	WP_220191127.1	WP_404912454.1
OG0000005	WP_160588124.1	WP_404912131.1
OG0000005	WP_160588374.1	WP_404912133.1
OG0000005	WP_160588334.1	WP_404912135.1
OG0000006	WP_225972988.1	WP_404911894.1
OG0000007	WP_011284157.1	WP_011284157.1
OG0000007	WP_002557993.1	WP_002557993.1
OG0000007	WP_258555368.1	WP_002557992.1
OG0000008	WP_258555379.1	WP_404912369.1
OG0000008	WP_308507071.1	WP_404911898.1
OG0000009	WP_146379448.1	WP_041361519.1
OG0000009	WP_011290021.1	WP_011290021.1
OG0000010	WP_160587884.1	WP_404911810.1
OG0000011	WP_160587900.1	WP_404911790.1
OG0000011	WP_160587898.1	WP_404911792.1
OG0000012	WP_179221115.1	WP_404912469.1
OG0000013	WP_258555342.1	WP_404911873.1
OG0000014	WP_160587971.1	WP_404912270.1
OG0000014	WP_160587966.1	WP_404912188.1
OG0000016	WP_160588042.1	WP_404912144.1
OG0000017	WP_020835500.1	WP_020835500.1
OG0000017	WP_020835837.1	WP_020835837.1
OG0000018	WP_160588235.1	WP_404912320.1, WP_404912406.1
OG0000019	WP_160588348.1	WP_404911993.1, WP_404911991.1, WP_404911989.1
OG0000020	WP_160588169.1	WP_404912096.1
OG0000020	WP_220191087.1	WP_404912098.1
OG0000021	WP_044284635.1	WP_160606951.1
OG0000022	WP_160588207.1	WP_404912375.1
OG0000022	WP_160588197.1	WP_404912386.1
OG0000023	WP_160588233.1	WP_404912318.1, WP_404912402.1
OG0000024	WP_160585259.1	WP_160585259.1
OG0000024	WP_160588003.1	WP_404912310.1
OG0000025	WP_160588205.1	WP_404912377.1
OG0000025	WP_160588199.1	WP_404912384.1
OG0000026	WP_192894288.1	WP_192894288.1
OG0000026	WP_160588201.1	WP_160606777.1
OG0000027	WP_020835902.1	WP_404912049.1
OG0000027	WP_160588189.1	WP_404912055.1
OG0000028	WP_160588297.1	WP_404911882.1
OG0000029	WP_160588071.1	WP_404912268.1
OG0000029	WP_160587963.1	WP_404912190.1
OG0000030	WP_160588148.1	WP_240536353.1
OG0000030	WP_020835904.1	WP_404912053.1
OG0000031	WP_011290137.1	WP_011290137.1, WP_404912416.1
OG0000032	WP_160588340.1	WP_135618726.1
OG0000032	WP_308507099.1	WP_404912051.1
OG0000033	WP_160588215.1	WP_404911880.1, WP_404911875.1, WP_404911876.1
OG0000034	WP_243234977.1	WP_243234977.1
OG0000034	WP_233688424.1	WP_233688424.1
OG0000035	WP_160588344.1	WP_404912019.1
OG0000035	WP_160588066.1	WP_404912017.1
OG0000036	WP_020835495.1	WP_404912137.1
OG0000037	WP_308507101.1	WP_404912443.1
OG0000038	WP_160588009.1	WP_404912173.1, WP_404911825.1
OG0000039	WP_160588346.1	WP_179221095.1
OG0000040	WP_160588136.1	WP_404912035.1, WP_404912033.1, WP_404912462.1
OG0000041	WP_258555272.1	WP_011290019.1, WP_404912290.1
OG0000042	WP_160588323.1	WP_044272729.1
OG0000043	WP_014579804.1	WP_404911800.1
OG0000044	WP_225973034.1	WP_081430780.1
OG0000044	WP_011206179.1	WP_404911819.1
OG0000045	WP_225973032.1	WP_404912363.1, WP_404912361.1
OG0000046	WP_258555308.1	WP_258555308.1
OG0000046	WP_308507097.1	WP_404912037.1
OG0000048	WP_011284150.1	WP_404912397.1
OG0000049	WP_020835860.1	WP_020835860.1
OG0000050	WP_160588301.1	WP_404911890.1
OG0000051	WP_160587825.1	WP_404911930.1
OG0000052	WP_146379447.1	WP_404912127.1, WP_404912125.1
OG0000053	WP_160588221.1	WP_160585093.1
OG0000054	WP_160588303.1	WP_020835786.1
OG0000055	WP_146379455.1	WP_160606887.1
OG0000056	WP_160588161.1	WP_404912090.1
OG0000057	WP_160587863.1	WP_220191159.1
OG0000060	WP_225973002.1	WP_258556516.1
OG0000061	WP_160587888.1	WP_404911806.1
OG0000062	WP_160588098.1	WP_094521530.1
OG0000063	WP_146379768.1	WP_404912101.1
OG0000064	WP_160588095.1	WP_011290440.1
OG0000065	WP_011290219.1	WP_233688433.1
OG0000066	WP_160588243.1	WP_011205965.1
OG0000068	WP_160587949.1	WP_011206103.1
OG0000069	WP_011284269.1	WP_011206373.1
OG0000070	WP_146379657.1	WP_011206292.1
OG0000071	WP_160585219.1	WP_146379735.1
OG0000072	WP_160588134.1	WP_404912031.1
OG0000073	WP_011206093.1	WP_404912207.1
OG0000074	WP_044284596.1	WP_308704709.1
OG0000075	WP_014579568.1	WP_014579568.1
OG0000076	WP_160584756.1	WP_404912160.1
OG0000077	WP_160588013.1	WP_404912169.1
OG0000078	WP_160588203.1	WP_404912379.1
OG0000079	WP_011206305.1	WP_404911913.1
OG0000080	WP_179695988.1	WP_011206314.1
OG0000081	WP_160588023.1	WP_160615521.1
OG0000083	WP_160587917.1	WP_011206216.1
OG0000084	WP_011284142.1	WP_011284142.1
OG0000085	WP_011206223.1	WP_011206223.1
OG0000086	WP_160587925.1	WP_404912428.1
OG0000087	WP_160587927.1	WP_404912425.1
OG0000088	WP_044272480.1	WP_020835733.1
OG0000089	WP_011206231.1	WP_011206231.1
OG0000090	WP_160588122.1	WP_020835488.1
OG0000091	WP_160588118.1	WP_020835487.1
OG0000092	WP_011205847.1	WP_404912119.1
OG0000093	WP_160588114.1	WP_011205846.1
OG0000094	WP_014579519.1	WP_014579519.1
OG0000095	WP_044272251.1	WP_044272251.1
OG0000096	WP_011206529.1	WP_404912113.1
OG0000097	WP_258555298.1	WP_404912105.1
OG0000098	WP_160588100.1	WP_011290444.1
OG0000099	WP_160588163.1	WP_404912092.1
OG0000100	WP_160585575.1	WP_011290432.1
OG0000101	WP_011206510.1	WP_011206510.1
OG0000102	WP_160588213.1	WP_404912445.1
OG0000103	WP_160588278.1	WP_146379627.1
OG0000104	WP_011206239.1	WP_011206239.1
OG0000105	WP_160588282.1	WP_146379630.1
OG0000106	WP_135618884.1	WP_146379631.1
OG0000107	WP_011284169.1	WP_011284169.1
OG0000108	WP_308507065.1	WP_404911836.1
OG0000109	WP_146379632.1	WP_146379632.1
OG0000110	WP_160585726.1	WP_020835772.1
OG0000111	WP_258555345.1	WP_020835771.1
OG0000112	WP_237697204.1	WP_404911866.1
OG0000113	WP_160585296.1	WP_404911858.1
OG0000114	WP_258555347.1	WP_404911856.1
OG0000115	WP_160585718.1	WP_011290245.1
OG0000116	WP_146379549.1	WP_404912315.1
OG0000117	WP_160588005.1	WP_160615714.1
OG0000118	WP_179221071.1	WP_404912325.1
OG0000119	WP_135618686.1	WP_160585678.1
OG0000120	WP_011284027.1	WP_011284027.1
OG0000121	WP_011284032.1	WP_011284032.1
OG0000122	WP_020835643.1	WP_020835643.1
OG0000123	WP_011205954.1	WP_011205954.1
OG0000124	WP_011290118.1	WP_011290118.1
OG0000125	WP_160588259.1	WP_011205952.1
OG0000126	WP_146379560.1	WP_160606641.1
OG0000127	WP_011290122.1	WP_011290122.1
OG0000128	WP_160585095.1	WP_404912339.1
OG0000129	WP_020835651.1	WP_020835651.1
OG0000130	WP_011284046.1	WP_011284046.1
OG0000131	WP_160588225.1	WP_094521635.1
OG0000132	WP_160588229.1	WP_404912347.1
OG0000133	WP_094521764.1	WP_014579589.1
OG0000134	WP_228365407.1	WP_404912178.1
OG0000135	WP_011206120.1	WP_011206120.1
OG0000136	WP_011206119.1	WP_179695961.1
OG0000137	WP_160588305.1	WP_011206113.1
OG0000138	WP_160587956.1	WP_160584793.1
OG0000139	WP_011206102.1	WP_011290017.1
OG0000140	WP_160584795.1	WP_011206101.1
OG0000141	WP_146379698.1	WP_011284290.1
OG0000142	WP_160587865.1	WP_011284289.1
OG0000143	WP_011206391.1	WP_135619026.1
OG0000144	WP_160587861.1	WP_404911973.1
OG0000145	WP_225972996.1	WP_225972996.1
OG0000146	WP_011206385.1	WP_011206385.1
OG0000147	WP_011206384.1	WP_011206384.1
OG0000148	WP_160587854.1	WP_404911967.1
OG0000149	WP_011290331.1	WP_011290331.1
OG0000150	WP_135619006.1	WP_011206376.1
OG0000151	WP_020835828.1	WP_020835828.1
OG0000152	WP_020835827.1	WP_020835827.1
OG0000153	WP_011206347.1	WP_011206347.1
OG0000154	WP_160587842.1	WP_160587842.1
OG0000155	WP_020835820.1	WP_020835820.1
OG0000156	WP_160587838.1	WP_011206335.1
OG0000157	WP_160587836.1	WP_011290309.1
OG0000158	WP_160587834.1	WP_404911941.1
OG0000159	WP_011206289.1	WP_011206289.1
OG0000160	WP_179221158.1	WP_179221158.1
OG0000161	WP_146379654.1	WP_014579880.1
OG0000162	WP_135619210.1	WP_044272532.1
OG0000163	WP_160588299.1	WP_404911888.1
OG0000164	WP_146379571.1	WP_160601269.1
OG0000165	WP_011206200.1	WP_011206200.1
OG0000166	WP_011206204.1	WP_404911786.1
OG0000167	WP_011206207.1	WP_011206207.1
OG0000168	WP_160587908.1	WP_404911779.1
OG0000169	WP_002557698.1	WP_002557698.1
OG0000170	WP_160588047.1	WP_020835862.1
OG0000171	WP_146379717.1	WP_404911998.1
OG0000172	WP_011206424.1	WP_011206424.1
OG0000173	WP_160588049.1	WP_011206425.1
OG0000174	WP_160588051.1	WP_404912001.1
OG0000175	WP_160588054.1	WP_404912008.1
OG0000176	WP_160588062.1	WP_160607777.1
OG0000177	WP_160585273.1	WP_160585273.1
OG0000178	WP_160585275.1	WP_020835878.1
OG0000179	WP_020835880.1	WP_160585639.1
OG0000180	WP_081642895.1	WP_160585638.1
OG0000181	WP_020835888.1	WP_020835888.1
OG0000182	WP_011284337.1	WP_011284337.1
OG0000183	WP_011206459.1	WP_011206459.1
OG0000184	WP_160588140.1	WP_011206468.1
OG0000185	WP_160588138.1	WP_020835897.1
OG0000186	WP_020835656.1	WP_404912349.1
OG0000187	WP_011284055.1	WP_011284055.1
OG0000188	WP_011205932.1	WP_011205932.1
OG0000189	WP_160588291.1	WP_404911845.1
OG0000190	WP_146379637.1	WP_011206256.1
OG0000191	WP_020835755.1	WP_146379633.1
OG0000192	WP_160587990.1	WP_404912441.1
OG0000193	WP_094521610.1	WP_404912294.1
OG0000194	WP_011290023.1	WP_011290023.1
OG0000195	WP_094521583.1	WP_094521583.1
OG0000196	WP_179695841.1	WP_179221025.1
OG0000197	WP_041361572.1	WP_041361572.1
OG0000198	WP_011283930.1	WP_011283930.1
OG0000199	WP_011206086.1	WP_011206086.1
OG0000200	WP_160588272.1	WP_020835575.1
OG0000201	WP_011283934.1	WP_011283934.1
OG0000202	WP_160588267.1	WP_011290039.1
OG0000203	WP_160588265.1	WP_011206072.1
OG0000204	WP_160588089.1	WP_146379508.1
OG0000205	WP_160588086.1	WP_160606691.1
OG0000206	WP_011290044.1	WP_011290044.1
OG0000207	WP_094521594.1	WP_011206063.1
OG0000208	WP_011290046.1	WP_135618591.1
OG0000209	WP_011206061.1	WP_011206061.1
OG0000210	WP_011206052.1	WP_146379515.1
OG0000211	WP_011290054.1	WP_011290054.1
OG0000212	WP_011206048.1	WP_011206048.1
