#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_CP038641.1:628064-628594|- -            177 4324at2085           -            135   9.8e-42  137.6   2.6   1   1   2.3e-43   1.9e-41  136.7   2.6     1   134     1   168     1   169 0.79 NZ_CP038641.1_513 # 628064 # 628594 # -1 # ID=1_513;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.307
NZ_CP038641.1:90456-91757|+   -            434 4324at2085           -            135   5.9e-15   50.9   9.0   1   3   5.2e-10   4.3e-08   28.7   0.2    10    46     3    39     1   131 0.71 NZ_CP038641.1_72 # 90456 # 91757 # 1 # ID=1_72;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.290
NZ_CP038641.1:90456-91757|+   -            434 4324at2085           -            135   5.9e-15   50.9   9.0   2   3     5e-09   4.2e-07   25.5   0.2    11    59   172   227   162   311 0.64 NZ_CP038641.1_72 # 90456 # 91757 # 1 # ID=1_72;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.290
NZ_CP038641.1:90456-91757|+   -            434 4324at2085           -            135   5.9e-15   50.9   9.0   3   3      0.52        44   -0.5   0.4    25    82   353   412   334   421 0.72 NZ_CP038641.1_72 # 90456 # 91757 # 1 # ID=1_72;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.290
NZ_CP038641.1:110364-111155|+ -            264 4324at2085           -            135     1e-09   33.9   6.3   1   3     0.019       1.6    4.2   0.3   100   124    42    66    10    73 0.76 NZ_CP038641.1_89 # 110364 # 111155 # 1 # ID=1_89;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.268
NZ_CP038641.1:110364-111155|+ -            264 4324at2085           -            135     1e-09   33.9   6.3   2   3   1.8e-10   1.5e-08   30.2   0.1    10    71   111   174   103   200 0.80 NZ_CP038641.1_89 # 110364 # 111155 # 1 # ID=1_89;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.268
NZ_CP038641.1:110364-111155|+ -            264 4324at2085           -            135     1e-09   33.9   6.3   3   3      0.15        12    1.3   0.1    84   114   208   238   193   244 0.85 NZ_CP038641.1_89 # 110364 # 111155 # 1 # ID=1_89;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.268
NZ_CP038641.1:242307-243635|- -            443 4324at2085           -            135   4.9e-08   28.5   4.1   1   2       4.7   3.9e+02   -3.5   0.0    27    49    93   115    88   124 0.63 NZ_CP038641.1_217 # 242307 # 243635 # -1 # ID=1_217;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.317
NZ_CP038641.1:242307-243635|- -            443 4324at2085           -            135   4.9e-08   28.5   4.1   2   2     1e-09   8.7e-08   27.7   2.3    11   129   218   350   214   358 0.68 NZ_CP038641.1_217 # 242307 # 243635 # -1 # ID=1_217;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.317
NZ_CP038641.1:193418-194299|- -            294 4324at2085           -            135   1.3e-06   23.9   3.4   1   1   4.1e-08   3.4e-06   22.6   3.4    12   115     9   129     3   141 0.63 NZ_CP038641.1_158 # 193418 # 194299 # -1 # ID=1_158;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.290
NZ_CP038641.1:190239-191096|- -            286 4324at2085           -            135   8.7e-06   21.2   2.5   1   2       0.6        50   -0.7   0.2    96   117    99   120    87   142 0.60 NZ_CP038641.1_154 # 190239 # 191096 # -1 # ID=1_154;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.279
NZ_CP038641.1:190239-191096|- -            286 4324at2085           -            135   8.7e-06   21.2   2.5   2   2   1.2e-07     1e-05   21.0   0.2    13    77   156   232   150   241 0.73 NZ_CP038641.1_154 # 190239 # 191096 # -1 # ID=1_154;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.279
NZ_CP038641.1:811003-812802|- -            600 4324at2085           -            135   0.00039   15.9   0.1   1   3       1.3   1.1e+02   -1.7   0.1    77   115    30    68    16    78 0.77 NZ_CP038641.1_652 # 811003 # 812802 # -1 # ID=1_652;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.352
