Orthogroup	MHP_168_proteins	MHP_MHP679_proteins
OG0000000	WP_014579857.1	WP_308704714.1
OG0000000	WP_233417365.1	WP_308704704.1
OG0000001	WP_014579709.1	WP_020835629.1
OG0000001	WP_228365393.1	WP_228365393.1
OG0000001	WP_014579924.1	WP_258555715.1
OG0000002	WP_228365382.1	WP_160585200.1
OG0000002	WP_014579748.1, WP_014579753.1	WP_160585690.1
OG0000003	WP_014579780.1	WP_160590073.1, WP_160590541.1
OG0000003	WP_052293597.1	WP_192894277.1
OG0000004	WP_014579982.1	WP_160590535.1
OG0000004	WP_014579984.1	WP_160590525.1
OG0000005	WP_014579527.1	WP_160590470.1
OG0000005	WP_014579529.1	WP_160590473.1
OG0000005	WP_228365402.1	WP_160590475.1
OG0000008	WP_014579768.1	WP_258555683.1
OG0000008	WP_014579887.1	WP_160590314.1
OG0000010	WP_014579794.1	WP_160590099.1
OG0000011	WP_011284124.1	WP_160590024.1
OG0000011	WP_014579809.1	WP_160590022.1
OG0000013	WP_228365388.1	WP_258555710.1
OG0000013	WP_228365404.1	WP_308704697.1
OG0000014	WP_014579661.1	WP_160590533.1
OG0000014	WP_014579660.1	WP_160590409.1
OG0000015	WP_014579770.1, WP_014580032.1	WP_258555732.1
OG0000015	WP_014579691.1	WP_014579691.1
OG0000016	WP_014579937.1	WP_160590155.1
OG0000016	WP_044277949.1	WP_146379459.1
OG0000017	WP_228365403.1	WP_243215933.1
OG0000017	WP_014579938.1	WP_020835837.1
OG0000018	WP_014579688.1	WP_160581239.1
OG0000019	WP_014579959.1, WP_014579958.1	WP_160590527.1
OG0000020	WP_187286313.1	WP_258555701.1
OG0000021	WP_014579861.1	WP_135618734.1
OG0000022	WP_044277993.1	WP_160590243.1
OG0000022	WP_014579755.1	WP_160590230.1
OG0000023	WP_228365414.1	WP_258555660.1
OG0000024	WP_014579922.1	WP_160585259.1
OG0000025	WP_011284074.1	WP_160590241.1
OG0000025	WP_014579756.1	WP_135618779.1
OG0000026	WP_044277987.1	WP_044284614.1
OG0000026	WP_014579760.1	WP_160590234.1
OG0000027	WP_011206475.1	WP_020835902.1
OG0000027	WP_014580004.1	WP_160590222.1
OG0000029	WP_014579599.1	WP_160590401.1
OG0000030	WP_228365396.1	WP_308704613.1
OG0000030	WP_014580003.1	WP_160590224.1
OG0000031	WP_011206356.1, WP_011290238.1	WP_160590091.1
OG0000032	WP_014580002.1	WP_308704702.1
OG0000036	WP_014579530.1	WP_014579530.1
OG0000037	WP_014579778.1	WP_258555721.1
OG0000039	WP_187286318.1	WP_160590481.1
OG0000040	WP_014579993.1	WP_160590346.1
OG0000041	WP_014579652.1	WP_011290019.1
OG0000041	WP_228365413.1	WP_220200784.1
OG0000042	WP_014579952.1	WP_160590420.1
OG0000043	WP_014579681.1	WP_160585024.1
OG0000044	WP_225973034.1	WP_225973034.1
OG0000045	WP_228365422.1	WP_258555619.1
OG0000046	WP_014579994.1	WP_160590348.1
OG0000047	WP_014580034.1, WP_014579684.1	WP_160590089.1
OG0000048	WP_014579838.1	WP_160590061.1
OG0000049	WP_014579961.1	WP_160590201.1
OG0000050	WP_014579879.1	WP_160590319.1
OG0000051	WP_044278027.1, WP_014579910.1	WP_160590119.1
OG0000052	WP_014579524.1	WP_160590168.1
OG0000053	WP_014579730.1	WP_160590280.1
OG0000054	WP_014579883.1	WP_011206291.1
OG0000055	WP_014579531.1	WP_014579531.1
OG0000056	WP_148218555.1	WP_160590364.1
OG0000057	WP_228365395.1	WP_020835847.1
OG0000058	WP_014579678.1	WP_160590097.1
OG0000059	WP_014579680.1	WP_258555663.1
OG0000062	WP_014580045.1	WP_094521530.1
OG0000063	WP_014580044.1	WP_041361715.1
OG0000064	WP_014580043.1	WP_011290440.1
OG0000065	WP_228365381.1	WP_011290219.1
OG0000066	WP_011205965.1	WP_160588243.1
OG0000067	WP_014579588.1	WP_160590329.1
OG0000068	WP_011206103.1	WP_258555735.1
OG0000069	WP_011284269.1	WP_011206373.1
OG0000070	WP_014579884.1	WP_011206292.1
OG0000071	WP_014579991.1	WP_160585219.1
OG0000072	WP_014579992.1	WP_160590344.1
OG0000073	WP_011206093.1	WP_011206093.1
OG0000074	WP_014579624.1	WP_308704709.1
OG0000075	WP_014579568.1	WP_160590545.1, WP_135618517.1
OG0000076	WP_011289987.1	WP_160584756.1
OG0000077	WP_014579581.1	WP_160590009.1
OG0000078	WP_014579762.1	WP_160590237.1
OG0000079	WP_011206305.1	WP_020835797.1
OG0000080	WP_179695988.1	WP_179695988.1
OG0000081	WP_014579567.1	WP_160590000.1
OG0000082	WP_228365387.1	WP_258555711.1
OG0000083	WP_014579823.1	WP_160590043.1
OG0000084	WP_014579845.1	WP_011284142.1
OG0000085	WP_014579844.1	WP_160590049.1
OG0000086	WP_014579843.1	WP_160590052.1
OG0000087	WP_014579840.1	WP_020835732.1
OG0000088	WP_014579839.1	WP_160590058.1
OG0000089	WP_011206231.1	WP_011206231.1
OG0000090	WP_044278048.1	WP_094521535.1
OG0000091	WP_014579522.1	WP_160584849.1
