#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scf00000000:781007-782746|- -            580 539at2085            -            541  1.9e-246  814.3  14.1   1   1  1.2e-248  2.2e-246  814.1  14.1     1   541     8   574     8   574 0.97 scf00000000_624 # 781007 # 782746 # -1 # ID=1_624;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.297
scf00000000:89937-91304|+   -            456 539at2085            -            541   4.3e-10   34.2   1.0   1   3      0.16        29   -1.5   0.0   197   228    56    87    39   101 0.72 scf00000000_71 # 89937 # 91304 # 1 # ID=1_71;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.302
scf00000000:89937-91304|+   -            456 539at2085            -            541   4.3e-10   34.2   1.0   2   3   1.3e-08   2.3e-06   21.9   0.1   235   346   157   268   150   272 0.88 scf00000000_71 # 89937 # 91304 # 1 # ID=1_71;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.302
scf00000000:89937-91304|+   -            456 539at2085            -            541   4.3e-10   34.2   1.0   3   3   5.9e-05      0.01    9.8   0.1   451   540   354   449   348   450 0.83 scf00000000_71 # 89937 # 91304 # 1 # ID=1_71;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.302
scf00000000:486632-488071|- -            480 539at2085            -            541   1.6e-07   25.7   6.4   1   2     0.014       2.5    2.0   0.0   186   317    43   184    34   196 0.65 scf00000000_404 # 486632 # 488071 # -1 # ID=1_404;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.310
scf00000000:486632-488071|- -            480 539at2085            -            541   1.6e-07   25.7   6.4   2   2   1.6e-09   2.8e-07   24.9   2.3   408   525   237   366   226   382 0.78 scf00000000_404 # 486632 # 488071 # -1 # ID=1_404;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.310
scf00000000:321276-322517|+ -            414 539at2085            -            541   0.00012   16.2   0.4   1   3      0.17        30   -1.6   0.2    99   142     9    52     3    89 0.64 scf00000000_272 # 321276 # 322517 # 1 # ID=1_272;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.318
scf00000000:321276-322517|+ -            414 539at2085            -            541   0.00012   16.2   0.4   2   3   2.1e-05    0.0037   11.3   0.0   153   362   133   347   128   353 0.80 scf00000000_272 # 321276 # 322517 # 1 # ID=1_272;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.318
scf00000000:321276-322517|+ -            414 539at2085            -            541   0.00012   16.2   0.4   3   3     0.014       2.5    2.0   0.0   411   458   361   406   354   409 0.76 scf00000000_272 # 321276 # 322517 # 1 # ID=1_272;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.318
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/MHP691/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/539at2085.hmm
# Target file:     /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/MHP691/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/MHP691/Use/busco_complete/run_mycoplasmatales_odb10/hmmer_output/539at2085.out --cpu 1 /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/MHP691/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/539at2085.hmm /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/MHP691/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/MHP691/Use
# Date:            Sun Dec  1 19:15:03 2024
# [ok]
