Orthogroup	MHP_7448_proteins	MHP_4284_proteins
OG0000000	WP_228366139.1	WP_406823103.1
OG0000000	WP_044272432.1, WP_081420845.1	WP_406823272.1
OG0000001	WP_187145661.1	WP_406823250.1
OG0000001	WP_228365393.1	WP_240536609.1
OG0000001	WP_020835822.1	WP_406823154.1
OG0000002	WP_020835748.1	WP_258555377.1
OG0000002	WP_011206235.1	WP_160606963.1
OG0000002	WP_020835682.1	WP_406823273.1
OG0000003	WP_052269171.1	WP_406823104.1, WP_406823281.1
OG0000004	WP_020835883.1	WP_406823181.1
OG0000004	WP_044272630.1	WP_406823182.1
OG0000004	WP_020835887.1	WP_406823184.1
OG0000004	WP_228366111.1	WP_404924499.1
OG0000004	WP_228366112.1	WP_406823299.1
OG0000005	WP_011289941.1	WP_406823208.1
OG0000005	WP_011289945.1	WP_348571918.1
OG0000005	WP_011289942.1	WP_146379450.1
OG0000005	WP_011289943.1	WP_406823209.1
OG0000005	WP_011289946.1	WP_406823210.1
OG0000006	WP_225972978.1	WP_225972978.1
OG0000008	WP_011290229.1	WP_406823102.1
OG0000008	WP_044272707.1	WP_406823264.1
OG0000008	WP_228366102.1	WP_406823131.1
OG0000009	WP_041361519.1	WP_146379448.1
OG0000009	WP_011290021.1	WP_146379497.1
OG0000010	WP_011290178.1	WP_406823282.1
OG0000011	WP_011290191.1	WP_406823289.1
OG0000011	WP_044272461.1	WP_406823288.1
OG0000013	WP_228366099.1	WP_406823122.1
OG0000014	WP_011290011.1	WP_406823237.1
OG0000015	WP_041361615.1	WP_240536643.1
OG0000016	WP_044272572.1	WP_020835836.1
OG0000016	WP_011289955.1	WP_406823211.1
OG0000017	WP_020835500.1	WP_020835500.1
OG0000017	WP_020835837.1	WP_020835837.1
OG0000018	WP_020835635.1	WP_020835635.1
OG0000019	WP_044272594.1	WP_406823174.1, WP_406823173.1, WP_406823172.1
OG0000019	WP_011290357.1	WP_406823175.1
OG0000020	WP_011290437.1	WP_406823202.1
OG0000020	WP_011290438.1	WP_406823203.1
OG0000022	WP_011290146.1	WP_406823266.1
