Orthogroup	MHP_7448_proteins	MFC_MF30_proteins
OG0000000	WP_228366139.1	WP_308705463.1
OG0000000	WP_044272432.1	WP_160605580.1
OG0000001	WP_187145661.1, WP_228366130.1, WP_228365393.1, WP_228366104.1, WP_020835822.1	WP_002557631.1
OG0000002	WP_020835748.1, WP_011206235.1	WP_160605454.1
OG0000002	WP_020835682.1	WP_160605578.1
OG0000004	WP_228366111.1, WP_228366110.1, WP_228366112.1	WP_220190801.1
OG0000011	WP_011290191.1	WP_160605422.1
OG0000011	WP_044272461.1	WP_160605420.1
OG0000013	WP_228366099.1	WP_160605387.1, WP_160605385.1
OG0000013	WP_228366120.1	WP_258555096.1
OG0000014	WP_011290070.1, WP_011290011.1	WP_220190749.1
OG0000016	WP_044272572.1	WP_160580902.1
OG0000017	WP_020835500.1	WP_002557881.1
OG0000017	WP_020835837.1	WP_160605334.1
OG0000019	WP_044272603.1, WP_044272594.1, WP_011290357.1, WP_044272600.1	WP_160605640.1
OG0000020	WP_011290438.1	WP_308705457.1
OG0000022	WP_011290156.1	WP_160583783.1
OG0000024	WP_011290315.1, WP_011290098.1	WP_258555110.1
OG0000025	WP_011290155.1	WP_160583781.1
OG0000026	WP_044272393.1, WP_011290151.1	WP_002557545.1
OG0000027	WP_011290410.1	WP_160605603.1
OG0000029	WP_011290069.1, WP_011290012.1	WP_160605322.1
OG0000030	WP_044272656.1, WP_044272658.1	WP_160605605.1
OG0000031	WP_011290238.1	WP_160605408.1
OG0000039	WP_011290139.1	WP_160605326.1
OG0000040	WP_044272644.1	WP_258555133.1, WP_160605352.1
OG0000042	WP_044272729.1	WP_160605324.1, WP_160605340.1
OG0000043	WP_011290239.1	WP_160605410.1
OG0000045	WP_020835667.1	WP_002557601.1
OG0000047	WP_020835556.1	WP_155897261.1
OG0000048	WP_011290213.1	WP_160605621.1
OG0000049	WP_011290363.1	WP_308705455.1
OG0000050	WP_044272534.1	WP_160605404.1
OG0000051	WP_011290299.1	WP_160581217.1
OG0000052	WP_011289937.1	WP_002557464.1
OG0000053	WP_044272405.1	WP_160605623.1
OG0000054	WP_044272538.1	WP_160605400.1
OG0000055	WP_011205867.1	WP_002557874.1, WP_323749063.1
OG0000056	WP_081420855.1	WP_160605584.1
OG0000057	WP_011290343.1	WP_258555107.1
OG0000062	WP_011290443.1	WP_002557486.1
OG0000063	WP_044272678.1	WP_160605552.1
OG0000064	WP_011290440.1	WP_160581114.1
OG0000065	WP_011290219.1	WP_002557517.1
OG0000066	WP_011205965.1	WP_002557543.1
OG0000068	WP_011206103.1	WP_002557593.1
OG0000069	WP_011206373.1	WP_002557626.1
OG0000070	WP_011206292.1	WP_160605398.1
OG0000071	WP_044272640.1	WP_160605649.1, WP_160581282.1
OG0000072	WP_044272642.1	WP_160605550.1
OG0000073	WP_011206093.1	WP_039387630.1
OG0000075	WP_014579568.1	WP_160605306.1
OG0000076	WP_011289987.1	WP_002557921.1
OG0000077	WP_011289996.1	WP_160605308.1
OG0000079	WP_011206305.1	WP_160580968.1
OG0000080	WP_011206314.1	WP_196792423.1
OG0000081	WP_011289985.1	WP_308705447.1
OG0000082	WP_081420852.1	WP_220190753.1
OG0000083	WP_014579823.1	WP_002557446.1
OG0000084	WP_011284142.1	WP_002557451.1
OG0000085	WP_011206223.1	WP_002557452.1
OG0000086	WP_011290207.1	WP_160605611.1
OG0000087	WP_044272477.1	WP_236681783.1
OG0000088	WP_044272480.1	WP_002557458.1
OG0000089	WP_011290212.1	WP_160605617.1
OG0000090	WP_011289936.1	WP_002557465.1
OG0000091	WP_020835487.1	WP_160605562.1
OG0000092	WP_011205847.1	WP_002557471.1
OG0000093	WP_044272266.1	WP_002557472.1
OG0000094	WP_020835483.1	WP_002557473.1
OG0000095	WP_044272251.1	WP_160605558.1
OG0000096	WP_011206529.1	WP_002557480.1
OG0000097	WP_228366118.1	WP_002557483.1
OG0000098	WP_011290444.1	WP_160581106.1
OG0000099	WP_044272675.1	WP_160605586.1
OG0000100	WP_011290432.1	WP_160605582.1
OG0000101	WP_011206510.1	WP_002557497.1
OG0000102	WP_044272430.1	WP_160593490.1
OG0000103	WP_011290214.1	WP_160605508.1
OG0000104	WP_011206239.1	WP_002557510.1
OG0000105	WP_011290216.1	WP_002557514.1
OG0000106	WP_011290218.1	WP_160605510.1
OG0000107	WP_011284169.1	WP_002557518.1
OG0000108	WP_011206247.1	WP_002557519.1
OG0000109	WP_020835754.1	WP_160583943.1
OG0000110	WP_011290256.1	WP_160581160.1
OG0000111	WP_044272514.1	WP_002557523.1
OG0000112	WP_228366098.1	WP_160605514.1
OG0000113	WP_014579864.1	WP_002557528.1
OG0000114	WP_044272509.1	WP_002557530.1
OG0000115	WP_011290245.1	WP_160583957.1
OG0000116	WP_011290103.1	WP_002557534.1
OG0000117	WP_044272388.1	WP_002557535.1
OG0000118	WP_011290108.1	WP_160605524.1
OG0000119	WP_011290109.1	WP_160605526.1
OG0000120	WP_011284027.1	WP_160581189.1
OG0000121	WP_011290114.1	WP_002557548.1
OG0000122	WP_044272399.1	WP_002557549.1
OG0000123	WP_011205954.1	WP_160581199.1
OG0000124	WP_011290118.1	WP_002557554.1
OG0000125	WP_011205952.1	WP_002557555.1
OG0000126	WP_011290120.1	WP_160605532.1
OG0000127	WP_011290122.1	WP_160583976.1
OG0000128	WP_044272408.1	WP_160605625.1
OG0000129	WP_014579732.1	WP_002557563.1
OG0000130	WP_011284046.1	WP_160593526.1
OG0000131	WP_011284047.1	WP_002557566.1
OG0000132	WP_044272410.1	WP_002557569.1
OG0000133	WP_014579589.1	WP_002557574.1
OG0000134	WP_228366123.1	WP_160605314.1
OG0000135	WP_011206120.1	WP_002557577.1
OG0000136	WP_011290005.1	WP_160605316.1
OG0000137	WP_011206113.1	WP_160583687.1
OG0000138	WP_011290014.1	WP_002557590.1
OG0000139	WP_011290017.1	WP_002557594.1
OG0000140	WP_011206101.1	WP_002557595.1
OG0000141	WP_011290345.1	WP_002557602.1
OG0000142	WP_011290344.1	WP_002557603.1
OG0000143	WP_011206391.1	WP_160580880.1
OG0000144	WP_044272582.1	WP_160605328.1
OG0000145	WP_225972996.1	WP_002557611.1
OG0000146	WP_011206385.1	WP_002557613.1
OG0000147	WP_011206384.1	WP_002557614.1
OG0000148	WP_011290333.1	WP_160583667.1
OG0000149	WP_011290331.1	WP_002557620.1
OG0000150	WP_011290328.1	WP_002557623.1
OG0000151	WP_020835828.1	WP_160580918.1
OG0000152	WP_228366106.1	WP_160605342.1
OG0000153	WP_011206347.1	WP_160605344.1
OG0000154	WP_011290318.1	WP_160580926.1
OG0000155	WP_011290311.1	WP_160605350.1
OG0000156	WP_011206335.1	WP_160583648.1
OG0000157	WP_011290309.1	WP_160583646.1
OG0000158	WP_044272559.1	WP_160605356.1
OG0000159	WP_011206289.1	WP_002557667.1
OG0000160	WP_011290271.1	WP_002557668.1
OG0000161	WP_011206287.1	WP_160603116.1
OG0000162	WP_044272532.1	WP_160605651.1, WP_160581406.1
OG0000163	WP_044272529.1	WP_160581408.1
OG0000164	WP_011290138.1	WP_160581414.1
OG0000165	WP_011206200.1	WP_002557684.1
OG0000166	WP_011290193.1	WP_160605426.1
OG0000167	WP_011206207.1	WP_160581429.1
OG0000168	WP_044272464.1	WP_160605430.1
OG0000169	WP_002557698.1	WP_002557698.1
OG0000170	WP_020835862.1	WP_160603210.1
OG0000171	WP_011290367.1	WP_002557706.1
OG0000172	WP_011206424.1	WP_002557707.1
OG0000173	WP_011290368.1	WP_002557708.1
OG0000174	WP_011290369.1	WP_160605538.1
OG0000175	WP_011206429.1	WP_160605541.1
OG0000176	WP_011290377.1	WP_160593449.1
OG0000177	WP_020835877.1	WP_160581270.1
OG0000178	WP_044272620.1	WP_002557721.1
OG0000179	WP_014579979.1	WP_002557724.1
OG0000180	WP_011206445.1	WP_002557725.1
OG0000181	WP_044272634.1	WP_039387691.1
OG0000182	WP_011290389.1	WP_002557729.1
OG0000183	WP_011206459.1	WP_002557735.1
OG0000184	WP_011290401.1	WP_160605633.1
OG0000185	WP_011290398.1	WP_002557743.1
OG0000186	WP_020835656.1	WP_160603234.1
OG0000187	WP_011284055.1	WP_002557753.1
OG0000188	WP_011205932.1	WP_002557755.1
OG0000189	WP_044272496.1	WP_160605456.1
OG0000190	WP_011206256.1	WP_160605458.1
OG0000191	WP_020835755.1	WP_255454511.1
OG0000192	WP_011290088.1	WP_160605464.1
OG0000193	WP_011283999.1	WP_002557766.1
OG0000194	WP_011290023.1	WP_002557768.1
OG0000195	WP_011290024.1	WP_002557769.1
OG0000196	WP_179695841.1	WP_160581303.1
OG0000197	WP_044272328.1	WP_160605466.1
OG0000198	WP_011283930.1	WP_160605468.1
OG0000199	WP_011206086.1	WP_002557779.1
OG0000200	WP_044272334.1	WP_002557781.1
OG0000201	WP_011283934.1	WP_160605470.1
OG0000202	WP_011290039.1	WP_160605476.1
OG0000203	WP_011206072.1	WP_160583979.1
OG0000204	WP_011206071.1	WP_160605479.1
OG0000205	WP_020835584.1	WP_002557794.1
OG0000206	WP_011290044.1	WP_002557798.1
OG0000207	WP_011206063.1	WP_002557801.1
OG0000208	WP_011290046.1	WP_002557802.1
OG0000209	WP_011206061.1	WP_002557803.1
OG0000210	WP_011206052.1	WP_160581347.1
OG0000211	WP_011290054.1	WP_002557813.1
OG0000212	WP_011206048.1	WP_002557815.1
OG0000213	WP_011283963.1	WP_002557816.1
OG0000214	WP_011206047.1	WP_002557817.1
OG0000215	WP_011290055.1	WP_002557818.1
OG0000216	WP_011290056.1	WP_160581343.1
OG0000217	WP_011206044.1	WP_160605481.1
OG0000218	WP_011290058.1	WP_160605485.1
OG0000219	WP_011206041.1	WP_160603160.1
OG0000220	WP_011290060.1	WP_002557824.1
OG0000221	WP_011206039.1	WP_002557825.1
OG0000222	WP_011206038.1	WP_002557826.1
OG0000223	WP_041361589.1	WP_002557827.1
OG0000224	WP_011206035.1	WP_002557829.1
OG0000225	WP_020835596.1	WP_002557831.1
OG0000226	WP_011206032.1	WP_002557832.1
OG0000227	WP_011290064.1	WP_002557833.1
OG0000228	WP_041361593.1	WP_002557834.1
OG0000229	WP_011206028.1	WP_002557835.1
OG0000230	WP_011206027.1	WP_002557836.1
OG0000231	WP_011206025.1	WP_002557838.1
OG0000232	WP_014579601.1	WP_002557840.1
OG0000233	WP_011290071.1	WP_160605487.1
OG0000234	WP_011290076.1	WP_002557848.1
OG0000235	WP_011290078.1	WP_002557850.1
OG0000236	WP_011283989.1	WP_160581215.1
OG0000237	WP_044272366.1	WP_160583882.1
OG0000238	WP_011283991.1	WP_160605501.1
OG0000239	WP_011290347.1	WP_160583887.1
OG0000240	WP_020835851.1	WP_002557864.1
OG0000241	WP_044272588.1	WP_002557866.1
OG0000242	WP_011290351.1	WP_002557867.1
OG0000243	WP_011290352.1	WP_002557868.1
OG0000244	WP_041361690.1	WP_002557870.1
OG0000245	WP_228366108.1	WP_002557872.1
OG0000246	WP_041361522.1	WP_002557875.1
OG0000247	WP_011289951.1	WP_160593344.1
OG0000248	WP_014579535.1	WP_160583743.1
OG0000249	WP_020835502.1	WP_160605570.1
OG0000250	WP_011289957.1	WP_002557886.1
OG0000251	WP_020835507.1	WP_002557891.1
OG0000252	WP_011205883.1	WP_160581051.1
OG0000253	WP_011289964.1	WP_160605282.1
OG0000254	WP_044272285.1	WP_160605284.1
OG0000255	WP_020835511.1	WP_002557898.1
OG0000256	WP_011289968.1	WP_002557899.1
OG0000257	WP_011289973.1	WP_002557904.1
OG0000258	WP_011289974.1	WP_160605290.1
OG0000259	WP_228366122.1	WP_160581036.1
OG0000260	WP_011289982.1	WP_160605298.1
OG0000261	WP_044272293.1	WP_160605302.1
OG0000262	WP_041361531.1	WP_002557919.1
OG0000263	WP_011283885.1	WP_002557922.1
OG0000264	WP_011283887.1	WP_160581017.1
OG0000265	WP_044272298.1	WP_002557927.1
OG0000266	WP_011205923.1	WP_002557930.1
OG0000267	WP_020835532.1	WP_160581015.1
OG0000268	WP_011289993.1	WP_160583705.1
OG0000269	WP_011206134.1	WP_160583703.1
OG0000270	WP_044272669.1	WP_160605574.1
OG0000271	WP_020835915.1	WP_002557946.1
OG0000272	WP_011284373.1	WP_002557947.1
OG0000273	WP_011206502.1	WP_002557948.1
OG0000274	WP_011290423.1	WP_160605591.1
OG0000275	WP_228366117.1	WP_039387710.1
OG0000276	WP_011290421.1	WP_002557954.1
OG0000277	WP_011206494.1	WP_160581382.1
OG0000278	WP_011206493.1	WP_160581384.1
OG0000279	WP_011290418.1	WP_002557959.1
OG0000280	WP_011206490.1	WP_002557960.1
OG0000281	WP_011290416.1	WP_002557961.1
OG0000282	WP_044272665.1	WP_160605597.1
OG0000283	WP_044272663.1	WP_002557965.1
OG0000284	WP_011206484.1	WP_002557966.1
OG0000285	WP_011290413.1	WP_002557967.1
OG0000286	WP_044272526.1	WP_160605389.1
OG0000287	WP_011290278.1	WP_160605383.1
OG0000288	WP_011206299.1	WP_002557980.1
OG0000289	WP_020835793.1	WP_160605379.1
OG0000290	WP_011290297.1	WP_160605363.1
OG0000291	WP_011206320.1	WP_002558005.1
OG0000292	WP_044272553.1	WP_002558006.1
OG0000293	WP_020835805.1	WP_002558007.1
OG0000294	WP_041361676.1	WP_160605367.1
OG0000295	WP_011206315.1	WP_160580958.1
OG0000296	WP_044272552.1	WP_160580964.1
OG0000297	WP_011290285.1	WP_160580966.1
OG0000298	WP_011289956.1	WP_160605278.1
OG0000299	WP_011205878.1	WP_039387487.1
OG0000300	WP_041361533.1	WP_039387496.1
OG0000301	WP_011289991.1	WP_039387501.1
OG0000302	WP_014579576.1	WP_039387504.1
OG0000303	WP_011206118.1	WP_160580856.1
OG0000304	WP_011290068.1	WP_160580864.1
OG0000305	WP_044272575.1	WP_160605330.1
OG0000306	WP_044272563.1	WP_160583660.1
OG0000307	WP_044272560.1	WP_160580924.1
OG0000308	WP_044272554.1	WP_160605361.1
OG0000309	WP_011290290.1	WP_039387539.1
OG0000310	WP_044272546.1	WP_160605381.1
OG0000311	WP_011206293.1	WP_039387548.1
OG0000312	WP_041361671.1	WP_160605402.1
OG0000313	WP_011206141.1	WP_039387554.1
OG0000314	WP_011290192.1	WP_160605424.1
OG0000315	WP_011290197.1	WP_160581431.1
OG0000316	WP_014579818.1	WP_160605432.1
OG0000317	WP_011290211.1	WP_160605615.1
OG0000318	WP_228366137.1	WP_160605629.1
OG0000319	WP_044272490.1	WP_039387606.1
OG0000320	WP_011290251.1	WP_160605516.1
OG0000321	WP_011205969.1	WP_039387610.1
OG0000322	WP_011205960.1	WP_039387613.1
OG0000323	WP_011290127.1	WP_039387619.1
OG0000324	WP_011290222.1	WP_160605462.1
OG0000325	WP_011206094.1	WP_039387628.1
OG0000326	WP_044272340.1	WP_039387636.1
