Orthogroup	MHP_7448_proteins	MHP_168_proteins
OG0000000	WP_228366139.1	WP_014579837.1
OG0000000	WP_148174330.1	WP_014579857.1
OG0000000	WP_081420845.1	WP_233417365.1
OG0000001	WP_187145661.1	WP_014579709.1
OG0000001	WP_228366130.1	WP_228365417.1
OG0000001	WP_228365393.1	WP_228365393.1
OG0000001	WP_020835822.1	WP_014579925.1
OG0000002	WP_020835748.1	WP_228365382.1
OG0000002	WP_020835682.1	WP_014579748.1, WP_014579753.1
OG0000003	WP_044272444.1, WP_044272440.1, WP_044272308.1	WP_014579584.1
OG0000003	WP_052269171.1	WP_052293597.1
OG0000004	WP_020835883.1	WP_014579982.1
OG0000004	WP_020835887.1	WP_014579984.1
OG0000005	WP_011289941.1	WP_014579527.1
OG0000005	WP_011289942.1	WP_014579529.1
OG0000005	WP_011289943.1, WP_011289946.1	WP_228365402.1, WP_228365401.1
OG0000006	WP_228366101.1	WP_014579886.1
OG0000006	WP_081420850.1	WP_081450699.1
OG0000008	WP_011290229.1	WP_014579856.1
OG0000008	WP_044272707.1	WP_014579768.1
OG0000008	WP_228366102.1	WP_014579887.1
OG0000009	WP_011290018.1	WP_014579653.1
OG0000009	WP_011290021.1	WP_228365411.1
OG0000010	WP_011290178.1	WP_014579794.1
OG0000010	WP_228366119.1	WP_228365400.1
OG0000011	WP_011290191.1	WP_011284124.1
OG0000011	WP_044272461.1	WP_014579809.1
OG0000013	WP_228366099.1	WP_228365388.1
OG0000013	WP_228366120.1	WP_228365404.1
OG0000014	WP_011290070.1	WP_014579661.1
OG0000014	WP_011290011.1	WP_014579660.1
OG0000015	WP_228366094.1, WP_228366093.1	WP_014579691.1
OG0000015	WP_041361615.1	WP_014579746.1
OG0000016	WP_044272572.1	WP_014579937.1
OG0000016	WP_011289955.1	WP_044277949.1
OG0000017	WP_020835500.1	WP_228365403.1
OG0000017	WP_020835837.1	WP_014579938.1
OG0000018	WP_044272499.1	WP_014579688.1
OG0000019	WP_044272600.1	WP_014579958.1
OG0000020	WP_011290437.1	WP_014580041.1
OG0000020	WP_011290438.1	WP_187286313.1
OG0000022	WP_011290146.1	WP_044277993.1
