Orthogroup	MHP_7448_proteins	MHP_MHP696_proteins
OG0000000	WP_228366139.1	WP_220200970.1
OG0000000	WP_044272432.1	WP_160617502.1
OG0000000	WP_081420845.1	WP_308507068.1
OG0000001	WP_228365393.1	WP_258555241.1
OG0000001	WP_228366104.1	WP_228366104.1
OG0000001	WP_020835822.1	WP_258555237.1
OG0000002	WP_020835748.1	WP_258555377.1
OG0000002	WP_020835682.1	WP_160588193.1
OG0000003	WP_052269171.1	WP_240536309.1, WP_308507067.1, WP_052293597.1
OG0000004	WP_020835887.1	WP_020835887.1
OG0000004	WP_228366112.1	WP_220200968.1
OG0000005	WP_011289941.1	WP_160588124.1
OG0000005	WP_011289945.1	WP_160588336.1
OG0000005	WP_011289942.1	WP_160588374.1
OG0000005	WP_011289943.1	WP_160588334.1
OG0000005	WP_011289946.1	WP_160588338.1
OG0000006	WP_081420850.1	WP_258555362.1
OG0000008	WP_044272707.1	WP_258555379.1
OG0000008	WP_228366102.1	WP_308507071.1
OG0000009	WP_041361519.1	WP_146379448.1
OG0000009	WP_011290021.1	WP_011290021.1
OG0000010	WP_011290178.1	WP_160587884.1
OG0000010	WP_228366119.1	WP_160588372.1, WP_160588382.1
OG0000011	WP_011290191.1	WP_160587900.1
OG0000011	WP_044272461.1	WP_160587898.1
OG0000012	WP_011290162.1, WP_011290446.1	WP_160617493.1
OG0000012	WP_179221115.1	WP_179221115.1
OG0000013	WP_228366099.1	WP_258555342.1
OG0000013	WP_228366120.1	WP_308507056.1
OG0000014	WP_011290070.1	WP_160587971.1
OG0000014	WP_011290011.1	WP_160587966.1
OG0000015	WP_135618763.1, WP_228366094.1, WP_228366093.1, WP_041361615.1	WP_225973030.1
OG0000016	WP_044272572.1	WP_160587852.1
OG0000016	WP_011289955.1	WP_160588042.1
OG0000017	WP_020835500.1	WP_020835500.1
OG0000017	WP_020835837.1	WP_020835837.1
OG0000018	WP_020835635.1, WP_044272499.1	WP_160588235.1
OG0000019	WP_044272594.1	WP_160617521.1
OG0000020	WP_011290437.1	WP_160588169.1
OG0000020	WP_011290438.1	WP_220191087.1
OG0000021	WP_041361759.1, WP_020835536.1	WP_044284635.1
OG0000022	WP_011290146.1	WP_160588207.1
OG0000022	WP_011290156.1	WP_160588197.1
OG0000023	WP_228366095.1, WP_044272391.1	WP_160588233.1
OG0000024	WP_011290315.1	WP_160585259.1
OG0000024	WP_011290098.1	WP_160588003.1
OG0000025	WP_011290147.1	WP_160588205.1
OG0000025	WP_011290155.1	WP_160588199.1
OG0000026	WP_044272393.1	WP_192894288.1
OG0000026	WP_011290151.1	WP_160588201.1
OG0000027	WP_020835902.1	WP_020835902.1
OG0000027	WP_011290410.1	WP_160588189.1
OG0000028	WP_044272522.1	WP_160617508.1
OG0000029	WP_011290069.1	WP_160588071.1
OG0000029	WP_011290012.1	WP_160587963.1
OG0000030	WP_044272656.1	WP_160588148.1
OG0000030	WP_044272658.1	WP_020835904.1
OG0000031	WP_011290137.1	WP_011290137.1
OG0000031	WP_011290238.1	WP_011290137.1
OG0000032	WP_011290135.1	WP_160588340.1
OG0000032	WP_228366115.1	WP_308507060.1
OG0000033	WP_044272519.1	WP_160617510.1
OG0000035	WP_044272631.1	WP_160588344.1
OG0000035	WP_011290382.1	WP_160588066.1
OG0000036	WP_020835495.1	WP_020835495.1
OG0000036	WP_020835498.1	WP_258555370.1
OG0000037	WP_081420841.1	WP_308507066.1
OG0000039	WP_011290139.1	WP_160588346.1
OG0000040	WP_044272644.1	WP_160588136.1
OG0000041	WP_011290019.1, WP_228366127.1	WP_258555272.1
OG0000042	WP_044272729.1	WP_308507064.1
OG0000043	WP_014579804.1	WP_014579804.1
OG0000043	WP_011290239.1	WP_014579804.1
OG0000044	WP_225973034.1	WP_225973034.1
OG0000045	WP_020835667.1	WP_225973032.1
OG0000048	WP_011290213.1	WP_011284150.1
OG0000049	WP_011290363.1	WP_020835860.1
OG0000050	WP_044272534.1	WP_160588301.1
OG0000051	WP_011290299.1	WP_160587825.1
OG0000052	WP_011289937.1	WP_146379447.1
OG0000053	WP_044272405.1	WP_160588221.1
OG0000054	WP_044272538.1	WP_160588303.1
OG0000055	WP_011205867.1	WP_146379455.1
OG0000056	WP_081420855.1	WP_160588161.1
OG0000057	WP_011290343.1	WP_160587863.1
OG0000060	WP_020835489.1	WP_225973002.1
OG0000061	WP_011290180.1	WP_160587888.1
OG0000062	WP_011290443.1	WP_160588098.1
OG0000063	WP_044272678.1	WP_146379768.1
OG0000064	WP_011290440.1	WP_160588095.1
OG0000065	WP_011290219.1	WP_011290219.1
OG0000066	WP_011205965.1	WP_160588243.1
OG0000067	WP_044272314.1	WP_160617519.1
OG0000068	WP_011206103.1	WP_160587949.1
OG0000069	WP_011206373.1	WP_011284269.1
OG0000070	WP_011206292.1	WP_146379657.1
OG0000071	WP_044272640.1	WP_160585219.1
OG0000072	WP_044272642.1	WP_160588134.1
OG0000073	WP_011206093.1	WP_011206093.1
OG0000074	WP_228366126.1	WP_044284596.1
OG0000075	WP_014579568.1	WP_014579568.1
OG0000076	WP_011289987.1	WP_160584756.1
OG0000077	WP_011289996.1	WP_160588013.1
OG0000078	WP_044272427.1	WP_160588203.1
OG0000079	WP_011206305.1	WP_011206305.1
OG0000080	WP_011206314.1	WP_179695988.1
OG0000081	WP_011289985.1	WP_160588023.1
OG0000082	WP_081420852.1	WP_258555344.1, WP_258555885.1
OG0000083	WP_014579823.1	WP_160587917.1
OG0000084	WP_011284142.1	WP_011284142.1
OG0000085	WP_011206223.1	WP_011206223.1
OG0000086	WP_011290207.1	WP_160587925.1
OG0000087	WP_044272477.1	WP_160587927.1
OG0000088	WP_044272480.1	WP_044272480.1
OG0000089	WP_011290212.1	WP_011206231.1
