Assembly	ragtag.patch
# contigs (>= 0 bp)	1
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	1
Total length (>= 0 bp)	923512
Total length (>= 1000 bp)	923512
Total length (>= 5000 bp)	923512
Total length (>= 10000 bp)	923512
Total length (>= 25000 bp)	923512
Total length (>= 50000 bp)	923512
# contigs	1
Largest contig	923512
Total length	923512
GC (%)	28.50
N50	923512
N90	923512
auN	923512.0
L50	1
L90	1
# N's per 100 kbp	0.00
