Orthogroup	MHP_J_protein	MHP_MHP650_protein
OG0000000	WP_044284646.1	WP_160600904.1
OG0000000	WP_014579826.1	WP_160601110.1
OG0000000	WP_011284124.1	WP_160600906.1
OG0000001	WP_044284583.1	WP_220200909.1
OG0000001	WP_237697199.1	WP_237697199.1
OG0000001	WP_237697197.1, WP_237697198.1	WP_308704766.1
OG0000002	WP_011283853.1	WP_308704751.1
OG0000002	WP_237697206.1	WP_258556709.1
OG0000004	WP_237697210.1	WP_258556714.1
OG0000005	WP_044284658.1	WP_308704769.1
OG0000006	WP_011283913.1	WP_160601233.1
OG0000006	WP_011283980.1	WP_220200910.1
OG0000007	WP_011284151.1	WP_308704771.1, WP_308704770.1
OG0000008	WP_014579984.1	WP_160601249.1
OG0000008	WP_044284713.1	WP_160601251.1
OG0000009	WP_044284667.1	WP_160600719.1
OG0000009	WP_044284666.1	WP_160600717.1
OG0000010	WP_011206342.1	WP_011206342.1
OG0000010	WP_237697234.1	WP_258556637.1
OG0000013	WP_237697209.1	WP_228366101.1
OG0000013	WP_011284212.1	WP_258556694.1
OG0000014	WP_237697212.1	WP_258556621.1
OG0000015	WP_044284625.1	WP_220200907.1
OG0000016	WP_237697207.1	WP_160600708.1
OG0000017	WP_044284714.1	WP_160601253.1
OG0000018	WP_044284695.1	WP_160600794.1
OG0000019	WP_011283841.1	WP_160601189.1
OG0000020	WP_011284197.1	WP_160601281.1
OG0000022	WP_167513697.1	WP_258556707.1
OG0000023	WP_044284720.1	WP_160601121.1
OG0000024	WP_011206100.1	WP_160600866.1
OG0000024	WP_011283921.1	WP_094521581.1
OG0000025	WP_225973032.1	WP_258555619.1
OG0000026	WP_044284672.1	WP_160600723.1
OG0000028	WP_044284635.1, WP_014579585.1	WP_014579585.1
OG0000029	WP_011284065.1	WP_160601259.1
OG0000030	WP_011284239.1	WP_160601045.1
OG0000031	WP_014579531.1	WP_014579531.1
OG0000033	WP_225973034.1	WP_225973034.1
OG0000033	WP_011206179.1	WP_011206179.1
OG0000034	WP_044284674.1	WP_160600727.1
OG0000035	WP_044284629.1	WP_160601010.1
OG0000036	WP_044284673.1	WP_160600725.1
OG0000038	WP_011206099.1	WP_232039589.1
OG0000038	WP_237697231.1	WP_220200864.1
OG0000039	WP_011284135.1	WP_160587914.1
OG0000040	WP_011284143.1	WP_160601152.1
OG0000041	WP_269076327.1	WP_308704755.1
OG0000042	WP_044284734.1	WP_160600812.1
OG0000043	WP_011284380.1	WP_160600806.1
OG0000044	WP_011284083.1	WP_160601022.1
OG0000045	WP_011284168.1	WP_160601112.1
OG0000046	WP_011206103.1	WP_011206103.1
OG0000047	WP_228365394.1	WP_228365394.1
OG0000048	WP_011206374.1	WP_011206374.1
OG0000049	WP_011284269.1	WP_011284269.1
OG0000050	WP_011206292.1	WP_011206292.1
