Orthogroup	MHP_J_protein	MFC_MF33_protein
OG0000000	WP_014579826.1	WP_002557520.1
OG0000000	WP_044278002.1, WP_011284124.1	WP_308704744.1, WP_220190082.1
OG0000001	WP_237697197.1, WP_237697198.1	WP_308704745.1
OG0000002	WP_011283853.1	WP_160609295.1, WP_258556745.1
OG0000002	WP_237697206.1	WP_160609296.1
OG0000006	WP_011283913.1, WP_011283980.1	WP_160609255.1
OG0000007	WP_202793361.1	WP_220190092.1
OG0000007	WP_011284151.1	WP_308704746.1
OG0000009	WP_044284667.1, WP_044284666.1	WP_160609297.1
OG0000010	WP_011206342.1, WP_237697234.1	WP_258556753.1
OG0000011	WP_044284697.1	WP_160609324.1
OG0000016	WP_011284201.1, WP_237697207.1	WP_160609298.1
OG0000018	WP_044284695.1	WP_160609259.1, WP_160609271.1
OG0000022	WP_237697205.1, WP_167513697.1	WP_220189984.1
OG0000023	WP_044284720.1	WP_258556766.1, WP_308704725.1
OG0000025	WP_225973032.1	WP_144245607.1
OG0000026	WP_044284672.1	WP_160609423.1
OG0000027	WP_237697214.1, WP_237697215.1	WP_220190012.1
OG0000029	WP_011284065.1	WP_160609261.1, WP_160609260.1
OG0000030	WP_011284239.1	WP_160583877.1
OG0000034	WP_044284674.1	WP_160609300.1
OG0000035	WP_044284629.1	WP_160609283.1
OG0000036	WP_044284673.1	WP_160609301.1
OG0000039	WP_011284135.1	WP_160609441.1
OG0000040	WP_011284143.1	WP_002557452.1
OG0000041	WP_269076327.1	WP_220190067.1
OG0000042	WP_044284734.1	WP_160609396.1
OG0000043	WP_011284380.1	WP_160609398.1
OG0000044	WP_011284083.1	WP_160609402.1
OG0000045	WP_011284168.1	WP_160583941.1
OG0000046	WP_011206103.1	WP_002557593.1
OG0000047	WP_228365394.1	WP_160583671.1
OG0000048	WP_011206374.1	WP_160609268.1
OG0000049	WP_011284269.1	WP_002557626.1
OG0000050	WP_011206292.1	WP_160609299.1
OG0000051	WP_044284671.1	WP_002557671.1
OG0000052	WP_044284670.1	WP_160584006.1
OG0000053	WP_002557698.1	WP_002557698.1
OG0000054	WP_044284702.1	WP_160609326.1
OG0000055	WP_011284316.1	WP_160609328.1
OG0000056	WP_044284718.1	WP_160609337.1
OG0000057	WP_011206089.1	WP_002557776.1
OG0000058	WP_011283954.1	WP_160609339.1
OG0000059	WP_044284596.1	WP_308704727.1
OG0000060	WP_011206046.1	WP_160609313.1
OG0000061	WP_011206035.1	WP_002557829.1
OG0000062	WP_020835608.1	WP_160609319.1
OG0000063	WP_044284737.1	WP_002557882.1
OG0000064	WP_044284566.1	WP_160609393.1
OG0000065	WP_014579568.1	WP_160581028.1
