#                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_QQRA01000001.1:9089-10885|-  -            599 501at2085            -            526  7.8e-249  822.1   8.9   1   1  1.1e-250  1.6e-248  821.0   8.9     1   526     1   594     1   594 0.93 NZ_QQRA01000001.1_10 # 9089 # 10885 # -1 # ID=12_10;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.346
NZ_QQRA01000001.1:5673-7757|+   -            695 501at2085            -            526   6.1e-47  155.9   1.2   1   4   1.8e-36   2.6e-34  114.2   0.1     4   153     8   162     5   186 0.86 NZ_QQRA01000001.1_8 # 5673 # 7757 # 1 # ID=12_8;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.373
NZ_QQRA01000001.1:5673-7757|+   -            695 501at2085            -            526   6.1e-47  155.9   1.2   2   4      0.53        78   -2.9   0.0   155   173   263   281   256   293 0.80 NZ_QQRA01000001.1_8 # 5673 # 7757 # 1 # ID=12_8;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.373
NZ_QQRA01000001.1:5673-7757|+   -            695 501at2085            -            526   6.1e-47  155.9   1.2   3   4     6e-12   8.8e-10   33.2   0.1   170   339   301   485   289   498 0.69 NZ_QQRA01000001.1_8 # 5673 # 7757 # 1 # ID=12_8;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.373
NZ_QQRA01000001.1:5673-7757|+   -            695 501at2085            -            526   6.1e-47  155.9   1.2   4   4    0.0026      0.39    4.7   0.0   350   411   607   675   595   691 0.78 NZ_QQRA01000001.1_8 # 5673 # 7757 # 1 # ID=12_8;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.373
NZ_QQRA01000007.1:20876-22675|+ -            600 501at2085            -            526   2.5e-19   64.7   2.9   1   3   1.7e-21   2.5e-19   64.7   2.9    10   196   117   308   115   321 0.77 NZ_QQRA01000007.1_18 # 20876 # 22675 # 1 # ID=78_18;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.351
NZ_QQRA01000007.1:20876-22675|+ -            600 501at2085            -            526   2.5e-19   64.7   2.9   2   3      0.65        95   -3.2   0.5   136   181   389   434   381   451 0.73 NZ_QQRA01000007.1_18 # 20876 # 22675 # 1 # ID=78_18;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.351
NZ_QQRA01000007.1:20876-22675|+ -            600 501at2085            -            526   2.5e-19   64.7   2.9   3   3      0.34        50   -2.2   0.0   382   408   480   506   460   516 0.80 NZ_QQRA01000007.1_18 # 20876 # 22675 # 1 # ID=78_18;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.351
NZ_QQRA01000010.1:3042-4250|+   -            403 501at2085            -            526   2.1e-18   61.7   2.9   1   2   3.7e-20   5.4e-18   60.3   0.2     8   140    20   155    14   168 0.88 NZ_QQRA01000010.1_2 # 3042 # 4250 # 1 # ID=2_2;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.403
NZ_QQRA01000010.1:3042-4250|+   -            403 501at2085            -            526   2.1e-18   61.7   2.9   2   2     0.023       3.4    1.6   0.2   161   256   205   309   194   325 0.67 NZ_QQRA01000010.1_2 # 3042 # 4250 # 1 # ID=2_2;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.403
NZ_QQRA01000001.1:11443-12744|- -            434 501at2085            -            526     1e-12   42.9   0.5   1   2   5.8e-06   0.00085   13.5   0.1    62   180    45   170    35   173 0.76 NZ_QQRA01000001.1_13 # 11443 # 12744 # -1 # ID=12_13;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.291
