Orthogroup	MHP_MHP699_genes	MHP_MHP653_genes
OG0000000	DR100_RS02520	DR096_RS03425
OG0000000	DR100_RS03595, DR100_RS04515	DR096_RS03550
OG0000000	DR100_RS04215	DR096_RS04160, DR096_RS02065
OG0000000	DR100_RS04210	DR096_RS03340
OG0000001	DR100_RS03930	DR096_RS01680
OG0000001	DR100_RS01790	DR096_RS01190
OG0000001	DR100_RS03285	DR096_RS04085
OG0000002	DR100_RS04380	DR096_RS04275
OG0000002	DR100_RS04890	DR096_RS04810
OG0000002	DR100_RS04740	DR096_RS04795
OG0000003	DR100_RS03640	DR096_RS03690, DR096_RS03695
OG0000003	DR100_RS04610	DR096_RS04710
OG0000003	DR100_RS04485	DR096_RS04435
OG0000003	DR100_RS04885	DR096_RS04820
OG0000003	DR100_RS03840	DR096_RS04825
OG0000005	DR100_RS01100	DR096_RS02575
OG0000005	DR100_RS04620	DR096_RS04720
OG0000005	DR100_RS04630	DR096_RS02565
OG0000005	DR100_RS04625	DR096_RS02560
OG0000005	DR100_RS04615	DR096_RS04715
OG0000006	DR100_RS04235	DR096_RS04365
OG0000006	DR100_RS04245	DR096_RS01695
OG0000007	DR100_RS01035	DR096_RS02415
OG0000007	DR100_RS04495, DR100_RS03495	DR096_RS03505
OG0000007	DR100_RS03820	DR096_RS04240
OG0000007	DR100_RS03500	DR096_RS03510
OG0000007	DR100_RS03510	DR096_RS00630
OG0000008	DR100_RS03680	DR096_RS04360
OG0000009	DR100_RS00110	DR096_RS02300
OG0000010	DR100_RS04925	DR096_RS00395
OG0000010	DR100_RS01085	DR096_RS02540, DR096_RS02570
OG0000011	DR100_RS01970	DR096_RS00490
OG0000011	DR100_RS01975	DR096_RS00485
OG0000012	DR100_RS01800	DR096_RS03685
OG0000012	DR100_RS03830	DR096_RS03785
OG0000013	DR100_RS02295	DR096_RS04100
OG0000013	DR100_RS03970	DR096_RS03875
OG0000014	DR100_RS04585	DR096_RS04790
OG0000015	DR100_RS01650	DR096_RS01405
OG0000016	DR100_RS01750	DR096_RS01150
OG0000016	DR100_RS00685	DR096_RS00345
OG0000017	DR100_RS00700	DR096_RS00360
OG0000017	DR100_RS01740	DR096_RS01140
OG0000018	DR100_RS04570	DR096_RS04640
OG0000019	DR100_RS03760	DR096_RS03940
OG0000020	DR100_RS03705	DR096_RS03230
OG0000020	DR100_RS04650	DR096_RS04775
OG0000022	DR100_RS02220	DR096_RS01995
OG0000022	DR100_RS04745	DR096_RS04665
OG0000024	DR100_RS03275	DR096_RS01490
OG0000024	DR100_RS00195	DR096_RS01690
OG0000025	DR100_RS04750	DR096_RS04660
OG0000025	DR100_RS02170	DR096_RS02045
OG0000026	DR100_RS00285	DR096_RS01600
OG0000026	DR100_RS02190	DR096_RS02025
OG0000027	DR100_RS04850	DR096_RS04770
OG0000027	DR100_RS04690	DR096_RS04540
OG0000028	DR100_RS02685	DR096_RS01750
OG0000029	DR100_RS00725	DR096_RS03330
OG0000030	DR100_RS04855	DR096_RS04765
OG0000030	DR100_RS04695	DR096_RS04535
OG0000031	DR100_RS03415	DR096_RS01370
OG0000032	DR100_RS03450	DR096_RS04610
OG0000032	DR100_RS03775	DR096_RS00860
OG0000033	DR100_RS02300	DR096_RS01745
OG0000034	DR100_RS03620	DR096_RS03570
OG0000034	DR100_RS04530	DR096_RS04455
OG0000034	DR100_RS01045	DR096_RS02425
OG0000034	DR100_RS03600	DR096_RS03555
OG0000036	DR100_RS01080	DR096_RS02555
OG0000036	DR100_RS01065	DR096_RS02535
OG0000037	DR100_RS03440	DR096_RS04615
OG0000039	DR100_RS04510, DR100_RS03660	DR096_RS01385
OG0000041	DR100_RS00105	DR096_RS02305, DR096_RS03595
OG0000042	DR100_RS03115	DR096_RS00855
OG0000043	DR100_RS02005	DR096_RS00455
OG0000044	DR100_RS04930	DR096_RS04875
OG0000045	DR100_RS03545	DR096_RS01390
OG0000048	DR100_RS02540	DR096_RS03530
OG0000049	DR100_RS01465	DR096_RS00770
OG0000050	DR100_RS02715	DR096_RS03020
