Orthogroup	MHP_MHP699_genes	MHP_NCTC10127_genes
OG0000000	DR100_RS03595	EXC50_RS01165
OG0000000	DR100_RS04215	EXC50_RS03990
OG0000000	DR100_RS04210	EXC50_RS00675
OG0000001	DR100_RS01790	EXC50_RS01640
OG0000002	DR100_RS04380	EXC50_RS04010, EXC50_RS03900
OG0000002	DR100_RS04740	EXC50_RS00680
OG0000004	DR100_RS03655	EXC50_RS02040
OG0000004	DR100_RS03555	EXC50_RS02050
OG0000005	DR100_RS01100	EXC50_RS00100
OG0000005	DR100_RS04620	EXC50_RS00120
OG0000005	DR100_RS04630	EXC50_RS00105
OG0000005	DR100_RS04625	EXC50_RS00110
OG0000005	DR100_RS04615	EXC50_RS00125
OG0000006	DR100_RS04245	EXC50_RS01175, EXC50_RS01210
OG0000008	DR100_RS03845	EXC50_RS00595
OG0000008	DR100_RS03680	EXC50_RS04030
OG0000009	DR100_RS00110	EXC50_RS04115
OG0000009	DR100_RS00780	EXC50_RS03405
OG0000010	DR100_RS04925	EXC50_RS00795
OG0000010	DR100_RS04770	EXC50_RS02530
OG0000010	DR100_RS01085	EXC50_RS00095
OG0000011	DR100_RS01970	EXC50_RS00895
OG0000011	DR100_RS01975	EXC50_RS00890
OG0000012	DR100_RS01800, DR100_RS03830	EXC50_RS01855
OG0000013	DR100_RS02295	EXC50_RS01255
OG0000013	DR100_RS03970	EXC50_RS03965
OG0000014	DR100_RS03645	EXC50_RS03000
OG0000014	DR100_RS04585	EXC50_RS03480
OG0000016	DR100_RS01750	EXC50_RS01680
OG0000016	DR100_RS00685	EXC50_RS00170
OG0000017	DR100_RS00700	EXC50_RS00155
OG0000017	DR100_RS01740	EXC50_RS01690
OG0000019	DR100_RS03760	EXC50_RS04060
OG0000020	DR100_RS03705	EXC50_RS02390
OG0000020	DR100_RS04650	EXC50_RS02395
OG0000021	DR100_RS03710	EXC50_RS04125
OG0000022	DR100_RS02220	EXC50_RS00615
OG0000022	DR100_RS04745	EXC50_RS00670
OG0000023	DR100_RS01625	EXC50_RS00495, EXC50_RS03740
OG0000024	DR100_RS03275	EXC50_RS01585
OG0000024	DR100_RS00195	EXC50_RS02815
OG0000025	DR100_RS04750	EXC50_RS00620
OG0000025	DR100_RS02170	EXC50_RS00665
OG0000026	DR100_RS00285	EXC50_RS02725
OG0000026	DR100_RS02190	EXC50_RS00645
OG0000027	DR100_RS04850	EXC50_RS02185
OG0000027	DR100_RS04690	EXC50_RS02200
OG0000029	DR100_RS03520	EXC50_RS03005
OG0000029	DR100_RS00725	EXC50_RS03475
OG0000030	DR100_RS04855	EXC50_RS02175
OG0000030	DR100_RS04695	EXC50_RS02195
OG0000031	DR100_RS01570	EXC50_RS02515, EXC50_RS03805
OG0000031	DR100_RS03415	EXC50_RS00545
OG0000032	DR100_RS03775	EXC50_RS04070
OG0000035	DR100_RS03560	EXC50_RS02045
OG0000036	DR100_RS01080	EXC50_RS00115
OG0000036	DR100_RS01065	EXC50_RS00130
OG0000037	DR100_RS03435	EXC50_RS03970
OG0000039	DR100_RS04510	EXC50_RS03975
OG0000039	DR100_RS03660	EXC50_RS00560
OG0000040	DR100_RS03895	EXC50_RS02120
OG0000041	DR100_RS00105	EXC50_RS03415
OG0000042	DR100_RS03115	EXC50_RS01780
OG0000043	DR100_RS02005	EXC50_RS00860
OG0000044	DR100_RS04930	EXC50_RS04255
OG0000045	DR100_RS03545	EXC50_RS00570
OG0000047	DR100_RS01635	EXC50_RS03955, EXC50_RS03735
OG0000048	DR100_RS02540	EXC50_RS01040
OG0000049	DR100_RS01465	EXC50_RS01890
OG0000050	DR100_RS02715	EXC50_RS04200, EXC50_RS04195, EXC50_RS04185, EXC50_RS04205, EXC50_RS01295
OG0000051	DR100_RS01815	EXC50_RS01500
OG0000052	DR100_RS01115	EXC50_RS00075
OG0000053	DR100_RS04755	EXC50_RS02640
