Orthogroup	MHP_MHP699_genes	MFC_MF33_genes
OG0000000	DR100_RS02515	DR085_RS03105
OG0000000	DR100_RS04215	DR085_RS02470
OG0000001	DR100_RS03930, DR100_RS01790, DR100_RS03285, DR100_RS03280	DR085_RS03235
OG0000002	DR100_RS04890	DR085_RS03895
OG0000002	DR100_RS04740	DR085_RS03805
OG0000003	DR100_RS04885	DR085_RS03550
OG0000004	DR100_RS03655, DR100_RS03585, DR100_RS03555	DR085_RS01395
OG0000007	DR100_RS03495	DR085_RS02890
OG0000007	DR100_RS03500	DR085_RS02895
OG0000007	DR100_RS03510	DR085_RS03890
OG0000008	DR100_RS03845	DR085_RS03145
OG0000011	DR100_RS01970	DR085_RS03875, DR085_RS02795
OG0000011	DR100_RS01975	DR085_RS02805
OG0000013	DR100_RS02295	DR085_RS00915, DR085_RS00910
OG0000013	DR100_RS03970	DR085_RS03115
OG0000014	DR100_RS03645, DR100_RS04585	DR085_RS03650
OG0000016	DR100_RS01750	DR085_RS00605
OG0000017	DR100_RS00700	DR085_RS02380
OG0000017	DR100_RS01740	DR085_RS00595
OG0000018	DR100_RS04715	DR085_RS03745
OG0000019	DR100_RS03760	DR085_RS03320
OG0000020	DR100_RS03705	DR085_RS03795
OG0000020	DR100_RS04650	DR085_RS03790
OG0000022	DR100_RS04745	DR085_RS03800
OG0000023	DR100_RS01625	DR085_RS02195
OG0000024	DR100_RS03275, DR100_RS00195	DR085_RS00665
OG0000025	DR100_RS02170	DR085_RS02460
OG0000026	DR100_RS00285, DR100_RS02190	DR085_RS01755
OG0000027	DR100_RS04690	DR085_RS03845
OG0000029	DR100_RS03520, DR100_RS00725	DR085_RS00425
OG0000030	DR100_RS04855, DR100_RS04695	DR085_RS03850
OG0000031	DR100_RS01570, DR100_RS03415	DR085_RS02695
OG0000032	DR100_RS03775	DR085_RS03940
OG0000039	DR100_RS04510, DR100_RS03660	DR085_RS00495, DR085_RS00485
OG0000040	DR100_RS03895	DR085_RS03110, DR085_RS00715, DR085_RS00720
OG0000042	DR100_RS03115	DR085_RS00480, DR085_RS00645
OG0000043	DR100_RS02005	DR085_RS02670
OG0000045	DR100_RS03545	DR085_RS00505
OG0000048	DR100_RS02540	DR085_RS02880, DR085_RS03055
OG0000049	DR100_RS01465	DR085_RS01410
OG0000050	DR100_RS02715	DR085_RS02735
OG0000051	DR100_RS01815	DR085_RS01290
OG0000052	DR100_RS01115	DR085_RS03420
OG0000053	DR100_RS04755	DR085_RS03740
OG0000054	DR100_RS02740	DR085_RS00960
OG0000056	DR100_RS01270	DR085_RS02435
OG0000057	DR100_RS01665	DR085_RS00520
OG0000062	DR100_RS01225	DR085_RS02230
OG0000063	DR100_RS04645	DR085_RS02225
OG0000064	DR100_RS01240	DR085_RS02215
OG0000065	DR100_RS03025	DR085_RS01895
OG0000066	DR100_RS00275	DR085_RS01765
OG0000068	DR100_RS00760	DR085_RS00460
OG0000069	DR100_RS01775	DR085_RS00630
OG0000070	DR100_RS02745	DR085_RS00940
OG0000071	DR100_RS03100	DR085_RS01590
OG0000072	DR100_RS04835	DR085_RS03730
OG0000073	DR100_RS00805	DR085_RS02070
OG0000074	DR100_RS04605	DR085_RS03690
OG0000075	DR100_RS00505	DR085_RS00175
OG0000076	DR100_RS00490	DR085_RS00190
OG0000077	DR100_RS00400	DR085_RS00275
OG0000078	DR100_RS02200	DR085_RS00755
OG0000079	DR100_RS01910	DR085_RS00860
OG0000080	DR100_RS04175	DR085_RS03275
OG0000081	DR100_RS00510	DR085_RS00170
OG0000082	DR100_RS04250, DR100_RS02290	DR085_RS00920
OG0000083	DR100_RS02770	DR085_RS03000
OG0000084	DR100_RS02590	DR085_RS02830
OG0000085	DR100_RS02585	DR085_RS02835
OG0000086	DR100_RS02575	DR085_RS03880
OG0000087	DR100_RS02560	DR085_RS02860
OG0000088	DR100_RS02555	DR085_RS02865
OG0000089	DR100_RS02545	DR085_RS02875
OG0000090	DR100_RS01120	DR085_RS02335
OG0000091	DR100_RS01135	DR085_RS02320
OG0000092	DR100_RS01150	DR085_RS02305
OG0000093	DR100_RS01155	DR085_RS02300
OG0000094	DR100_RS01160	DR085_RS02295
OG0000095	DR100_RS01185	DR085_RS02270
OG0000096	DR100_RS01190	DR085_RS02265
OG0000097	DR100_RS01210	DR085_RS02245
OG0000098	DR100_RS01220	DR085_RS02235
OG0000099	DR100_RS03485	DR085_RS02430
OG0000100	DR100_RS01280	DR085_RS02440
OG0000101	DR100_RS01285	DR085_RS02445
OG0000102	DR100_RS02175	DR085_RS02455
OG0000103	DR100_RS02990	DR085_RS01930
OG0000104	DR100_RS02995	DR085_RS01925
OG0000105	DR100_RS03010	DR085_RS01910
OG0000106	DR100_RS03020	DR085_RS01900
OG0000107	DR100_RS03030	DR085_RS01890
OG0000108	DR100_RS03035	DR085_RS01885
OG0000109	DR100_RS00005	DR085_RS01880
OG0000110	DR100_RS02280	DR085_RS01875
OG0000111	DR100_RS02275	DR085_RS01870
OG0000112	DR100_RS02265	DR085_RS01860
OG0000113	DR100_RS04875	DR085_RS03750
OG0000114	DR100_RS03465	DR085_RS01835
OG0000115	DR100_RS03475	DR085_RS01825
OG0000116	DR100_RS00220	DR085_RS01815
OG0000117	DR100_RS00225	DR085_RS01810
OG0000118	DR100_RS00260	DR085_RS01780
OG0000119	DR100_RS00265	DR085_RS01775
OG0000120	DR100_RS00280	DR085_RS01760
OG0000121	DR100_RS00305	DR085_RS01735
OG0000122	DR100_RS00310	DR085_RS01730
OG0000123	DR100_RS00330	DR085_RS01710
OG0000124	DR100_RS00335	DR085_RS01705
OG0000125	DR100_RS00345	DR085_RS01700
OG0000126	DR100_RS02315	DR085_RS01690
OG0000127	DR100_RS02325	DR085_RS01680
OG0000128	DR100_RS02340	DR085_RS01665
OG0000129	DR100_RS02345	DR085_RS01660
OG0000130	DR100_RS02355	DR085_RS01650
OG0000131	DR100_RS02385	DR085_RS01620
OG0000132	DR100_RS04760	DR085_RS03735
OG0000133	DR100_RS02665	DR085_RS00350
OG0000134	DR100_RS02660	DR085_RS03640
OG0000135	DR100_RS02645	DR085_RS00370
OG0000136	DR100_RS02640	DR085_RS00375
OG0000137	DR100_RS02610	DR085_RS00405
OG0000138	DR100_RS00735	DR085_RS00435
OG0000139	DR100_RS00765	DR085_RS00465
OG0000140	DR100_RS00770	DR085_RS00470
OG0000141	DR100_RS01655	DR085_RS00510
OG0000142	DR100_RS04720	DR085_RS03655
OG0000143	DR100_RS01685	DR085_RS00540
OG0000144	DR100_RS01695	DR085_RS00550
OG0000145	DR100_RS01705	DR085_RS00560
OG0000146	DR100_RS01715	DR085_RS00570
OG0000147	DR100_RS01720	DR085_RS00575
OG0000148	DR100_RS01735	DR085_RS00590
OG0000149	DR100_RS01745	DR085_RS00600
OG0000150	DR100_RS01760	DR085_RS00615
OG0000151	DR100_RS03315	DR085_RS00670
OG0000152	DR100_RS03310	DR085_RS00675
OG0000153	DR100_RS03305	DR085_RS00680
OG0000154	DR100_RS03295	DR085_RS00690
OG0000155	DR100_RS02500	DR085_RS00710
OG0000156	DR100_RS02490	DR085_RS00730
OG0000157	DR100_RS04790	DR085_RS03660
OG0000158	DR100_RS04785	DR085_RS03665
OG0000159	DR100_RS02730	DR085_RS00970
OG0000160	DR100_RS02725	DR085_RS00975
OG0000161	DR100_RS02720	DR085_RS00985
OG0000162	DR100_RS02710	DR085_RS02725
OG0000163	DR100_RS02705	DR085_RS02720
OG0000164	DR100_RS03410	DR085_RS03860
OG0000165	DR100_RS01980	DR085_RS02810
OG0000166	DR100_RS01960	DR085_RS02780
OG0000167	DR100_RS02815	DR085_RS02765
OG0000168	DR100_RS02810	DR085_RS02760
OG0000169	DR100_RS01460	DR085_RS01405
OG0000170	DR100_RS01475	DR085_RS01420
OG0000171	DR100_RS01485	DR085_RS01430
OG0000172	DR100_RS01490	DR085_RS01435
OG0000173	DR100_RS01495	DR085_RS01440
OG0000174	DR100_RS01500	DR085_RS01445
OG0000175	DR100_RS01515	DR085_RS01460
OG0000176	DR100_RS03330	DR085_RS01500
OG0000177	DR100_RS03335	DR085_RS01505
OG0000178	DR100_RS03340	DR085_RS01510
OG0000179	DR100_RS03350	DR085_RS01520
OG0000180	DR100_RS03355	DR085_RS01525
OG0000181	DR100_RS04825	DR085_RS03715
OG0000182	DR100_RS03060	DR085_RS01550
OG0000183	DR100_RS03095	DR085_RS01585
OG0000184	DR100_RS03180	DR085_RS02950
OG0000185	DR100_RS03195	DR085_RS02935
OG0000186	DR100_RS04765	DR085_RS02180
OG0000187	DR100_RS02425	DR085_RS02165
OG0000188	DR100_RS02435	DR085_RS02155
OG0000189	DR100_RS04845	DR085_RS03775
OG0000190	DR100_RS03230	DR085_RS02140
OG0000191	DR100_RS03210	DR085_RS02120
OG0000192	DR100_RS00140	DR085_RS02110
OG0000193	DR100_RS00125	DR085_RS02095
OG0000194	DR100_RS00790	DR085_RS02085
OG0000195	DR100_RS00795	DR085_RS02080
OG0000196	DR100_RS00815	DR085_RS03770
OG0000197	DR100_RS00820	DR085_RS02055
OG0000198	DR100_RS00835	DR085_RS02040
OG0000199	DR100_RS00840	DR085_RS02035
OG0000200	DR100_RS00855	DR085_RS02020
OG0000201	DR100_RS00865	DR085_RS02010
OG0000202	DR100_RS00920	DR085_RS01955
OG0000203	DR100_RS00925	DR085_RS01950
OG0000204	DR100_RS00930	DR085_RS03675
OG0000205	DR100_RS00935	DR085_RS00995
OG0000206	DR100_RS00955	DR085_RS01015
OG0000207	DR100_RS00970	DR085_RS01030
OG0000208	DR100_RS00975	DR085_RS01035
OG0000209	DR100_RS00980	DR085_RS01040
OG0000210	DR100_RS01025	DR085_RS01085
OG0000211	DR100_RS02965	DR085_RS01095
OG0000212	DR100_RS02955	DR085_RS01105
OG0000213	DR100_RS02950	DR085_RS01110
OG0000214	DR100_RS02945	DR085_RS01115
OG0000215	DR100_RS02940	DR085_RS01120
OG0000216	DR100_RS02935	DR085_RS01125
OG0000217	DR100_RS02930	DR085_RS01130
OG0000218	DR100_RS02920	DR085_RS03695
OG0000219	DR100_RS02915	DR085_RS01145
OG0000220	DR100_RS02910	DR085_RS01150
OG0000221	DR100_RS02905	DR085_RS01155
OG0000222	DR100_RS02900	DR085_RS01160
OG0000223	DR100_RS02895	DR085_RS01165
OG0000224	DR100_RS03890	DR085_RS01175
OG0000225	DR100_RS02875	DR085_RS01185
OG0000226	DR100_RS02870	DR085_RS01190
OG0000227	DR100_RS02865	DR085_RS01195
OG0000228	DR100_RS04935	DR085_RS03930
OG0000229	DR100_RS02855	DR085_RS01205
OG0000230	DR100_RS02850	DR085_RS01210
OG0000231	DR100_RS02840	DR085_RS01220
OG0000232	DR100_RS02830	DR085_RS01230
OG0000233	DR100_RS00010	DR085_RS01240
OG0000234	DR100_RS00045	DR085_RS01270
OG0000235	DR100_RS00055	DR085_RS01280
OG0000236	DR100_RS00060	DR085_RS01285
OG0000237	DR100_RS00065	DR085_RS01305
OG0000238	DR100_RS00075	DR085_RS01310
OG0000239	DR100_RS03120	DR085_RS01340
OG0000240	DR100_RS03125	DR085_RS01345
OG0000241	DR100_RS03135	DR085_RS01355
OG0000242	DR100_RS03140	DR085_RS01360
OG0000243	DR100_RS03145	DR085_RS01365
OG0000244	DR100_RS03155	DR085_RS01375
OG0000245	DR100_RS03165	DR085_RS01385
OG0000246	DR100_RS01055	DR085_RS02350
OG0000247	DR100_RS00705	DR085_RS02360
