ID,GO
GC_00000011,GO:0003676
GC_00000011,GO:0003677
GC_00000011,GO:0008168
GC_00000011,GO:0008170
GC_00000011,GO:0032259
GC_00000021,GO:0003676
GC_00000021,GO:0015074
GC_00000030,GO:0003677
GC_00000031,GO:0004252
GC_00000031,GO:0005615
GC_00000031,GO:0006508
GC_00000031,GO:0008236
GC_00000031,GO:0016020
GC_00000031,GO:0016485
GC_00000041,GO:0016887
GC_00000046,GO:0004553
GC_00000046,GO:0005975
GC_00000055,GO:0003911
GC_00000055,GO:0006260
GC_00000055,GO:0006281
GC_00000057,GO:0000166
GC_00000057,GO:0009166
GC_00000057,GO:0016787
GC_00000057,GO:0016788
GC_00000057,GO:0030288
GC_00000057,GO:0046872
GC_00000076,GO:0016020
GC_00000145,GO:0003676
GC_00000145,GO:0003677
GC_00000145,GO:0008168
GC_00000145,GO:0008170
GC_00000145,GO:0032259
GC_00000153,GO:0003723
GC_00000153,GO:0046872
GC_00000165,GO:0004797
GC_00000165,GO:0005524
GC_00000165,GO:0046104
GC_00000230,GO:0004645
GC_00000230,GO:0005829
GC_00000230,GO:0006206
GC_00000230,GO:0006213
GC_00000230,GO:0009032
GC_00000230,GO:0016154
GC_00000230,GO:0016757
GC_00000230,GO:0016763
GC_00000246,GO:0022857
GC_00000309,GO:0003677
GC_00000309,GO:0005524
GC_00000309,GO:0006289
GC_00000309,GO:0009380
GC_00000309,GO:0016887
GC_00000417,GO:0005525
GC_00000417,GO:0043022
GC_00000423,GO:0004491
GC_00000423,GO:0006210
GC_00000423,GO:0006574
GC_00000423,GO:0016491
GC_00000423,GO:0016620
GC_00000428,GO:0003824
GC_00000428,GO:0004619
GC_00000428,GO:0005737
GC_00000428,GO:0005829
GC_00000428,GO:0005975
GC_00000428,GO:0006007
GC_00000428,GO:0030145
GC_00000428,GO:0046537
GC_00000428,GO:0046872
GC_00000476,GO:0003824
GC_00000476,GO:0006260
GC_00000476,GO:0008408
GC_00000480,GO:0003676
GC_00000480,GO:0003677
GC_00000480,GO:0006304
GC_00000480,GO:0008168
GC_00000480,GO:0008170
GC_00000480,GO:0032259
GC_00000494,GO:0003713
GC_00000494,GO:0008134
GC_00000494,GO:0016592
GC_00000494,GO:0045944
GC_00000495,GO:0003735
GC_00000495,GO:0005840
GC_00000495,GO:0006412
GC_00000496,GO:0016020
GC_00000496,GO:0055085
GC_00000498,GO:0016746
GC_00000499,GO:0003723
GC_00000499,GO:0003735
GC_00000499,GO:0005840
GC_00000499,GO:0006412
GC_00000500,GO:0000287
GC_00000500,GO:0005829
GC_00000500,GO:0016787
GC_00000500,GO:0016791
GC_00000501,GO:0005524
GC_00000501,GO:0016887
GC_00000502,GO:0003735
GC_00000502,GO:0005840
GC_00000502,GO:0006412
GC_00000502,GO:0015935
GC_00000502,GO:0022627
GC_00000504,GO:0003735
GC_00000504,GO:0005840
GC_00000504,GO:0006412
GC_00000504,GO:0015934
GC_00000504,GO:0022625
GC_00000505,GO:0006364
GC_00000505,GO:0008168
GC_00000506,GO:0006629
GC_00000506,GO:0008081
GC_00000507,GO:0003924
GC_00000507,GO:0005525
GC_00000507,GO:0006614
GC_00000507,GO:0008312
GC_00000507,GO:0016887
GC_00000507,GO:0048500
GC_00000508,GO:0003735
GC_00000508,GO:0005840
GC_00000508,GO:0006412
GC_00000508,GO:0015934
GC_00000508,GO:0022625
GC_00000509,GO:0005524
GC_00000509,GO:0016887
GC_00000509,GO:0045261
GC_00000509,GO:0046034
GC_00000509,GO:0046933
GC_00000509,GO:1902600
GC_00000510,GO:0005829
GC_00000511,GO:0000166
GC_00000511,GO:0005524
GC_00000511,GO:0015833
GC_00000511,GO:0016887
GC_00000512,GO:0006082
GC_00000512,GO:0006083
GC_00000512,GO:0008776
GC_00000512,GO:0016301
GC_00000512,GO:0016310
GC_00000512,GO:0016774
GC_00000513,GO:0005506
GC_00000513,GO:0016226
GC_00000513,GO:0051536
GC_00000514,GO:0005886
GC_00000514,GO:0046942
GC_00000514,GO:0046943
GC_00000515,GO:0004113
GC_00000516,GO:0003677
GC_00000516,GO:0003899
GC_00000516,GO:0006351
GC_00000517,GO:0003735
GC_00000517,GO:0005840
GC_00000517,GO:0006412
GC_00000518,GO:0003333
GC_00000518,GO:0015179
GC_00000518,GO:0016020
GC_00000518,GO:0022857
GC_00000518,GO:0055085
GC_00000519,GO:0005886
GC_00000519,GO:0006886
GC_00000519,GO:0015031
GC_00000519,GO:0015450
GC_00000520,GO:0005737
GC_00000520,GO:0005829
GC_00000520,GO:0006364
GC_00000520,GO:0008649
GC_00000520,GO:0070043
GC_00000521,GO:0005524
GC_00000521,GO:0016020
GC_00000521,GO:0016887
GC_00000521,GO:0034040
GC_00000521,GO:0042626
GC_00000521,GO:0055085
GC_00000521,GO:0140359
GC_00000522,GO:0005737
GC_00000522,GO:0009249
GC_00000522,GO:0016979
GC_00000522,GO:0017118
GC_00000522,GO:0036211
GC_00000523,GO:0003824
GC_00000523,GO:0008965
GC_00000523,GO:0009401
GC_00000523,GO:0016310
GC_00000523,GO:0016772
GC_00000524,GO:0000166
GC_00000524,GO:0005524
GC_00000524,GO:0008033
GC_00000524,GO:0016879
GC_00000525,GO:0004176
GC_00000525,GO:0004252
GC_00000525,GO:0005524
GC_00000525,GO:0006508
GC_00000525,GO:0016887
GC_00000525,GO:0030163
GC_00000525,GO:0043565
GC_00000526,GO:0005886
GC_00000526,GO:0016020
GC_00000526,GO:0032977
GC_00000526,GO:0051205
GC_00000527,GO:0000287
GC_00000527,GO:0002189
GC_00000527,GO:0004749
GC_00000527,GO:0005737
GC_00000527,GO:0006015
GC_00000527,GO:0006164
GC_00000527,GO:0009165
GC_00000529,GO:0000166
GC_00000529,GO:0005524
GC_00000529,GO:0015833
GC_00000529,GO:0016887
GC_00000530,GO:0016491
GC_00000531,GO:0004817
GC_00000531,GO:0005524
GC_00000531,GO:0005737
GC_00000531,GO:0005829
GC_00000531,GO:0006423
GC_00000532,GO:0022857
GC_00000532,GO:0055085
GC_00000534,GO:0004807
GC_00000534,GO:0005829
GC_00000534,GO:0006094
GC_00000534,GO:0006096
GC_00000534,GO:0019563
GC_00000534,GO:0046166
GC_00000535,GO:0005971
GC_00000535,GO:0009263
GC_00000535,GO:0016491
GC_00000536,GO:0003677
GC_00000536,GO:0003918
GC_00000536,GO:0005524
GC_00000536,GO:0006265
GC_00000537,GO:0004370
GC_00000537,GO:0005829
GC_00000537,GO:0005975
GC_00000537,GO:0006071
GC_00000537,GO:0006072
GC_00000537,GO:0016301
GC_00000537,GO:0016310
GC_00000537,GO:0016773
GC_00000537,GO:0019563
GC_00000538,GO:0004622
GC_00000538,GO:0016788
GC_00000539,GO:0005515
GC_00000539,GO:0005524
GC_00000539,GO:0005694
GC_00000539,GO:0007062
GC_00000539,GO:0016887
GC_00000539,GO:0030261
GC_00000539,GO:0051276
GC_00000541,GO:0004386
GC_00000541,GO:0043139
GC_00000542,GO:0000166
GC_00000542,GO:0005215
GC_00000542,GO:0005524
GC_00000542,GO:0016020
GC_00000542,GO:0016887
GC_00000546,GO:0003735
GC_00000546,GO:0005840
GC_00000546,GO:0006412
GC_00000547,GO:0003677
GC_00000547,GO:0006355
GC_00000547,GO:0045892
GC_00000548,GO:0003677
GC_00000548,GO:0003688
GC_00000548,GO:0005524
GC_00000548,GO:0005886
GC_00000548,GO:0006260
GC_00000548,GO:0006270
GC_00000548,GO:0006275
GC_00000548,GO:0016887
GC_00000548,GO:0043565
GC_00000549,GO:0000287
GC_00000549,GO:0003824
GC_00000549,GO:0005737
GC_00000549,GO:0005829
GC_00000549,GO:0008973
GC_00000549,GO:0009117
GC_00000549,GO:0043094
GC_00000549,GO:0046872
GC_00000552,GO:0000166
GC_00000552,GO:0004812
GC_00000552,GO:0004820
GC_00000552,GO:0005524
GC_00000552,GO:0005737
GC_00000552,GO:0006418
GC_00000552,GO:0006426
GC_00000554,GO:0015078
GC_00000554,GO:0015986
GC_00000554,GO:0045259
GC_00000554,GO:0045263
GC_00000554,GO:0046961
GC_00000555,GO:0015986
GC_00000555,GO:0045259
GC_00000555,GO:0045261
GC_00000555,GO:0046933
GC_00000556,GO:0004139
GC_00000556,GO:0005737
GC_00000556,GO:0009264
GC_00000556,GO:0016052
GC_00000556,GO:0016829
GC_00000557,GO:0000166
GC_00000557,GO:0004812
GC_00000557,GO:0004828
GC_00000557,GO:0005524
GC_00000557,GO:0006418
GC_00000557,GO:0006434
GC_00000559,GO:0004252
GC_00000559,GO:0006508
GC_00000559,GO:0008236
