GO	Term	P-value	FDR	Study	Population
GO:0016310	phosphorylation	2.602e-03	4.600e-01	5	5
GO:0003824	catalytic activity	2.718e-03	4.600e-01	97	269
GO:0008236	serine-type peptidase activity	4.061e-03	4.600e-01	6	7
GO:0017171	serine hydrolase activity	4.061e-03	4.600e-01	6	7
GO:0004252	serine-type endopeptidase activity	4.061e-03	4.600e-01	6	7
GO:0009058	biosynthetic process	1.280e-04	9.868e-02	16	102
GO:0009059	macromolecule biosynthetic process	1.584e-04	9.868e-02	8	68
GO:0006412	translation	3.619e-03	4.600e-01	7	52
GO:0110165	cellular anatomical structure	5.876e-04	1.830e-01	51	221
GO:0005575	cellular_component	1.061e-03	2.645e-01	62	254
GO:0003723	RNA binding	4.957e-04	1.830e-01	5	50
