ID,GO
GC_00000007,GO:0004148
GC_00000007,GO:0005829
GC_00000007,GO:0006090
GC_00000007,GO:0006103
GC_00000007,GO:0016491
GC_00000007,GO:0050660
GC_00000036,GO:0003676
GC_00000520,GO:0004252
GC_00000520,GO:0006508
GC_00000520,GO:0008236
GC_00000530,GO:0000166
GC_00000530,GO:0005524
GC_00000530,GO:0015833
GC_00000530,GO:0016887
GC_00000531,GO:0006261
GC_00000536,GO:0004148
GC_00000536,GO:0006090
GC_00000536,GO:0006103
GC_00000536,GO:0016491
GC_00000536,GO:0016668
GC_00000536,GO:0050660
GC_00000538,GO:0003677
GC_00000538,GO:0005524
GC_00000538,GO:0005829
GC_00000538,GO:0016787
GC_00000539,GO:0003676
GC_00000539,GO:0003677
GC_00000539,GO:0008168
GC_00000539,GO:0008170
GC_00000539,GO:0032259
GC_00000540,GO:0005524
GC_00000540,GO:0015421
GC_00000540,GO:0016020
GC_00000540,GO:0016887
GC_00000540,GO:0055085
GC_00000540,GO:0140359
GC_00000542,GO:0003676
GC_00000542,GO:0003677
GC_00000542,GO:0008168
GC_00000542,GO:0008170
GC_00000542,GO:0032259
GC_00000543,GO:0003676
GC_00000543,GO:0003677
GC_00000543,GO:0003824
GC_00000543,GO:0003887
GC_00000543,GO:0005737
GC_00000543,GO:0006260
GC_00000543,GO:0008408
GC_00000546,GO:0003676
GC_00000546,GO:0003677
GC_00000546,GO:0006298
GC_00000546,GO:0008168
GC_00000546,GO:0009007
GC_00000546,GO:0009036
GC_00000546,GO:0009307
GC_00000546,GO:0032259
GC_00000546,GO:0043565
GC_00000546,GO:1904047
GC_00000547,GO:0003676
GC_00000547,GO:0003677
GC_00000547,GO:0008168
GC_00000547,GO:0008170
GC_00000547,GO:0032259
GC_00000549,GO:0004252
GC_00000549,GO:0006465
GC_00000552,GO:0000725
GC_00000552,GO:0003677
GC_00000552,GO:0003678
GC_00000552,GO:0005524
GC_00000552,GO:0005634
GC_00000552,GO:0043138
GC_00000553,GO:0004252
GC_00000553,GO:0006465
GC_00000555,GO:0005829
GC_00000555,GO:0008443
GC_00000557,GO:0003723
GC_00000557,GO:0003724
GC_00000557,GO:0005524
GC_00000559,GO:0003677
GC_00000561,GO:0003677
GC_00000561,GO:0008170
GC_00000565,GO:0003677
