GO	Term	Category	P-value (FDR)	Study Count	Population Count	Study Genes
GO:0016310	phosphorylation	enriched	4.600e-01	5	5	GC_00000473, GC_00000647, GC_00000486, GC_00000594, GC_00000461
GO:0003824	catalytic activity	enriched	4.600e-01	97	269	GC_00000162, GC_00000603, GC_00000495, GC_00000520, GC_00000486, GC_00000025, GC_00000594, GC_00000524, GC_00000471, GC_00000016, GC_00000554, GC_00000057, GC_00000485, GC_00000483, GC_00000472, GC_00000490, GC_00000478, GC_00000461, GC_00000522, GC_00000644, GC_00000457, GC_00000382, GC_00000706, GC_00000535, GC_00000465, GC_00000626, GC_00000482, GC_00000530, GC_00000450, GC_00000480, GC_00000497, GC_00000032, GC_00000532, GC_00000423, GC_00000576, GC_00000598, GC_00000504, GC_00000669, GC_00000055, GC_00000496, GC_00000511, GC_00000523, GC_00000458, GC_00000036, GC_00000534, GC_00000579, GC_00000578, GC_00000507, GC_00000037, GC_00000455, GC_00000417, GC_00000724, GC_00000452, GC_00000475, GC_00000569, GC_00000298, GC_00000464, GC_00000521, GC_00000567, GC_00000492, GC_00000474, GC_00000710, GC_00000643, GC_00000013, GC_00000717, GC_00000512, GC_00000516, GC_00000566, GC_00000501, GC_00000227, GC_00000587, GC_00000217, GC_00000481, GC_00000460, GC_00000487, GC_00000473, GC_00000506, GC_00000046, GC_00000543, GC_00000289, GC_00000537, GC_00000515, GC_00000470, GC_00000024, GC_00000574, GC_00000004, GC_00000573, GC_00000513, GC_00000437, GC_00000500, GC_00000477, GC_00000398, GC_00000489, GC_00000622, GC_00000662, GC_00000647, GC_00000502
GO:0017171	serine hydrolase activity	enriched	4.600e-01	6	7	GC_00000587, GC_00000382, GC_00000478, GC_00000025, GC_00000622, GC_00000024
GO:0008236	serine-type peptidase activity	enriched	4.600e-01	6	7	GC_00000587, GC_00000382, GC_00000478, GC_00000025, GC_00000622, GC_00000024
GO:0004252	serine-type endopeptidase activity	enriched	4.600e-01	6	7	GC_00000587, GC_00000382, GC_00000478, GC_00000025, GC_00000622, GC_00000024
GO:0009058	biosynthetic process	purified	9.868e-02	16	102	GC_00000465, GC_00000482, GC_00000496, GC_00000499, GC_00000459, GC_00000474, GC_00000485, GC_00000537, GC_00000456, GC_00000447, GC_00000453, GC_00000493, GC_00000507, GC_00000467, GC_00000500, GC_00000451
GO:0009059	macromolecule biosynthetic process	purified	9.868e-02	8	68	GC_00000465, GC_00000447, GC_00000459, GC_00000456, GC_00000453, GC_00000493, GC_00000467, GC_00000451
GO:0006412	translation	purified	4.600e-01	7	52	GC_00000447, GC_00000459, GC_00000456, GC_00000453, GC_00000493, GC_00000467, GC_00000451
GO:0110165	cellular anatomical structure	purified	1.830e-01	51	221	GC_00000487, GC_00000547, GC_00000482, GC_00000543, GC_00000495, GC_00000486, GC_00000453, GC_00000025, GC_00000524, GC_00000463, GC_00000471, GC_00000016, GC_00000497, GC_00000574, GC_00000032, GC_00000057, GC_00000492, GC_00000474, GC_00000598, GC_00000710, GC_00000469, GC_00000468, GC_00000577, GC_00000643, GC_00000483, GC_00000512, GC_00000472, GC_00000529, GC_00000398, GC_00000496, GC_00000447, GC_00000589, GC_00000456, GC_00000489, GC_00000036, GC_00000534, GC_00000526, GC_00000579, GC_00000448, GC_00000501, GC_00000451, GC_00000227, GC_00000479, GC_00000662, GC_00000459, GC_00000382, GC_00000217, GC_00000578, GC_00000493, GC_00000037, GC_00000467
GO:0005575	cellular_component	purified	2.645e-01	62	254	GC_00000298, GC_00000535, GC_00000487, GC_00000547, GC_00000482, GC_00000530, GC_00000543, GC_00000537, GC_00000495, GC_00000486, GC_00000453, GC_00000025, GC_00000524, GC_00000463, GC_00000471, GC_00000016, GC_00000497, GC_00000574, GC_00000032, GC_00000057, GC_00000485, GC_00000492, GC_00000474, GC_00000598, GC_00000710, GC_00000469, GC_00000468, GC_00000577, GC_00000643, GC_00000500, GC_00000483, GC_00000512, GC_00000472, GC_00000529, GC_00000398, GC_00000496, GC_00000516, GC_00000447, GC_00000589, GC_00000446, GC_00000458, GC_00000456, GC_00000489, GC_00000036, GC_00000534, GC_00000526, GC_00000579, GC_00000448, GC_00000501, GC_00000451, GC_00000227, GC_00000479, GC_00000662, GC_00000499, GC_00000459, GC_00000382, GC_00000217, GC_00000578, GC_00000493, GC_00000507, GC_00000467, GC_00000037
GO:0003723	RNA binding	purified	1.830e-01	5	50	GC_00000458, GC_00000515, GC_00000513, GC_00000148, GC_00000451
