HOG	OG	Gene Tree Parent Clade	MFC_ATCC27716_genes	MFC_MF11_genes	MFC_MF18_genes	MFC_MF22_genes	MFC_MF29_genes	MFC_MF30_genes	MFC_MF33_genes	MFC_Ms42_genes	MHP_111A_genes	MHP_112B_genes	MHP_116_genes	MHP_11_genes	MHP_1257_genes	MHP_131B_genes	MHP_133A_genes	MHP_153B_genes	MHP_154B_genes	MHP_168L_genes	MHP_168_genes	MHP_232_genes	MHP_4284_genes	MHP_7422_genes	MHP_7448_genes	MHP_98_genes	MHP_ES2L_genes	MHP_ES2_genes	MHP_F72C_genes	MHP_J_genes	MHP_KM014_genes	MHP_LH_genes	MHP_MHP650_genes	MHP_MHP653_genes	MHP_MHP679_genes	MHP_MHP682_genes	MHP_MHP691_genes	MHP_MHP694_genes	MHP_MHP696_genes	MHP_MHP699_genes	MHP_MHP709_genes	MHP_NCTC10127_genes	MHP_TB1_genes	MHP_UFV01_genes	MHP_UFV02_genes	MHP_Ue273_genes
N35.HOG0000000	OG0000000	n5																			MHP168_RS02175																						B5M19_RS04470			
N35.HOG0000001	OG0000000	n217																			MHP168_RS02315																						B5M19_RS03770			
N35.HOG0000002	OG0000000	n279																																									B5M19_RS02095			
N35.HOG0000003	OG0000000	n317																			MHP168_RS01690																						B5M19_RS02100			
N35.HOG0000004	OG0000001	n12																			MHP168_RS01365																						B5M19_RS02595			
N35.HOG0000005	OG0000001	n37																			MHP168_RS03950																						B5M19_RS04385			
N35.HOG0000006	OG0000001	n57																			MHP168_RS02805																						B5M19_RS02555			
N35.HOG0000007	OG0000001	n91																			MHP168_RS02755																						B5M19_RS02505			
N35.HOG0000008	OG0000001	n97																			MHP168_RS02760																						B5M19_RS02510			
N35.HOG0000009	OG0000002	n16																			MHP168_RS03985																						B5M19_RS04465			
N35.HOG0000010	OG0000002	n38																			MHP168_RS03895																						B5M19_RS04625			
N35.HOG0000011	OG0000002	n95																			MHP168_RS01665, MHP168_RS01685																						B5M19_RS02105			
N35.HOG0000012	OG0000003	n25																			MHP168_RS01845																									
N35.HOG0000013	OG0000003	n37																			MHP168_RS00480																						B5M19_RS04550			
N35.HOG0000014	OG0000003	n118																			MHP168_RS03875																						B5M19_RS03885			
N35.HOG0000015	OG0000004	n5																			MHP168_RS03180																									
N35.HOG0000016	OG0000004	n51																			MHP168_RS03190																						B5M19_RS04240			
N35.HOG0000017	OG0000005	n1																			MHP168_RS00085																						B5M19_RS00020			
N35.HOG0000018	OG0000005	n52																			MHP168_RS00095																						B5M19_RS00030			
N35.HOG0000019	OG0000005	n86																			MHP168_RS00100																						B5M19_RS04010			
N35.HOG0000020	OG0000005	n90																			MHP168_RS03905																						B5M19_RS04005			
N35.HOG0000021	OG0000006	n11																			MHP168_RS02510																						B5M19_RS03635			
N35.HOG0000022	OG0000006	n25																			MHP168_RS02505																						B5M19_RS03630			
N35.HOG0000023	OG0000006	n58																			MHP168_RS02320																						B5M19_RS03605			
N35.HOG0000024	OG0000006	n87																			MHP168_RS02355																						B5M19_RS02695			
N35.HOG0000025	OG0000006	n110																			MHP168_RS02500																									
N35.HOG0000026	OG0000008	n2																			MHP168_RS02310																						B5M19_RS03790			
N35.HOG0000027	OG0000008	n35																			MHP168_RS01780																						B5M19_RS03340			
N35.HOG0000028	OG0000008	n89																			MHP168_RS04005																						B5M19_RS04540			
N35.HOG0000029	OG0000009	n2																			MHP168_RS00985																						B5M19_RS04475			
N35.HOG0000030	OG0000009	n38																			MHP168_RS00975																						B5M19_RS04265			
N35.HOG0000031	OG0000010	n3																			MHP168_RS01930																						B5M19_RS00670			
N35.HOG0000032	OG0000010	n38																			MHP168_RS01645																						B5M19_RS03275			
N35.HOG0000033	OG0000010	n72																			MHP168_RS00080																						B5M19_RS00015			
N35.HOG0000034	OG0000011	n10																			MHP168_RS04085																						B5M19_RS04080			
N35.HOG0000035	OG0000011	n37																			MHP168_RS02020																						B5M19_RS00770			
N35.HOG0000036	OG0000011	n51																			MHP168_RS02015																						B5M19_RS00765			
N35.HOG0000037	OG0000012	n34																																									B5M19_RS03815			
N35.HOG0000038	OG0000012	n39																			MHP168_RS02105																									
N35.HOG0000039	OG0000012	n40																			MHP168_RS03590																									
N35.HOG0000040	OG0000013	n1																			MHP168_RS02405																						B5M19_RS02640			
N35.HOG0000041	OG0000013	n47																			MHP168_RS03910																						B5M19_RS00100			
N35.HOG0000042	OG0000014	n30																			MHP168_RS01070																						B5M19_RS03715			
N35.HOG0000043	OG0000014	n57																			MHP168_RS01055																						B5M19_RS03505			
N35.HOG0000044	OG0000015	n6																			MHP168_RS04045																									
N35.HOG0000045	OG0000015	n11																			MHP168_RS03520																						B5M19_RS02855			
N35.HOG0000046	OG0000015	n24																			MHP168_RS01265																						B5M19_RS02335			
N35.HOG0000047	OG0000015	n36																			MHP168_RS03815																						B5M19_RS03260			
N35.HOG0000048	OG0000016	n1																			MHP168_RS02850																						B5M19_RS01425			
N35.HOG0000049	OG0000016	n36																			MHP168_RS00145																						B5M19_RS00080, B5M19_RS04015			
N35.HOG0000050	OG0000017	n1																			MHP168_RS00130																						B5M19_RS00065			
N35.HOG0000051	OG0000017	n16																			MHP168_RS02860																						B5M19_RS01415			
N35.HOG0000052	OG0000018	n26																			MHP168_RS01245																						B5M19_RS02315			
N35.HOG0000053	OG0000018	n37																			MHP168_RS04035																						B5M19_RS04450			
N35.HOG0000054	OG0000018	n54																			MHP168_RS04030																						B5M19_RS04445			
N35.HOG0000055	OG0000018	n68																			MHP168_RS01410																						B5M19_RS04150			
N35.HOG0000056	OG0000019	n4																			MHP168_RS03020																									
N35.HOG0000057	OG0000019	n82																			MHP168_RS03015																									
N35.HOG0000058	OG0000020	n1																			MHP168_RS03580																						B5M19_RS04305			
N35.HOG0000059	OG0000020	n60																			MHP168_RS03585																						B5M19_RS02010			
N35.HOG0000060	OG0000021	n11																			MHP168_RS01850																						B5M19_RS00590			
N35.HOG0000061	OG0000021	n28																			MHP168_RS00490																									
N35.HOG0000062	OG0000021	n29																			MHP168_RS01775																									
N35.HOG0000063	OG0000021	n33																			MHP168_RS00485																									
N35.HOG0000064	OG0000021	n51																			MHP168_RS02335																									
N35.HOG0000065	OG0000022	n1																			MHP168_RS01760																						B5M19_RS02040			
N35.HOG0000066	OG0000022	n33																			MHP168_RS01710																						B5M19_RS02090			
N35.HOG0000067	OG0000023	n33																			MHP168_RS01405																						B5M19_RS01255			
N35.HOG0000068	OG0000023	n37																			MHP168_RS03930																						B5M19_RS04365			
N35.HOG0000069	OG0000023	n52																			MHP168_RS03535																									
N35.HOG0000070	OG0000024	n8																			MHP168_RS02750																						B5M19_RS02500			
N35.HOG0000071	OG0000024	n55																			MHP168_RS03940																						B5M19_RS04395			
N35.HOG0000072	OG0000024	n63																			MHP168_RS03945																						B5M19_RS04390			
N35.HOG0000073	OG0000025	n1																			MHP168_RS01755																						B5M19_RS04315			
N35.HOG0000074	OG0000025	n32																			MHP168_RS01715																						B5M19_RS02085			
N35.HOG0000075	OG0000026	n5																			MHP168_RS01450																						B5M19_RS01210			
N35.HOG0000076	OG0000026	n19																			MHP168_RS01735																						B5M19_RS02065			
N35.HOG0000077	OG0000027	n1																			MHP168_RS03845																						B5M19_RS00565			
N35.HOG0000078	OG0000027	n21																			MHP168_RS03330																						B5M19_RS00550			
N35.HOG0000079	OG0000028	n34																																									B5M19_RS02470			
N35.HOG0000080	OG0000028	n36																			MHP168_RS02415																						B5M19_RS02460			
N35.HOG0000081	OG0000028	n38																			MHP168_RS02420																						B5M19_RS02465			
N35.HOG0000082	OG0000029	n9																			MHP168_RS00575																						B5M19_RS03200			
N35.HOG0000083	OG0000029	n41																			MHP168_RS01050																						B5M19_RS03510, B5M19_RS04520			
N35.HOG0000084	OG0000030	n8																			MHP168_RS03310																						B5M19_RS00570			
N35.HOG0000085	OG0000030	n33																			MHP168_RS03325																						B5M19_RS00555			
N35.HOG0000086	OG0000031	n10																																									B5M19_RS04360			
N35.HOG0000087	OG0000031	n12																			MHP168_RS03565																									
N35.HOG0000088	OG0000031	n22																			MHP168_RS01210																									
N35.HOG0000089	OG0000031	n23																			MHP168_RS01815																						B5M19_RS03305			
N35.HOG0000090	OG0000032	n25																			MHP168_RS03320																						B5M19_RS00560			
N35.HOG0000091	OG0000033	n7																			MHP168_RS02410																						B5M19_RS02455, B5M19_RS04375			
N35.HOG0000092	OG0000035	n1																			MHP168_RS03185																						B5M19_RS01610			
N35.HOG0000093	OG0000035	n34																			MHP168_RS03170																						B5M19_RS04235			
N35.HOG0000094	OG0000036	n2																			MHP168_RS00105																						B5M19_RS00040			
N35.HOG0000095	OG0000037	n39																			MHP168_RS01830																						B5M19_RS04485, B5M19_RS04490			
N35.HOG0000096	OG0000038	n40																			MHP168_RS01840																									
N35.HOG0000097	OG0000039	n43																			MHP168_RS01800																						B5M19_RS03320			
N35.HOG0000098	OG0000040	n0																			MHP168_RS03260																						B5M19_RS02985			
N35.HOG0000099	OG0000041	n9																			MHP168_RS00980																						B5M19_RS03050			
N35.HOG0000100	OG0000041	n22																			MHP168_RS03920																						B5M19_RS04355			
N35.HOG0000101	OG0000042	n7																			MHP168_RS02950																						B5M19_RS01320			
N35.HOG0000102	OG0000043	n0																			MHP168_RS01205, MHP168_RS01985																						B5M19_RS00735, B5M19_RS02270			
N35.HOG0000103	OG0000044	n1																			MHP168_RS03745																									
N35.HOG0000104	OG0000044	n6																			MHP168_RS01880																						B5M19_RS00620			
N35.HOG0000105	OG0000045	n0																			MHP168_RS01795																						B5M19_RS03325			
N35.HOG0000106	OG0000046	n43																			MHP168_RS03265																						B5M19_RS03125			
N35.HOG0000107	OG0000047	n4																			MHP168_RS03530																						B5M19_RS04440			
N35.HOG0000108	OG0000047	n17																																									B5M19_RS03245			
N35.HOG0000109	OG0000047	n35																			MHP168_RS01230																						B5M19_RS02295			
N35.HOG0000110	OG0000048	n0																			MHP168_RS02190																						B5M19_RS03695			
N35.HOG0000111	OG0000049	n15																			MHP168_RS03035																						B5M19_RS01455			
N35.HOG0000112	OG0000050	n0																			MHP168_RS02450																						B5M19_RS02825			
N35.HOG0000113	OG0000051	n9																			MHP168_RS04010																						B5M19_RS04110			
N35.HOG0000114	OG0000051	n38																			MHP168_RS02660																						B5M19_RS00915			
N35.HOG0000115	OG0000052	n0																			MHP168_RS00070																						B5M19_RS00005			
N35.HOG0000116	OG0000053	n0																			MHP168_RS01535																						B5M19_RS01120			
N35.HOG0000117	OG0000054	n0																			MHP168_RS02475																						B5M19_RS02800			
N35.HOG0000118	OG0000055	n0																			MHP168_RS00110																						B5M19_RS00045			
N35.HOG0000119	OG0000056	n33																			MHP168_RS03500																						B5M19_RS00375			
N35.HOG0000120	OG0000057	n0																			MHP168_RS02935																						B5M19_RS01340			
N35.HOG0000121	OG0000058	n25																			MHP168_RS01190																						B5M19_RS02250			
N35.HOG0000122	OG0000058	n29																			MHP168_RS03570																						B5M19_RS02905			
N35.HOG0000123	OG0000059	n18																																									B5M19_RS03915			
N35.HOG0000124	OG0000059	n20																			MHP168_RS03925																						B5M19_RS02265			
N35.HOG0000125	OG0000059	n40																			MHP168_RS03560																						B5M19_RS03935			
N35.HOG0000126	OG0000060	n11																			MHP168_RS01270																						B5M19_RS04370			
N35.HOG0000127	OG0000060	n21																			MHP168_RS00075																						B5M19_RS03995			
N35.HOG0000128	OG0000061	n5																			MHP168_RS01940																						B5M19_RS00680			
N35.HOG0000129	OG0000061	n21																			MHP168_RS01655																						B5M19_RS03265			
N35.HOG0000130	OG0000062	n0																			MHP168_RS03625																						B5M19_RS01970			
N35.HOG0000131	OG0000063	n0																			MHP168_RS03620																						B5M19_RS01975			
N35.HOG0000132	OG0000064	n0																			MHP168_RS03610																						B5M19_RS01990			
N35.HOG0000133	OG0000065	n0																			MHP168_RS02125																						B5M19_RS02925			
N35.HOG0000134	OG0000066	n7																			MHP168_RS01440																						B5M19_RS01220			
N35.HOG0000135	OG0000067	n13																			MHP168_RS00505																						B5M19_RS02375			
N35.HOG0000136	OG0000068	n0																			MHP168_RS03810																						B5M19_RS04480			
N35.HOG0000137	OG0000069	n0																			MHP168_RS02825																						B5M19_RS03520			
N35.HOG0000138	OG0000070	n0																			MHP168_RS02480																						B5M19_RS02795			
N35.HOG0000139	OG0000071	n0																			MHP168_RS03250																						B5M19_RS02995			
N35.HOG0000140	OG0000072	n0																			MHP168_RS03255																						B5M19_RS02990			
N35.HOG0000141	OG0000073	n0																			MHP168_RS00950																						B5M19_RS01840			
N35.HOG0000142	OG0000074	n27																			MHP168_RS00760																						B5M19_RS01645			
N35.HOG0000143	OG0000076	n7																			MHP168_RS00330																						B5M19_RS00280			
N35.HOG0000144	OG0000077	n0																			MHP168_RS00420																						B5M19_RS03440			
