HOG	OG	Gene Tree Parent Clade	MFC_ATCC27716_genes	MFC_MF11_genes	MFC_MF18_genes	MFC_MF22_genes	MFC_MF29_genes	MFC_MF30_genes	MFC_MF33_genes	MFC_Ms42_genes	MHP_111A_genes	MHP_112B_genes	MHP_116_genes	MHP_11_genes	MHP_1257_genes	MHP_131B_genes	MHP_133A_genes	MHP_153B_genes	MHP_154B_genes	MHP_168L_genes	MHP_168_genes	MHP_232_genes	MHP_4284_genes	MHP_7422_genes	MHP_7448_genes	MHP_98_genes	MHP_ES2L_genes	MHP_ES2_genes	MHP_F72C_genes	MHP_J_genes	MHP_KM014_genes	MHP_LH_genes	MHP_MHP650_genes	MHP_MHP653_genes	MHP_MHP679_genes	MHP_MHP682_genes	MHP_MHP691_genes	MHP_MHP694_genes	MHP_MHP696_genes	MHP_MHP699_genes	MHP_MHP709_genes	MHP_NCTC10127_genes	MHP_TB1_genes	MHP_UFV01_genes	MHP_UFV02_genes	MHP_Ue273_genes
N10.HOG0000000	OG0000000	n2										NBX26_RS01900						NB625_RS02335	NB624_RS02330																											
N10.HOG0000001	OG0000000	n58																NB625_RS02230	NB624_RS02240																											
N10.HOG0000002	OG0000000	n94									NB623_RS01020	NBX26_RS01015						NB625_RS02220	NB624_RS02230																											
N10.HOG0000003	OG0000000	n125										NBX26_RS01025						NB625_RS02215, NB625_RS02225	NB624_RS02225, NB624_RS02235																											
N10.HOG0000004	OG0000000	n154									NB623_RS01025	NBX26_RS01020, NBX26_RS01030						NB625_RS02210	NB624_RS02220																											
N10.HOG0000005	OG0000000	n177									NB623_RS01030	NBX26_RS01035						NB625_RS02330	NB624_RS02325																											
N10.HOG0000006	OG0000000	n199									NB623_RS01855																																			
N10.HOG0000007	OG0000000	n203										NBX26_RS01905																																		
N10.HOG0000008	OG0000000	n217									NB623_RS02460	NBX26_RS02470																																		
N10.HOG0000009	OG0000000	n254																	NB624_RS02460																											
N10.HOG0000010	OG0000000	n260																NB625_RS02465																												
N10.HOG0000011	OG0000000	n283									NB623_RS01845								NB624_RS01720																											
N10.HOG0000012	OG0000000	n294									NB623_RS01850							NB625_RS01725	NB624_RS01725																											
N10.HOG0000013	OG0000000	n317									NB623_RS01865	NBX26_RS01860																																		
N10.HOG0000014	OG0000001	n30																NB625_RS01285	NB624_RS01275																											
N10.HOG0000015	OG0000001	n31									NB623_RS01400	NBX26_RS01405						NB625_RS01280	NB624_RS01270																											
N10.HOG0000016	OG0000001	n57									NB623_RS02960	NBX26_RS02970						NB625_RS02955	NB624_RS02960																											
N10.HOG0000017	OG0000001	n91									NB623_RS02915	NBX26_RS02925																																		
N10.HOG0000018	OG0000001	n97									NB623_RS02910	NBX26_RS02920						NB625_RS02910	NB624_RS02915																											
N10.HOG0000019	OG0000002	n16									NB623_RS02345	NBX26_RS02355						NB625_RS02350	NB624_RS02340																											
N10.HOG0000020	OG0000002	n32																NB625_RS02345	NB624_RS02335																											
N10.HOG0000021	OG0000002	n38									NB623_RS01905	NBX26_RS01895						NB625_RS02340																												
N10.HOG0000022	OG0000002	n64									NB623_RS01015	NBX26_RS01010						NB625_RS02235	NB624_RS02245																											
N10.HOG0000023	OG0000002	n95																NB625_RS01730	NB624_RS01730																											
N10.HOG0000024	OG0000003	n12									NB623_RS00495	NBX26_RS00500							NB624_RS01755																											
N10.HOG0000025	OG0000003	n20									NB623_RS00505	NBX26_RS00510																																		
N10.HOG0000026	OG0000003	n54																NB625_RS01750	NB624_RS01750																											
N10.HOG0000027	OG0000003	n59																NB625_RS00510	NB624_RS00505																											
N10.HOG0000028	OG0000003	n65									NB623_RS00940	NBX26_RS00940						NB625_RS02310	NB624_RS02310																											
N10.HOG0000029	OG0000003	n77									NB623_RS00945	NBX26_RS00945																																		
N10.HOG0000030	OG0000003	n92									NB623_RS01040	NBX26_RS01045																																		
N10.HOG0000031	OG0000003	n93									NB623_RS01035	NBX26_RS01040																																		
N10.HOG0000032	OG0000003	n132									NB623_RS02255	NBX26_RS02265																																		
N10.HOG0000033	OG0000003	n133																NB625_RS01830	NB624_RS01835																											
N10.HOG0000034	OG0000004	n5									NB623_RS03360	NBX26_RS03380						NB625_RS03355	NB624_RS03355																											
N10.HOG0000035	OG0000004	n25									NB623_RS03350	NBX26_RS03370																																		
N10.HOG0000036	OG0000004	n36																NB625_RS03360	NB624_RS03360																											
N10.HOG0000037	OG0000004	n51									NB623_RS03365	NBX26_RS03385						NB625_RS03370																												
N10.HOG0000038	OG0000004	n76									NB623_RS03170	NBX26_RS03185						NB625_RS03170	NB624_RS03175																											
N10.HOG0000039	OG0000004	n106																NB625_RS03190	NB624_RS03195																											
N10.HOG0000040	OG0000004	n127									NB623_RS03180	NBX26_RS03195																																		
N10.HOG0000041	OG0000004	n134									NB623_RS03190	NBX26_RS03205						NB625_RS03180	NB624_RS03185																											
N10.HOG0000042	OG0000005	n1									NB623_RS00105	NBX26_RS00105						NB625_RS00100	NB624_RS00100																											
N10.HOG0000043	OG0000005	n32																NB625_RS00125																												
N10.HOG0000044	OG0000005	n52									NB623_RS00110	NBX26_RS00110																																		
N10.HOG0000045	OG0000005	n92									NB623_RS00115	NBX26_RS00115						NB625_RS00105	NB624_RS00105																											
N10.HOG0000046	OG0000006	n3									NB623_RS02650	NBX26_RS02660																																		
N10.HOG0000047	OG0000006	n25																NB625_RS02650	NB624_RS02650																											
N10.HOG0000048	OG0000006	n70									NB623_RS02495	NBX26_RS02505						NB625_RS02500	NB624_RS02495																											
N10.HOG0000049	OG0000006	n87																NB625_RS02645	NB624_RS02645																											
N10.HOG0000050	OG0000006	n104									NB623_RS02465	NBX26_RS02475						NB625_RS02470	NB624_RS02465																											
N10.HOG0000051	OG0000007	n3																NB625_RS02315																												
N10.HOG0000052	OG0000007	n10									NB623_RS00955																																			
N10.HOG0000053	OG0000007	n11									NB623_RS00950																																			
N10.HOG0000054	OG0000007	n12										NBX26_RS00950																																		
N10.HOG0000055	OG0000007	n13									NB623_RS01045	NBX26_RS01050						NB625_RS02325																												
N10.HOG0000056	OG0000007	n28									NB623_RS00970	NBX26_RS00965																																		
N10.HOG0000057	OG0000007	n32									NB623_RS01050	NBX26_RS01055						NB625_RS02305	NB624_RS02305																											
N10.HOG0000058	OG0000007	n45									NB623_RS01060	NBX26_RS01065																																		
N10.HOG0000059	OG0000008	n2									NB623_RS02455	NBX26_RS02465						NB625_RS02460	NB624_RS02450																											
N10.HOG0000060	OG0000008	n34																	NB624_RS01630																											
N10.HOG0000061	OG0000008	n35									NB623_RS01760	NBX26_RS01765						NB625_RS01635, NB625_RS01640	NB624_RS01625, NB624_RS01635																											
N10.HOG0000062	OG0000008	n73																NB625_RS02660	NB624_RS02665																											
N10.HOG0000063	OG0000008	n87									NB623_RS02665	NBX26_RS02670																																		
N10.HOG0000064	OG0000008	n89									NB623_RS02660	NBX26_RS02665																																		
N10.HOG0000065	OG0000009	n2									NB623_RS00660, NB623_RS00665	NBX26_RS00665						NB625_RS01020	NB624_RS01015																											
N10.HOG0000066	OG0000009	n16									NB623_RS00090	NBX26_RS00090						NB625_RS00085	NB624_RS00085																											
N10.HOG0000067	OG0000009	n35									NB623_RS00680	NBX26_RS00685						NB625_RS01005	NB624_RS01000																											
N10.HOG0000068	OG0000010	n1																NB625_RS01850	NB624_RS01855																											
N10.HOG0000069	OG0000010	n3									NB623_RS02245	NBX26_RS02250																																		
N10.HOG0000070	OG0000011	n10									NB623_RS02145	NBX26_RS02155						NB625_RS01950	NB624_RS01955																											
N10.HOG0000071	OG0000011	n51									NB623_RS02150								NB624_RS01950																											
N10.HOG0000072	OG0000012	n15									NB623_RS01890	NBX26_RS01885																																		
N10.HOG0000073	OG0000012	n19																NB625_RS01075, NB625_RS02890	NB624_RS01075, NB624_RS02895																											
N10.HOG0000074	OG0000012	n26									NB623_RS01710	NBX26_RS01715																																		
N10.HOG0000075	OG0000012	n42									NB623_RS01005	NBX26_RS01000																																		
N10.HOG0000076	OG0000012	n52									NB623_RS02340	NBX26_RS02350																																		
N10.HOG0000077	OG0000012	n57									NB623_RS02230	NBX26_RS02235						NB625_RS01865	NB624_RS01870																											
N10.HOG0000078	OG0000013	n1									NB623_RS02540	NBX26_RS02550						NB625_RS02545	NB624_RS02540																											
N10.HOG0000079	OG0000013	n47																NB625_RS00190	NB624_RS00185																											
N10.HOG0000080	OG0000014	n10																	NB624_RS00595																											
N10.HOG0000081	OG0000014	n30									NB623_RS01220							NB625_RS01095	NB624_RS01090																											
N10.HOG0000082	OG0000014	n57									NB623_RS00600	NBX26_RS00605						NB625_RS01085	NB624_RS01080																											
N10.HOG0000083	OG0000015	n6									NB623_RS01750	NBX26_RS01755																																		
N10.HOG0000084	OG0000015	n7									NB623_RS01925	NBX26_RS01925						NB625_RS02065	NB624_RS02070																											
N10.HOG0000085	OG0000015	n22									NB623_RS01685	NBX26_RS01690						NB625_RS01630	NB624_RS01620																											
N10.HOG0000086	OG0000015	n36																NB625_RS01580	NB624_RS01565																											
N10.HOG0000087	OG0000016	n1																NB625_RS02995	NB624_RS03000																											
N10.HOG0000088	OG0000016	n33									NB623_RS00160	NBX26_RS00160						NB625_RS00175	NB624_RS00170																											
N10.HOG0000089	OG0000017	n1									NB623_RS00145	NBX26_RS00145						NB625_RS00160	NB624_RS00155																											
N10.HOG0000090	OG0000017	n16									NB623_RS03015	NBX26_RS03025						NB625_RS03005	NB624_RS03010																											
N10.HOG0000091	OG0000018	n18									NB623_RS01440	NBX26_RS01445						NB625_RS01325	NB624_RS01315																											
N10.HOG0000092	OG0000018	n37									NB623_RS01950	NBX26_RS01950						NB625_RS02090	NB624_RS02095																											
N10.HOG0000093	OG0000019	n33									NB623_RS03195	NBX26_RS03210						NB625_RS03185	NB624_RS03190																											
N10.HOG0000094	OG0000019	n42									NB623_RS03185	NBX26_RS03200																																		
N10.HOG0000095	OG0000019	n46									NB623_RS03175	NBX26_RS03190						NB625_RS03175	NB624_RS03180																											
N10.HOG0000096	OG0000019	n75																NB625_RS03195	NB624_RS03200																											
N10.HOG0000097	OG0000020	n1									NB623_RS03740								NB624_RS03690																											
N10.HOG0000098	OG0000020	n37									NB623_RS03745	NBX26_RS03745						NB625_RS03695	NB624_RS03695																											
N10.HOG0000099	OG0000021	n20									NB623_RS02325	NBX26_RS02335																																		
N10.HOG0000100	OG0000021	n33																NB625_RS01755	NB624_RS01760																											
N10.HOG0000101	OG0000021	n54																NB625_RS01760	NB624_RS01765																											
N10.HOG0000102	OG0000022	n1									NB623_RS01785	NBX26_RS01790						NB625_RS01665	NB624_RS01660																											
N10.HOG0000103	OG0000022	n33									NB623_RS01840	NBX26_RS01845						NB625_RS01720	NB624_RS01715																											
N10.HOG0000104	OG0000023	n13									NB623_RS01435	NBX26_RS01440																																		
N10.HOG0000105	OG0000023	n52									NB623_RS01940	NBX26_RS01940																																		
N10.HOG0000106	OG0000024	n8									NB623_RS02905	NBX26_RS02915						NB625_RS02905	NB624_RS02910																											
N10.HOG0000107	OG0000024	n33									NB623_RS01395	NBX26_RS01400						NB625_RS01275	NB624_RS01265																											
N10.HOG0000108	OG0000025	n1									NB623_RS01790	NBX26_RS01795						NB625_RS01670	NB624_RS01665																											
N10.HOG0000109	OG0000025	n32									NB623_RS01835	NBX26_RS01840						NB625_RS01715	NB624_RS01710																											
N10.HOG0000110	OG0000026	n5									NB623_RS01480	NBX26_RS01490						NB625_RS01365	NB624_RS01355																											
N10.HOG0000111	OG0000026	n19									NB623_RS01815	NBX26_RS01820						NB625_RS01695	NB624_RS01690																											
N10.HOG0000112	OG0000027	n1									NB623_RS03520	NBX26_RS03535						NB625_RS03505	NB624_RS03505																											
N10.HOG0000113	OG0000027	n21									NB623_RS03535	NBX26_RS03555																																		
N10.HOG0000114	OG0000028	n43																NB625_RS02565	NB624_RS02565																											
N10.HOG0000115	OG0000028	n47									NB623_RS02565	NBX26_RS02575																																		
N10.HOG0000116	OG0000028	n60									NB623_RS02570	NBX26_RS02580																																		
N10.HOG0000117	OG0000029	n9									NB623_RS01215	NBX26_RS01225						NB625_RS00600																												
N10.HOG0000118	OG0000029	n41									NB623_RS00605	NBX26_RS00610						NB625_RS01080																												
N10.HOG0000119	OG0000030	n8									NB623_RS03510	NBX26_RS03525						NB625_RS03495	NB624_RS03495																											
N10.HOG0000120	OG0000030	n33									NB623_RS03530	NBX26_RS03550																																		
N10.HOG0000121	OG0000031	n12									NB623_RS01985	NBX26_RS01990						NB625_RS02145	NB624_RS02150																											
N10.HOG0000122	OG0000031	n23																NB625_RS01605	NB624_RS01595																											
N10.HOG0000123	OG0000032	n3									NB623_RS01690	NBX26_RS01700						NB625_RS01585	NB624_RS01570																											
N10.HOG0000124	OG0000032	n24									NB623_RS03525	NBX26_RS03540, NBX26_RS03545																																		
N10.HOG0000125	OG0000033	n20									NB623_RS02560	NBX26_RS02570						NB625_RS02560	NB624_RS02560																											
N10.HOG0000126	OG0000033	n39																NB625_RS02550	NB624_RS02545																											
N10.HOG0000127	OG0000033	n53									NB623_RS02545	NBX26_RS02555																																		
N10.HOG0000128	OG0000033	n59									NB623_RS02550	NBX26_RS02560						NB625_RS02555	NB624_RS02550																											
N10.HOG0000129	OG0000034	n1									NB623_RS00990	NBX26_RS00985						NB625_RS02250																												
N10.HOG0000130	OG0000034	n8									NB623_RS00980	NBX26_RS00975						NB625_RS02255	NB624_RS02260																											
N10.HOG0000131	OG0000035	n1									NB623_RS03355	NBX26_RS03375						NB625_RS03365	NB624_RS03370																											
N10.HOG0000132	OG0000035	n36									NB623_RS03345	NBX26_RS03365																																		
N10.HOG0000133	OG0000036	n11									NB623_RS00120	NBX26_RS00120																																		
N10.HOG0000134	OG0000036	n21																NB625_RS00110	NB624_RS00120																											
N10.HOG0000135	OG0000036	n44																NB625_RS00130	NB624_RS00125																											
N10.HOG0000136	OG0000037	n3									NB623_RS01700								NB624_RS01585																											
N10.HOG0000137	OG0000037	n34										NBX26_RS01705																																		
N10.HOG0000138	OG0000038	n8																NB625_RS01745	NB624_RS01745																											
N10.HOG0000139	OG0000038	n17									NB623_RS00485	NBX26_RS00490																																		
N10.HOG0000140	OG0000038	n25									NB623_RS02330	NBX26_RS02340																																		
N10.HOG0000141	OG0000038	n45																NB625_RS00500	NB624_RS00495																											
N10.HOG0000142	OG0000039	n8									NB623_RS01730	NBX26_RS01735						NB625_RS01615	NB624_RS01605																											
N10.HOG0000143	OG0000040	n3																NB625_RS03440	NB624_RS03440																											
N10.HOG0000144	OG0000040	n14									NB623_RS03445																																			
N10.HOG0000145	OG0000040	n15									NB623_RS03435, NB623_RS03440																																			
N10.HOG0000146	OG0000040	n47										NBX26_RS03455																																		
N10.HOG0000147	OG0000041	n9									NB623_RS00670	NBX26_RS00670						NB625_RS01015	NB624_RS01010																											
N10.HOG0000148	OG0000041	n22									NB623_RS01315	NBX26_RS01320						NB625_RS01195	NB624_RS01185																											
N10.HOG0000149	OG0000042	n36									NB623_RS03100	NBX26_RS03110						NB625_RS03095	NB624_RS03095																											
N10.HOG0000150	OG0000043	n0									NB623_RS02180	NBX26_RS02185						NB625_RS01915	NB624_RS01920																											
N10.HOG0000151	OG0000044	n1									NB623_RS01800	NBX26_RS01805						NB625_RS01680	NB624_RS01675																											
N10.HOG0000152	OG0000044	n6									NB623_RS02300	NBX26_RS02310						NB625_RS01790	NB624_RS01795																											
N10.HOG0000153	OG0000045	n0									NB623_RS01735, NB623_RS01740	NBX26_RS01740, NBX26_RS01745						NB625_RS01620	NB624_RS01610																											
N10.HOG0000154	OG0000046	n1									NB623_RS03460	NBX26_RS03470						NB625_RS03445	NB624_RS03445, NB624_RS03450																											
N10.HOG0000155	OG0000046	n29									NB623_RS03455, NB623_RS03465	NBX26_RS03465, NBX26_RS03475																																		
N10.HOG0000156	OG0000046	n32									NB623_RS03450	NBX26_RS03460																																		
N10.HOG0000157	OG0000047	n4									NB623_RS01935	NBX26_RS01935						NB625_RS02080	NB624_RS02085																											
N10.HOG0000158	OG0000048	n0									NB623_RS01920	NBX26_RS01920						NB625_RS02195	NB624_RS02205																											
N10.HOG0000159	OG0000049	n0									NB623_RS03205	NBX26_RS03220						NB625_RS03205	NB624_RS03210																											
N10.HOG0000160	OG0000050	n0									NB623_RS02600	NBX26_RS02610						NB625_RS02595	NB624_RS02595																											
N10.HOG0000161	OG0000051	n9									NB623_RS02820	NBX26_RS02825						NB625_RS02810	NB624_RS02825																											
N10.HOG0000162	OG0000052	n0									NB623_RS00075, NB623_RS00080	NBX26_RS00075, NBX26_RS00080						NB625_RS00075	NB624_RS00075																											
N10.HOG0000163	OG0000053	n0									NB623_RS01570	NBX26_RS01580						NB625_RS01450	NB624_RS01440																											
N10.HOG0000164	OG0000054	n0									NB623_RS02625	NBX26_RS02635						NB625_RS02620	NB624_RS02620																											
N10.HOG0000165	OG0000055	n0									NB623_RS00125	NBX26_RS00125						NB625_RS00135	NB624_RS00130																											
N10.HOG0000166	OG0000056	n0									NB623_RS03725	NBX26_RS03730						NB625_RS03680	NB624_RS03675																											
N10.HOG0000167	OG0000057	n0									NB623_RS03085	NBX26_RS03095						NB625_RS03080	NB624_RS03080																											
N10.HOG0000168	OG0000058	n2									NB623_RS01995	NBX26_RS01995						NB625_RS02155	NB624_RS02160																											
N10.HOG0000169	OG0000058	n29									NB623_RS01990							NB625_RS02150	NB624_RS02155																											
N10.HOG0000170	OG0000059	n11																NB625_RS02135	NB624_RS02140																											
N10.HOG0000171	OG0000059	n15																NB625_RS02125	NB624_RS02130																											
N10.HOG0000172	OG0000059	n35									NB623_RS01980	NBX26_RS01985																																		
N10.HOG0000173	OG0000059	n40																NB625_RS02140	NB624_RS02145																											
N10.HOG0000174	OG0000060	n21									NB623_RS00085	NBX26_RS00085						NB625_RS00080	NB624_RS00080																											
N10.HOG0000175	OG0000061	n7																NB625_RS01860	NB624_RS01865																											
N10.HOG0000176	OG0000062	n0									NB623_RS03775	NBX26_RS03775						NB625_RS03725	NB624_RS03725																											
N10.HOG0000177	OG0000063	n0									NB623_RS03770	NBX26_RS03770						NB625_RS03720	NB624_RS03720																											
N10.HOG0000178	OG0000064	n0									NB623_RS03760	NBX26_RS03760						NB625_RS03710	NB624_RS03710																											
N10.HOG0000179	OG0000065	n0									NB623_RS02390	NBX26_RS02400						NB625_RS02395	NB624_RS02385																											
N10.HOG0000180	OG0000066	n7									NB623_RS01470	NBX26_RS01480						NB625_RS01355	NB624_RS01345																											
N10.HOG0000181	OG0000066	n12										NBX26_RS01475																																		
N10.HOG0000182	OG0000067	n13																NB625_RS00525	NB624_RS00520																											
N10.HOG0000183	OG0000068	n0									NB623_RS00640	NBX26_RS00645						NB625_RS01040	NB624_RS01035																											
N10.HOG0000184	OG0000069	n0									NB623_RS02980	NBX26_RS02990						NB625_RS02975	NB624_RS02975																											
N10.HOG0000185	OG0000070	n0									NB623_RS02630	NBX26_RS02640						NB625_RS02625	NB624_RS02625																											
N10.HOG0000186	OG0000071	n0									NB623_RS03425	NBX26_RS03445						NB625_RS03430	NB624_RS03430																											
N10.HOG0000187	OG0000072	n0									NB623_RS03430	NBX26_RS03450						NB625_RS03435	NB624_RS03435																											
N10.HOG0000188	OG0000073	n0									NB623_RS00710	NBX26_RS00715						NB625_RS00980	NB624_RS00975																											
N10.HOG0000189	OG0000074	n10									NB623_RS00910	NBX26_RS00910						NB625_RS00780	NB624_RS00775																											
N10.HOG0000190	OG0000076	n19									NB623_RS00345	NBX26_RS00350						NB625_RS00360	NB624_RS00355																											
N10.HOG0000191	OG0000077	n0									NB623_RS00430	NBX26_RS00435						NB625_RS00445	NB624_RS00440																											
N10.HOG0000192	OG0000078	n12									NB623_RS01805	NBX26_RS01810						NB625_RS01685	NB624_RS01680																											
N10.HOG0000193	OG0000079	n0									NB623_RS02720	NBX26_RS02720						NB625_RS02710	NB624_RS02715																											
N10.HOG0000194	OG0000080	n0									NB623_RS02770	NBX26_RS02765						NB625_RS02760	NB624_RS02770																											
N10.HOG0000195	OG0000081	n0									NB623_RS00325	NBX26_RS00330						NB625_RS00340	NB624_RS00335																											
N10.HOG0000196	OG0000082	n3																NB625_RS02540																												
