HOG	OG	Gene Tree Parent Clade	MFC_ATCC27716_genes	MFC_MF11_genes	MFC_MF18_genes	MFC_MF22_genes	MFC_MF29_genes	MFC_MF30_genes	MFC_MF33_genes	MFC_Ms42_genes	MHP_111A_genes	MHP_112B_genes	MHP_116_genes	MHP_11_genes	MHP_1257_genes	MHP_131B_genes	MHP_133A_genes	MHP_153B_genes	MHP_154B_genes	MHP_168L_genes	MHP_168_genes	MHP_232_genes	MHP_4284_genes	MHP_7422_genes	MHP_7448_genes	MHP_98_genes	MHP_ES2L_genes	MHP_ES2_genes	MHP_F72C_genes	MHP_J_genes	MHP_KM014_genes	MHP_LH_genes	MHP_MHP650_genes	MHP_MHP653_genes	MHP_MHP679_genes	MHP_MHP682_genes	MHP_MHP691_genes	MHP_MHP694_genes	MHP_MHP696_genes	MHP_MHP699_genes	MHP_MHP709_genes	MHP_NCTC10127_genes	MHP_TB1_genes	MHP_UFV01_genes	MHP_UFV02_genes	MHP_Ue273_genes
N31.HOG0000000	OG0000000	n5	MFC_RS01410	DR093_RS02920	DR082_RS03155	DR094_RS03000	DR095_RS03080	DR084_RS02900	DR085_RS03035	MYF_RS01330				B5C39_RS02485								MHP_RS02080																				EXC50_RS01055				
N31.HOG0000001	OG0000000	n43			DR082_RS03040	DR094_RS00005	DR095_RS03105	DR084_RS02925	DR085_RS03945	MYF_RS01525																																				
N31.HOG0000002	OG0000000	n53	MFC_RS01420																																											
N31.HOG0000003	OG0000000	n55			DR082_RS03055	DR094_RS02980																																								
N31.HOG0000004	OG0000000	n77				DR094_RS03840				MYF_RS03375																																				
N31.HOG0000005	OG0000000	n94							DR085_RS02920																																					
N31.HOG0000006	OG0000000	n110		DR093_RS03030, DR093_RS03040		DR094_RS02820				MYF_RS03215																																				
N31.HOG0000007	OG0000000	n125		DR093_RS03700	DR082_RS03005		DR095_RS03160																																							
N31.HOG0000008	OG0000000	n139				DR094_RS03835			DR085_RS03105																																					
N31.HOG0000009	OG0000000	n147		DR093_RS03705			DR095_RS03065, DR095_RS04035		DR085_RS03010, DR085_RS03020																																					
N31.HOG0000010	OG0000000	n154	MFC_RS00010	DR093_RS03035	DR082_RS03150	DR094_RS02970, DR094_RS03035	DR095_RS03115, DR095_RS03130, DR095_RS03185		DR085_RS03040	MYF_RS01460																																				
N31.HOG0000011	OG0000000	n184								MYF_RS01520, MYF_RS03370																																				
N31.HOG0000012	OG0000000	n186								MYF_RS01870, MYF_RS03435																																				
N31.HOG0000013	OG0000000	n214												B5C39_RS03935								MHP_RS04000																								
N31.HOG0000014	OG0000000	n217												B5C39_RS02595								MHP_RS02190																				EXC50_RS01165				
N31.HOG0000015	OG0000000	n239												B5C39_RS03835								MHP_RS03915																				EXC50_RS01170				
N31.HOG0000016	OG0000000	n274																				MHP_RS03825																								
N31.HOG0000017	OG0000000	n283		DR093_RS03435										B5C39_RS03750																												EXC50_RS03990				
N31.HOG0000018	OG0000000	n294	MFC_RS00365	DR093_RS03440	DR082_RS03455	DR094_RS01215	DR095_RS01240	DR084_RS02480	DR085_RS02470	MYF_RS03295																																				
N31.HOG0000019	OG0000000	n317												B5C39_RS03235								MHP_RS01715																				EXC50_RS00675				
N31.HOG0000020	OG0000001	n1	MFC_RS03350	DR093_RS00825, DR093_RS00830	DR082_RS00820, DR082_RS00825	DR094_RS00325, DR094_RS00330	DR095_RS00300, DR095_RS00305	DR084_RS03095	DR085_RS03235	MYF_RS03415																																				
N31.HOG0000021	OG0000001	n21												B5C39_RS01615, B5C39_RS01620								MHP_RS00720, MHP_RS00725																				EXC50_RS02805, EXC50_RS02810				
N31.HOG0000022	OG0000001	n57												B5C39_RS03070								MHP_RS03580																				EXC50_RS01640				
N31.HOG0000023	OG0000001	n78												B5C39_RS03865								MHP_RS03935																				EXC50_RS04045				
N31.HOG0000024	OG0000001	n97												B5C39_RS03020								MHP_RS02610																				EXC50_RS01590				
N31.HOG0000025	OG0000002	n2	MFC_RS03355	DR093_RS02915	DR082_RS02685	DR094_RS02955	DR095_RS02820	DR084_RS01115	DR085_RS02740	MYF_RS03430																																				
N31.HOG0000026	OG0000002	n9	MFC_RS00395					DR084_RS03505		MYF_RS01530																																				
N31.HOG0000027	OG0000002	n16												B5C39_RS03825								MHP_RS03905																				EXC50_RS04010				
N31.HOG0000028	OG0000002	n32																																								EXC50_RS03900				
N31.HOG0000029	OG0000002	n38			DR082_RS03795	DR094_RS02550								B5C39_RS03650								MHP_RS03800																								
