HOG	OG	Gene Tree Parent Clade	MFC_ATCC27716_genes	MFC_MF11_genes	MFC_MF18_genes	MFC_MF22_genes	MFC_MF29_genes	MFC_MF30_genes	MFC_MF33_genes	MFC_Ms42_genes	MHP_111A_genes	MHP_112B_genes	MHP_116_genes	MHP_11_genes	MHP_1257_genes	MHP_131B_genes	MHP_133A_genes	MHP_153B_genes	MHP_154B_genes	MHP_168L_genes	MHP_168_genes	MHP_232_genes	MHP_4284_genes	MHP_7422_genes	MHP_7448_genes	MHP_98_genes	MHP_ES2L_genes	MHP_ES2_genes	MHP_F72C_genes	MHP_J_genes	MHP_KM014_genes	MHP_LH_genes	MHP_MHP650_genes	MHP_MHP653_genes	MHP_MHP679_genes	MHP_MHP682_genes	MHP_MHP691_genes	MHP_MHP694_genes	MHP_MHP696_genes	MHP_MHP699_genes	MHP_MHP709_genes	MHP_NCTC10127_genes	MHP_TB1_genes	MHP_UFV01_genes	MHP_UFV02_genes	MHP_Ue273_genes
N40.HOG0000000	OG0000000	n5		DR093_RS02920	DR082_RS03155	DR094_RS03000																																								
N40.HOG0000001	OG0000000	n43			DR082_RS03040	DR094_RS00005																																								
N40.HOG0000002	OG0000000	n55			DR082_RS03055	DR094_RS02980																																								
N40.HOG0000003	OG0000000	n77				DR094_RS03840																																								
N40.HOG0000004	OG0000000	n110		DR093_RS03030, DR093_RS03040		DR094_RS02820																																								
N40.HOG0000005	OG0000000	n125		DR093_RS03700	DR082_RS03005																																									
N40.HOG0000006	OG0000000	n139				DR094_RS03835																																								
N40.HOG0000007	OG0000000	n147		DR093_RS03705																																										
N40.HOG0000008	OG0000000	n159		DR093_RS03035	DR082_RS03150	DR094_RS02970																																								
N40.HOG0000009	OG0000000	n170				DR094_RS03035																																								
N40.HOG0000010	OG0000000	n283		DR093_RS03435																																										
N40.HOG0000011	OG0000000	n294		DR093_RS03440	DR082_RS03455	DR094_RS01215																																								
N40.HOG0000012	OG0000001	n4		DR093_RS00830	DR082_RS00825	DR094_RS00325																																								
N40.HOG0000013	OG0000001	n7		DR093_RS00825	DR082_RS00820	DR094_RS00330																																								
N40.HOG0000014	OG0000002	n2		DR093_RS02915	DR082_RS02685	DR094_RS02955																																								
N40.HOG0000015	OG0000002	n38			DR082_RS03795	DR094_RS02550																																								
N40.HOG0000016	OG0000002	n56		DR093_RS03015	DR082_RS03780	DR094_RS02030, DR094_RS02975																																								
N40.HOG0000017	OG0000002	n64		DR093_RS04025	DR082_RS02920	DR094_RS03815																																								
N40.HOG0000018	OG0000002	n95		DR093_RS03845	DR082_RS03830	DR094_RS03610																																								
N40.HOG0000019	OG0000003	n85		DR093_RS04030	DR082_RS03925	DR094_RS03820																																								
N40.HOG0000020	OG0000004	n94		DR093_RS01845	DR082_RS01625																																									
N40.HOG0000021	OG0000004	n120				DR094_RS01820																																								
N40.HOG0000022	OG0000007	n13		DR093_RS02845	DR082_RS02890	DR094_RS02850																																								
N40.HOG0000023	OG0000007	n32		DR093_RS02840	DR082_RS02895	DR094_RS02845																																								
N40.HOG0000024	OG0000007	n45		DR093_RS02835	DR082_RS03930	DR094_RS02840																																								
N40.HOG0000025	OG0000008	n35		DR093_RS03250																																										
N40.HOG0000026	OG0000011	n44			DR082_RS03895																																									
N40.HOG0000027	OG0000011	n47			DR082_RS03545																																									
N40.HOG0000028	OG0000011	n50		DR093_RS03025		DR094_RS03520																																								
N40.HOG0000029	OG0000011	n51		DR093_RS03260	DR082_RS02625	DR094_RS02895																																								
N40.HOG0000030	OG0000013	n3		DR093_RS01095	DR082_RS01090	DR094_RS00075																																								
N40.HOG0000031	OG0000013	n10		DR093_RS01090	DR082_RS01085	DR094_RS00080																																								
N40.HOG0000032	OG0000013	n47		DR093_RS03220	DR082_RS03095	DR094_RS03050																																								
N40.HOG0000033	OG0000014	n1		DR093_RS03805	DR082_RS03685	DR094_RS03555																																								
N40.HOG0000034	OG0000016	n1		DR093_RS00770	DR082_RS00770	DR094_RS00380																																								
N40.HOG0000035	OG0000016	n66			DR082_RS00190	DR094_RS00960																																								
N40.HOG0000036	OG0000017	n1		DR093_RS00175	DR082_RS00175	DR094_RS00975																																								
N40.HOG0000037	OG0000017	n16		DR093_RS00760	DR082_RS00760	DR094_RS00390																																								
N40.HOG0000038	OG0000018	n64		DR093_RS03935	DR082_RS03790	DR094_RS03735																																								
N40.HOG0000039	OG0000019	n11		DR093_RS03125	DR082_RS03120	DR094_RS03350																																								
N40.HOG0000040	OG0000019	n64		DR093_RS03265																																										
N40.HOG0000041	OG0000020	n1		DR093_RS03835	DR082_RS03840	DR094_RS03600																																								
N40.HOG0000042	OG0000020	n38		DR093_RS03830	DR082_RS03845	DR094_RS03595																																								
N40.HOG0000043	OG0000022	n33		DR093_RS03840	DR082_RS03835	DR094_RS03605																																								
N40.HOG0000044	OG0000023	n4		DR093_RS01985	DR082_RS02000	DR094_RS02170																																								
N40.HOG0000045	OG0000024	n1		DR093_RS00835	DR082_RS00830	DR094_RS00320																																								
N40.HOG0000046	OG0000025	n32		DR093_RS01230	DR082_RS02390	DR094_RS01205																																								
N40.HOG0000047	OG0000026	n1		DR093_RS02030	DR082_RS02045	DR094_RS02215																																								
N40.HOG0000048	OG0000027	n1		DR093_RS01425	DR082_RS02575	DR094_RS01395																																								
N40.HOG0000049	OG0000027	n21		DR093_RS03885	DR082_RS03875	DR094_RS03650																																								
N40.HOG0000050	OG0000028	n13		DR093_RS01110																																										
N40.HOG0000051	OG0000028	n20			DR082_RS01105	DR094_RS00060																																								
N40.HOG0000052	OG0000029	n1		DR093_RS00605	DR082_RS00605	DR094_RS00545																																								
N40.HOG0000053	OG0000030	n1		DR093_RS03890	DR082_RS03880	DR094_RS03655																																								
N40.HOG0000054	OG0000031	n3		DR093_RS02685	DR082_RS01195	DR094_RS02590																																								
N40.HOG0000055	OG0000032	n1		DR093_RS01420	DR082_RS02570	DR094_RS01390																																								
N40.HOG0000056	OG0000033	n20		DR093_RS01115	DR082_RS01110	DR094_RS00055																																								
N40.HOG0000057	OG0000039	n18		DR093_RS00665	DR082_RS00665	DR094_RS00485																																								
N40.HOG0000058	OG0000040	n17		DR093_RS02380	DR082_RS01855	DR094_RS02025																																								
N40.HOG0000059	OG0000040	n27		DR093_RS03230																																										
N40.HOG0000060	OG0000040	n31			DR082_RS00885																																									
N40.HOG0000061	OG0000042	n11		DR093_RS00660	DR082_RS00660	DR094_RS00490																																								
N40.HOG0000062	OG0000042	n18		DR093_RS00810, DR093_RS03365	DR082_RS00805	DR094_RS00345																																								
N40.HOG0000063	OG0000043	n0		DR093_RS02660	DR082_RS02595	DR094_RS02615																																								
N40.HOG0000064	OG0000045	n12			DR082_RS03225	DR094_RS03140																																								
N40.HOG0000065	OG0000045	n14			DR082_RS03230	DR094_RS03135																																								
N40.HOG0000066	OG0000047	n43		DR093_RS00840	DR082_RS00835																																									
N40.HOG0000067	OG0000048	n23		DR093_RS03685, DR093_RS03690	DR082_RS02750, DR082_RS03010	DR094_RS02695																																								
N40.HOG0000068	OG0000048	n33				DR094_RS02985																																								
N40.HOG0000069	OG0000049	n26			DR082_RS01640																																									
N40.HOG0000070	OG0000049	n33			DR082_RS03345																																									
N40.HOG0000071	OG0000050	n0		DR093_RS04015	DR082_RS01160	DR094_RS03765																																								
N40.HOG0000072	OG0000051	n9		DR093_RS01745	DR082_RS01520	DR094_RS01715																																								
N40.HOG0000073	OG0000052	n0		DR093_RS00140	DR082_RS03660	DR094_RS01015																																								
N40.HOG0000074	OG0000053	n0		DR093_RS03940	DR082_RS03920	DR094_RS03805																																								
N40.HOG0000075	OG0000054	n0		DR093_RS01140	DR082_RS01135	DR094_RS00030																																								
N40.HOG0000076	OG0000055	n10				DR094_RS03580																																								
N40.HOG0000077	OG0000055	n11			DR082_RS03970	DR094_RS03850																																								
N40.HOG0000078	OG0000056	n19		DR093_RS01205	DR082_RS02415	DR094_RS01180																																								
N40.HOG0000079	OG0000057	n0		DR093_RS00685	DR082_RS00685	DR094_RS00465																																								
N40.HOG0000080	OG0000062	n0		DR093_RS00025	DR082_RS00025	DR094_RS01125																																								
N40.HOG0000081	OG0000063	n0		DR093_RS03775	DR082_RS00020	DR094_RS03590																																								
N40.HOG0000082	OG0000064	n0		DR093_RS00010	DR082_RS00010	DR094_RS01140																																								
N40.HOG0000083	OG0000065	n0		DR093_RS01890	DR082_RS01905	DR094_RS02075																																								
N40.HOG0000084	OG0000066	n4		DR093_RS02020	DR082_RS02035	DR094_RS02205																																								
N40.HOG0000085	OG0000067	n2		DR093_RS00530	DR082_RS00530	DR094_RS00620																																								
N40.HOG0000086	OG0000068	n0		DR093_RS00640	DR082_RS00640	DR094_RS00510																																								
N40.HOG0000087	OG0000069	n0		DR093_RS00795	DR082_RS00795	DR094_RS00355																																								
N40.HOG0000088	OG0000070	n0		DR093_RS01120	DR082_RS01115	DR094_RS00050																																								
N40.HOG0000089	OG0000071	n0		DR093_RS02370	DR082_RS01840	DR094_RS02015																																								
N40.HOG0000090	OG0000072	n0		DR093_RS03980	DR082_RS03775	DR094_RS03725																																								
N40.HOG0000091	OG0000073	n0		DR093_RS02505	DR082_RS02205	DR094_RS02425																																								
N40.HOG0000092	OG0000074	n16		DR093_RS03915	DR082_RS03730	DR094_RS03685																																								
