HOG	OG	Gene Tree Parent Clade	MFC_ATCC27716_genes	MFC_MF11_genes	MFC_MF18_genes	MFC_MF22_genes	MFC_MF29_genes	MFC_MF30_genes	MFC_MF33_genes	MFC_Ms42_genes	MHP_111A_genes	MHP_112B_genes	MHP_116_genes	MHP_11_genes	MHP_1257_genes	MHP_131B_genes	MHP_133A_genes	MHP_153B_genes	MHP_154B_genes	MHP_168L_genes	MHP_168_genes	MHP_232_genes	MHP_4284_genes	MHP_7422_genes	MHP_7448_genes	MHP_98_genes	MHP_ES2L_genes	MHP_ES2_genes	MHP_F72C_genes	MHP_J_genes	MHP_KM014_genes	MHP_LH_genes	MHP_MHP650_genes	MHP_MHP653_genes	MHP_MHP679_genes	MHP_MHP682_genes	MHP_MHP691_genes	MHP_MHP694_genes	MHP_MHP696_genes	MHP_MHP699_genes	MHP_MHP709_genes	MHP_NCTC10127_genes	MHP_TB1_genes	MHP_UFV01_genes	MHP_UFV02_genes	MHP_Ue273_genes
N17.HOG0000000	OG0000000	n2																																		DR097_RS02690										
N17.HOG0000001	OG0000000	n43																																			DR087_RS00160									
N17.HOG0000002	OG0000000	n58																																	DR086_RS03500					DR100_RS02520						
N17.HOG0000003	OG0000000	n110																																			DR087_RS03475, DR087_RS03480									
N17.HOG0000004	OG0000000	n139																																			DR087_RS04315			DR100_RS02515						
N17.HOG0000005	OG0000000	n203																																						DR100_RS04325						
N17.HOG0000006	OG0000000	n227																																	DR086_RS04585					DR100_RS03595						
N17.HOG0000007	OG0000000	n238																																	DR086_RS03600					DR100_RS04515						
N17.HOG0000008	OG0000000	n260																																			DR087_RS04815									
N17.HOG0000009	OG0000000	n262																																		DR097_RS03725										
N17.HOG0000010	OG0000000	n274																																						DR100_RS04215						
N17.HOG0000011	OG0000000	n283																																	DR086_RS04250											
N17.HOG0000012	OG0000000	n316																																			DR087_RS02105									
N17.HOG0000013	OG0000000	n317																																	DR086_RS04245	DR097_RS01835	DR087_RS03570			DR100_RS04210						
N17.HOG0000014	OG0000001	n28																																	DR086_RS03435											
N17.HOG0000015	OG0000001	n30																																			DR087_RS03325									
N17.HOG0000016	OG0000001	n35																																						DR100_RS03930						
N17.HOG0000017	OG0000001	n37																																			DR087_RS03335									
N17.HOG0000018	OG0000001	n50																																		DR097_RS00335										
N17.HOG0000019	OG0000001	n57																																	DR086_RS01010	DR097_RS04145	DR087_RS04015			DR100_RS01790						
N17.HOG0000020	OG0000001	n78																																			DR087_RS04300									
N17.HOG0000021	OG0000001	n91																																	DR086_RS03200											
N17.HOG0000022	OG0000001	n97																																			DR087_RS03255									
N17.HOG0000023	OG0000001	n113																																	DR086_RS03195	DR097_RS04155				DR100_RS03285						
N17.HOG0000024	OG0000001	n118																																						DR100_RS03280						
N17.HOG0000025	OG0000002	n14																																	DR086_RS04310		DR087_RS03810			DR100_RS04380						
N17.HOG0000026	OG0000002	n16																																		DR097_RS02700										
N17.HOG0000027	OG0000002	n38																																		DR097_RS02695										
N17.HOG0000028	OG0000002	n64																																	DR086_RS05060	DR097_RS04855	DR087_RS04740			DR100_RS04890						
N17.HOG0000029	OG0000002	n95																																	DR086_RS04880	DR097_RS04675	DR087_RS04755			DR100_RS04740						
N17.HOG0000030	OG0000003	n20																																	DR086_RS00625, DR086_RS03690											
N17.HOG0000031	OG0000003	n42																																		DR097_RS04955	DR087_RS01665			DR100_RS03640						
N17.HOG0000032	OG0000003	n65																																		DR097_RS04850	DR087_RS04220, DR087_RS04680			DR100_RS04610						
N17.HOG0000033	OG0000003	n80																																	DR086_RS04545		DR087_RS04345			DR100_RS04485						
N17.HOG0000034	OG0000003	n88																																	DR086_RS05055	DR097_RS04840				DR100_RS04885						
N17.HOG0000035	OG0000003	n118																																	DR086_RS05085	DR097_RS03830				DR100_RS03840						
N17.HOG0000036	OG0000004	n5																																		DR097_RS01330	DR087_RS00850									
N17.HOG0000037	OG0000004	n25																																			DR087_RS00860			DR100_RS03655						
N17.HOG0000038	OG0000004	n36																																						DR100_RS03585						
N17.HOG0000039	OG0000004	n51																																	DR086_RS03555	DR097_RS01325	DR087_RS00840			DR100_RS03555						
N17.HOG0000040	OG0000004	n127																																	DR086_RS00615											
N17.HOG0000041	OG0000005	n1																																	DR086_RS03245	DR097_RS02455	DR087_RS00530			DR100_RS01100						
N17.HOG0000042	OG0000005	n32																																		DR097_RS04720				DR100_RS04620						
N17.HOG0000043	OG0000005	n52																																	DR086_RS03255	DR097_RS02445	DR087_RS00540			DR100_RS04630						
N17.HOG0000044	OG0000005	n83																																	DR086_RS05035		DR087_RS04465									
N17.HOG0000045	OG0000005	n92																																		DR097_RS02440				DR100_RS04625						
N17.HOG0000046	OG0000005	n113																																		DR097_RS04715				DR100_RS04615						
N17.HOG0000047	OG0000006	n22																																	DR086_RS04315		DR087_RS04360			DR100_RS04235						
N17.HOG0000048	OG0000006	n25																																						DR100_RS04230						
N17.HOG0000049	OG0000006	n45																																		DR097_RS04440										
N17.HOG0000050	OG0000006	n48																																	DR086_RS04320					DR100_RS04240						
N17.HOG0000051	OG0000006	n70																																	DR086_RS04535		DR087_RS04080									
N17.HOG0000052	OG0000006	n81																																	DR086_RS04530	DR097_RS02125										
N17.HOG0000053	OG0000007	n5																																		DR097_RS03480				DR100_RS01035						
N17.HOG0000054	OG0000007	n10																																			DR087_RS04205									
N17.HOG0000055	OG0000007	n11																																			DR087_RS04210									
N17.HOG0000056	OG0000007	n13																																	DR086_RS03485	DR097_RS03435	DR087_RS03535			DR100_RS03495, DR100_RS04495						
N17.HOG0000057	OG0000007	n28																																		DR097_RS03835	DR087_RS03750			DR100_RS03820						
N17.HOG0000058	OG0000007	n32																																		DR097_RS03440	DR087_RS03530			DR100_RS03500						
N17.HOG0000059	OG0000007	n45																																	DR086_RS03495	DR097_RS03450	DR087_RS03525, DR087_RS04335			DR100_RS03510						
N17.HOG0000060	OG0000008	n32																																	DR086_RS04265											
N17.HOG0000061	OG0000008	n35																																						DR100_RS03845						
N17.HOG0000062	OG0000008	n73																																			DR087_RS04355									
N17.HOG0000063	OG0000008	n89																																	DR086_RS02140	DR097_RS03625				DR100_RS03680						
N17.HOG0000064	OG0000009	n16																																		DR097_RS02470	DR087_RS00515									
N17.HOG0000065	OG0000009	n25																																	DR086_RS04375	DR097_RS00430				DR100_RS00110						
N17.HOG0000066	OG0000009	n35																																		DR097_RS01140				DR100_RS00780						
N17.HOG0000067	OG0000010	n3																																	DR086_RS00810	DR097_RS02510	DR087_RS01605			DR100_RS04925						
N17.HOG0000068	OG0000010	n37																																		DR097_RS04755				DR100_RS04770						
N17.HOG0000069	OG0000010	n58																																		DR097_RS04280				DR100_RS04285						
N17.HOG0000070	OG0000010	n62																																		DR097_RS02420										
N17.HOG0000071	OG0000010	n66																																		DR097_RS02450										
N17.HOG0000072	OG0000010	n72																																			DR087_RS03875									
N17.HOG0000073	OG0000011	n8																																			DR087_RS01510									
N17.HOG0000074	OG0000011	n10																																	DR086_RS00450	DR097_RS00820	DR087_RS04590			DR100_RS01970						
N17.HOG0000075	OG0000011	n51																																	DR086_RS00445	DR097_RS00825	DR087_RS01515			DR100_RS01975						
N17.HOG0000076	OG0000012	n5																																	DR086_RS03775											
N17.HOG0000077	OG0000012	n46																																			DR087_RS03620									
N17.HOG0000078	OG0000012	n53																																						DR100_RS01800						
N17.HOG0000079	OG0000012	n57																																	DR086_RS03950	DR097_RS03825	DR087_RS03740			DR100_RS03830						
N17.HOG0000080	OG0000013	n1																																	DR086_RS03105	DR097_RS02175	DR087_RS01680			DR100_RS02295						
N17.HOG0000081	OG0000013	n47																																	DR086_RS04005	DR097_RS03895	DR087_RS04185			DR100_RS03970						
N17.HOG0000082	OG0000014	n10																																		DR097_RS03860	DR087_RS03505									
N17.HOG0000083	OG0000014	n30																																	DR086_RS03610					DR100_RS03645						
N17.HOG0000084	OG0000014	n57																																	DR086_RS04970	DR097_RS03370	DR087_RS03520			DR100_RS04585						
N17.HOG0000085	OG0000015	n6																																			DR087_RS04110									
N17.HOG0000086	OG0000015	n24																																	DR086_RS00690											
N17.HOG0000087	OG0000015	n36																																		DR097_RS02000	DR087_RS00350			DR100_RS01650						
N17.HOG0000088	OG0000015	n50																																	DR086_RS03685		DR087_RS03240									
N17.HOG0000089	OG0000016	n1																																	DR086_RS01050	DR097_RS01165	DR087_RS01400			DR100_RS01750						
N17.HOG0000090	OG0000016	n33																																	DR086_RS00030	DR097_RS00270	DR087_RS02395			DR100_RS00685						
N17.HOG0000091	OG0000017	n1																																	DR086_RS00015	DR097_RS00285	DR087_RS02410			DR100_RS00700						
N17.HOG0000092	OG0000017	n16																																	DR086_RS01060	DR097_RS01175	DR087_RS01410			DR100_RS01740						
N17.HOG0000093	OG0000018	n4																																	DR086_RS04915	DR097_RS04665										
N17.HOG0000094	OG0000018	n18																																			DR087_RS04550			DR100_RS04570						
N17.HOG0000095	OG0000018	n26																																	DR086_RS04795											
N17.HOG0000096	OG0000018	n54																																		DR097_RS04695	DR087_RS04435			DR100_RS04715						
N17.HOG0000097	OG0000019	n21																																						DR100_RS03760						
N17.HOG0000098	OG0000019	n46																																			DR087_RS03610									
N17.HOG0000099	OG0000019	n68																																						DR100_RS03785						
N17.HOG0000100	OG0000019	n72																																						DR100_RS03745						
N17.HOG0000101	OG0000019	n82																																						DR100_RS03750						
N17.HOG0000102	OG0000019	n84																																	DR086_RS04570	DR097_RS03615										
N17.HOG0000103	OG0000020	n1																																		DR097_RS04835	DR087_RS04440			DR100_RS03705						
N17.HOG0000104	OG0000020	n37																																	DR086_RS02470	DR097_RS04830	DR087_RS04445			DR100_RS04650						
N17.HOG0000105	OG0000021	n3																																	DR086_RS00630											
N17.HOG0000106	OG0000021	n11																																			DR087_RS04820									
N17.HOG0000107	OG0000021	n24																																			DR087_RS03470									
N17.HOG0000108	OG0000021	n51																																	DR086_RS03665		DR087_RS03640			DR100_RS03700						
N17.HOG0000109	OG0000021	n54																																			DR087_RS02025									
N17.HOG0000110	OG0000022	n1																																	DR086_RS01645	DR097_RS01895	DR087_RS02045			DR100_RS02220						
N17.HOG0000111	OG0000022	n33																																	DR086_RS04885	DR097_RS04680	DR087_RS04630			DR100_RS04745						
N17.HOG0000112	OG0000023	n16																																	DR086_RS02015	DR097_RS01710										
N17.HOG0000113	OG0000023	n21																																						DR100_RS00240						
N17.HOG0000114	OG0000023	n37																																	DR086_RS04105											
N17.HOG0000115	OG0000023	n60																																		DR097_RS02020	DR087_RS00330			DR100_RS01625						
N17.HOG0000116	OG0000024	n8																																	DR086_RS03190	DR097_RS01795	DR087_RS03250			DR100_RS03275						
N17.HOG0000117	OG0000024	n33																																		DR097_RS00345				DR100_RS00195						
N17.HOG0000118	OG0000025	n1																																	DR086_RS04890	DR097_RS04685	DR087_RS04625			DR100_RS04750						
N17.HOG0000119	OG0000025	n32																																	DR086_RS01595	DR097_RS01845	DR087_RS02095			DR100_RS02170						
N17.HOG0000120	OG0000026	n5																																	DR086_RS01970	DR097_RS01665	DR087_RS01165			DR100_RS00285						
N17.HOG0000121	OG0000026	n19																																	DR086_RS01615	DR097_RS01865	DR087_RS02075			DR100_RS02190						
N17.HOG0000122	OG0000027	n1																																	DR086_RS05030	DR097_RS02965	DR087_RS04635			DR100_RS04850						
N17.HOG0000123	OG0000027	n21																																	DR086_RS04870	DR097_RS04560	DR087_RS04475			DR100_RS04690						
N17.HOG0000124	OG0000028	n1																																		DR097_RS04690										
N17.HOG0000125	OG0000028	n47																																			DR087_RS04675			DR100_RS02685						
N17.HOG0000126	OG0000028	n60																																			DR087_RS01670			DR100_RS02310						
N17.HOG0000127	OG0000028	n64																																	DR086_RS02225											
N17.HOG0000128	OG0000028	n72																																	DR086_RS03150	DR097_RS01995, DR097_RS02880										
N17.HOG0000129	OG0000029	n9																																	DR086_RS02730	DR097_RS02335	DR087_RS02775			DR100_RS03520						
N17.HOG0000130	OG0000029	n41																																			DR087_RS03175			DR100_RS00725						
N17.HOG0000131	OG0000030	n8																																	DR086_RS05025	DR097_RS04775	DR087_RS04640			DR100_RS04855						
N17.HOG0000132	OG0000030	n33																																	DR086_RS04875	DR097_RS04565	DR087_RS04470			DR100_RS04695						
N17.HOG0000133	OG0000031	n10																																	DR086_RS00745											
N17.HOG0000134	OG0000031	n12																																		DR097_RS02075				DR100_RS01570						
N17.HOG0000135	OG0000031	n23																																		DR097_RS03120	DR087_RS03210			DR100_RS03415						
N17.HOG0000136	OG0000032	n3																																	DR086_RS03980	DR097_RS04795	DR087_RS03235			DR100_RS03450						
N17.HOG0000137	OG0000032	n24																																	DR086_RS03870	DR097_RS00730	DR087_RS00575			DR100_RS03775						
N17.HOG0000138	OG0000033	n20																																			DR087_RS04070									
N17.HOG0000139	OG0000033	n39																																		DR097_RS02885										
N17.HOG0000140	OG0000033	n45																																	DR086_RS05010		DR087_RS01675			DR100_RS02300						
N17.HOG0000141	OG0000034	n1																																	DR086_RS04575	DR097_RS03640	DR087_RS03600			DR100_RS03620						
N17.HOG0000142	OG0000034	n8																																	DR086_RS04580	DR097_RS04475	DR087_RS04365			DR100_RS04530						
N17.HOG0000143	OG0000034	n11																																	DR086_RS04725		DR087_RS02500			DR100_RS01045						
N17.HOG0000144	OG0000034	n17																																	DR086_RS03915	DR097_RS03470	DR087_RS03715									
N17.HOG0000145	OG0000034	n27																																	DR086_RS03855	DR097_RS03790				DR100_RS03535						
N17.HOG0000146	OG0000034	n31																																	DR086_RS01000											
N17.HOG0000147	OG0000034	n33																																			DR087_RS03585			DR100_RS03600						
N17.HOG0000148	OG0000034	n34																																	DR086_RS03590		DR087_RS02620			DR100_RS04375						
N17.HOG0000149	OG0000035	n1																																			DR087_RS00855			DR100_RS03560						
N17.HOG0000150	OG0000035	n36																																		DR097_RS04085	DR087_RS00865									
N17.HOG0000151	OG0000035	n55																																		DR097_RS01335										
N17.HOG0000152	OG0000036	n2																																	DR086_RS03265		DR087_RS00550									
N17.HOG0000153	OG0000036	n21																																		DR097_RS02435				DR100_RS01080						
N17.HOG0000154	OG0000036	n27																																		DR097_RS02415				DR100_RS01065						
N17.HOG0000155	OG0000037	n3																																	DR086_RS04510	DR097_RS04800				DR100_RS03435						
N17.HOG0000156	OG0000037	n34																																		DR097_RS03100										
N17.HOG0000157	OG0000037	n38																																	DR086_RS03330											
N17.HOG0000158	OG0000037	n39																																	DR086_RS03325		DR087_RS04725			DR100_RS03440						
N17.HOG0000159	OG0000038	n8																																						DR100_RS03370						
N17.HOG0000160	OG0000039	n8																																	DR086_RS03295		DR087_RS03190									
N17.HOG0000161	OG0000039	n29																																		DR097_RS04950				DR100_RS04510						
N17.HOG0000162	OG0000039	n36																																						DR100_RS03660						
N17.HOG0000163	OG0000040	n14																																	DR086_RS02360											
N17.HOG0000164	OG0000040	n35																																						DR100_RS03895						
N17.HOG0000165	OG0000040	n47																																						DR100_RS03110						
N17.HOG0000166	OG0000040	n49																																			DR087_RS02165									
N17.HOG0000167	OG0000041	n9																																	DR086_RS03635	DR097_RS03645	DR087_RS03625									
N17.HOG0000168	OG0000041	n22																																	DR086_RS02480											
N17.HOG0000169	OG0000042	n2																																						DR100_RS03115						
N17.HOG0000170	OG0000042	n36																																		DR097_RS01265										
N17.HOG0000171	OG0000042	n43																																	DR086_RS02970											
N17.HOG0000172	OG0000042	n48																																			DR087_RS03360									
N17.HOG0000173	OG0000043	n0																																	DR086_RS00415	DR097_RS00855	DR087_RS01545			DR100_RS02005						
N17.HOG0000174	OG0000044	n1																																	DR086_RS05095	DR097_RS04900	DR087_RS04800			DR100_RS04930						
N17.HOG0000175	OG0000045	n0																																	DR086_RS03290	DR097_RS03525	DR087_RS03185			DR100_RS03545						
N17.HOG0000176	OG0000046	n1																																		DR097_RS04785										
N17.HOG0000177	OG0000046	n32																																	DR086_RS04940		DR087_RS04655			DR100_RS04840						
N17.HOG0000178	OG0000047	n4																																		DR097_RS02010										
N17.HOG0000179	OG0000047	n17																																			DR087_RS00340			DR100_RS01635						
N17.HOG0000180	OG0000048	n0																																	DR086_RS00610	DR097_RS02830	DR087_RS00140			DR100_RS02540						
N17.HOG0000181	OG0000049	n0																																	DR086_RS01430	DR097_RS01470	DR087_RS01000			DR100_RS01465						
N17.HOG0000182	OG0000050	n0																																	DR086_RS02195	DR097_RS01960	DR087_RS02450			DR100_RS02715						
N17.HOG0000183	OG0000051	n7																																	DR086_RS00855											
N17.HOG0000184	OG0000051	n9																																			DR087_RS01275									
N17.HOG0000185	OG0000051	n40																																						DR100_RS01815						
N17.HOG0000186	OG0000052	n0																																	DR086_RS01150	DR097_RS02480	DR087_RS00505			DR100_RS01115						
N17.HOG0000187	OG0000053	n0																																	DR086_RS04905	DR097_RS04845	DR087_RS04540			DR100_RS04755						
N17.HOG0000188	OG0000054	n0																																	DR086_RS02170	DR097_RS01935	DR087_RS02475			DR100_RS02740						
N17.HOG0000189	OG0000055	n0																																	DR086_RS03270	DR097_RS00305	DR087_RS00555			DR100_RS01060						
N17.HOG0000190	OG0000056	n0																																	DR086_RS02455	DR097_RS00545	DR087_RS00765			DR100_RS01270						
N17.HOG0000191	OG0000057	n0																																	DR086_RS01130	DR097_RS01250	DR087_RS01485			DR100_RS01665						
N17.HOG0000192	OG0000058	n14																																		DR097_RS02085	DR087_RS00275			DR100_RS01560						
N17.HOG0000193	OG0000058	n22																																			DR087_RS00280									
N17.HOG0000194	OG0000058	n25																																	DR086_RS00765											
N17.HOG0000195	OG0000058	n29																																		DR097_RS02080				DR100_RS01565						
N17.HOG0000196	OG0000059	n20																																	DR086_RS04120	DR097_RS04190	DR087_RS03825			DR100_RS04135						
N17.HOG0000197	OG0000059	n35																																		DR097_RS02070				DR100_RS01575						
N17.HOG0000198	OG0000060	n11																																		DR097_RS00425				DR100_RS00115						
N17.HOG0000199	OG0000060	n21																																			DR087_RS00510			DR100_RS01110						
N17.HOG0000200	OG0000061	n7																																		DR097_RS02500	DR087_RS01595			DR100_RS02060						
N17.HOG0000201	OG0000061	n24																																	DR086_RS00820											
N17.HOG0000202	OG0000062	n0																																	DR086_RS01260	DR097_RS02590	DR087_RS00395			DR100_RS01225						
N17.HOG0000203	OG0000063	n0																																	DR086_RS04835	DR097_RS04735	DR087_RS04450			DR100_RS04645						
N17.HOG0000204	OG0000064	n0																																	DR086_RS01275	DR097_RS02605	DR087_RS00380			DR100_RS01240						
N17.HOG0000205	OG0000065	n0																																	DR086_RS02080	DR097_RS02745	DR087_RS00215			DR100_RS03025						
N17.HOG0000206	OG0000066	n7																																		DR097_RS01675				DR100_RS00275						
N17.HOG0000207	OG0000067	n2																																			DR087_RS02860									
N17.HOG0000208	OG0000067	n13																																	DR086_RS02240	DR097_RS02405	DR087_RS03450			DR100_RS02670						
N17.HOG0000209	OG0000068	n0																																	DR086_RS01570, DR086_RS02750	DR097_RS03055	DR087_RS03140			DR100_RS00760						
N17.HOG0000210	OG0000069	n0																																	DR086_RS01025	DR097_RS01725	DR087_RS01375			DR100_RS01775						
N17.HOG0000211	OG0000070	n0																																	DR086_RS02165	DR097_RS01930	DR087_RS02480			DR100_RS02745						
N17.HOG0000212	OG0000071	n0																																	DR086_RS02350	DR097_RS03575	DR087_RS00780			DR100_RS03100						
N17.HOG0000213	OG0000072	n0																																	DR086_RS04935	DR097_RS03580, DR097_RS04860	DR087_RS02175			DR100_RS04835						
N17.HOG0000214	OG0000073	n0																																	DR086_RS03040	DR097_RS01115	DR087_RS02200			DR100_RS00805						
N17.HOG0000215	OG0000074	n10																																	DR086_RS04990											
N17.HOG0000216	OG0000075	n5																																	DR086_RS03840											
N17.HOG0000217	OG0000075	n16																																	DR086_RS00210											
N17.HOG0000218	OG0000076	n19																																			DR087_RS01875									
N17.HOG0000219	OG0000077	n0																																	DR086_RS00315	DR097_RS03275	DR087_RS03060			DR100_RS00400						
N17.HOG0000220	OG0000078	n3																																	DR086_RS01625	DR097_RS01875				DR100_RS02200						
N17.HOG0000221	OG0000078	n12																																			DR087_RS02065									
N17.HOG0000222	OG0000079	n0																																	DR086_RS00950	DR097_RS02640	DR087_RS02980			DR100_RS01910						
N17.HOG0000223	OG0000080	n0																																	DR086_RS04145	DR097_RS04360	DR087_RS04005			DR100_RS04175						
N17.HOG0000224	OG0000081	n0																																	DR086_RS00205	DR097_RS00095	DR087_RS01855			DR100_RS00510						
N17.HOG0000225	OG0000082	n9																																						DR100_RS04250						
N17.HOG0000226	OG0000082	n11																																		DR097_RS02165	DR087_RS01685			DR100_RS02290						
N17.HOG0000227	OG0000083	n0																																	DR086_RS00520	DR097_RS00750	DR087_RS00065			DR100_RS02770						
N17.HOG0000228	OG0000084	n0																																	DR086_RS00545	DR097_RS03685	DR087_RS00090			DR100_RS02590						
N17.HOG0000229	OG0000085	n0																																	DR086_RS00550	DR097_RS02875	DR087_RS00095			DR100_RS02585						
N17.HOG0000230	OG0000086	n0																																	DR086_RS00560	DR097_RS02865	DR087_RS00105			DR100_RS02575						
N17.HOG0000231	OG0000087	n0																																	DR086_RS00575	DR097_RS02850	DR087_RS00120			DR100_RS02560						
N17.HOG0000232	OG0000088	n0																																	DR086_RS00580	DR097_RS02845	DR087_RS00125			DR100_RS02555						
N17.HOG0000233	OG0000089	n0																																	DR086_RS00590	DR097_RS02835	DR087_RS00135			DR100_RS02545						
N17.HOG0000234	OG0000090	n0																																	DR086_RS01155	DR097_RS02485	DR087_RS00500			DR100_RS01120						
N17.HOG0000235	OG0000091	n0																																	DR086_RS01170	DR097_RS02775	DR087_RS00485			DR100_RS01135						
N17.HOG0000236	OG0000092	n0																																	DR086_RS01185	DR097_RS02790	DR087_RS00470			DR100_RS01150						
N17.HOG0000237	OG0000093	n0																																	DR086_RS01190	DR097_RS02795	DR087_RS00465			DR100_RS01155						
N17.HOG0000238	OG0000094	n0																																	DR086_RS01195	DR097_RS02800	DR087_RS00460			DR100_RS01160						
N17.HOG0000239	OG0000095	n0																																	DR086_RS01220	DR097_RS03550	DR087_RS00435			DR100_RS01185						
N17.HOG0000240	OG0000096	n0																																	DR086_RS01225	DR097_RS03545	DR087_RS00430			DR100_RS01190						
N17.HOG0000241	OG0000097	n0																																	DR086_RS01245	DR097_RS02575	DR087_RS00410			DR100_RS01210						
N17.HOG0000242	OG0000098	n0																																	DR086_RS01255	DR097_RS02585	DR087_RS00400			DR100_RS01220						
N17.HOG0000243	OG0000099	n0																																	DR086_RS04950	DR097_RS00540, DR097_RS03665	DR087_RS00775			DR100_RS03485						
N17.HOG0000244	OG0000100	n0																																	DR086_RS02445	DR097_RS00555	DR087_RS00750			DR100_RS01280						
N17.HOG0000245	OG0000101	n0																																	DR086_RS02440	DR097_RS00560	DR087_RS00745			DR100_RS01285						
N17.HOG0000246	OG0000102	n0																																	DR086_RS01600	DR097_RS01850	DR087_RS02090			DR100_RS02175						
N17.HOG0000247	OG0000103	n0																																	DR086_RS02115	DR097_RS02710	DR087_RS00180			DR100_RS02990						
N17.HOG0000248	OG0000104	n0																																	DR086_RS02110	DR097_RS02715	DR087_RS00185			DR100_RS02995						
N17.HOG0000249	OG0000105	n0																																	DR086_RS02095	DR097_RS02730	DR087_RS00200			DR100_RS03010						
N17.HOG0000250	OG0000106	n0																																	DR086_RS02085	DR097_RS02740	DR087_RS00210			DR100_RS03020						
N17.HOG0000251	OG0000107	n0																																	DR086_RS02075	DR097_RS02750	DR087_RS00220			DR100_RS03030						
N17.HOG0000252	OG0000108	n0																																	DR086_RS02070	DR097_RS02755	DR087_RS00225			DR100_RS03035						
