HOG	OG	Gene Tree Parent Clade	MFC_ATCC27716_genes	MFC_MF11_genes	MFC_MF18_genes	MFC_MF22_genes	MFC_MF29_genes	MFC_MF30_genes	MFC_MF33_genes	MFC_Ms42_genes	MHP_111A_genes	MHP_112B_genes	MHP_116_genes	MHP_11_genes	MHP_1257_genes	MHP_131B_genes	MHP_133A_genes	MHP_153B_genes	MHP_154B_genes	MHP_168L_genes	MHP_168_genes	MHP_232_genes	MHP_4284_genes	MHP_7422_genes	MHP_7448_genes	MHP_98_genes	MHP_ES2L_genes	MHP_ES2_genes	MHP_F72C_genes	MHP_J_genes	MHP_KM014_genes	MHP_LH_genes	MHP_MHP650_genes	MHP_MHP653_genes	MHP_MHP679_genes	MHP_MHP682_genes	MHP_MHP691_genes	MHP_MHP694_genes	MHP_MHP696_genes	MHP_MHP699_genes	MHP_MHP709_genes	MHP_NCTC10127_genes	MHP_TB1_genes	MHP_UFV01_genes	MHP_UFV02_genes	MHP_Ue273_genes
N20.HOG0000000	OG0000000	n43																																			DR087_RS00160									
N20.HOG0000001	OG0000000	n58																																	DR086_RS03500											
N20.HOG0000002	OG0000000	n110																																			DR087_RS03475, DR087_RS03480									
N20.HOG0000003	OG0000000	n139																																			DR087_RS04315									
N20.HOG0000004	OG0000000	n227																																	DR086_RS04585											
N20.HOG0000005	OG0000000	n238																																	DR086_RS03600											
N20.HOG0000006	OG0000000	n260																																			DR087_RS04815									
N20.HOG0000007	OG0000000	n283																																	DR086_RS04250											
N20.HOG0000008	OG0000000	n316																																			DR087_RS02105									
N20.HOG0000009	OG0000000	n317																																	DR086_RS04245		DR087_RS03570									
N20.HOG0000010	OG0000001	n28																																	DR086_RS03435											
N20.HOG0000011	OG0000001	n30																																			DR087_RS03325									
N20.HOG0000012	OG0000001	n37																																			DR087_RS03335									
N20.HOG0000013	OG0000001	n57																																	DR086_RS01010		DR087_RS04015									
N20.HOG0000014	OG0000001	n78																																			DR087_RS04300									
