Orthogroup	MHP_LH_proteins	MHP_131B_proteins
OG0000000	WP_233688770.1	WP_404924494.1
OG0000000	WP_233688768.1	WP_404924493.1
OG0000000	WP_233688766.1	WP_404924491.1
OG0000000	WP_233688428.1	WP_404924511.1
OG0000000	WP_094521686.1	WP_404924212.1
OG0000000	WP_318035154.1	WP_148174330.1
OG0000000	WP_233688440.1	WP_258556712.1
OG0000000	WP_233688764.1	WP_404924561.1
OG0000001	WP_179696094.1	WP_232039579.1, WP_187145661.1
OG0000001	WP_233688495.1	WP_404924272.1
OG0000002	WP_233688429.1	WP_225972974.1
OG0000002	WP_160588366.1	WP_404924222.1
OG0000002	WP_233688422.1	WP_404924509.1
OG0000002	WP_233688740.1	WP_404924467.1
OG0000003	WP_233688750.1	WP_404924565.1
OG0000004	WP_233688542.1	WP_160588068.1
OG0000004	WP_233688544.1	WP_404924307.1
OG0000004	WP_233688516.1	WP_404924497.1
OG0000004	WP_233688522.1	WP_404924499.1
OG0000005	WP_233688595.1	WP_011289941.1
OG0000005	WP_233688599.1	WP_146379452.1
OG0000005	WP_233688596.1	WP_404924354.1
OG0000005	WP_233688600.1	WP_347952346.1
OG0000006	WP_233688469.1	WP_404924250.1, WP_280996645.1
OG0000006	WP_233688445.1	WP_404924232.1
OG0000008	WP_233688439.1	WP_404924227.1
OG0000008	WP_233688729.1	WP_404924560.1
OG0000008	WP_233688470.1	WP_404924495.1
OG0000009	WP_094521537.1	WP_041361519.1
OG0000009	WP_179221024.1	WP_011290021.1
OG0000010	WP_179221114.1	WP_404924479.1
OG0000011	WP_233688756.1	WP_404924567.1
OG0000013	WP_233688454.1	WP_225972984.1
OG0000013	WP_233688607.1	WP_404924502.1
OG0000014	WP_233688670.1	WP_404924552.1
OG0000014	WP_233688640.1, WP_233688641.1	WP_404924399.1
OG0000015	WP_135618763.1	WP_135618763.1
OG0000016	WP_011206378.1	WP_404924526.1
OG0000016	WP_233688605.1	WP_404924358.1
OG0000017	WP_233688603.1	WP_020835500.1
OG0000017	WP_233688501.1	WP_020835837.1
OG0000019	WP_233688523.1, WP_233688519.1	WP_404924528.1
OG0000020	WP_233688577.1	WP_404924535.1
OG0000020	WP_233688578.1	WP_404924536.1
OG0000022	WP_233688731.1	WP_404924458.1
OG0000022	WP_233688738.1	WP_146379581.1
OG0000023	WP_233688704.1	WP_404924437.1
OG0000024	WP_179696078.1	WP_179696078.1
OG0000024	WP_233688698.1	WP_404924435.1
OG0000025	WP_233688732.1	WP_404924459.1
OG0000025	WP_233688737.1	WP_404924464.1
OG0000026	WP_044284614.1	WP_020835640.1
OG0000026	WP_233688735.1	WP_160606777.1
OG0000027	WP_011206475.1	WP_020835902.1
OG0000027	WP_233688557.1	WP_404924323.1
OG0000029	WP_233688669.1	WP_404924422.1
OG0000029	WP_233688642.1	WP_404924400.1
OG0000030	WP_232039555.1	WP_308704613.1
OG0000030	WP_020835904.1	WP_404924534.1
OG0000031	WP_179695837.1	WP_088172525.1
OG0000031	WP_233688725.1	WP_404924450.1
OG0000032	WP_233688723.1	WP_135618726.1
OG0000033	WP_233688459.1	WP_404924517.1, WP_404924520.1, WP_404924518.1
OG0000035	WP_233688543.1	WP_404924533.1
OG0000035	WP_233688540.1	WP_160588066.1
OG0000036	WP_233688598.1	WP_347952344.1
OG0000036	WP_233688601.1	WP_146379454.1
OG0000037	WP_233688763.1	WP_404924569.1
OG0000037	WP_233688762.1	WP_404924568.1
OG0000038	WP_233688741.1	WP_404924469.1
OG0000039	WP_011290139.1	WP_404924559.1
OG0000040	WP_233688550.1	WP_404924313.1
OG0000042	WP_233688512.1	WP_044272729.1
OG0000043	WP_014579804.1	WP_014579804.1
OG0000044	WP_011206179.1	WP_404911819.1
OG0000045	WP_020835667.1	WP_404924452.1
OG0000046	WP_233688551.1	WP_404924315.1
OG0000048	WP_146379588.1	WP_011284150.1
OG0000049	WP_233688524.1	WP_020835860.1
OG0000050	WP_233688465.1	WP_404924247.1
OG0000051	WP_233688485.1	WP_404924263.1
OG0000052	WP_011283836.1	WP_404924352.1
OG0000053	WP_233688713.1	WP_404924445.1
OG0000054	WP_044272538.1	WP_404924248.1
OG0000055	WP_135618462.1	WP_146379455.1
OG0000056	WP_233688574.1	WP_404924340.1
OG0000057	WP_233688511.1	WP_404924285.1
OG0000058	WP_179695838.1	WP_404924373.1
OG0000061	WP_135618818.1	WP_404924566.1
OG0000062	WP_094521530.1	WP_011206522.1
OG0000063	WP_233688580.1	WP_041361715.1
OG0000064	WP_233688579.1	WP_348571896.1
OG0000065	WP_011290219.1	WP_225972975.1
OG0000066	WP_011205965.1	WP_404913732.1
OG0000067	WP_233688634.1	WP_404924548.1
OG0000068	WP_011206103.1	WP_011206103.1
OG0000069	WP_011206373.1	WP_011206373.1
OG0000070	WP_011206292.1	WP_011206292.1
OG0000071	WP_233688548.1	WP_404924311.1
OG0000072	WP_233688549.1	WP_404924312.1
OG0000073	WP_011206093.1	WP_404912207.1
OG0000074	WP_233688661.1	WP_308704709.1
OG0000075	WP_014579568.1	WP_404924368.1
OG0000076	WP_011289987.1	WP_404924369.1
OG0000077	WP_233688625.1	WP_135618533.1
OG0000079	WP_233688475.1	WP_020835797.1
OG0000080	WP_233688480.1	WP_192894279.1
OG0000081	WP_233688621.1	WP_404924544.1
OG0000083	WP_011206216.1	WP_014579823.1
OG0000084	WP_011284142.1	WP_011284142.1
OG0000085	WP_233688415.1	WP_404924208.1
OG0000086	WP_233688416.1	WP_404924507.1
OG0000087	WP_011206228.1	WP_020835732.1
OG0000088	WP_044272480.1	WP_020835733.1
OG0000089	WP_011206231.1	WP_011206231.1
OG0000090	WP_233688592.1	WP_404924539.1
OG0000091	WP_233688590.1	WP_020835487.1
OG0000092	WP_011205847.1	WP_404924538.1
OG0000093	WP_020835484.1	WP_160584856.1
OG0000094	WP_233688588.1	WP_160606485.1
OG0000095	WP_044272251.1	WP_044272251.1
OG0000096	WP_011206529.1	WP_011206529.1
OG0000097	WP_233688583.1	WP_404924537.1
OG0000099	WP_233688575.1	WP_404924341.1
OG0000100	WP_233688571.1	WP_404924338.1
OG0000101	WP_011206510.1	WP_011206510.1
OG0000102	WP_233688736.1	WP_404924487.1
OG0000103	WP_233688430.1	WP_404924223.1
OG0000104	WP_011206239.1	WP_011206239.1
OG0000105	WP_135618882.1	WP_146379630.1
OG0000106	WP_135618884.1	WP_146379631.1
OG0000107	WP_011284169.1	WP_011284169.1
OG0000108	WP_011206247.1	WP_011206247.1
OG0000109	WP_233688434.1	WP_404924224.1
OG0000110	WP_233688451.1	WP_404924239.1
OG0000111	WP_233688450.1	WP_404924516.1
OG0000112	WP_233688448.1	WP_404924236.1
OG0000113	WP_233688444.1	WP_404924231.1
OG0000114	WP_233688443.1	WP_404923958.1
OG0000115	WP_011206264.1	WP_011290245.1
OG0000116	WP_233688702.1	WP_404924436.1
OG0000117	WP_233688703.1	WP_160590503.1
OG0000118	WP_233688707.1	WP_011290108.1
OG0000119	WP_179696055.1	WP_135618686.1
OG0000120	WP_160600844.1	WP_011284027.1
OG0000121	WP_011284032.1	WP_011284032.1
OG0000122	WP_011205958.1	WP_020835643.1
OG0000123	WP_233688711.1	WP_011205954.1
OG0000124	WP_011290118.1	WP_011290118.1
OG0000125	WP_011205952.1	WP_011205952.1
OG0000126	WP_011205950.1	WP_160585089.1
OG0000127	WP_011284040.1	WP_404924444.1
OG0000128	WP_233688714.1	WP_404924446.1
OG0000129	WP_014579732.1	WP_014579732.1
OG0000130	WP_011284046.1	WP_011284046.1
OG0000131	WP_233688716.1	WP_160588225.1
OG0000132	WP_233688719.1	WP_011205939.1
OG0000133	WP_014579589.1	WP_094521764.1
OG0000134	WP_233688635.1	WP_308507044.1
OG0000135	WP_011206120.1	WP_160585148.1
OG0000136	WP_233688636.1	WP_011206119.1
OG0000137	WP_011206113.1	WP_404924396.1
OG0000138	WP_011206106.1	WP_404924401.1
OG0000139	WP_179221023.1	WP_011290017.1
OG0000140	WP_011206101.1	WP_011206101.1
OG0000141	WP_011284290.1	WP_146379698.1
OG0000142	WP_011284289.1	WP_011284289.1
OG0000143	WP_233688509.1	WP_011206391.1
OG0000144	WP_233688507.1	WP_404924284.1
OG0000145	WP_228365394.1	WP_225972996.1
OG0000146	WP_011206385.1	WP_011206385.1
OG0000147	WP_233688504.1	WP_011206384.1
OG0000148	WP_233688502.1	WP_041361684.1
OG0000149	WP_011206379.1	WP_011290331.1
OG0000150	WP_135619006.1	WP_135619006.1
OG0000151	WP_179696082.1	WP_404924277.1
OG0000152	WP_160606405.1	WP_404924276.1
OG0000153	WP_233688497.1	WP_233688497.1
