Orthogroup	MHP_LH_proteins	MHP_Ue273_proteins
OG0000000	WP_233688770.1	WP_347952487.1
OG0000000	WP_094521686.1	WP_347952221.1
OG0000001	WP_179696094.1	WP_347952413.1
OG0000001	WP_228365393.1	WP_347952263.1
OG0000001	WP_233688495.1	WP_347952260.1
OG0000002	WP_233688429.1	WP_020835748.1
OG0000002	WP_233688740.1	WP_347952457.1
OG0000003	WP_233688628.1	WP_347952470.1
OG0000003	WP_233688750.1	WP_192894277.1
OG0000004	WP_233688542.1	WP_347952295.1
OG0000004	WP_233688516.1	WP_347952281.1, WP_347952279.1
OG0000004	WP_233688522.1	WP_347952275.1
OG0000005	WP_233688595.1	WP_347952342.1
OG0000005	WP_233688599.1	WP_347952345.1
OG0000005	WP_233688596.1	WP_347952343.1
OG0000005	WP_233688597.1	WP_146379451.1
OG0000005	WP_233688600.1	WP_347952346.1
OG0000006	WP_233688469.1	WP_347952241.1
OG0000008	WP_233688439.1	WP_347952220.1
OG0000008	WP_233688470.1	WP_347952490.1
OG0000009	WP_094521537.1	WP_041361519.1
OG0000009	WP_179221024.1	WP_011290021.1
OG0000010	WP_179221114.1	WP_347952475.1
OG0000010	WP_233688594.1	WP_258555487.1
OG0000011	WP_233688757.1	WP_347952482.1
OG0000011	WP_233688756.1	WP_347952481.1
OG0000013	WP_233688454.1	WP_347952233.1
OG0000013	WP_233688607.1	WP_347952491.1
OG0000014	WP_233688670.1	WP_347952397.1
OG0000014	WP_233688640.1, WP_233688641.1	WP_347952382.1
OG0000015	WP_014579770.1, WP_233688686.1	WP_277620667.1
OG0000016	WP_011206378.1	WP_347952265.1
OG0000016	WP_233688605.1	WP_347952351.1
OG0000017	WP_233688603.1	WP_243215933.1
OG0000017	WP_233688501.1	WP_020835837.1
OG0000019	WP_233688517.1	WP_347952282.1
OG0000019	WP_233688523.1, WP_233688519.1	WP_347952276.1
OG0000020	WP_233688577.1	WP_347952330.1
OG0000020	WP_233688578.1	WP_347952331.1
OG0000022	WP_233688731.1	WP_347952446.1
OG0000022	WP_233688738.1	WP_347952455.1
OG0000023	WP_233688704.1	WP_347952417.1
OG0000024	WP_179696078.1	WP_160585687.1
OG0000024	WP_233688698.1	WP_347952412.1
OG0000025	WP_233688732.1	WP_347952447.1
OG0000025	WP_233688737.1	WP_347952453.1
OG0000026	WP_044284614.1	WP_347952418.1
OG0000026	WP_233688735.1	WP_011206159.1
OG0000027	WP_011206475.1	WP_347952308.1
OG0000027	WP_233688557.1	WP_160585589.1
OG0000029	WP_233688669.1	WP_347952396.1
OG0000029	WP_233688642.1	WP_347952383.1
OG0000030	WP_020835904.1	WP_160584917.1
OG0000031	WP_233688725.1	WP_011206142.1
OG0000032	WP_233688723.1	WP_347952437.1
OG0000033	WP_233688459.1	WP_347952234.1
OG0000035	WP_233688543.1	WP_347952297.1
OG0000035	WP_233688540.1	WP_347952292.1
OG0000036	WP_233688598.1	WP_347952344.1
OG0000036	WP_233688601.1	WP_347952347.1
OG0000037	WP_233688762.1	WP_347952485.1
OG0000038	WP_233688741.1	WP_347952461.1
OG0000038	WP_233688627.1	WP_347952372.1
OG0000039	WP_011290139.1	WP_347952442.1, WP_347952441.1
OG0000040	WP_233688550.1	WP_347952301.1
OG0000042	WP_233688512.1	WP_347952270.1, WP_347952269.1
OG0000043	WP_014579804.1	WP_014579804.1
OG0000045	WP_020835667.1	WP_160585827.1
OG0000046	WP_233688551.1	WP_347952302.1
OG0000048	WP_146379588.1	WP_347952212.1
OG0000049	WP_233688524.1	WP_020835860.1
OG0000050	WP_233688465.1	WP_347952238.1
OG0000051	WP_233688485.1	WP_347952252.1
OG0000052	WP_011283836.1	WP_011289937.1
OG0000053	WP_233688713.1	WP_347952425.1
OG0000054	WP_044272538.1	WP_347952240.1
OG0000055	WP_135618462.1	WP_146379455.1
OG0000056	WP_233688574.1	WP_347952327.1
OG0000057	WP_233688511.1	WP_347952267.1, WP_347952268.1
OG0000061	WP_135618818.1	WP_135618818.1
OG0000062	WP_094521530.1	WP_160588098.1
OG0000063	WP_233688580.1	WP_160606495.1
OG0000064	WP_233688579.1	WP_347952332.1
OG0000065	WP_011290219.1	WP_347952215.1
OG0000066	WP_011205965.1	WP_011205965.1
OG0000067	WP_233688634.1	WP_347952376.1
OG0000068	WP_011206103.1	WP_011206103.1
OG0000069	WP_011206373.1	WP_011284269.1
OG0000070	WP_011206292.1	WP_011206292.1
OG0000071	WP_233688548.1	WP_347952299.1
OG0000072	WP_233688549.1	WP_347952300.1
OG0000073	WP_011206093.1	WP_011206093.1
OG0000074	WP_233688661.1	WP_179221041.1
OG0000075	WP_014579568.1	WP_135618517.1
OG0000077	WP_233688625.1	WP_347952370.1
OG0000078	WP_233688734.1	WP_347952448.1
OG0000079	WP_233688475.1	WP_146379663.1
OG0000080	WP_233688480.1	WP_179695988.1
OG0000081	WP_233688621.1	WP_347952367.1
OG0000082	WP_233688453.1	WP_347952488.1
OG0000083	WP_011206216.1	WP_011206216.1
OG0000084	WP_011284142.1	WP_011284142.1
OG0000085	WP_233688415.1	WP_011206223.1
OG0000086	WP_233688416.1	WP_347952209.1
OG0000087	WP_011206228.1	WP_020835732.1
OG0000088	WP_044272480.1	WP_020835733.1
OG0000089	WP_011206231.1	WP_347952211.1
OG0000090	WP_233688592.1	WP_020835488.1
OG0000091	WP_233688590.1	WP_020835487.1
OG0000092	WP_011205847.1	WP_011205847.1
OG0000093	WP_020835484.1	WP_020835484.1
OG0000094	WP_233688588.1	WP_020835483.1
OG0000095	WP_044272251.1	WP_347952339.1
OG0000096	WP_011206529.1	WP_011206529.1
OG0000097	WP_233688583.1	WP_347952335.1
OG0000098	WP_233688581.1	WP_347952333.1
OG0000099	WP_233688575.1	WP_347952328.1
OG0000100	WP_233688571.1	WP_347952325.1
OG0000101	WP_011206510.1	WP_011206510.1
OG0000102	WP_233688736.1	WP_347952452.1
OG0000103	WP_233688430.1	WP_011290214.1
OG0000104	WP_011206239.1	WP_011206239.1
OG0000105	WP_135618882.1	WP_347952214.1
OG0000106	WP_135618884.1	WP_146379631.1
OG0000107	WP_011284169.1	WP_011284169.1
OG0000108	WP_011206247.1	WP_192894278.1
OG0000109	WP_233688434.1	WP_347952216.1
OG0000110	WP_233688451.1	WP_347952231.1
OG0000111	WP_233688450.1	WP_347952230.1
OG0000112	WP_233688448.1	WP_347952229.1
OG0000113	WP_233688444.1	WP_347952226.1
OG0000114	WP_233688443.1	WP_347952224.1
OG0000115	WP_011206264.1	WP_011284183.1
OG0000116	WP_233688702.1	WP_347952415.1
OG0000117	WP_233688703.1	WP_347952416.1
OG0000118	WP_233688707.1	WP_179696056.1
OG0000119	WP_179696055.1	WP_135618686.1
