Orthogroup	MHP_LH_proteins	MHP_111A_proteins
OG0000000	WP_233688768.1	WP_404912243.1
OG0000000	WP_233688428.1	WP_404912245.1
OG0000000	WP_318035154.1	WP_404911849.1
OG0000000	WP_233688764.1	WP_404912447.1
OG0000001	WP_179696094.1	WP_404912312.1
OG0000001	WP_228365393.1	WP_404911958.1
OG0000001	WP_233688495.1	WP_011206342.1
OG0000002	WP_233688429.1	WP_225972974.1
OG0000002	WP_160588366.1	WP_146379587.1
OG0000002	WP_233688422.1	WP_404912241.1
OG0000003	WP_233688427.1	WP_225973025.1
OG0000003	WP_233688750.1	WP_179696107.1
OG0000004	WP_233688542.1	WP_160585636.1
OG0000004	WP_233688544.1	WP_404912021.1
OG0000004	WP_233688516.1	WP_404912454.1
OG0000005	WP_233688595.1	WP_404912131.1
OG0000005	WP_233688596.1	WP_404912133.1
OG0000005	WP_233688597.1	WP_404912135.1
OG0000006	WP_233688469.1	WP_404911894.1
OG0000007	WP_233688426.1	WP_002557992.1
OG0000008	WP_233688439.1	WP_404911847.1
OG0000008	WP_233688729.1	WP_404912369.1
OG0000008	WP_233688470.1	WP_404911900.1, WP_404911898.1
OG0000009	WP_094521537.1	WP_041361519.1
OG0000009	WP_179221024.1	WP_011290021.1
OG0000010	WP_179221114.1	WP_404911810.1
OG0000011	WP_233688757.1	WP_404911790.1
OG0000011	WP_233688756.1	WP_404911792.1
OG0000013	WP_233688454.1	WP_404911873.1
OG0000014	WP_233688670.1	WP_404912270.1
OG0000014	WP_233688640.1	WP_404912188.1
OG0000015	WP_014579770.1	WP_014579770.1
OG0000015	WP_233688686.1	WP_179695828.1
OG0000015	WP_135618763.1	WP_135618763.1
OG0000016	WP_233688605.1	WP_404912144.1
OG0000017	WP_233688603.1	WP_020835500.1
OG0000017	WP_233688501.1	WP_020835837.1
OG0000018	WP_179695831.1	WP_404912406.1
OG0000019	WP_233688517.1	WP_404911989.1
OG0000020	WP_233688577.1	WP_404912096.1
OG0000020	WP_233688578.1	WP_404912098.1
OG0000022	WP_233688731.1	WP_404912375.1
OG0000022	WP_233688738.1	WP_404912386.1
OG0000023	WP_233688683.1	WP_404912402.1
OG0000024	WP_179696078.1	WP_160585259.1
OG0000024	WP_233688698.1	WP_404912310.1
OG0000025	WP_233688732.1	WP_404912377.1
OG0000025	WP_233688737.1	WP_404912384.1
OG0000026	WP_044284614.1	WP_192894288.1
OG0000026	WP_233688735.1	WP_160606777.1
OG0000027	WP_011206475.1	WP_404912049.1
OG0000027	WP_233688557.1	WP_404912055.1
OG0000029	WP_233688669.1	WP_404912268.1
OG0000029	WP_233688642.1	WP_404912190.1
OG0000030	WP_232039555.1	WP_240536353.1
OG0000030	WP_020835904.1	WP_404912053.1
OG0000031	WP_179695837.1	WP_404912416.1
OG0000032	WP_233688723.1	WP_135618726.1
OG0000033	WP_233688460.1, WP_233688457.1	WP_404911880.1
OG0000033	WP_233688459.1	WP_404911875.1, WP_404911876.1
OG0000034	WP_233688423.1	WP_243234977.1
OG0000034	WP_233688424.1	WP_233688424.1
OG0000035	WP_233688543.1	WP_404912019.1
OG0000035	WP_233688540.1	WP_404912017.1
OG0000036	WP_233688598.1	WP_404912137.1
OG0000037	WP_233688763.1	WP_404912355.1
OG0000037	WP_233688762.1	WP_404912443.1
OG0000039	WP_011290139.1	WP_179221095.1
OG0000040	WP_233688550.1	WP_404912035.1, WP_404912033.1, WP_404912462.1
OG0000042	WP_233688512.1	WP_044272729.1
OG0000043	WP_014579804.1	WP_404911800.1
OG0000044	WP_011206179.1	WP_404911819.1
OG0000045	WP_020835667.1	WP_404912363.1, WP_404912361.1
OG0000046	WP_233688551.1	WP_404912040.1
OG0000047	WP_233688684.1	WP_404912400.1
OG0000048	WP_146379588.1	WP_404912397.1
OG0000049	WP_233688524.1	WP_020835860.1
OG0000050	WP_233688465.1	WP_404911890.1
OG0000051	WP_233688485.1	WP_404911930.1
OG0000052	WP_011283836.1	WP_404912127.1
OG0000053	WP_233688713.1	WP_160585093.1
OG0000054	WP_044272538.1	WP_020835786.1
OG0000055	WP_135618462.1	WP_160606887.1
OG0000056	WP_233688574.1, WP_233688573.1	WP_404912090.1
OG0000057	WP_233688511.1	WP_220191159.1
OG0000058	WP_179695838.1	WP_404912420.1
OG0000059	WP_233688678.1	WP_404912414.1
OG0000061	WP_135618818.1	WP_404911806.1
OG0000062	WP_094521530.1	WP_094521530.1
OG0000063	WP_233688580.1	WP_404912101.1
OG0000064	WP_233688579.1	WP_011290440.1
OG0000065	WP_011290219.1	WP_233688433.1
OG0000066	WP_011205965.1	WP_011205965.1
OG0000068	WP_011206103.1	WP_011206103.1
OG0000069	WP_011206373.1	WP_011206373.1
OG0000070	WP_011206292.1	WP_011206292.1
OG0000071	WP_233688548.1	WP_146379735.1
OG0000072	WP_233688549.1	WP_404912031.1
OG0000073	WP_011206093.1	WP_404912207.1
OG0000074	WP_233688661.1	WP_308704709.1
OG0000075	WP_014579568.1	WP_014579568.1
