Orthogroup	MHP_133A_proteins	MHP_MHP694_proteins
OG0000000	WP_404924494.1	WP_160606961.1
OG0000000	WP_404924465.1, WP_404924488.1	WP_160606771.1
OG0000000	WP_404924489.1	WP_160606939.1
OG0000001	WP_232039579.1	WP_232039579.1
OG0000001	WP_404924272.1	WP_011206342.1
OG0000002	WP_225972974.1	WP_258555377.1
OG0000002	WP_404924467.1	WP_160606941.1
OG0000004	WP_404924307.1	WP_160606858.1
OG0000005	WP_011289941.1	WP_160606895.1
OG0000005	WP_404924354.1	WP_160606893.1
OG0000006	WP_404924250.1, WP_280996645.1	WP_160606807.1
OG0000006	WP_404924232.1	WP_258555362.1
OG0000008	WP_404924456.1	WP_258555464.1
OG0000008	WP_404924495.1	WP_308704614.1
OG0000009	WP_041361519.1	WP_160606899.1
OG0000009	WP_011290021.1	WP_011290021.1
OG0000010	WP_404924479.1	WP_160606459.1
OG0000011	WP_404924482.1	WP_160606477.1
OG0000013	WP_225972984.1	WP_258555454.1
OG0000013	WP_404924502.1	WP_308704588.1
OG0000014	WP_404924423.1	WP_160606965.1
OG0000016	WP_404924358.1	WP_160606535.1
OG0000017	WP_020835500.1	WP_020835500.1
OG0000017	WP_020835837.1	WP_020835837.1
OG0000019	WP_404924294.1, WP_404924295.1	WP_160606929.1
OG0000020	WP_404924344.1	WP_258555399.1, WP_258555494.1
OG0000021	WP_404924390.1, WP_404924389.1	WP_160606951.1
OG0000022	WP_404924458.1	WP_160606786.1
OG0000022	WP_146379581.1	WP_160606773.1
OG0000023	WP_404924437.1, WP_404924382.1	WP_160606556.1
OG0000024	WP_179696078.1	WP_258555387.1
OG0000024	WP_404924435.1	WP_160606548.1
OG0000025	WP_404924459.1	WP_160606784.1
OG0000025	WP_404924464.1	WP_160606775.1
OG0000026	WP_020835640.1	WP_020835640.1
OG0000026	WP_160606777.1	WP_160606777.1
OG0000027	WP_020835902.1	WP_160606791.1
OG0000027	WP_404924323.1	WP_160606741.1
OG0000028	WP_404924245.1	WP_160606823.1, WP_160606721.1
OG0000029	WP_404924422.1	WP_160606678.1
OG0000029	WP_404924400.1	WP_160606674.1
OG0000030	WP_308704613.1	WP_308704613.1
OG0000030	WP_020835904.1	WP_020835904.1
OG0000031	WP_404924450.1	WP_011206142.1
OG0000032	WP_404924322.1	WP_308704608.1
OG0000035	WP_404924306.1	WP_160606856.1
OG0000036	WP_347952344.1, WP_146379454.1	WP_258555486.1
OG0000038	WP_404924387.1, WP_404924469.1	WP_160606943.1
OG0000039	WP_404924451.1	WP_160606617.1
OG0000040	WP_404924313.1	WP_160606805.1
OG0000041	WP_228366127.1	WP_228366127.1
OG0000043	WP_014579804.1	WP_014579804.1
OG0000044	WP_225973034.1	WP_225973034.1
OG0000045	WP_404924452.1	WP_160606615.1
OG0000046	WP_404924315.1	WP_160606801.1
OG0000048	WP_011284150.1	WP_011290213.1
OG0000049	WP_020835860.1	WP_160606715.1, WP_081430771.1
OG0000050	WP_404924247.1	WP_160606815.1
OG0000051	WP_404924263.1	WP_160606423.1
OG0000052	WP_404924352.1	WP_160606901.1
OG0000053	WP_404924445.1	WP_160606635.1
OG0000054	WP_404924248.1	WP_044284674.1
OG0000055	WP_146379455.1	WP_160606887.1
OG0000056	WP_404924340.1	WP_160606927.1
OG0000057	WP_404924285.1	WP_160606566.1
OG0000061	WP_135618818.1	WP_135618818.1
OG0000062	WP_011206522.1	WP_011290443.1
OG0000063	WP_041361715.1	WP_160606495.1
OG0000064	WP_348571896.1	WP_160606497.1
OG0000065	WP_225972975.1	WP_160606850.1
OG0000066	WP_011205965.1	WP_011205965.1
OG0000068	WP_011206103.1	WP_011206103.1
OG0000069	WP_011206373.1	WP_011284269.1
OG0000070	WP_011206292.1	WP_160606811.1
OG0000071	WP_404924311.1	WP_160585219.1
OG0000072	WP_404924312.1	WP_160606870.1
OG0000073	WP_404912207.1	WP_160606660.1
OG0000074	WP_404924416.1, WP_404924417.1	WP_044284596.1
OG0000075	WP_404924368.1	WP_014579568.1
OG0000076	WP_404924369.1, WP_404924503.1	WP_160606513.1
OG0000077	WP_135618533.1	WP_014579581.1
OG0000078	WP_404924461.1	WP_160606781.1
OG0000079	WP_020835797.1	WP_160600966.1
OG0000080	WP_192894279.1	WP_179695988.1
OG0000081	WP_404924367.1	WP_160606517.1
