Orthogroup	MHP_133A_proteins	MFC_MF29_proteins
OG0000000	WP_404924494.1	WP_160581495.1
OG0000000	WP_404924492.1	WP_220200598.1
OG0000000	WP_404924488.1	WP_160581134.1
OG0000001	WP_232039579.1, WP_187145661.1, WP_404924278.1, WP_404924273.1, WP_404924272.1	WP_039387745.1, WP_160580916.1
OG0000002	WP_404924213.1	WP_160581489.1
OG0000002	WP_404924467.1	WP_160581136.1
OG0000007	WP_404923946.1	WP_160581480.1
OG0000007	WP_404924219.1	WP_160581482.1
OG0000008	WP_404924456.1	WP_220200574.1
OG0000011	WP_404924482.1	WP_220200593.1, WP_258555793.1
OG0000013	WP_225972984.1	WP_160580981.1, WP_160580979.1
OG0000013	WP_404924502.1	WP_258555762.1
OG0000014	WP_404924397.1, WP_404924423.1, WP_404924399.1	WP_220200543.1
OG0000017	WP_020835500.1	WP_160581069.1
OG0000017	WP_020835837.1	WP_160580898.1
OG0000018	WP_404924379.1	WP_160581182.1
OG0000019	WP_404924296.1	WP_160581493.1
OG0000020	WP_404924344.1	WP_220200556.1
OG0000022	WP_146379581.1	WP_160581132.1
OG0000023	WP_404924382.1	WP_160581288.1
OG0000024	WP_179696078.1, WP_404924435.1	WP_231237865.1
OG0000025	WP_404924464.1	WP_160581130.1
OG0000026	WP_020835640.1, WP_160606777.1	WP_160581190.1
OG0000027	WP_404924323.1	WP_160581395.1
OG0000029	WP_404924422.1, WP_404924400.1	WP_160580866.1
OG0000030	WP_308704613.1, WP_020835904.1	WP_160581397.1
OG0000031	WP_404924450.1	WP_160581412.1
OG0000033	WP_404924244.1	WP_160580987.1, WP_220200549.1
OG0000039	WP_404924451.1	WP_160580876.1
OG0000040	WP_404924313.1	WP_160581286.1, WP_308704648.1, WP_160580937.1
OG0000042	WP_404924286.1	WP_160580874.1, WP_160580909.1
OG0000043	WP_014579804.1	WP_160581230.1, WP_160581416.1
OG0000045	WP_404924452.1	WP_255454455.1, WP_255454456.1
OG0000048	WP_011284150.1	WP_308704664.1, WP_160581439.1
OG0000049	WP_020835860.1	WP_308704657.1
OG0000050	WP_404924247.1	WP_160581404.1
