Orthogroup	MHP_MHP699_proteins	MHP_112B_proteins
OG0000000	WP_094521686.1	WP_225973037.1
OG0000000	WP_308506999.1, WP_258555731.1	WP_404913633.1
OG0000000	WP_160585044.1	WP_404913746.1
OG0000000	WP_308506991.1	WP_404913748.1
OG0000001	WP_280996374.1	WP_404912312.1
OG0000001	WP_225972995.1	WP_404911958.1
OG0000002	WP_160585200.1	WP_225972974.1
OG0000002	WP_160585311.1	WP_404913718.1
OG0000003	WP_160584822.1	WP_225973018.1
OG0000003	WP_308506998.1	WP_225973026.1, WP_225973025.1
OG0000004	WP_160585337.1	WP_404913672.1
OG0000004	WP_160585323.1	WP_404912021.1
OG0000005	WP_160584840.1	WP_404912131.1
OG0000005	WP_160584838.1	WP_404912133.1
OG0000005	WP_160584836.1	WP_404912135.1
OG0000006	WP_280996647.1, WP_280996645.1	WP_404911894.1
OG0000006	WP_280996663.1	WP_404911860.1
OG0000007	WP_135618608.1	WP_404913714.1
OG0000007	WP_280996804.1	WP_011284157.1
OG0000007	WP_220190648.1	WP_220190648.1
OG0000007	WP_160585308.1	WP_002557993.1
OG0000007	WP_002557992.1	WP_404913724.1
OG0000008	WP_220190685.1	WP_404912369.1
OG0000008	WP_280996809.1	WP_404911898.1
OG0000009	WP_160584797.1	WP_011290021.1
OG0000010	WP_160585030.1	WP_404911810.1
OG0000011	WP_160585017.1	WP_404911790.1
OG0000012	WP_158632000.1	WP_404912469.1
OG0000013	WP_280996675.1	WP_404911873.1
OG0000014	WP_160584786.1	WP_404912188.1
OG0000016	WP_160584776.1	WP_404912144.1
OG0000017	WP_020835500.1	WP_020835500.1
OG0000017	WP_160584974.1	WP_020835837.1
OG0000018	WP_160584720.1	WP_404912320.1
OG0000019	WP_280996812.1	WP_404911993.1, WP_404911991.1, WP_404911989.1
OG0000020	WP_220190650.1	WP_404913691.1
OG0000021	WP_220190745.1, WP_135618734.1	WP_160606951.1
OG0000022	WP_160585064.1	WP_404912375.1
OG0000022	WP_160585046.1	WP_404912386.1
OG0000024	WP_160585259.1	WP_160585259.1
OG0000024	WP_160584710.1	WP_404912310.1
OG0000025	WP_160585062.1	WP_404912377.1
OG0000025	WP_160585048.1	WP_404912384.1
OG0000026	WP_020835640.1	WP_192894288.1
OG0000026	WP_160585054.1	WP_160606777.1
OG0000027	WP_160585251.1	WP_404912049.1
OG0000027	WP_160584915.1	WP_404912055.1
OG0000028	WP_160585151.1	WP_404913643.1
OG0000028	WP_160585085.1	WP_404913645.1
OG0000029	WP_160585310.1	WP_404913726.1
OG0000029	WP_160584789.1	WP_404912190.1
OG0000030	WP_240536353.1	WP_240536353.1
OG0000030	WP_160584917.1	WP_404912053.1
OG0000031	WP_088172525.1	WP_404912416.1
OG0000032	WP_135618726.1	WP_135618726.1
OG0000032	WP_308506987.1	WP_404913680.1, WP_404913682.1
OG0000033	WP_160585083.1	WP_404913638.1, WP_404911876.1
OG0000034	WP_280996808.1	WP_243234977.1
OG0000034	WP_233688424.1	WP_233688424.1
OG0000035	WP_160585325.1	WP_404912019.1
OG0000036	WP_220190649.1	WP_404912137.1
OG0000037	WP_308506997.1	WP_404913766.1
OG0000039	WP_258555867.1, WP_160585339.1	WP_179221095.1
OG0000040	WP_160585223.1	WP_404913674.1
OG0000041	WP_280996373.1	WP_011290019.1, WP_404912290.1
OG0000042	WP_160585225.1	WP_044272729.1
OG0000043	WP_160585024.1	WP_014579804.1
OG0000044	WP_225973034.1	WP_081430780.1
OG0000045	WP_160585319.1	WP_404912363.1
OG0000046	WP_160585240.1	WP_404912037.1
OG0000048	WP_011284150.1	WP_404912397.1
OG0000049	WP_160584921.1	WP_020835860.1
OG0000050	WP_160585157.1	WP_404911890.1
OG0000051	WP_160584994.1	WP_404911930.1
OG0000052	WP_160584845.1	WP_404912127.1
OG0000053	WP_160585093.1	WP_160585093.1
OG0000054	WP_011206291.1	WP_020835786.1
OG0000055	WP_160584826.1	WP_160606887.1
OG0000056	WP_160584884.1	WP_404912090.1
OG0000057	WP_280996564.1	WP_258555814.1
OG0000058	WP_160584937.1	WP_404913752.1
OG0000059	WP_160584939.1	WP_404912414.1
OG0000060	WP_160584842.1	WP_020835489.1
OG0000061	WP_146379613.1	WP_404913627.1
OG0000062	WP_094521530.1	WP_094521530.1
OG0000063	WP_160584870.1	WP_404912101.1
OG0000064	WP_160584872.1	WP_011290440.1
OG0000065	WP_011290219.1	WP_233688433.1
OG0000066	WP_011205965.1	WP_404913732.1
OG0000068	WP_011206103.1	WP_011206103.1
OG0000069	WP_011284269.1	WP_011206373.1
OG0000070	WP_160585161.1	WP_011206292.1
OG0000071	WP_160585219.1	WP_146379735.1
OG0000072	WP_160585221.1	WP_404912031.1
OG0000073	WP_160584799.1	WP_404912207.1
OG0000074	WP_044284596.1	WP_308704709.1
OG0000075	WP_014579568.1	WP_014579568.1
OG0000076	WP_160584756.1	WP_404913700.1
OG0000077	WP_146379479.1	WP_404912169.1
OG0000078	WP_160585058.1	WP_404913744.1
OG0000079	WP_011206305.1	WP_404911913.1
OG0000080	WP_280996592.1	WP_011206314.1
OG0000081	WP_160584758.1	WP_160615521.1
OG0000083	WP_011206216.1	WP_011206216.1
OG0000084	WP_011284142.1	WP_011284142.1
OG0000085	WP_011206223.1	WP_011206223.1
OG0000086	WP_160585130.1	WP_404913754.1
OG0000087	WP_044272477.1	WP_404912425.1
OG0000088	WP_044272480.1	WP_020835733.1
OG0000089	WP_011206231.1	WP_011206231.1
OG0000090	WP_011283835.1	WP_020835488.1
OG0000091	WP_160584849.1	WP_020835487.1
OG0000092	WP_011205847.1	WP_404912119.1
OG0000093	WP_160584856.1	WP_011205846.1
OG0000094	WP_014579519.1	WP_014579519.1
OG0000095	WP_044272251.1	WP_044272251.1
OG0000096	WP_011206529.1	WP_404912113.1
OG0000097	WP_258555934.1	WP_404912105.1
OG0000098	WP_160584867.1	WP_011290444.1
OG0000099	WP_160585306.1	WP_404912092.1
OG0000100	WP_160584888.1	WP_011290432.1
OG0000101	WP_011206510.1	WP_011206510.1
OG0000102	WP_160585050.1	WP_404912445.1
OG0000103	WP_160585202.1	WP_146379627.1
OG0000104	WP_011206239.1	WP_011206239.1
OG0000105	WP_146379630.1	WP_146379630.1
OG0000106	WP_160585203.1	WP_146379631.1
OG0000107	WP_011284169.1	WP_011284169.1
OG0000108	WP_308506995.1	WP_404911836.1
OG0000109	WP_160585205.1	WP_146379632.1
OG0000110	WP_146379648.1	WP_020835772.1
OG0000111	WP_280996668.1	WP_020835771.1
OG0000112	WP_280996666.1	WP_404911866.1
OG0000113	WP_160585296.1	WP_404911858.1
OG0000114	WP_243216202.1	WP_404911856.1
OG0000115	WP_160585302.1	WP_011290245.1
OG0000116	WP_135618674.1	WP_404912315.1
OG0000117	WP_160584714.1	WP_160615714.1
OG0000118	WP_011290108.1	WP_404912325.1
OG0000119	WP_135618686.1	WP_160585678.1
OG0000120	WP_011284027.1	WP_011284027.1
OG0000121	WP_011284032.1	WP_011284032.1
OG0000122	WP_020835643.1	WP_020835643.1
OG0000123	WP_011205954.1	WP_011205954.1
OG0000124	WP_011290118.1	WP_011290118.1
OG0000125	WP_011205952.1	WP_011205952.1
OG0000126	WP_160585089.1	WP_160606641.1
OG0000127	WP_011290122.1	WP_011290122.1
OG0000128	WP_160585095.1	WP_404912339.1
OG0000129	WP_014579732.1	WP_020835651.1
OG0000130	WP_011284046.1	WP_011284046.1
OG0000131	WP_160585099.1	WP_094521635.1
OG0000132	WP_094521636.1	WP_404912347.1
OG0000133	WP_014579589.1	WP_014579589.1
OG0000134	WP_228365407.1	WP_404912178.1
OG0000135	WP_160585148.1	WP_011206120.1
OG0000136	WP_011206119.1	WP_179695961.1
OG0000137	WP_011206113.1	WP_011206113.1
OG0000138	WP_160584793.1	WP_160584793.1
OG0000139	WP_011290017.1	WP_011290017.1
OG0000140	WP_160584795.1	WP_011206101.1
OG0000141	WP_160584965.1	WP_011284290.1
OG0000142	WP_011284289.1	WP_160607860.1
OG0000143	WP_011206391.1	WP_404913770.1
OG0000144	WP_160584969.1	WP_404911973.1
OG0000145	WP_225972996.1	WP_225972996.1
OG0000146	WP_011206385.1	WP_011206385.1
OG0000147	WP_011206384.1	WP_011206384.1
OG0000148	WP_135619012.1	WP_404911967.1
OG0000149	WP_011290331.1	WP_011290331.1
OG0000150	WP_160584978.1	WP_011206376.1
OG0000151	WP_135618994.1	WP_020835828.1
OG0000152	WP_280996773.1	WP_020835827.1
OG0000153	WP_160585267.1	WP_011206347.1
OG0000154	WP_160585263.1	WP_160587842.1
OG0000155	WP_160585119.1	WP_020835820.1
OG0000156	WP_011206335.1	WP_011206335.1
OG0000157	WP_020835818.1	WP_011290309.1
OG0000158	WP_160585117.1	WP_404911941.1
OG0000159	WP_011206289.1	WP_011206289.1
OG0000160	WP_179221158.1	WP_179221158.1
OG0000161	WP_011206287.1	WP_014579880.1
OG0000162	WP_160585163.1	WP_044272532.1
OG0000163	WP_160585155.1	WP_404911888.1
OG0000164	WP_135618732.1	WP_160601269.1
OG0000165	WP_011206200.1	WP_011206200.1
OG0000166	WP_160585013.1	WP_404911786.1
OG0000167	WP_011206207.1	WP_011206207.1
OG0000168	WP_160585173.1	WP_404911779.1
OG0000169	WP_160584919.1	WP_002557698.1
OG0000170	WP_020835862.1	WP_020835862.1
OG0000171	WP_160584923.1	WP_404911998.1
OG0000172	WP_160584925.1	WP_011206424.1
OG0000173	WP_011290368.1	WP_011206425.1
OG0000174	WP_160584927.1	WP_404912001.1
OG0000175	WP_160584931.1	WP_404913662.1
OG0000176	WP_160585271.1	WP_160607777.1
OG0000177	WP_160585273.1	WP_160585273.1
OG0000178	WP_160585275.1	WP_020835878.1
OG0000179	WP_020835880.1	WP_160585639.1
OG0000180	WP_081642895.1	WP_160585638.1
OG0000181	WP_020835888.1	WP_020835888.1
OG0000182	WP_160585211.1	WP_011284337.1
OG0000183	WP_011206459.1	WP_011206459.1
OG0000184	WP_160585238.1	WP_011206468.1
OG0000185	WP_020835897.1	WP_020835897.1
OG0000186	WP_160585103.1	WP_404912349.1
OG0000187	WP_011284055.1	WP_011284055.1
OG0000188	WP_011205932.1	WP_011205932.1
OG0000189	WP_160585247.1	WP_404911845.1
OG0000190	WP_011206256.1	WP_011206256.1
OG0000191	WP_020835755.1	WP_146379633.1
OG0000192	WP_160584698.1	WP_404912441.1
OG0000193	WP_160584694.1	WP_404912294.1
OG0000194	WP_011290023.1	WP_011290023.1
OG0000195	WP_094521583.1	WP_094521583.1
OG0000196	WP_228729168.1	WP_179221025.1
OG0000197	WP_160584800.1	WP_041361572.1
OG0000198	WP_011283930.1	WP_011283930.1
OG0000199	WP_011206086.1	WP_011206086.1
OG0000200	WP_020835575.1	WP_020835575.1
OG0000201	WP_011283934.1	WP_011283934.1
OG0000202	WP_160584809.1	WP_011290039.1
OG0000203	WP_011206072.1	WP_011206072.1
OG0000204	WP_011206071.1	WP_146379508.1
OG0000205	WP_160584811.1	WP_160606691.1
OG0000206	WP_011290044.1	WP_011290044.1
OG0000207	WP_011206063.1	WP_011206063.1
OG0000208	WP_160584818.1	WP_135618591.1
OG0000209	WP_011206061.1	WP_011206061.1
OG0000210	WP_160584820.1	WP_146379515.1
OG0000211	WP_011290054.1	WP_011290054.1
OG0000212	WP_011206048.1	WP_011206048.1
OG0000213	WP_160585195.1	WP_160585195.1
OG0000214	WP_011206047.1	WP_011206047.1
OG0000215	WP_020835589.1	WP_020835589.1
OG0000216	WP_160585193.1	WP_160585193.1
OG0000217	WP_011206044.1	WP_011206044.1
OG0000218	WP_011290058.1	WP_404912251.1
OG0000219	WP_220190714.1	WP_220190714.1
OG0000220	WP_135618616.1	WP_011206040.1
OG0000221	WP_011206039.1	WP_011206039.1
OG0000222	WP_011206038.1	WP_011206038.1
OG0000223	WP_041361589.1	WP_041361589.1
OG0000224	WP_011206035.1	WP_011206035.1
OG0000224	WP_220190746.1	WP_011206035.1
OG0000225	WP_044284599.1	WP_404912259.1
OG0000226	WP_011206032.1	WP_011206032.1
OG0000227	WP_160585189.1	WP_011206031.1
OG0000228	WP_160585187.1	WP_041361593.1
OG0000229	WP_011206028.1	WP_011206028.1
OG0000230	WP_160585185.1	WP_404912263.1
OG0000231	WP_160585183.1	WP_011206025.1
OG0000232	WP_014579601.1	WP_014579601.1
OG0000233	WP_160584666.1	WP_011290071.1
OG0000234	WP_160584676.1	WP_404912276.1
OG0000235	WP_160584680.1	WP_094521605.1
OG0000236	WP_011283989.1	WP_011283989.1
OG0000237	WP_160584682.1	WP_404912280.1
OG0000238	WP_011206006.1	WP_011206006.1
OG0000239	WP_011290347.1	WP_011290347.1
OG0000240	WP_160585227.1	WP_404911978.1
OG0000241	WP_160585231.1	WP_044272588.1
OG0000242	WP_160585233.1	WP_404911981.1
OG0000243	WP_011290352.1	WP_146379703.1
OG0000244	WP_041361690.1	WP_041361690.1
OG0000245	WP_011206408.1	WP_146379707.1
OG0000246	WP_258555948.1	WP_404912139.1
OG0000247	WP_160584780.1	WP_404912141.1
OG0000248	WP_052259122.1	WP_052259122.1
OG0000249	WP_160584778.1	WP_160588044.1
OG0000250	WP_160584772.1	WP_011289957.1
OG0000251	WP_020835507.1	WP_318023737.1
OG0000252	WP_011205883.1	WP_011205883.1
