Orthogroup	MHP_MHP699_proteins	MHP_MHP709_proteins
OG0000000	WP_160585134.1	WP_308507072.1
OG0000000	WP_220190702.1	WP_334199371.1
OG0000000	WP_094521686.1	WP_160588362.1
OG0000000	WP_160585044.1	WP_160588195.1
OG0000000	WP_308506991.1	WP_334199370.1
OG0000001	WP_225972995.1	WP_258555241.1
OG0000002	WP_160585200.1	WP_258555377.1
OG0000002	WP_160585311.1	WP_160588356.1
OG0000002	WP_160585042.1	WP_160588193.1
OG0000003	WP_220190744.1	WP_160587869.1
OG0000003	WP_240536590.1	WP_240536309.1
OG0000003	WP_308506998.1	WP_308507067.1
OG0000003	WP_192894277.1	WP_052293597.1
OG0000004	WP_160585323.1	WP_020835887.1
OG0000005	WP_160584840.1	WP_160588124.1
OG0000005	WP_160584832.1	WP_160588336.1
OG0000005	WP_160584838.1	WP_160588374.1
OG0000005	WP_160584836.1	WP_160588334.1
OG0000005	WP_160584830.1	WP_160588338.1
OG0000006	WP_280996645.1	WP_225972988.1
OG0000006	WP_280996663.1	WP_258555346.1, WP_258555362.1
OG0000007	WP_280996804.1	WP_011284157.1
OG0000007	WP_160585308.1	WP_002557993.1
OG0000007	WP_002557992.1	WP_258555368.1
OG0000008	WP_220190685.1	WP_258555379.1
OG0000008	WP_280996809.1	WP_308507071.1
OG0000009	WP_160584797.1	WP_011290021.1
OG0000010	WP_160585030.1	WP_160587884.1
OG0000010	WP_160584834.1	WP_160585744.1, WP_160588333.1, WP_160588372.1, WP_160588382.1
OG0000011	WP_160585017.1	WP_160587900.1
OG0000011	WP_160585019.1	WP_160587898.1
OG0000012	WP_158632000.1	WP_179221115.1
OG0000013	WP_280996675.1	WP_258555342.1
OG0000013	WP_280996468.1	WP_308507056.1
OG0000014	WP_160585335.1	WP_160587971.1
OG0000014	WP_160584786.1	WP_160587966.1
OG0000016	WP_160584976.1	WP_160587852.1
OG0000016	WP_160584776.1	WP_160588042.1
OG0000017	WP_020835500.1	WP_020835500.1
OG0000017	WP_160584974.1	WP_020835837.1
OG0000018	WP_160584720.1, WP_135618751.1	WP_160588235.1
OG0000019	WP_280996812.1, WP_160585347.1, WP_160585341.1, WP_280996811.1	WP_160588348.1
OG0000020	WP_160584874.1	WP_160588169.1
OG0000020	WP_220190650.1	WP_220191087.1
OG0000021	WP_044284635.1, WP_220190745.1, WP_135618734.1	WP_044284635.1
OG0000022	WP_160585064.1	WP_160588207.1
OG0000022	WP_160585046.1	WP_160588197.1
OG0000023	WP_160584718.1, WP_160584951.1	WP_160588233.1
OG0000024	WP_160585259.1	WP_160585259.1
OG0000024	WP_160584710.1	WP_160588003.1
OG0000025	WP_160585062.1	WP_160588205.1
OG0000025	WP_160585048.1	WP_160588199.1
OG0000026	WP_020835640.1	WP_192894288.1
OG0000026	WP_160585054.1	WP_160588201.1
OG0000027	WP_160585251.1	WP_020835902.1
OG0000027	WP_160584915.1	WP_160588189.1
OG0000028	WP_160585151.1	WP_160588297.1
OG0000029	WP_160585310.1	WP_160588071.1
OG0000029	WP_160584789.1	WP_160587963.1
OG0000030	WP_240536353.1	WP_160588148.1
OG0000030	WP_160584917.1	WP_020835904.1
OG0000031	WP_088172525.1, WP_011284063.1	WP_011290137.1
OG0000032	WP_135618726.1	WP_160588340.1
OG0000032	WP_308506987.1	WP_308507099.1
OG0000033	WP_160585083.1	WP_160588215.1
OG0000034	WP_280996808.1	WP_243234977.1
OG0000034	WP_233688424.1	WP_233688424.1
OG0000035	WP_160585325.1	WP_160588344.1
OG0000036	WP_220190649.1	WP_020835495.1
OG0000036	WP_160584828.1	WP_258555370.1
OG0000037	WP_308506997.1	WP_308507101.1
OG0000038	WP_160585280.1	WP_160588009.1
OG0000039	WP_258555867.1, WP_160585339.1	WP_160588346.1
OG0000040	WP_160585351.1, WP_160585223.1	WP_160588136.1
OG0000041	WP_280996373.1	WP_258555272.1
OG0000042	WP_160585225.1	WP_160588323.1
OG0000043	WP_160585024.1	WP_014579804.1
OG0000044	WP_225973034.1	WP_225973034.1
OG0000045	WP_160585319.1	WP_225973032.1
OG0000046	WP_160585240.1	WP_308507097.1
OG0000048	WP_011284150.1	WP_011284150.1
