NZ_CP098237.1	+	1	1392	ID154B	+	1	1392
NZ_CP098237.1	+	1537	2673	ID154B	+	1537	2673
NZ_CP098237.1	+	2777	4636	ID154B	+	2777	4636
NZ_CP098237.1	+	4636	5094	ID154B	+	4636	5094
NZ_CP098237.1	+	5108	6091	ID154B	+	5108	6091
NZ_CP098237.1	+	6084	7055	ID154B	+	6084	7055
NZ_CP098237.1	+	7158	7727	ID154B	+	7158	7727
NZ_CP098237.1	+	7817	8818	ID154B	+	7817	8818
NZ_CP098237.1	+	8987	11007	ID154B	+	8987	11007
NZ_CP098237.1	+	11092	12099	ID154B	+	11092	12099
NZ_CP098237.1	+	12102	12848	ID154B	+	12102	12848
NZ_CP098237.1	+	12832	14436	ID154B	+	12832	14436
NZ_CP098237.1	+	14441	14686	ID154B	+	14441	14686
NZ_CP098237.1	+	14782	15621	ID154B	+	14782	15621
NZ_CP098237.1	+	15628	16473	ID154B	+	15628	16473
NZ_CP098237.1	-	16507	16776	ID154B	+	16507	16776
NZ_CP098237.1	+	16918	17199	ID154B	+	16918	17199
NZ_CP098237.1	+	17345	17959	ID154B	+	17345	17959
NZ_CP098237.1	-	18271	18597	ID154B	+	18271	18597
NZ_CP098237.1	-	18656	20932	ID154B	+	18656	20932
NZ_CP098237.1	-	21006	23333	ID154B	+	21006	23333
NZ_CP098237.1	-	23320	24141	ID154B	+	23320	24141
NZ_CP098237.1	-	24307	26588	ID154B	+	24307	26588
NZ_CP098237.1	-	26699	29025	ID154B	+	26699	29025
NZ_CP098237.1	-	29012	29815	ID154B	+	29012	29815
NZ_CP098237.1	+	30192	30671	ID154B	+	30192	30671
NZ_CP098237.1	-	30894	32552	ID154B	+	30894	32552
NZ_CP098237.1	+	32893	33186	ID154B	+	615378	617036
NZ_CP098237.1	+	33179	34498	seqID	strand	start	end
NZ_CP098237.1	+	34491	35891	seqID	strand	start	end
NZ_CP098237.1	+	36127	36630	seqID	strand	start	end
NZ_CP098237.1	-	36747	37340	seqID	strand	start	end
NZ_CP098237.1	-	37318	39978	seqID	strand	start	end
NZ_CP098237.1	-	39978	42518	seqID	strand	start	end
NZ_CP098237.1	-	42511	44439	seqID	strand	start	end
NZ_CP098237.1	+	44650	45660	seqID	strand	start	end
NZ_CP098237.1	+	45759	47660	seqID	strand	start	end
NZ_CP098237.1	-	47760	49844	seqID	strand	start	end
NZ_CP098237.1	-	49850	50083	seqID	strand	start	end
NZ_CP098237.1	-	50137	51663	seqID	strand	start	end
NZ_CP098237.1	-	51680	52693	seqID	strand	start	end
NZ_CP098237.1	+	52933	53655	seqID	strand	start	end
NZ_CP098237.1	+	53657	54916	seqID	strand	start	end
NZ_CP098237.1	+	55001	55372	seqID	strand	start	end
NZ_CP098237.1	+	55376	56584	seqID	strand	start	end
NZ_CP098237.1	+	56679	57011	seqID	strand	start	end
NZ_CP098237.1	+	57056	58213	seqID	strand	start	end
NZ_CP098237.1	+	58649	59377	seqID	strand	start	end
NZ_CP098237.1	+	59405	59710	seqID	strand	start	end
NZ_CP098237.1	+	59764	60330	seqID	strand	start	end
NZ_CP098237.1	+	60330	60893	seqID	strand	start	end
NZ_CP098237.1	+	60912	62435	seqID	strand	start	end
NZ_CP098237.1	+	62464	63294	seqID	strand	start	end
NZ_CP098237.1	+	63312	64727	seqID	strand	start	end
NZ_CP098237.1	+	64714	64974	seqID	strand	start	end
NZ_CP098237.1	+	65082	65567	seqID	strand	start	end
NZ_CP098237.1	+	65783	66739	seqID	strand	start	end
NZ_CP098237.1	+	66764	67675	seqID	strand	start	end
NZ_CP098237.1	+	67760	69082	seqID	strand	start	end
NZ_CP098237.1	+	69110	70477	seqID	strand	start	end
NZ_CP098237.1	+	70470	72311	seqID	strand	start	end
NZ_CP098237.1	+	72893	74362	seqID	strand	start	end
NZ_CP098237.1	+	74369	75142	seqID	strand	start	end
NZ_CP098237.1	+	75136	75966	seqID	strand	start	end
NZ_CP098237.1	+	75984	77228	seqID	strand	start	end
NZ_CP098237.1	+	77301	82001	seqID	strand	start	end
NZ_CP098237.1	+	82115	84952	seqID	strand	start	end
NZ_CP098237.1	-	85010	86560	seqID	strand	start	end
NZ_CP098237.1	+	86678	86986	seqID	strand	start	end
NZ_CP098237.1	+	87174	88975	seqID	strand	start	end
NZ_CP098237.1	+	89186	90310	seqID	strand	start	end
NZ_CP098237.1	+	90369	91058	seqID	strand	start	end
NZ_CP098237.1	+	91076	92377	seqID	strand	start	end
NZ_CP098237.1	+	92429	92701	seqID	strand	start	end
NZ_CP098237.1	+	92704	92934	seqID	strand	start	end
NZ_CP098237.1	+	92935	94731	seqID	strand	start	end
NZ_CP098237.1	+	94803	95750	seqID	strand	start	end
NZ_CP098237.1	-	96064	98148	seqID	strand	start	end
NZ_CP098237.1	-	98161	98631	seqID	strand	start	end
NZ_CP098237.1	-	98682	99101	seqID	strand	start	end
