NB624_RS00005	NZ_CP098237.1	+	1	1392	NB624_RS00005	ID154B	+	1	1392	+
NB624_RS00010	NZ_CP098237.1	+	1537	2673	NB624_RS00010	ID154B	+	1537	2673	+
NB624_RS00015	NZ_CP098237.1	+	2777	4636	NB624_RS00015	ID154B	+	2777	4636	+
NB624_RS00020	NZ_CP098237.1	+	4636	5094	NB624_RS00020	ID154B	+	4636	5094	+
NB624_RS00025	NZ_CP098237.1	+	5108	6091	NB624_RS00025	ID154B	+	5108	6091	+
NB624_RS00030	NZ_CP098237.1	+	6084	7055	NB624_RS00030	ID154B	+	6084	7055	+
NB624_RS00035	NZ_CP098237.1	+	7158	7727	NB624_RS00035	ID154B	+	7158	7727	+
NB624_RS00040	NZ_CP098237.1	+	7817	8818	NB624_RS00040	ID154B	+	7817	8818	+
NB624_RS00045	NZ_CP098237.1	+	8987	11007	NB624_RS00045	ID154B	+	8987	11007	+
NB624_RS00050	NZ_CP098237.1	+	11092	12099	NB624_RS00050	ID154B	+	11092	12099	+
NB624_RS00055	NZ_CP098237.1	+	12102	12848	NB624_RS00055	ID154B	+	12102	12848	+
NB624_RS00060	NZ_CP098237.1	+	12832	14436	NB624_RS00060	ID154B	+	12832	14436	+
NB624_RS00065	NZ_CP098237.1	+	14441	14686	NB624_RS00065	ID154B	+	14441	14686	+
NB624_RS00070	NZ_CP098237.1	+	14782	15621	NB624_RS00070	ID154B	+	14782	15621	+
NB624_RS00075	NZ_CP098237.1	+	15628	16473	NB624_RS00075	ID154B	+	15628	16473	+
NB624_RS00080	NZ_CP098237.1	-	16507	16776	NB624_RS00080	ID154B	+	16507	16776	-
NB624_RS00085	NZ_CP098237.1	+	16918	17199	NB624_RS00085	ID154B	+	16918	17199	+
NB624_RS00090	NZ_CP098237.1	+	17345	17959	NB624_RS00090	ID154B	+	17345	17959	+
NB624_RS00095	NZ_CP098237.1	-	18271	18597	NB624_RS00095	ID154B	+	18271	18597	-
NB624_RS00100	NZ_CP098237.1	-	18656	20932	NB624_RS00100	ID154B	+	18656	20932	-
NB624_RS00105	NZ_CP098237.1	-	21006	23333	NB624_RS00105	ID154B	+	21006	23333	-
NB624_RS00110	NZ_CP098237.1	-	23320	24141	NB624_RS00110	ID154B	+	23320	24141	-
NB624_RS00115	NZ_CP098237.1	-	24307	26588	NB624_RS00115	ID154B	+	24307	26588	-
NB624_RS00120	NZ_CP098237.1	-	26699	29025	NB624_RS00120	ID154B	+	26699	29025	-
NB624_RS00125	NZ_CP098237.1	-	29012	29815	NB624_RS00125	ID154B	+	29012	29815	-
NB624_RS00130	NZ_CP098237.1	+	30192	30671	NB624_RS00130	ID154B	+	30192	30671	+
NB624_RS00135	NZ_CP098237.1	-	30894	32552	NB624_RS00135	ID154B	+	30894	32552	-
NB624_RS00140	NZ_CP098237.1	+	32893	33186	NB624_RS00140	ID154B	+	32893	33186	+
NB624_RS00145	NZ_CP098237.1	+	33179	34498	NB624_RS00145	ID154B	+	33179	34498	+
NB624_RS00150	NZ_CP098237.1	+	34491	35891	NB624_RS00150	ID154B	+	34491	35891	+
NB624_RS00155	NZ_CP098237.1	+	36127	36630	NB624_RS00155	ID154B	+	36127	36630	+
NB624_RS00160	NZ_CP098237.1	-	36747	37340	NB624_RS00160	ID154B	+	36747	37340	-
NB624_RS00165	NZ_CP098237.1	-	37318	39978	NB624_RS00165	ID154B	+	37318	39978	-
NB624_RS00170	NZ_CP098237.1	-	39978	42518	NB624_RS00170	ID154B	+	39978	42518	-
NB624_RS00175	NZ_CP098237.1	-	42511	44439	NB624_RS00175	ID154B	+	42511	44439	-
