Orthogroup	MHP_MHP650_protein	MHP_NCTC10127_protein
OG0000000	WP_160600904.1	WP_011206201.1
OG0000000	WP_160601110.1	WP_044284797.1
OG0000000	WP_160600906.1	WP_011206202.1
OG0000002	WP_308704751.1	WP_232039504.1
OG0000002	WP_258556709.1	WP_011206279.1
OG0000003	WP_258556712.1	WP_129640577.1
OG0000004	WP_258556714.1	WP_011206295.1
OG0000005	WP_308704769.1	WP_129640575.1
OG0000006	WP_160601233.1	WP_011206109.1
OG0000006	WP_220200910.1	WP_129640618.1
OG0000008	WP_160601249.1	WP_011206450.1
OG0000009	WP_160600717.1	WP_129640581.1
OG0000010	WP_011206342.1	WP_011206342.1
OG0000010	WP_258556637.1	WP_232039579.1
OG0000013	WP_228366101.1	WP_232039545.1
OG0000013	WP_258556694.1	WP_088172547.1
OG0000014	WP_258556621.1	WP_232039548.1
OG0000015	WP_220200907.1	WP_044284786.1
OG0000016	WP_160600708.1	WP_129640579.1
OG0000017	WP_160601253.1	WP_011206449.1
OG0000018	WP_160600794.1	WP_044284805.1
OG0000019	WP_160601189.1	WP_011205862.1, WP_011205865.1
OG0000021	WP_160601275.1	WP_232039511.1
OG0000022	WP_258556708.1, WP_258556707.1	WP_232039541.1
OG0000023	WP_160601121.1	WP_011206462.1
OG0000024	WP_160600866.1	WP_011206100.1
OG0000024	WP_094521581.1	WP_011206098.1
OG0000025	WP_258555619.1	WP_011206147.1
OG0000026	WP_160600723.1	WP_232039639.1, WP_232039637.1, WP_232039631.1, WP_232039629.1, WP_232039635.1, WP_011206286.1
OG0000028	WP_014579585.1	WP_011206173.1
OG0000029	WP_160601259.1	WP_232039515.1
OG0000030	WP_160601045.1	WP_011206324.1
OG0000031	WP_014579531.1	WP_011205867.1
OG0000033	WP_011206179.1	WP_081430780.1, WP_011206179.1
OG0000034	WP_160600727.1	WP_276315191.1
OG0000035	WP_160601010.1	WP_011206157.1
OG0000036	WP_160600725.1	WP_011206290.1, WP_232039622.1, WP_232039621.1
OG0000037	WP_160601158.1	WP_232039573.1, WP_129640637.1, WP_129640557.1, WP_232039604.1, WP_232039575.1, WP_232039601.1
OG0000038	WP_232039589.1	WP_232039589.1
OG0000039	WP_160587914.1	WP_011206214.1
OG0000040	WP_160601152.1	WP_011206223.1
OG0000041	WP_308704755.1	WP_011206517.1
OG0000042	WP_160600812.1	WP_011206514.1
OG0000043	WP_160600806.1	WP_011206511.1
OG0000044	WP_160601022.1	WP_011206167.1
OG0000045	WP_160601112.1	WP_232039533.1
OG0000046	WP_011206103.1	WP_011206103.1
OG0000047	WP_228365394.1	WP_173670097.1
OG0000048	WP_011206374.1	WP_011206374.1
OG0000049	WP_011284269.1	WP_011206373.1
OG0000050	WP_011206292.1	WP_011206292.1
OG0000051	WP_135619210.1	WP_081430781.1
OG0000052	WP_160600721.1	WP_011206284.1
OG0000053	WP_002557698.1	WP_002557698.1
OG0000054	WP_011206420.1	WP_011206420.1
OG0000055	WP_160588054.1	WP_011206429.1
OG0000056	WP_160601125.1	WP_011206460.1
OG0000057	WP_011206089.1	WP_011206089.1
OG0000058	WP_135618593.1	WP_011206059.1
OG0000059	WP_011206057.1	WP_011206057.1
OG0000060	WP_011206046.1	WP_011206046.1
OG0000061	WP_011206035.1	WP_011206035.1
OG0000062	WP_160600998.1	WP_011206012.1
OG0000063	WP_160600703.1	WP_011205871.1
OG0000064	WP_160600651.1	WP_011205872.1
OG0000065	WP_014579568.1	WP_011205908.1
OG0000066	WP_160601219.1	WP_011206132.1
OG0000067	WP_160600739.1	WP_011206493.1
OG0000068	WP_160601213.1	WP_044284849.1
OG0000069	WP_160600955.1	WP_011206296.1
OG0000070	WP_160600966.1	WP_011206305.1
OG0000071	WP_160600769.1	WP_011206354.1
OG0000072	WP_160601175.1	WP_011206471.1
OG0000073	WP_011206314.1	WP_011206314.1
OG0000074	WP_258556625.1	WP_232039550.1
OG0000075	WP_160600862.1	WP_011205981.1
OG0000076	WP_160600876.1	WP_232039586.1
OG0000077	WP_160600689.1	WP_044284770.1
OG0000078	WP_308704765.1	WP_011206477.1
OG0000079	WP_220200855.1	WP_129640567.1
OG0000080	WP_160600916.1	WP_011206215.1
OG0000081	WP_014579823.1	WP_011206216.1
OG0000082	WP_160600917.1	WP_011206219.1
OG0000083	WP_160601154.1	WP_011206221.1
OG0000084	WP_011284142.1	WP_011206222.1
OG0000085	WP_160601150.1	WP_011206224.1
OG0000086	WP_160601147.1	WP_011206225.1
OG0000087	WP_220200893.1	WP_044284794.1
OG0000088	WP_160601142.1	WP_011206228.1
OG0000089	WP_020835733.1	WP_011206229.1
OG0000090	WP_011206231.1	WP_011206231.1
OG0000091	WP_011283836.1	WP_011205854.1
OG0000092	WP_011283835.1	WP_011205853.1
OG0000093	WP_160600824.1	WP_011205851.1
OG0000094	WP_160600822.1	WP_011205850.1
OG0000095	WP_011205849.1	WP_011205849.1
OG0000096	WP_160600820.1	WP_011205848.1
OG0000097	WP_011205847.1	WP_011205847.1
OG0000098	WP_020835484.1	WP_011205846.1
OG0000099	WP_014579519.1	WP_044284766.1
OG0000100	WP_160600818.1	WP_011205842.1
OG0000101	WP_160584860.1	WP_011205841.1
OG0000102	WP_044272251.1	WP_011205840.1
OG0000103	WP_011206529.1	WP_011206529.1
OG0000104	WP_160585758.1	WP_011206526.1
OG0000105	WP_146379771.1	WP_011206525.1
OG0000106	WP_160590174.1	WP_011206524.1
OG0000107	WP_160600816.1	WP_011206523.1
OG0000108	WP_160588098.1	WP_011206522.1
OG0000109	WP_041361715.1	WP_011206521.1
OG0000110	WP_011290440.1	WP_011206518.1
OG0000111	WP_011206510.1	WP_011206510.1
OG0000112	WP_135619192.1	WP_011206162.1
OG0000113	WP_160601016.1	WP_011206163.1
OG0000114	WP_160601018.1	WP_129640563.1
OG0000115	WP_160601114.1	WP_011206238.1
OG0000116	WP_011206239.1	WP_011206239.1
OG0000117	WP_011284163.1	WP_011206240.1
OG0000118	WP_160588282.1	WP_011206242.1
OG0000119	WP_011206243.1	WP_011206243.1
OG0000120	WP_011284167.1	WP_044284796.1
OG0000121	WP_011284169.1	WP_011284169.1
OG0000122	WP_011206247.1	WP_011206247.1
OG0000123	WP_160601201.1	WP_011206275.1
OG0000124	WP_258556696.1	WP_044284798.1
OG0000125	WP_160601197.1	WP_011206273.1
OG0000126	WP_258556695.1	WP_232039539.1
OG0000127	WP_011206271.1	WP_011206271.1
OG0000128	WP_160601227.1	WP_011206268.1
OG0000129	WP_258555507.1	WP_011206266.1
OG0000130	WP_011290245.1	WP_011206264.1
