Orthogroup	MHP_MHP650_protein	MHP_UFV01_protein
OG0000000	WP_160600904.1	WP_243216150.1
OG0000000	WP_160601110.1	WP_243216186.1
OG0000000	WP_160600906.1	WP_160587900.1
OG0000001	WP_220200909.1	WP_243215969.1
OG0000001	WP_308704766.1	WP_243216179.1
OG0000002	WP_308704751.1	WP_243215939.1
OG0000002	WP_258556709.1	WP_243216215.1
OG0000003	WP_258556712.1	WP_052269173.1
OG0000004	WP_258556714.1	WP_243216238.1
OG0000005	WP_308704769.1	WP_308705306.1
OG0000005	WP_233688764.1	WP_243216097.1
OG0000006	WP_160601233.1	WP_308705305.1
OG0000006	WP_220200910.1	WP_243216008.1, WP_243215979.1
OG0000007	WP_160601285.1	WP_243216232.1
OG0000007	WP_308704771.1, WP_308704770.1	WP_243216171.1
OG0000008	WP_160601249.1	WP_233688544.1
OG0000009	WP_160600719.1	WP_243216222.1
OG0000009	WP_160600717.1	WP_243216220.1
OG0000010	WP_011206342.1	WP_243216277.1
OG0000010	WP_258556637.1	WP_243216042.1
OG0000013	WP_228366101.1	WP_228366101.1
OG0000013	WP_258556694.1	WP_243216228.1
OG0000014	WP_258556621.1	WP_228366104.1
OG0000016	WP_160600708.1	WP_243216218.1
OG0000017	WP_160601253.1	WP_179695901.1
OG0000018	WP_160600794.1	WP_243216302.1
OG0000019	WP_160601189.1	WP_243215926.1, WP_011289946.1
OG0000020	WP_160601281.1	WP_243216349.1
OG0000022	WP_258556707.1	WP_243216212.1
OG0000023	WP_160601121.1	WP_044272644.1
OG0000024	WP_160600866.1	WP_011206100.1
OG0000024	WP_094521581.1	WP_243215989.1
OG0000025	WP_258555619.1	WP_243216072.1, WP_243216073.1
OG0000026	WP_160600723.1	WP_044272534.1
OG0000028	WP_014579585.1	WP_014579781.1, WP_014579585.1
OG0000029	WP_160601259.1	WP_179221095.1
OG0000030	WP_160601045.1	WP_243216261.1
OG0000031	WP_014579531.1	WP_011205867.1
OG0000033	WP_011206179.1	WP_081430780.1, WP_011206179.1
OG0000034	WP_160600727.1	WP_243216226.1
OG0000035	WP_160601010.1	WP_243216087.1
OG0000036	WP_160600725.1	WP_041361671.1
OG0000037	WP_160601158.1	WP_243216103.1
OG0000038	WP_232039589.1	WP_243215987.1
OG0000039	WP_160587914.1	WP_011206214.1
OG0000040	WP_160601152.1	WP_243216165.1
OG0000041	WP_308704755.1	WP_279288053.1
OG0000042	WP_160600812.1	WP_243215895.1
OG0000043	WP_160600806.1	WP_243215892.1
OG0000044	WP_160601022.1	WP_243216098.1
OG0000045	WP_160601112.1	WP_160601112.1
OG0000046	WP_011206103.1	WP_011206103.1
OG0000047	WP_228365394.1	WP_225972996.1
OG0000048	WP_011206374.1	WP_014579936.1
OG0000049	WP_011284269.1	WP_011284269.1
OG0000050	WP_011206292.1	WP_011206292.1
OG0000051	WP_135619210.1	WP_044272532.1
OG0000052	WP_160600721.1	WP_243216224.1
OG0000053	WP_002557698.1	WP_002557698.1
OG0000054	WP_011206420.1	WP_020835862.1
OG0000055	WP_160588054.1	WP_011206429.1
OG0000056	WP_160601125.1	WP_044272640.1
OG0000057	WP_011206089.1	WP_011206089.1
OG0000058	WP_135618593.1	WP_011283954.1
OG0000059	WP_011206057.1	WP_014579624.1
OG0000060	WP_011206046.1	WP_020835589.1
OG0000061	WP_011206035.1	WP_011206035.1
OG0000062	WP_160600998.1	WP_243216013.1
OG0000063	WP_160600703.1	WP_014579535.1
OG0000064	WP_160600651.1	WP_243216353.1, WP_243215934.1
OG0000065	WP_014579568.1	WP_243215955.1
OG0000066	WP_160601219.1	WP_243215965.1
OG0000067	WP_160600739.1	WP_011206493.1
OG0000068	WP_160601213.1	WP_243215866.1
OG0000069	WP_160600955.1	WP_179221160.1
OG0000070	WP_160600966.1	WP_233688475.1
OG0000071	WP_160600769.1	WP_243216282.1
OG0000072	WP_160601175.1	WP_243215853.1
OG0000073	WP_011206314.1	WP_179695988.1
OG0000074	WP_258556625.1	WP_011290343.1
OG0000075	WP_160600862.1	WP_243216040.1
OG0000076	WP_160600876.1	WP_243215998.1
OG0000077	WP_160600689.1	WP_243215952.1
OG0000078	WP_308704765.1	WP_243215860.1
OG0000079	WP_220200855.1	WP_243216159.1
OG0000080	WP_160600916.1	WP_243216161.1
OG0000081	WP_014579823.1	WP_014579823.1
OG0000082	WP_160600917.1	WP_243216163.1
OG0000083	WP_160601154.1	WP_020835728.1
OG0000084	WP_011284142.1	WP_011284142.1
OG0000085	WP_160601150.1	WP_146379594.1
OG0000086	WP_160601147.1	WP_243216167.1
OG0000087	WP_220200893.1	WP_220190703.1
OG0000088	WP_160601142.1	WP_044272477.1
OG0000089	WP_020835733.1	WP_044272480.1
OG0000090	WP_011206231.1	WP_011206231.1
OG0000091	WP_011283836.1	WP_094521536.1
OG0000092	WP_011283835.1	WP_011283835.1
OG0000093	WP_160600824.1	WP_011283833.1
OG0000094	WP_160600822.1	WP_243215921.1
OG0000095	WP_011205849.1	WP_243215919.1
OG0000096	WP_160600820.1	WP_160588116.1
OG0000097	WP_011205847.1	WP_243215917.1
OG0000098	WP_020835484.1	WP_243215915.1
OG0000099	WP_014579519.1	WP_233688588.1
OG0000100	WP_160600818.1	WP_243215911.1
OG0000101	WP_160584860.1	WP_243215909.1
OG0000102	WP_044272251.1	WP_243215907.1
OG0000103	WP_011206529.1	WP_243215905.1
OG0000104	WP_160585758.1	WP_243215901.1
OG0000105	WP_146379771.1	WP_243215900.1
OG0000106	WP_160590174.1	WP_243215899.1
OG0000107	WP_160600816.1	WP_243215898.1
OG0000108	WP_160588098.1	WP_094521530.1
OG0000109	WP_041361715.1	WP_011206521.1
OG0000110	WP_011290440.1	WP_160615736.1
OG0000111	WP_011206510.1	WP_243215891.1
OG0000112	WP_135619192.1	WP_243216094.1
OG0000113	WP_160601016.1	WP_243216095.1
OG0000114	WP_160601018.1	WP_243216096.1
OG0000115	WP_160601114.1	WP_243216182.1
OG0000116	WP_011206239.1	WP_011206239.1
OG0000117	WP_011284163.1	WP_135618878.1
OG0000118	WP_160588282.1	WP_135618882.1
OG0000119	WP_011206243.1	WP_011206243.1
OG0000120	WP_011284167.1	WP_243216184.1
OG0000121	WP_011284169.1	WP_011284169.1
OG0000122	WP_011206247.1	WP_179696020.1
OG0000123	WP_160601201.1	WP_243216208.1
OG0000124	WP_258556696.1	WP_243216207.1
OG0000125	WP_160601197.1	WP_243216206.1
OG0000126	WP_258556695.1	WP_243216205.1
OG0000127	WP_011206271.1	WP_011206271.1
OG0000128	WP_160601227.1	WP_020835765.1
OG0000129	WP_258555507.1	WP_243216202.1
OG0000130	WP_011290245.1	WP_014579859.1
OG0000131	WP_011205977.1	WP_179221065.1
OG0000132	WP_160600860.1	WP_243216047.1
OG0000133	WP_160600858.1	WP_243216048.1
OG0000134	WP_258556636.1	WP_243216049.1
OG0000135	WP_135618680.1	WP_233688705.1
OG0000136	WP_011284023.1	WP_228729171.1
OG0000137	WP_160600850.1	WP_179696055.1
OG0000138	WP_160600848.1	WP_011205966.1
OG0000139	WP_160600846.1	WP_243216052.1
OG0000140	WP_160600844.1	WP_011284027.1
OG0000141	WP_044284614.1	WP_044284614.1
OG0000142	WP_011284032.1	WP_011284032.1
OG0000143	WP_020835643.1	WP_011205958.1
OG0000144	WP_020835645.1	WP_011205956.1
OG0000145	WP_011205954.1	WP_243216054.1
OG0000146	WP_160600842.1	WP_011205953.1
OG0000147	WP_011205952.1	WP_011205952.1
OG0000148	WP_146379560.1	WP_011205950.1
OG0000149	WP_160600838.1	WP_243216055.1
OG0000150	WP_011290122.1	WP_011290122.1
OG0000151	WP_160600836.1	WP_243216057.1
OG0000152	WP_160600834.1	WP_243216059.1
OG0000153	WP_160600832.1	WP_014579732.1
OG0000154	WP_160600830.1	WP_243216060.1
OG0000155	WP_160600828.1	WP_011284046.1
OG0000156	WP_146379566.1	WP_160588225.1
OG0000157	WP_014579735.1	WP_014579735.1
OG0000158	WP_094521636.1	WP_135618714.1
OG0000159	WP_160601065.1	WP_041361727.1
OG0000160	WP_160601069.1	WP_243215973.1
OG0000161	WP_011206123.1	WP_014579589.1
OG0000162	WP_308704761.1	WP_020835541.1
OG0000163	WP_160601071.1	WP_011290004.1
OG0000164	WP_011206120.1	WP_011206120.1
OG0000165	WP_135618546.1	WP_011206119.1
OG0000166	WP_160601073.1	WP_243215975.1
OG0000167	WP_160601075.1	WP_243215976.1
OG0000168	WP_011206113.1	WP_011206113.1
OG0000169	WP_160601207.1	WP_243215983.1
OG0000170	WP_160584793.1	WP_135618563.1
OG0000171	WP_011206102.1	WP_011206102.1
OG0000172	WP_011206101.1	WP_243215985.1
OG0000173	WP_160600792.1	WP_011284290.1
OG0000174	WP_160600791.1	WP_011284289.1
OG0000175	WP_160600789.1	WP_020835845.1
OG0000176	WP_011206391.1	WP_135619026.1
OG0000177	WP_011206390.1	WP_011290340.1
OG0000178	WP_160600787.1	WP_044272582.1
OG0000179	WP_044284693.1	WP_044272578.1
OG0000180	WP_011206385.1	WP_011206385.1
OG0000181	WP_160600783.1	WP_011206384.1
OG0000182	WP_011284277.1	WP_243216301.1
OG0000183	WP_160600779.1	WP_243216296.1
OG0000184	WP_011290331.1	WP_011206379.1
OG0000185	WP_160600777.1	WP_243216292.1
OG0000186	WP_011284272.1	WP_243216290.1
OG0000187	WP_160600775.1	WP_243216288.1
OG0000188	WP_160600771.1	WP_243216285.1
OG0000189	WP_160600765.1	WP_020835828.1
OG0000190	WP_160600763.1	WP_020835827.1
OG0000191	WP_160600761.1	WP_011206347.1
OG0000192	WP_011206345.1	WP_243216280.1
OG0000193	WP_160601235.1	WP_243216274.1
OG0000194	WP_011206337.1	WP_011290311.1
OG0000195	WP_160601026.1	WP_243216273.1
OG0000196	WP_160601028.1	WP_011206335.1
OG0000197	WP_160601030.1	WP_011290309.1
OG0000198	WP_160601032.1	WP_308704549.1
OG0000199	WP_011206289.1	WP_011206289.1
OG0000200	WP_011284209.1	WP_011290271.1
OG0000201	WP_011206287.1	WP_011206287.1
OG0000202	WP_020835662.1	WP_243216071.1
OG0000203	WP_011290137.1	WP_011290137.1
OG0000204	WP_160601269.1	WP_160601269.1
OG0000205	WP_014579804.1	WP_243216144.1
OG0000206	WP_044284644.1	WP_243216145.1
OG0000207	WP_011206197.1	WP_243216146.1
OG0000208	WP_160600898.1	WP_243216147.1
OG0000209	WP_160600902.1	WP_011206200.1
OG0000210	WP_160600910.1	WP_011290193.1
OG0000211	WP_160600914.1	WP_160600914.1
OG0000212	WP_011206207.1	WP_011206207.1
OG0000213	WP_160587908.1	WP_233688406.1
OG0000214	WP_135619057.1	WP_243216310.1
OG0000215	WP_050195447.1	WP_011290367.1
OG0000216	WP_011206424.1	WP_011206424.1
OG0000217	WP_160600927.1	WP_243216312.1
OG0000218	WP_160600929.1	WP_011290369.1
OG0000219	WP_160600931.1	WP_243216317.1
OG0000220	WP_160600933.1	WP_135619070.1
OG0000221	WP_160600935.1	WP_243216318.1
OG0000222	WP_160600939.1	WP_243216326.1
OG0000223	WP_014579977.1	WP_233688536.1
OG0000224	WP_020835878.1	WP_011206441.1
OG0000225	WP_160600941.1	WP_243216329.1
OG0000226	WP_160600943.1	WP_179221227.1
OG0000227	WP_160600945.1	WP_160590181.1
OG0000228	WP_160600947.1	WP_243216331.1
OG0000229	WP_160601136.1	WP_020835888.1
OG0000230	WP_011206453.1	WP_011206453.1
OG0000231	WP_160601138.1	WP_014579989.1
OG0000232	WP_160601130.1	WP_243216339.1
OG0000233	WP_160601129.1	WP_044284717.1
OG0000234	WP_160601127.1	WP_011206458.1
OG0000235	WP_011206459.1	WP_011206459.1
OG0000236	WP_160601123.1	WP_243216342.1
OG0000237	WP_011206469.1	WP_011206469.1
OG0000238	WP_135619119.1	WP_160585238.1
OG0000239	WP_011206467.1	WP_146379742.1
OG0000240	WP_011290399.1	WP_011290399.1
OG0000241	WP_020835897.1	WP_011206465.1
OG0000242	WP_160601173.1	WP_243215852.1
OG0000243	WP_146379568.1	WP_243216061.1
OG0000244	WP_160601247.1	WP_020835656.1
OG0000245	WP_011284053.1	WP_011290131.1
OG0000246	WP_160601245.1	WP_020835657.1
OG0000247	WP_011284055.1	WP_243216062.1
OG0000248	WP_160601243.1	WP_160601243.1
OG0000249	WP_160601241.1	WP_011205932.1
OG0000250	WP_160601185.1	WP_243216195.1
OG0000251	WP_011206256.1	WP_011206256.1
OG0000252	WP_258556689.1	WP_243216189.1
OG0000253	WP_135619204.1	WP_011206251.1
OG0000254	WP_011284001.1	WP_011205992.1
OG0000255	WP_011283999.1	WP_011283999.1
OG0000256	WP_160590375.1	WP_243216028.1
OG0000257	WP_094521582.1	WP_243215993.1
OG0000258	WP_094521583.1	WP_011283924.1
OG0000259	WP_011206093.1	WP_011206093.1
OG0000260	WP_020835572.1	WP_011206092.1
OG0000261	WP_228729168.1	WP_228729168.1
OG0000262	WP_041361572.1	WP_011206090.1
OG0000263	WP_011283930.1	WP_243215996.1
OG0000264	WP_011206086.1	WP_011206086.1
OG0000265	WP_160600868.1	WP_020835574.1
OG0000266	WP_160600870.1	WP_020835575.1
OG0000267	WP_160600872.1	WP_020835576.1
OG0000268	WP_160600874.1	WP_011283934.1
OG0000269	WP_011283936.1	WP_011290034.1
OG0000270	WP_020835579.1	WP_135618573.1
OG0000271	WP_160600878.1	WP_243215999.1
OG0000272	WP_308704756.1	WP_011283943.1
OG0000273	WP_011206072.1	WP_011283944.1
OG0000274	WP_014579633.1	WP_014579633.1
OG0000275	WP_014579632.1	WP_243216001.1
OG0000276	WP_011206068.1	WP_011206068.1
OG0000277	WP_011206067.1	WP_011206067.1
OG0000278	WP_160600886.1	WP_011206066.1
OG0000279	WP_160600888.1	WP_011206065.1
OG0000280	WP_160600890.1	WP_011283950.1
OG0000281	WP_011283951.1	WP_011283951.1
OG0000282	WP_011290046.1	WP_011206062.1
OG0000283	WP_011206061.1	WP_011206061.1
OG0000284	WP_011283958.1	WP_243216004.1
OG0000285	WP_044284597.1	WP_243216005.1
OG0000286	WP_011206050.1	WP_011290054.1
OG0000287	WP_011206049.1	WP_011206049.1
OG0000288	WP_011206048.1	WP_011206048.1
OG0000289	WP_011283963.1	WP_011283963.1
OG0000290	WP_160601104.1	WP_011206047.1
OG0000291	WP_014579616.1	WP_014579616.1
OG0000292	WP_011206044.1	WP_011206044.1
OG0000293	WP_011206042.1	WP_011290058.1
OG0000294	WP_220200886.1	WP_011206041.1
OG0000295	WP_011206040.1	WP_020835592.1
OG0000296	WP_011206039.1	WP_011206039.1
OG0000297	WP_011206038.1	WP_011206038.1
OG0000298	WP_041361589.1	WP_041361589.1
OG0000299	WP_160601098.1	WP_020835596.1
OG0000300	WP_011206032.1	WP_011206032.1
OG0000301	WP_011206031.1	WP_011290064.1
OG0000302	WP_094521599.1	WP_160608021.1
OG0000303	WP_011206028.1	WP_011206028.1
OG0000304	WP_014579605.1	WP_014579605.1
OG0000305	WP_014579604.1	WP_243216006.1
OG0000306	WP_011206025.1	WP_011206025.1
OG0000307	WP_011290067.1	WP_146379524.1
OG0000308	WP_014579601.1	WP_014579601.1
OG0000309	WP_011290071.1	WP_011290071.1
OG0000310	WP_160601002.1	WP_243216010.1
OG0000311	WP_011206014.1	WP_011206014.1
OG0000312	WP_160601000.1	WP_233688674.1
OG0000313	WP_044284822.1	WP_044284822.1
OG0000314	WP_011283987.1	WP_020835610.1
OG0000315	WP_020835611.1	WP_243216014.1
OG0000316	WP_160600997.1	WP_011283989.1
OG0000317	WP_160600995.1	WP_243216016.1
OG0000318	WP_160600993.1	WP_011283991.1
OG0000319	WP_011206005.1	WP_011206005.1
OG0000320	WP_011206003.1	WP_233688689.1
OG0000321	WP_160600989.1	WP_243216021.1
OG0000322	WP_160600987.1	WP_243216023.1
OG0000323	WP_160600796.1	WP_011290347.1
OG0000324	WP_011206400.1	WP_020835851.1
OG0000325	WP_014579953.1	WP_243216303.1
OG0000326	WP_011206402.1	WP_135619036.1
OG0000327	WP_160600798.1	WP_243216305.1
OG0000328	WP_011206404.1	WP_011290352.1
OG0000329	WP_160600800.1	WP_041361690.1
OG0000330	WP_011206408.1	WP_020835856.1
OG0000331	WP_011284299.1	WP_020835857.1
OG0000332	WP_050195463.1	WP_232039502.1
OG0000333	WP_160600647.1	WP_243215931.1
OG0000334	WP_160600649.1	WP_243215932.1
OG0000335	WP_228365403.1	WP_243215933.1
OG0000336	WP_160600653.1	WP_243215935.1
OG0000337	WP_011205875.1	WP_243215937.1
OG0000338	WP_160600657.1	WP_243215940.1
OG0000339	WP_011205880.1	WP_011205880.1
OG0000340	WP_014579544.1	WP_014579544.1
OG0000341	WP_160600661.1	WP_160600661.1
OG0000342	WP_011205883.1	WP_011205883.1
OG0000343	WP_011289964.1	WP_011283860.1
OG0000344	WP_160600663.1	WP_044284571.1
OG0000345	WP_160600665.1	WP_014579548.1
OG0000346	WP_160600667.1	WP_044284572.1
OG0000347	WP_011205889.1	WP_011283865.1
OG0000348	WP_160600669.1	WP_233688611.1
OG0000349	WP_011205891.1	WP_233688612.1
OG0000350	WP_160600671.1	WP_243215941.1
OG0000351	WP_160600673.1	WP_243215942.1
OG0000352	WP_011289973.1	WP_011205894.1
OG0000353	WP_011283871.1	WP_011283871.1
OG0000354	WP_187286314.1	WP_193325077.1
OG0000355	WP_160600675.1	WP_011283873.1
OG0000356	WP_160600677.1	WP_011289977.1
OG0000357	WP_160600679.1	WP_243215943.1
OG0000358	WP_220200824.1	WP_243215945.1
OG0000359	WP_160600683.1	WP_243215947.1
OG0000360	WP_011283879.1	WP_243215948.1
OG0000361	WP_160600685.1	WP_160600685.1
OG0000362	WP_160600687.1	WP_243215950.1
OG0000363	WP_014579569.1	WP_135618519.1
OG0000364	WP_160600693.1	WP_243215957.1
OG0000365	WP_011283885.1	WP_011283885.1
OG0000366	WP_011205916.1	WP_011205916.1
OG0000367	WP_160600699.1	WP_243215961.1
OG0000368	WP_011205921.1	WP_011205921.1
OG0000369	WP_011205923.1	WP_011205923.1
OG0000370	WP_014579577.1	WP_014579577.1
OG0000371	WP_011283894.1	WP_011289993.1
OG0000372	WP_160601215.1	WP_011206135.1
OG0000373	WP_011206134.1	WP_011206134.1
OG0000374	WP_160600804.1	WP_243215890.1
OG0000375	WP_160600753.1	WP_243215887.1
OG0000376	WP_160600751.1	WP_135619152.1
OG0000377	WP_011284373.1	WP_243215885.1
OG0000378	WP_011206502.1	WP_011206502.1
OG0000379	WP_220200832.1	WP_243215880.1
OG0000380	WP_160600745.1	WP_243215879.1
OG0000381	WP_308704753.1	WP_238374142.1
OG0000382	WP_160600741.1	WP_243215878.1
OG0000383	WP_011206494.1	WP_011206494.1
OG0000384	WP_014580014.1	WP_243215875.1
OG0000385	WP_135619140.1	WP_044284728.1
OG0000386	WP_014580012.1	WP_081430772.1
OG0000387	WP_011206487.1	WP_011206487.1
OG0000388	WP_160600735.1	WP_243215874.1
OG0000389	WP_160584907.1	WP_243215873.1
OG0000390	WP_014580008.1	WP_011206484.1
OG0000391	WP_160600733.1	WP_243215870.1
OG0000392	WP_160600731.1	WP_243215868.1
OG0000393	WP_146379652.1	WP_146379652.1
OG0000394	WP_011206297.1	WP_243216240.1
OG0000395	WP_160600959.1	WP_160600959.1
OG0000396	WP_020835793.1	WP_243216242.1
OG0000397	WP_160600962.1	WP_011206303.1
OG0000398	WP_135618967.1	WP_243216258.1
OG0000399	WP_011206320.1	WP_011206320.1
OG0000400	WP_011206319.1	WP_243216256.1
OG0000401	WP_094521723.1	WP_243216254.1
OG0000402	WP_160600980.1	WP_243216251.1
OG0000403	WP_011206315.1	WP_243216250.1
OG0000404	WP_160600976.1	WP_243216245.1
OG0000405	WP_160600974.1	WP_011284228.1
OG0000406	WP_160585762.1	WP_233688477.1
OG0000407	WP_160600968.1	WP_233688476.1
OG0000408	WP_011284225.1	WP_011206306.1
OG0000409	WP_160600655.1	WP_243215936.1
OG0000410	WP_011205878.1	WP_011205878.1
OG0000411	WP_014579572.1	WP_014579572.1
OG0000412	WP_011283891.1	WP_011283891.1
OG0000413	WP_014579576.1	WP_014579576.1
OG0000414	WP_011206118.1	WP_011206118.1
OG0000415	WP_011283978.1	WP_011283978.1
OG0000416	WP_160600785.1	WP_044272575.1
OG0000417	WP_160600759.1	WP_044284687.1
OG0000418	WP_160601040.1	WP_243216269.1
OG0000419	WP_160601043.1	WP_243216263.1
OG0000420	WP_160600978.1	WP_243216248.1
OG0000421	WP_160600957.1	WP_160606445.1
OG0000422	WP_160600729.1	WP_011206293.1
OG0000423	WP_011206141.1	WP_011206141.1
OG0000424	WP_160600908.1	WP_094521675.1
OG0000425	WP_011290197.1	WP_243216153.1
OG0000426	WP_160587912.1	WP_014579818.1
OG0000427	WP_160601140.1	WP_011290211.1
OG0000428	WP_014579824.1	WP_014579824.1
OG0000429	WP_220200854.1	WP_243216157.1
OG0000430	WP_146379629.1	WP_146379629.1
OG0000431	WP_160601193.1	WP_243216204.1
OG0000432	WP_011205969.1	WP_243216051.1
OG0000433	WP_020835642.1	WP_020835642.1
OG0000434	WP_135618712.1	WP_135618712.1
OG0000435	WP_011284172.1	WP_243216187.1
OG0000436	WP_011206094.1	WP_243215994.1
OG0000437	WP_160600880.1	WP_243216000.1
OG0000438	WP_011206076.1	WP_011206076.1
OG0000439	WP_011206069.1	WP_243216002.1
OG0000440	WP_220200845.1	WP_011206060.1
OG0000441	WP_044284742.1	WP_011206056.1
OG0000442	WP_308704757.1	WP_094521595.1
OG0000443	WP_011206016.1	WP_011206016.1
OG0000444	WP_011206405.1	WP_011206405.1
OG0000445	WP_011290372.1	WP_011290372.1
OG0000446	WP_011206433.1	WP_011206433.1
OG0000447	WP_160601134.1	WP_160601134.1
OG0000448	WP_160601132.1	WP_243216335.1
OG0000449	WP_011206488.1	WP_011284361.1
OG0000450	WP_011206492.1	WP_243215876.1
OG0000451	WP_160600755.1	WP_243215889.1
OG0000452	WP_011205931.1	WP_243216064.1
OG0000453	WP_011290441.1	WP_011206520.1
OG0000454	WP_011284394.1	WP_243215903.1
OG0000455	WP_160600982.1	WP_243216252.1
OG0000456	WP_011284150.1	WP_243216169.1
OG0000457	WP_160601221.1	WP_243216236.1
OG0000458	WP_146379551.1	WP_011205973.1
OG0000459	WP_160601183.1	WP_243216193.1
OG0000460	WP_258556639.1	WP_011290029.1
OG0000461	WP_011206435.1	WP_011206435.1
OG0000462	WP_011284367.1	WP_243215877.1
