Orthogroup	MHP_116_proteins	MHP_168L_proteins
OG0000000	WP_348602510.1	WP_318023914.1
OG0000000	WP_348602503.1	WP_044889037.1
OG0000000	WP_348602862.1	WP_318023915.1
OG0000000	WP_348602524.1	WP_044889040.1
OG0000000	WP_348602817.1	WP_016340207.1, WP_233417365.1
OG0000001	WP_348602774.1	WP_014579709.1
OG0000001	WP_348572046.1	WP_228365417.1
OG0000001	WP_348602576.1	WP_014579924.1, WP_014579925.1
OG0000002	WP_237697200.1	WP_228365382.1
OG0000002	WP_348602818.1	WP_014579753.1
OG0000003	WP_348602823.1, WP_348602702.1	WP_014579780.1
OG0000003	WP_094521666.1	WP_052293597.1
OG0000004	WP_044284712.1	WP_014579982.1
OG0000004	WP_348602620.1	WP_044889045.1
OG0000004	WP_348602621.1	WP_014579984.1
OG0000005	WP_348602674.1	WP_014579527.1
OG0000005	WP_348602675.1	WP_014579529.1
OG0000005	WP_348602676.1	WP_044889029.1
OG0000006	WP_348602543.1	WP_044278023.1
OG0000008	WP_348602523.1	WP_016340224.1
OG0000008	WP_348602804.1	WP_014579768.1
OG0000008	WP_348602544.1	WP_233417351.1
OG0000009	WP_348602749.1	WP_014579653.1
OG0000009	WP_348602747.1	WP_233417359.1
OG0000009	WP_348602748.1	WP_233417360.1
OG0000010	WP_348602833.1	WP_014579794.1
OG0000010	WP_348602673.1	WP_228365400.1
OG0000011	WP_348602848.1	WP_081632348.1, WP_233417363.1
OG0000011	WP_348602847.1	WP_014579809.1
OG0000013	WP_348602536.1	WP_233417349.1
OG0000013	WP_348602684.1	WP_233417357.1
OG0000014	WP_348602754.1	WP_014579661.1
OG0000014	WP_348602753.1	WP_014579660.1
OG0000015	WP_240536643.1	WP_016340204.1
OG0000016	WP_348602584.1	WP_014579937.1
OG0000016	WP_348602682.1	WP_044889030.1
OG0000017	WP_020835500.1	WP_228365403.1
OG0000017	WP_020835837.1	WP_014579938.1
OG0000018	WP_348602781.1	WP_014579688.1, WP_052293599.1, WP_011206365.1, WP_014579717.1
OG0000020	WP_348602656.1	WP_014580041.1
OG0000020	WP_348602657.1	WP_187286313.1
OG0000021	WP_348602819.1	WP_014579781.1
OG0000021	WP_348602703.1	WP_044277959.1
OG0000022	WP_348602807.1	WP_044277993.1
OG0000022	WP_348602816.1	WP_014579755.1
OG0000024	WP_348602575.1	WP_014579922.1
OG0000024	WP_348602773.1	WP_044277983.1, WP_014579707.1
OG0000025	WP_348602808.1	WP_011284074.1
OG0000025	WP_348602815.1	WP_014579756.1
OG0000026	WP_348602786.1	WP_044284614.1
OG0000026	WP_348602812.1	WP_014579760.1
OG0000027	WP_348602636.1	WP_011206475.1
OG0000029	WP_348602714.1	WP_016340189.1
OG0000029	WP_348602752.1	WP_014579659.1
OG0000030	WP_348602635.1	WP_228365396.1
OG0000031	WP_348602800.1	WP_011284063.1
OG0000035	WP_044284714.1	WP_014579983.1
OG0000036	WP_348602677.1	WP_014579530.1
OG0000039	WP_348602802.1	WP_187286318.1
OG0000040	WP_348602629.1	WP_014579993.1
OG0000041	WP_011290019.1	WP_014579652.1
OG0000042	WP_348602593.1	WP_016340243.1
OG0000043	WP_014579804.1	WP_014579804.1
OG0000043	WP_014579804.1	WP_014579681.1
OG0000044	WP_225973034.1	WP_225973034.1
OG0000045	WP_160606615.1	WP_228365422.1
OG0000048	WP_011284150.1	WP_014579838.1
OG0000049	WP_348602606.1	WP_014579961.1
OG0000050	WP_348602539.1	WP_016340231.1
OG0000051	WP_348602565.1	WP_044278027.1
OG0000052	WP_011283836.1	WP_014579524.1
OG0000053	WP_348602794.1	WP_014579730.1
OG0000054	WP_348602541.1	WP_014579883.1
OG0000055	WP_348602678.1	WP_014579531.1
OG0000056	WP_348571887.1	WP_143826159.1
