Orthogroup	MHP_116_proteins	MHP_11_proteins
OG0000000	WP_348602510.1	WP_202943179.1
OG0000000	WP_348602503.1	WP_206600680.1
OG0000000	WP_348602862.1	WP_129640575.1
OG0000000	WP_348602524.1	WP_088172539.1
OG0000000	WP_348602817.1	WP_088172555.1, WP_323749055.1
OG0000001	WP_348602774.1	WP_011205979.1, WP_232039579.1
OG0000001	WP_348602576.1	WP_232039548.1, WP_011206342.1
OG0000002	WP_237697200.1	WP_011206236.1
OG0000002	WP_348602818.1	WP_011206167.1
OG0000003	WP_348602823.1	WP_044284785.1
OG0000003	WP_094521666.1	WP_187145846.1
OG0000004	WP_044284712.1	WP_088172515.1
OG0000004	WP_348602619.1	WP_088172517.1
OG0000004	WP_348602621.1	WP_011206450.1
OG0000005	WP_348602674.1	WP_011205860.1
OG0000005	WP_348602675.1	WP_011205861.1
OG0000005	WP_348602676.1	WP_011205862.1, WP_088172524.1
OG0000008	WP_348602523.1	WP_241499462.1, WP_011206260.1
OG0000008	WP_348602544.1	WP_241499463.1
OG0000009	WP_348602671.1	WP_011205856.1
OG0000009	WP_348602762.1	WP_232039583.1
OG0000009	WP_348602747.1	WP_088172535.1
OG0000010	WP_348602833.1	WP_011206187.1
OG0000010	WP_348602673.1	WP_228366119.1
OG0000011	WP_348602848.1	WP_011206202.1
OG0000011	WP_348602847.1	WP_088172557.1
OG0000012	WP_348602512.1, WP_348602836.1, WP_348602760.1, WP_348602801.1, WP_348602830.1, WP_348602822.1	WP_011205920.1
OG0000013	WP_348602536.1	WP_011206279.1
OG0000013	WP_348602684.1	WP_241499457.1
OG0000014	WP_348602713.1	WP_088172536.1
OG0000014	WP_348602754.1	WP_088172531.1
OG0000014	WP_348602753.1	WP_011206109.1
OG0000016	WP_348602584.1	WP_011206378.1
OG0000016	WP_348602682.1	WP_011205873.1
OG0000017	WP_020835500.1	WP_228365403.1
OG0000017	WP_020835837.1	WP_011206380.1
OG0000018	WP_348602781.1	WP_011205971.1, WP_241499458.1, WP_011206364.1
OG0000020	WP_348602656.1	WP_011206516.1
OG0000020	WP_348602657.1	WP_011206517.1
OG0000021	WP_348602819.1	WP_011206173.1
OG0000022	WP_348602807.1	WP_011206154.1
OG0000022	WP_348602816.1	WP_011206164.1
OG0000024	WP_348602575.1	WP_011206341.1
OG0000024	WP_348602773.1	WP_011205981.1
OG0000025	WP_348602808.1	WP_011206155.1
OG0000025	WP_348602815.1	WP_011206163.1
OG0000026	WP_348602786.1	WP_044284614.1
OG0000026	WP_348602812.1	WP_011206159.1
OG0000027	WP_348602636.1	WP_011206475.1
OG0000029	WP_348602714.1	WP_088172532.1
OG0000029	WP_348602752.1	WP_011206108.1
OG0000030	WP_348602635.1	WP_232039555.1
OG0000031	WP_348602800.1	WP_011206142.1
OG0000035	WP_044284714.1	WP_011206449.1
OG0000036	WP_348602677.1	WP_011205866.1
OG0000037	WP_348602858.1	WP_044284786.1
OG0000039	WP_348602802.1	WP_241499465.1, WP_011206145.1
OG0000040	WP_348602629.1	WP_011206462.1
OG0000042	WP_348602593.1	WP_044284805.1
OG0000043	WP_014579804.1	WP_011206195.1
OG0000044	WP_225973034.1	WP_088172558.1
OG0000045	WP_160606615.1	WP_011206147.1
OG0000046	WP_348602631.1	WP_011206464.1
OG0000048	WP_011284150.1	WP_011206232.1
OG0000049	WP_348602606.1	WP_011206418.1
OG0000050	WP_348602539.1	WP_011206286.1
OG0000051	WP_348602565.1	WP_011206324.1
OG0000052	WP_011283836.1	WP_011205854.1
OG0000053	WP_348602794.1	WP_011205946.1
OG0000054	WP_348602541.1	WP_011206291.1
OG0000055	WP_348602678.1	WP_011205867.1
OG0000056	WP_348571887.1	WP_011206513.1
OG0000057	WP_348602591.1	WP_232039550.1
OG0000060	WP_348602670.1	WP_011205855.1
OG0000060	WP_348602763.1	WP_232039581.1
OG0000061	WP_348602835.1	WP_011206139.1
OG0000062	WP_348602661.1, WP_011206522.1	WP_011206522.1
OG0000063	WP_348602663.1, WP_348602660.1	WP_011206521.1
OG0000064	WP_348602658.1	WP_011206518.1
OG0000065	WP_225972975.1	WP_011206245.1
OG0000066	WP_011205965.1	WP_011205965.1
OG0000067	WP_348602706.1	WP_011206124.1
OG0000068	WP_011206103.1	WP_011206103.1
OG0000069	WP_011206373.1	WP_011206373.1
OG0000070	WP_348602542.1	WP_011206292.1
OG0000071	WP_348571847.1	WP_011206460.1
OG0000072	WP_348602628.1	WP_044284808.1
OG0000073	WP_011206093.1	WP_011206093.1
OG0000074	WP_348602722.1	WP_011206057.1
OG0000075	WP_014579568.1	WP_011205908.1
OG0000076	WP_146379475.1	WP_044284772.1
OG0000077	WP_348602701.1	WP_011206132.1
OG0000078	WP_348602810.1	WP_088172554.1
OG0000079	WP_348602553.1	WP_011206305.1
OG0000080	WP_348602560.1	WP_011206314.1
OG0000081	WP_011289985.1	WP_044284770.1
OG0000082	WP_348602535.1	WP_232039541.1
OG0000083	WP_011206216.1	WP_011206216.1
OG0000084	WP_011284142.1	WP_011206222.1
OG0000085	WP_348602498.1	WP_011206223.1
OG0000086	WP_348602499.1	WP_011206225.1
OG0000087	WP_348602502.1	WP_011206228.1
OG0000088	WP_020835733.1	WP_011206229.1
OG0000089	WP_011206231.1	WP_011206231.1
OG0000090	WP_094521535.1	WP_011205853.1
OG0000091	WP_348602669.1	WP_011205850.1
OG0000092	WP_348602668.1	WP_011205847.1
OG0000093	WP_020835484.1	WP_011205846.1
OG0000094	WP_348602667.1	WP_044284766.1
OG0000095	WP_044272251.1	WP_011205840.1
OG0000096	WP_011206529.1	WP_011206529.1
OG0000097	WP_348602664.1	WP_011206525.1
OG0000098	WP_135619170.1	WP_011206523.1
OG0000099	WP_348602654.1	WP_011206514.1
OG0000100	WP_160585575.1	WP_011206511.1
OG0000101	WP_011206510.1	WP_011206510.1
OG0000102	WP_348602859.1	WP_011206162.1
OG0000103	WP_348571656.1	WP_011206238.1
OG0000104	WP_011206239.1	WP_011206239.1
OG0000105	WP_094521691.1	WP_011206242.1
OG0000106	WP_348602514.1	WP_044284796.1
OG0000107	WP_011284169.1	WP_011284169.1
OG0000108	WP_192894278.1	WP_011206247.1
OG0000109	WP_348602515.1	WP_044284797.1
OG0000110	WP_243216208.1	WP_088172542.1
OG0000111	WP_348602533.1	WP_044284798.1
OG0000112	WP_348602531.1	WP_232039539.1
OG0000113	WP_348602528.1	WP_011206268.1
OG0000114	WP_348602527.1	WP_011206266.1
OG0000115	WP_011290245.1	WP_011206264.1
OG0000116	WP_348602777.1	WP_011205976.1
OG0000117	WP_348602778.1	WP_044284776.1
OG0000118	WP_348572057.1	WP_044284775.1
OG0000119	WP_348602783.1	WP_011205967.1
OG0000120	WP_348602785.1	WP_011205964.1
OG0000121	WP_348602788.1	WP_011205959.1
OG0000122	WP_348602789.1	WP_011205958.1
OG0000123	WP_011205954.1	WP_011205954.1
OG0000124	WP_348602791.1	WP_011205953.1
OG0000125	WP_011205952.1	WP_011205952.1
OG0000126	WP_011205950.1	WP_011205950.1
OG0000127	WP_011205948.1	WP_011205948.1
OG0000128	WP_348602795.1	WP_011205945.1
OG0000129	WP_014579732.1	WP_011205944.1
OG0000130	WP_011284046.1	WP_011284046.1
OG0000131	WP_094521635.1	WP_044284819.1
OG0000132	WP_135618714.1	WP_011205939.1
OG0000133	WP_011206123.1	WP_011206123.1
OG0000134	WP_348602707.1	WP_011206122.1
OG0000135	WP_011206120.1	WP_011206120.1
OG0000136	WP_348602708.1	WP_011206119.1
OG0000137	WP_011206113.1	WP_011206113.1
OG0000138	WP_160584793.1	WP_011206106.1
OG0000139	WP_011206102.1	WP_011206102.1
OG0000140	WP_146379496.1	WP_011206101.1
OG0000141	WP_160584965.1	WP_044284804.1
OG0000142	WP_348602592.1	WP_011206395.1
OG0000143	WP_011206391.1	WP_011206391.1
OG0000144	WP_348602590.1	WP_011206389.1
OG0000145	WP_225972996.1	WP_173670097.1
OG0000146	WP_011206385.1	WP_011206385.1
OG0000147	WP_011206384.1	WP_011206384.1
OG0000148	WP_348602586.1	WP_011206381.1
OG0000149	WP_348602585.1	WP_011206379.1
OG0000150	WP_011206376.1	WP_011206376.1
OG0000151	WP_348602580.1	WP_011206349.1
OG0000152	WP_348602579.1	WP_011206348.1
OG0000153	WP_233688497.1	WP_011206347.1
OG0000154	WP_011206345.1	WP_011206345.1
OG0000155	WP_348602573.1	WP_011206337.1
OG0000156	WP_348602572.1	WP_011206335.1
OG0000157	WP_348602571.1	WP_011206334.1
OG0000158	WP_348602570.1	WP_011206332.1
OG0000159	WP_011206289.1	WP_011206289.1
OG0000160	WP_011284209.1	WP_044284799.1
OG0000161	WP_011206287.1	WP_011206287.1
OG0000162	WP_135619210.1	WP_081430781.1
OG0000163	WP_348571730.1	WP_011206284.1
OG0000164	WP_233688726.1	WP_011206143.1
OG0000165	WP_348602846.1	WP_011206200.1
OG0000166	WP_348602850.1	WP_011206204.1
OG0000167	WP_348602852.1	WP_011206207.1
OG0000168	WP_348602853.1	WP_044284793.1
OG0000169	WP_179221201.1	WP_002557698.1
OG0000170	WP_020835862.1	WP_011206420.1
