Orthogroup	MHP_116_proteins	MHP_133A_proteins
OG0000000	WP_348602510.1	WP_404924494.1
OG0000000	WP_348602504.1	WP_160612820.1, WP_215742022.1, WP_404924493.1, WP_404924491.1
OG0000000	WP_348602503.1	WP_404924212.1
OG0000000	WP_348602862.1	WP_148174330.1
OG0000000	WP_348602524.1	WP_404924228.1
OG0000000	WP_348602817.1	WP_404924465.1, WP_404924488.1, WP_404924489.1
OG0000001	WP_348602774.1	WP_232039579.1, WP_187145661.1
OG0000001	WP_348602581.1	WP_404924278.1
OG0000001	WP_348602576.1	WP_404924273.1, WP_404924272.1
OG0000002	WP_237697200.1	WP_225972974.1
OG0000002	WP_348602505.1	WP_404924213.1
OG0000002	WP_348602818.1	WP_404924467.1
OG0000003	WP_348602823.1, WP_348602702.1	WP_404924388.1
OG0000003	WP_094521666.1	WP_052259119.1, WP_404924478.1
OG0000004	WP_044284712.1	WP_160588068.1
OG0000004	WP_348602620.1	WP_404924305.1
OG0000004	WP_348602621.1	WP_404924307.1
OG0000004	WP_348602864.1	WP_404924499.1
OG0000005	WP_348602674.1	WP_011289941.1
OG0000005	WP_348602675.1	WP_404924354.1
OG0000005	WP_348602676.1	WP_347952346.1
OG0000006	WP_348602543.1	WP_404924250.1, WP_280996645.1
OG0000007	WP_011284157.1	WP_404923946.1
OG0000007	WP_002557993.1	WP_404924219.1
OG0000008	WP_348602523.1	WP_404924227.1
OG0000008	WP_348602804.1	WP_404924456.1
OG0000008	WP_348602544.1	WP_404924495.1
OG0000009	WP_348602749.1	WP_404924404.1
OG0000009	WP_348602671.1	WP_041361519.1
OG0000009	WP_348602747.1	WP_011290021.1
OG0000010	WP_348602833.1	WP_404924479.1
OG0000011	WP_348602848.1	WP_404924482.1
OG0000012	WP_348602836.1	WP_404924429.1, WP_404924504.1
OG0000013	WP_348602536.1	WP_225972984.1
OG0000013	WP_348602684.1	WP_404924502.1
OG0000014	WP_348602713.1	WP_404924397.1
OG0000014	WP_348602754.1	WP_404924423.1
OG0000014	WP_348602753.1	WP_404924399.1
OG0000015	WP_240536643.1	WP_404924384.1
OG0000016	WP_348602682.1	WP_404924358.1
OG0000017	WP_020835500.1	WP_020835500.1
OG0000017	WP_020835837.1	WP_020835837.1
OG0000018	WP_348602781.1	WP_160585680.1, WP_404924379.1
OG0000019	WP_348602605.1	WP_404924296.1
OG0000020	WP_348602657.1	WP_404924344.1
OG0000021	WP_348602703.1	WP_404924389.1
OG0000022	WP_348602807.1	WP_404924458.1
OG0000022	WP_348602816.1	WP_146379581.1
OG0000023	WP_348602780.1	WP_404924437.1
OG0000024	WP_348602575.1	WP_179696078.1
OG0000024	WP_348602773.1	WP_404924435.1
OG0000025	WP_348602808.1	WP_404924459.1
OG0000025	WP_348602815.1	WP_404924464.1
OG0000026	WP_348602786.1	WP_020835640.1
OG0000026	WP_348602812.1	WP_160606777.1
OG0000027	WP_348602636.1	WP_020835902.1
OG0000028	WP_348602538.1	WP_404924245.1
OG0000029	WP_348602714.1	WP_404924422.1
OG0000029	WP_348602752.1	WP_404924400.1
OG0000030	WP_348602635.1	WP_308704613.1
OG0000031	WP_348602800.1	WP_404924450.1
OG0000032	WP_348602799.1	WP_135618726.1
OG0000033	WP_348602537.1	WP_404924241.1
OG0000035	WP_044284714.1	WP_404924306.1
OG0000036	WP_348602677.1	WP_146379454.1
OG0000037	WP_348602858.1	WP_404924486.1
OG0000039	WP_348602802.1	WP_404924451.1
OG0000040	WP_348602629.1	WP_404924313.1
OG0000041	WP_011290019.1	WP_011290019.1
OG0000042	WP_348602593.1	WP_404924286.1
OG0000043	WP_014579804.1	WP_014579804.1
OG0000044	WP_225973034.1	WP_225973034.1
OG0000045	WP_160606615.1	WP_404924452.1
OG0000046	WP_348602631.1	WP_404924315.1
OG0000048	WP_011284150.1	WP_011284150.1
OG0000049	WP_348602606.1	WP_020835860.1
OG0000050	WP_348602539.1	WP_404924247.1
OG0000051	WP_348602565.1	WP_404924263.1
OG0000052	WP_011283836.1	WP_404924352.1
OG0000053	WP_348602794.1	WP_404924445.1
OG0000054	WP_348602541.1	WP_404924248.1
OG0000055	WP_348602678.1	WP_146379455.1
