Orthogroup	MHP_116_proteins	MHP_MHP691_proteins
OG0000000	WP_348602504.1	WP_308704692.1, WP_160608104.1, WP_220200664.1
OG0000000	WP_228729165.1	WP_258555627.1
OG0000000	WP_348602817.1	WP_258555591.1, WP_160608120.1
OG0000001	WP_348602774.1	WP_187145661.1
OG0000001	WP_348572046.1	WP_258555625.1
OG0000001	WP_348602576.1	WP_228366104.1, WP_011206342.1
OG0000002	WP_237697200.1	WP_160585200.1
OG0000002	WP_348602505.1	WP_160608106.1
OG0000002	WP_348602818.1	WP_160608118.1
OG0000003	WP_348602509.1	WP_240536590.1
OG0000004	WP_044284712.1	WP_160585636.1
OG0000004	WP_348602619.1	WP_135619084.1
OG0000004	WP_348602621.1	WP_160585635.1
OG0000005	WP_348602674.1	WP_160607716.1
OG0000005	WP_348602675.1	WP_160607718.1
OG0000005	WP_348602676.1	WP_160607720.1
OG0000006	WP_348602543.1	WP_258555632.1
OG0000006	WP_348602529.1	WP_258555587.1
OG0000007	WP_011284157.1	WP_011284157.1
OG0000007	WP_002557993.1	WP_002557993.1
OG0000007	WP_348602508.1	WP_258555628.1, WP_258555629.1
OG0000008	WP_348602544.1	WP_258555633.1
OG0000009	WP_348602671.1	WP_041361519.1
OG0000010	WP_348602833.1	WP_160607876.1
OG0000010	WP_348602673.1	WP_258555487.1
OG0000011	WP_348602848.1	WP_020835714.1, WP_160606477.1
OG0000011	WP_348602847.1	WP_160607868.1
OG0000012	WP_348602836.1	WP_158632000.1
OG0000013	WP_348602536.1	WP_258555582.1
OG0000013	WP_348602684.1	WP_308704685.1
OG0000014	WP_348602713.1	WP_160608110.1
OG0000014	WP_348602753.1	WP_160608112.1
OG0000015	WP_240536643.1	WP_160607700.1
OG0000015	WP_146379573.1	WP_258555620.1
OG0000016	WP_348602584.1	WP_160607846.1
OG0000016	WP_348602682.1	WP_160607987.1
OG0000017	WP_020835500.1	WP_020835500.1
OG0000017	WP_020835837.1	WP_020835837.1
OG0000018	WP_348602781.1	WP_160607808.1, WP_160585710.1
OG0000019	WP_348602604.1	WP_258555634.1
OG0000020	WP_348602656.1	WP_160607708.1
OG0000020	WP_348602657.1	WP_308704678.1
OG0000021	WP_348602819.1	WP_220200667.1
OG0000022	WP_348602807.1	WP_160607941.1
OG0000022	WP_348602816.1	WP_160607953.1
OG0000024	WP_348602575.1	WP_160608070.1
OG0000025	WP_348602808.1	WP_160607943.1
OG0000025	WP_348602815.1	WP_160607951.1
OG0000026	WP_348602786.1	WP_020835640.1
OG0000026	WP_348602812.1	WP_160590234.1
OG0000027	WP_348602636.1	WP_160585251.1
OG0000028	WP_348602538.1	WP_160607995.1, WP_220200632.1
OG0000029	WP_348602714.1	WP_160608024.1
OG0000029	WP_348602752.1	WP_160608062.1
OG0000030	WP_348602635.1	WP_240536353.1
OG0000031	WP_348602800.1	WP_011284063.1
OG0000032	WP_348602799.1	WP_160608068.1
OG0000033	WP_348602537.1	WP_258555581.1
OG0000035	WP_044284714.1	WP_160607769.1
OG0000036	WP_348602677.1	WP_160607722.1
OG0000039	WP_348602802.1	WP_160608064.1
OG0000040	WP_348602629.1	WP_160607971.1
OG0000041	WP_011290019.1	WP_011290019.1
OG0000042	WP_348602593.1	WP_160608086.1
OG0000043	WP_014579804.1	WP_160585024.1
OG0000044	WP_225973034.1	WP_220200639.1
OG0000045	WP_160606615.1	WP_258555619.1
OG0000048	WP_011284150.1	WP_160607666.1
OG0000049	WP_348602606.1	WP_160607787.1
OG0000050	WP_348602539.1	WP_160607999.1
OG0000051	WP_348602565.1	WP_160607824.1
OG0000052	WP_011283836.1	WP_011289937.1
OG0000053	WP_348602794.1	WP_160607798.1
OG0000054	WP_348602541.1	WP_160608001.1
OG0000055	WP_348602678.1	WP_160607724.1
OG0000056	WP_348571887.1	WP_160607757.1
OG0000057	WP_348602591.1	WP_258555568.1
OG0000061	WP_348602835.1	WP_146379613.1
OG0000062	WP_348602661.1, WP_011206522.1	WP_160588098.1
OG0000063	WP_348602663.1, WP_348602660.1	WP_160607710.1
OG0000064	WP_348602658.1	WP_011290440.1
OG0000065	WP_225972975.1	WP_011290219.1
OG0000066	WP_011205965.1	WP_160588243.1
OG0000067	WP_348602706.1	WP_160608100.1
OG0000068	WP_011206103.1	WP_011206103.1
OG0000069	WP_011206373.1	WP_011206373.1
OG0000070	WP_348602542.1	WP_011206292.1
OG0000071	WP_348571847.1	WP_160607760.1
OG0000072	WP_348602628.1	WP_160607973.1
OG0000073	WP_011206093.1	WP_160584799.1
OG0000074	WP_348602722.1	WP_044284596.1
OG0000075	WP_014579568.1	WP_014579568.1
OG0000076	WP_146379475.1	WP_160607908.1
OG0000077	WP_348602701.1	WP_146379479.1
OG0000078	WP_348602810.1	WP_160607947.1
OG0000079	WP_348602553.1	WP_160608044.1
OG0000080	WP_348602560.1	WP_011206314.1
OG0000081	WP_011289985.1	WP_135618515.1
OG0000082	WP_348602535.1	WP_258555583.1
OG0000083	WP_011206216.1	WP_160590043.1
OG0000084	WP_011284142.1	WP_011284142.1
OG0000085	WP_348602498.1	WP_160590049.1
OG0000086	WP_348602499.1	WP_160590052.1
OG0000087	WP_348602502.1	WP_020835732.1
OG0000088	WP_020835733.1	WP_160590058.1
OG0000089	WP_011206231.1	WP_011290212.1
OG0000090	WP_094521535.1	WP_020835488.1
OG0000091	WP_348602669.1	WP_020835487.1
OG0000092	WP_348602668.1	WP_011205847.1
OG0000093	WP_020835484.1	WP_160584856.1
OG0000094	WP_348602667.1	WP_160606485.1
OG0000095	WP_044272251.1	WP_044272251.1
OG0000096	WP_011206529.1	WP_011206529.1
OG0000097	WP_348602664.1	WP_258555535.1
OG0000098	WP_348602662.1, WP_135619170.1	WP_146379769.1
OG0000099	WP_348602654.1	WP_160607759.1
OG0000100	WP_160585575.1	WP_011290432.1
OG0000101	WP_011206510.1	WP_011206510.1
OG0000102	WP_348602859.1	WP_135619192.1
OG0000103	WP_348571656.1	WP_160585202.1
OG0000104	WP_011206239.1	WP_160607672.1
OG0000105	WP_094521691.1	WP_160607676.1
OG0000106	WP_348602514.1	WP_146379631.1
OG0000107	WP_011284169.1	WP_011284169.1
OG0000108	WP_192894278.1	WP_308704677.1
OG0000109	WP_348602515.1	WP_160607678.1
OG0000110	WP_243216208.1	WP_146379648.1
OG0000111	WP_348602533.1	WP_258555584.1
OG0000112	WP_348602531.1	WP_258555585.1
OG0000113	WP_348602528.1	WP_160585296.1
OG0000114	WP_348602527.1	WP_258555588.1
OG0000115	WP_011290245.1	WP_011290245.1
OG0000116	WP_348602777.1	WP_160608082.1
OG0000117	WP_348602778.1	WP_160608080.1
OG0000118	WP_348572057.1	WP_011290108.1
OG0000119	WP_348602783.1	WP_135618686.1
OG0000120	WP_348602785.1	WP_160590292.1
OG0000121	WP_348602788.1	WP_011284032.1
OG0000122	WP_348602789.1	WP_020835643.1
OG0000123	WP_011205954.1	WP_011205954.1
OG0000124	WP_348602791.1	WP_011290118.1
OG0000125	WP_011205952.1	WP_011205952.1
OG0000126	WP_011205950.1	WP_011290120.1
OG0000127	WP_011205948.1	WP_160590282.1
OG0000128	WP_348602795.1	WP_160607796.1
OG0000129	WP_014579732.1	WP_014579732.1
OG0000130	WP_011284046.1	WP_011284046.1
OG0000131	WP_094521635.1	WP_160585099.1
OG0000132	WP_135618714.1	WP_094521636.1
OG0000133	WP_011206123.1	WP_094521764.1
OG0000134	WP_348602707.1	WP_308704690.1
OG0000135	WP_011206120.1	WP_011206120.1
OG0000136	WP_348602708.1	WP_135618546.1
OG0000137	WP_011206113.1	WP_011206113.1
OG0000138	WP_160584793.1	WP_160608058.1
OG0000139	WP_011206102.1	WP_011206102.1
OG0000140	WP_146379496.1	WP_160608056.1
OG0000141	WP_160584965.1	WP_011284290.1
OG0000142	WP_348602592.1	WP_160607860.1
OG0000143	WP_011206391.1	WP_011206391.1
OG0000144	WP_348602590.1	WP_160607856.1
OG0000145	WP_225972996.1	WP_225972996.1
OG0000146	WP_011206385.1	WP_011206385.1
OG0000147	WP_011206384.1	WP_011206384.1
OG0000148	WP_348602586.1	WP_160607848.1
OG0000149	WP_348602585.1	WP_011290331.1
OG0000150	WP_011206376.1	WP_011206376.1
OG0000151	WP_348602580.1	WP_160608076.1
OG0000152	WP_348602579.1	WP_160585269.1
OG0000153	WP_233688497.1	WP_160608074.1
OG0000154	WP_011206345.1	WP_160587842.1
OG0000155	WP_348602573.1	WP_020835820.1
OG0000156	WP_348602572.1	WP_011206335.1
OG0000157	WP_348602571.1	WP_020835818.1
OG0000158	WP_348602570.1	WP_160607812.1
OG0000159	WP_011206289.1	WP_160590317.1
OG0000160	WP_011284209.1	WP_179221158.1
OG0000161	WP_011206287.1	WP_011206287.1
OG0000162	WP_135619210.1	WP_160608004.1
OG0000163	WP_348571730.1	WP_160607997.1
OG0000164	WP_233688726.1	WP_135618732.1
OG0000165	WP_348602846.1	WP_011206200.1
OG0000166	WP_348602850.1	WP_160590029.1
OG0000167	WP_348602852.1	WP_011206207.1
OG0000168	WP_348602853.1	WP_160585173.1
OG0000169	WP_179221201.1	WP_160607789.1
OG0000170	WP_020835862.1	WP_020835862.1
OG0000171	WP_348602609.1	WP_160585650.1
OG0000172	WP_011206424.1	WP_011206424.1
OG0000173	WP_160588049.1	WP_160585649.1
OG0000174	WP_348602610.1	WP_160600929.1
OG0000175	WP_160585645.1	WP_160588054.1
OG0000176	WP_348602616.1	WP_160607777.1
OG0000177	WP_160606697.1	WP_160585273.1
OG0000178	WP_348602617.1	WP_044272620.1
OG0000179	WP_014579979.1	WP_014579979.1
OG0000180	WP_011206445.1	WP_160607773.1
OG0000181	WP_348602622.1	WP_160585796.1
OG0000182	WP_014579987.1	WP_011206453.1
OG0000183	WP_348571845.1	WP_011206459.1
OG0000184	WP_160585238.1	WP_160588140.1
OG0000185	WP_146379740.1	WP_020835897.1
OG0000186	WP_135618718.1	WP_044284745.1
OG0000187	WP_011284055.1	WP_160585781.1
OG0000188	WP_011205932.1	WP_011205932.1
OG0000189	WP_348602521.1	WP_160607686.1
OG0000190	WP_011206256.1	WP_011206256.1
OG0000191	WP_348602517.1	WP_146379633.1
OG0000192	WP_348602857.1	WP_011205992.1
OG0000193	WP_094521610.1	WP_011283999.1
OG0000194	WP_011290023.1	WP_011283923.1
OG0000195	WP_011283924.1	WP_094521583.1
OG0000196	WP_228729168.1	WP_020835573.1
OG0000197	WP_348602746.1	WP_041361572.1
OG0000198	WP_011283930.1	WP_011283930.1
OG0000199	WP_011206086.1	WP_011206086.1
OG0000200	WP_146379501.1	WP_146379501.1
OG0000201	WP_011283934.1	WP_011283934.1
OG0000202	WP_348602735.1	WP_011290039.1
OG0000203	WP_348602734.1	WP_011206072.1
OG0000204	WP_348602733.1	WP_160608010.1
OG0000205	WP_348602732.1	WP_160606691.1
OG0000206	WP_135618589.1	WP_011290044.1
OG0000207	WP_011283951.1	WP_011206063.1
OG0000208	WP_348602727.1	WP_160584818.1
OG0000209	WP_348602726.1	WP_011206061.1
OG0000210	WP_135618604.1	WP_135618604.1
OG0000211	WP_011290054.1	WP_011290054.1
OG0000212	WP_011206048.1	WP_011206048.1
OG0000213	WP_011283963.1	WP_160585195.1
OG0000214	WP_011206047.1	WP_160608018.1
OG0000215	WP_020835589.1	WP_160608019.1
OG0000216	WP_348602720.1	WP_160608020.1
OG0000217	WP_348602719.1	WP_160585731.1
OG0000218	WP_011290058.1	WP_011290058.1
OG0000219	WP_011206041.1	WP_020835591.1
OG0000220	WP_160590391.1	WP_135618616.1
OG0000221	WP_011206039.1	WP_011206039.1
