#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_KZ266902.1:5909-6910|-   -            334 1633at2085           -            266   5.1e-99  326.5  14.4   1   1   4.1e-99   6.3e-97  319.6  14.4     9   265    21   326    16   327 0.87 NZ_KZ266902.1_9 # 5909 # 6910 # -1 # ID=9_9;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.320
NZ_KZ266894.1:45843-47165|+ -            441 1633at2085           -            266   1.3e-42  141.6   9.3   1   3      0.23        35   -0.8   0.4    11    62    14    62     5    91 0.40 NZ_KZ266894.1_43 # 45843 # 47165 # 1 # ID=1_43;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.311
NZ_KZ266894.1:45843-47165|+ -            441 1633at2085           -            266   1.3e-42  141.6   9.3   2   3   8.4e-45   1.3e-42  141.6   9.3    52   257    74   287    27   294 0.86 NZ_KZ266894.1_43 # 45843 # 47165 # 1 # ID=1_43;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.311
NZ_KZ266894.1:45843-47165|+ -            441 1633at2085           -            266   1.3e-42  141.6   9.3   3   3      0.67     1e+02   -2.3   0.1    56    72   362   378   326   385 0.51 NZ_KZ266894.1_43 # 45843 # 47165 # 1 # ID=1_43;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.311
NZ_KZ266917.1:9207-9626|+   -            140 1633at2085           -            266    0.0015   13.5   0.9   1   1   1.6e-05    0.0025   12.8   0.9    60   100    17    59     3    67 0.72 NZ_KZ266917.1_5 # 9207 # 9626 # 1 # ID=24_5;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.245
NZ_KZ266894.1:69143-69679|+ -            179 1633at2085           -            266    0.0018   13.3   1.3   1   2    0.0016      0.24    6.3   0.3    77   104     2    29     1    33 0.92 NZ_KZ266894.1_57 # 69143 # 69679 # 1 # ID=1_57;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.520
NZ_KZ266894.1:69143-69679|+ -            179 1633at2085           -            266    0.0018   13.3   1.3   2   2    0.0016      0.25    6.2   0.0   146   193    46    93    35   101 0.78 NZ_KZ266894.1_57 # 69143 # 69679 # 1 # ID=1_57;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.520
NZ_KZ266898.1:21886-22788|- -            301 1633at2085           -            266     0.002   13.1   2.4   1   2   1.9e-05    0.0029   12.6   0.3    52    97     8    53     1    58 0.85 NZ_KZ266898.1_18 # 21886 # 22788 # -1 # ID=5_18;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.308
NZ_KZ266898.1:21886-22788|- -            301 1633at2085           -            266     0.002   13.1   2.4   2   2      0.14        21   -0.1   0.1    19    60    87   129    73   147 0.74 NZ_KZ266898.1_18 # 21886 # 22788 # -1 # ID=5_18;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.308
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/TB1/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/1633at2085.hmm
# Target file:     /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/TB1/Use/busco_draft/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/TB1/Use/busco_draft/run_mycoplasmatales_odb10/hmmer_output/1633at2085.out --cpu 1 /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/TB1/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/1633at2085.hmm /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/TB1/Use/busco_draft/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/TB1/Use
# Date:            Sun Dec  1 19:27:31 2024
# [ok]
