#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_KZ266923.1:7045-7836|+   -            264 1679at2085           -            265   5.8e-79  260.6  11.6   1   1   6.6e-81   6.4e-79  260.4  11.6    12   256     1   255     1   263 0.90 NZ_KZ266923.1_5 # 7045 # 7836 # 1 # ID=30_5;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.269
NZ_KZ266912.1:16010-16606|+ -            199 1679at2085           -            265   6.9e-13   44.0   5.6   1   2   9.2e-13   8.9e-11   37.0   0.1   123   172    41    91    32   106 0.91 NZ_KZ266912.1_12 # 16010 # 16606 # 1 # ID=19_12;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.296
NZ_KZ266912.1:16010-16606|+ -            199 1679at2085           -            265   6.9e-13   44.0   5.6   2   2   0.00032     0.031    9.0   1.7    24    97   117   195   102   198 0.77 NZ_KZ266912.1_12 # 16010 # 16606 # 1 # ID=19_12;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.296
NZ_KZ266904.1:16694-18022|+ -            443 1679at2085           -            265   1.5e-12   42.8  16.1   1   3       1.1     1e+02   -2.5   0.1   231   258   137   164   114   170 0.58 NZ_KZ266904.1_9 # 16694 # 18022 # 1 # ID=11_9;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.312
NZ_KZ266904.1:16694-18022|+ -            443 1679at2085           -            265   1.5e-12   42.8  16.1   2   3     1e-13   9.8e-12   40.2   0.3    97   174   194   275   184   289 0.78 NZ_KZ266904.1_9 # 16694 # 18022 # 1 # ID=11_9;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.312
NZ_KZ266904.1:16694-18022|+ -            443 1679at2085           -            265   1.5e-12   42.8  16.1   3   3   0.00025     0.024    9.4   6.3    21   104   291   366   281   386 0.70 NZ_KZ266904.1_9 # 16694 # 18022 # 1 # ID=11_9;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.312
NZ_KZ266894.1:69143-69679|+ -            179 1679at2085           -            265     1e-10   36.8   0.6   1   2   2.9e-12   2.8e-10   35.4   0.2   123   178     6    65     1    81 0.80 NZ_KZ266894.1_57 # 69143 # 69679 # 1 # ID=1_57;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.520
NZ_KZ266894.1:69143-69679|+ -            179 1679at2085           -            265     1e-10   36.8   0.6   2   2       0.2        20   -0.1   0.0    22    44    78   100    70   110 0.77 NZ_KZ266894.1_57 # 69143 # 69679 # 1 # ID=1_57;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.520
NZ_KZ266901.1:8972-9853|+   -            294 1679at2085           -            265   2.6e-10   35.5   9.5   1   2     2e-11   1.9e-09   32.7   0.3   119   175     6    66     2    86 0.78 NZ_KZ266901.1_12 # 8972 # 9853 # 1 # ID=8_12;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.293
NZ_KZ266901.1:8972-9853|+   -            294 1679at2085           -            265   2.6e-10   35.5   9.5   2   2    0.0024      0.23    6.1   4.1    47   103   108   169    76   189 0.75 NZ_KZ266901.1_12 # 8972 # 9853 # 1 # ID=8_12;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.293
NZ_KZ266894.1:31728-32987|+ -            420 1679at2085           -            265   4.1e-06   21.7  12.8   1   2     5e-07   4.8e-05   18.2   0.1   124   175   161   215   145   236 0.75 NZ_KZ266894.1_26 # 31728 # 32987 # 1 # ID=1_26;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.306
