# BUSCO version is: 5.8.1 
# The lineage dataset is: mycoplasmatales_odb10 (Creation date: 2024-01-08, number of genomes: 79, number of BUSCOs: 174)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
17at2085	Complete	NZ_CP038641.1	862566	858328	-	1921.2	1289	https://v10-1.orthodb.org/?query=17at2085	DNA-directed RNA polymerase subunit beta'
53at2085	Complete	NZ_CP038641.1	866285	862623	-	1725.4	1198	https://v10-1.orthodb.org/?query=53at2085	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
56at2085	Complete	NZ_CP038641.1	753244	748838	-	1373.8	1032	https://v10-1.orthodb.org/?query=56at2085	DNA polymerase III PolC-type
78at2085	Complete	NZ_CP038641.1	917637	920576	+	937.6	777	https://v10-1.orthodb.org/?query=78at2085	SMCs flexible hinge
111at2085	Complete	NZ_CP038641.1	119753	116910	-	1165.5	770	https://v10-1.orthodb.org/?query=111at2085	UvrABC system protein A
118at2085	Complete	NZ_CP038641.1	554782	552890	-	259.1	335	https://v10-1.orthodb.org/?query=118at2085	Domain of unknown functionDUF2779
147at2085	Complete	NZ_CP038641.1	741095	738483	-	647.0	456	https://v10-1.orthodb.org/?query=147at2085	Lon protease
148at2085	Complete	NZ_CP038641.1	97529	95445	-	1036.6	579	https://v10-1.orthodb.org/?query=148at2085	Elongation factor G
157at2085	Complete	NZ_CP038641.1	39324	36664	-	770.9	628	https://v10-1.orthodb.org/?query=157at2085	Isoleucine--tRNA ligase
163at2085	Complete	NZ_CP038641.1	232749	235400	+	821.8	620	https://v10-1.orthodb.org/?query=163at2085	Alanine--tRNA ligase
218at2085	Complete	NZ_CP038641.1	547484	549745	+	435.8	495	https://v10-1.orthodb.org/?query=218at2085	DNA helicase
244at2085	Complete	NZ_CP038641.1	343476	341566	-	552.8	463	https://v10-1.orthodb.org/?query=244at2085	DNA topoisomerase I, type IA
406at2085	Complete	NZ_CP038641.1	122259	119746	-	674.5	488	https://v10-1.orthodb.org/?query=406at2085	Ribonuclease J
462at2085	Complete	NZ_CP038641.1	907464	905092	-	737.4	609	https://v10-1.orthodb.org/?query=462at2085	Leucine--tRNA ligase
482at2085	Complete	NZ_CP038641.1	49208	47124	-	513.5	501	https://v10-1.orthodb.org/?query=482at2085	Ribonuclease R
492at2085	Fragmented	NZ_CP038641.1	86539	87600	+	593.0	328	https://v10-1.orthodb.org/?query=492at2085	Chaperone protein DnaK
501at2085	Complete	NZ_CP038641.1	92315	94111	+	822.1	526	https://v10-1.orthodb.org/?query=501at2085	Elongation factor 4
533at2085	Complete	NZ_CP038641.1	2852	4711	+	789.2	515	https://v10-1.orthodb.org/?query=533at2085	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
534at2085	Complete	NZ_CP038641.1	947838	950306	+	869.6	665	https://v10-1.orthodb.org/?query=534at2085	Valine--tRNA ligase
539at2085	Complete	NZ_CP038641.1	820943	819204	-	813.0	541	https://v10-1.orthodb.org/?query=539at2085	Threonine--tRNA ligase
543at2085	Complete	NZ_CP038641.1	810612	807655	-	595.5	530	https://v10-1.orthodb.org/?query=543at2085	DNA-directed DNA polymerase
584at2085	Complete	NZ_CP038641.1	308886	311039	+	360.5	290	https://v10-1.orthodb.org/?query=584at2085	DNA polymerase III subunit gamma/tau
697at2085	Complete	NZ_CP038641.1	826617	828134	+	554.1	421	https://v10-1.orthodb.org/?query=697at2085	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
