	MFC_ATCC27716_protein	MFC_MF11_protein	MFC_MF18_protein	MFC_MF22_protein	MFC_MF29_protein	MFC_MF30_protein	MFC_MF33_protein	MFC_MS42_protein	MHP_11_protein	MHP_168L_protein	MHP_168_protein	MHP_232_protein	MHP_7422_protein	MHP_7448_protein	MHP_98_protein	MHP_ES2L_protein	MHP_ES2_protein	MHP_F72C_protein	MHP_J_protein	MHP_LH_protein	MHP_MHP650_protein	MHP_MHP653_protein	MHP_MHP679_protein	MHP_MHP682_protein	MHP_MHP691_protein	MHP_MHP694_protein	MHP_MHP696_protein	MHP_MHP699_protein	MHP_MHP709_protein	MHP_NCTC10127_protein	MHP_REF_protein	MHP_TB1_protein	MHP_UFV01_protein	MHP_UFV02_protein
MFC_ATCC27716_protein	0.0	543.0	546.0	543.0	551.0	537.0	552.0	567.0	515.0	508.0	513.0	520.0	521.0	522.0	515.0	520.0	514.0	524.0	521.0	524.0	516.0	524.0	511.0	519.0	517.0	513.0	524.0	520.0	524.0	512.0	21.0	506.0	521.0	519.0
MFC_MF11_protein	543.0	0.0	547.0	550.0	552.0	536.0	550.0	545.0	520.0	513.0	514.0	520.0	518.0	520.0	511.0	516.0	513.0	521.0	519.0	524.0	520.0	523.0	513.0	518.0	517.0	512.0	522.0	519.0	523.0	516.0	20.0	507.0	522.0	521.0
MFC_MF18_protein	546.0	547.0	0.0	553.0	552.0	537.0	547.0	545.0	517.0	511.0	512.0	517.0	518.0	517.0	511.0	514.0	510.0	518.0	520.0	523.0	517.0	523.0	512.0	517.0	514.0	515.0	521.0	516.0	521.0	513.0	21.0	506.0	522.0	520.0
MFC_MF22_protein	543.0	550.0	553.0	0.0	550.0	544.0	544.0	546.0	518.0	511.0	512.0	519.0	518.0	518.0	512.0	515.0	513.0	521.0	520.0	523.0	519.0	526.0	513.0	519.0	518.0	517.0	523.0	519.0	523.0	515.0	20.0	506.0	523.0	521.0
MFC_MF29_protein	551.0	552.0	552.0	550.0	0.0	538.0	554.0	549.0	524.0	523.0	528.0	526.0	541.0	537.0	526.0	529.0	526.0	524.0	523.0	537.0	529.0	525.0	530.0	528.0	526.0	518.0	525.0	531.0	526.0	517.0	21.0	521.0	541.0	539.0
MFC_MF30_protein	537.0	536.0	537.0	544.0	538.0	0.0	536.0	539.0	516.0	508.0	512.0	517.0	510.0	518.0	510.0	508.0	504.0	514.0	512.0	516.0	510.0	516.0	508.0	511.0	509.0	513.0	513.0	512.0	514.0	512.0	19.0	506.0	513.0	511.0
MFC_MF33_protein	552.0	550.0	547.0	544.0	554.0	536.0	0.0	553.0	519.0	512.0	513.0	521.0	519.0	517.0	511.0	517.0	515.0	522.0	521.0	523.0	516.0	523.0	511.0	518.0	515.0	513.0	524.0	518.0	523.0	516.0	20.0	507.0	521.0	519.0
MFC_MS42_protein	567.0	545.0	545.0	546.0	549.0	539.0	553.0	0.0	521.0	512.0	514.0	522.0	522.0	523.0	517.0	521.0	517.0	528.0	524.0	529.0	522.0	529.0	516.0	521.0	521.0	515.0	527.0	523.0	528.0	516.0	21.0	506.0	524.0	522.0
MHP_11_protein	515.0	520.0	517.0	518.0	524.0	516.0	519.0	521.0	0.0	630.0	626.0	665.0	613.0	631.0	628.0	625.0	623.0	614.0	620.0	640.0	621.0	612.0	601.0	621.0	600.0	613.0	614.0	626.0	616.0	663.0	23.0	612.0	632.0	631.0
MHP_168L_protein	508.0	513.0	511.0	511.0	523.0	508.0	512.0	512.0	630.0	0.0	670.0	631.0	615.0	629.0	619.0	611.0	617.0	602.0	630.0	628.0	622.0	604.0	604.0	616.0	602.0	608.0	607.0	621.0	608.0	628.0	23.0	652.0	627.0	623.0
MHP_168_protein	513.0	514.0	512.0	512.0	528.0	512.0	513.0	514.0	626.0	670.0	0.0	629.0	617.0	632.0	621.0	608.0	613.0	602.0	621.0	628.0	620.0	604.0	603.0	615.0	602.0	606.0	606.0	617.0	607.0	624.0	23.0	649.0	625.0	623.0
MHP_232_protein	520.0	520.0	517.0	519.0	526.0	517.0	521.0	522.0	665.0	631.0	629.0	0.0	615.0	634.0	630.0	624.0	626.0	614.0	626.0	639.0	623.0	613.0	600.0	624.0	601.0	616.0	614.0	627.0	614.0	663.0	23.0	613.0	633.0	631.0
MHP_7422_protein	521.0	518.0	518.0	518.0	541.0	510.0	519.0	522.0	613.0	615.0	617.0	615.0	0.0	643.0	619.0	621.0	626.0	619.0	612.0	629.0	614.0	611.0	618.0	619.0	604.0	600.0	619.0	618.0	626.0	610.0	23.0	609.0	631.0	631.0
MHP_7448_protein	522.0	520.0	517.0	518.0	537.0	518.0	517.0	523.0	631.0	629.0	632.0	634.0	643.0	0.0	634.0	631.0	631.0	628.0	618.0	641.0	620.0	622.0	621.0	626.0	611.0	615.0	620.0	626.0	622.0	629.0	24.0	622.0	634.0	630.0
